prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
19683,PRODUCT_207027_002,7547719,2025-07-13 00:00:00,1,1,U-1736,0,2019-04-05 00:00:00
19684,PRODUCT_207027_002,7547719,2025-07-13 00:00:00,1,1,U-1575,0,2019-04-05 00:00:00
19685,PRODUCT_207027_002,7160870,2022-11-20 00:00:00,1,1,U-1306,0,2019-04-05 00:00:00
19686,PRODUCT_207027_002,7160870,2022-11-20 00:00:00,1,1,U-1736,0,2019-04-05 00:00:00
19687,PRODUCT_206073_001,10258637,2034-04-03 00:00:00,0,0,U-2290,0,2019-04-30 00:00:00
19688,PRODUCT_209115_003,10130636,2035-08-17 00:00:00,0,0,U-2273,0,2018-12-17 00:00:00
19689,PRODUCT_208944_002,10154971,2034-12-04 00:00:00,0,0,U-2459,0,2018-12-18 00:00:00
19690,PRODUCT_207946_004,10143693,2036-04-05 00:00:00,0,0,U-2458,0,2018-12-18 00:00:00
19691,PRODUCT_208558_001,8143241,2027-08-12 00:00:00,0,0,U-2482,0,2017-09-15 00:00:00
19692,PRODUCT_208558_001,8143241,2027-08-12 00:00:00,0,0,U-2481,0,2017-09-15 00:00:00
19693,PRODUCT_203341_003,7417148,2025-12-11 00:00:00,0,0,U-1283,0,2017-11-15 00:00:00
19694,PRODUCT_209091_002,6515117,2020-10-04 00:00:00,1,1,U-493,0,2019-05-24 00:00:00
19695,PRODUCT_206494_001,7112592,2022-02-24 00:00:00,1,1,U-2244,0,2015-03-17 00:00:00
19696,PRODUCT_210874_001,9198925,2020-10-04 00:00:00,0,0,U-493,0,2019-05-24 00:00:00
19697,PRODUCT_210874_001,6414126,2020-10-04 00:00:00,1,1,U-493,0,2019-05-24 00:00:00
19698,PRODUCT_210874_002,RE44186,2023-07-31 00:00:00,1,1,U-493,0,2019-05-24 00:00:00
19699,PRODUCT_210874_003,9198925,2020-10-04 00:00:00,0,0,U-493,0,2019-05-24 00:00:00
19700,PRODUCT_210874_003,6515117,2020-10-04 00:00:00,1,1,U-493,0,2019-05-24 00:00:00
19701,PRODUCT_210874_003,8501698,2027-06-20 00:00:00,0,1,U-493,0,2019-05-24 00:00:00
19702,PRODUCT_209091_001,8501698,2027-06-20 00:00:00,0,1,U-493,0,2017-03-22 00:00:00
19703,PRODUCT_206185_001,9539262,2028-10-15 00:00:00,0,0,U-2400,0,2018-09-25 00:00:00
19704,PRODUCT_209394_001,10039754,2030-06-10 00:00:00,0,0,U-2141,0,2018-09-06 00:00:00
19705,PRODUCT_209091_001,8361972,2028-03-21 00:00:00,0,0,U-493,0,2017-03-22 00:00:00
19706,PRODUCT_207925_001,8629162,2025-06-24 00:00:00,0,0,U-2529,0,2018-02-22 00:00:00
19707,PRODUCT_209394_001,10286029,2034-03-14 00:00:00,0,0,U-2532,0,2019-05-31 00:00:00
19708,PRODUCT_207925_001,8324242,2027-08-05 00:00:00,0,0,U-2527,0,2015-04-14 00:00:00
19709,PRODUCT_210861_001,10285993,2035-11-16 00:00:00,0,0,U-2470,0,2019-06-13 00:00:00
19710,PRODUCT_212526_001,8227462,2030-09-28 00:00:00,1,1,U-2539,0,2019-06-17 00:00:00
19711,PRODUCT_200063_001,10307376,2027-11-08 00:00:00,0,0,U-1585,0,2019-06-17 00:00:00
19712,PRODUCT_208573_001,9539251,2033-09-06 00:00:00,0,0,U-2538,0,2019-06-13 00:00:00
19713,PRODUCT_202192_005,10016429,2028-06-12 00:00:00,0,0,U-2536,0,2019-06-12 00:00:00
19714,PRODUCT_207925_003,8629162,2025-06-24 00:00:00,0,0,U-2529,0,2019-05-29 00:00:00
19715,PRODUCT_207925_003,8324242,2027-08-05 00:00:00,0,0,U-1906,0,2019-05-29 00:00:00
19716,PRODUCT_207925_003,9670163,2026-12-28 00:00:00,0,1,U-2530,0,2019-05-29 00:00:00
19717,PRODUCT_207533_004,10112903,2030-06-24 00:00:00,1,0,U-543,0,2018-11-20 00:00:00
19718,PRODUCT_209501_001,10022447,2026-11-02 00:00:00,0,0,U-2136,0,2018-08-16 00:00:00
19719,PRODUCT_209501_003,10022447,2026-11-02 00:00:00,0,0,U-2136,0,2018-08-16 00:00:00
19720,PRODUCT_208090_005,10188644,2036-09-02 00:00:00,0,1,U-1556,0,2019-01-29 00:00:00
19721,PRODUCT_208079_001,10179137,2030-08-31 00:00:00,0,1,U-1858,0,2019-02-08 00:00:00
19722,PRODUCT_050805_001,10058564,2022-04-05 00:00:00,0,0,U-1063,0,2018-09-25 00:00:00
19723,PRODUCT_210595_001,10085974,2029-03-13 00:00:00,0,1,U-2513,0,2019-04-24 00:00:00
19724,PRODUCT_021880_001,9101621,2023-05-15 00:00:00,0,0,U-1985,0,2015-08-26 00:00:00
19725,PRODUCT_021880_001,8741929,2028-03-08 00:00:00,0,0,U-1983,0,2014-06-17 00:00:00
19726,PRODUCT_021880_001,9101622,2023-05-15 00:00:00,0,0,U-1986,0,2015-08-26 00:00:00
19727,PRODUCT_021880_002,7968569,2023-10-07 00:00:00,0,0,U-1984,0,2011-07-14 00:00:00
19728,PRODUCT_021880_002,8648095,2023-05-15 00:00:00,0,0,U-1984,0,
19729,PRODUCT_021880_003,8741929,2028-03-08 00:00:00,0,0,U-1983,0,2014-06-17 00:00:00
19730,PRODUCT_021880_003,8530498,2023-05-15 00:00:00,0,0,U-1984,0,2013-09-26 00:00:00
19731,PRODUCT_022291_002,7790704,2021-05-24 00:00:00,0,0,U-2451,0,
19732,PRODUCT_022291_003,7160870,2022-11-20 00:00:00,1,1,U-2451,0,
19733,PRODUCT_022291_004,7790704,2021-05-24 00:00:00,0,0,U-2451,0,
