biocomp_id,molregno,component_id
206,1380939,6318
207,1380939,6319
289,1380996,6565
290,1380996,6566
149,1381000,6427
150,1381000,6428
238,1381004,6514
239,1381004,6515
268,1381005,6544
16,1381704,6301
118,1381824,6397
119,1381824,6398
120,1381825,6399
121,1381825,6400
122,1381827,6401
123,1381827,6402
124,1381828,6403
125,1381828,6404
126,1381829,6405
127,1381829,6406
132,1381835,6411
133,1381835,6412
138,1381846,6416
139,1381846,6417
140,1381848,6418
141,1381848,6419
163,1381896,6441
164,1381896,6442
165,1381897,6443
166,1381897,6444
184,1381910,6462
185,1381910,6463
204,1381928,6482
205,1381928,6483
212,1381940,6488
213,1381940,6489
227,1381968,6503
228,1381968,6504
231,1381973,6507
232,1381973,6508
236,1381980,6512
237,1381980,6513
302,1382064,6578
303,1382102,6579
304,1382105,6580
305,1382105,6581
306,1382107,6582
307,1382107,6583
673,1592355,8369
672,1592356,8368
678,1592357,8374
676,1592358,8372
677,1592358,8373
671,1592360,8367
674,1592361,8370
675,1592361,8371
670,1592362,8366
669,1592363,8365
679,1626776,8375
680,1626776,8376
682,1626777,8378
683,1626777,8379
684,1626778,8380
685,1626778,8381
686,1626779,8382
687,1626779,8383
688,1626780,8384
689,1626781,8385
690,1626781,8386
691,1626782,8387
692,1626782,8388
694,1626783,8389
693,1626783,8390
696,1626784,8391
697,1626784,8392
698,1626785,8393
699,1626785,8394
700,1626786,8395
701,1626786,8396
702,1626787,8397
703,1626787,8398
704,1626788,8399
716,1763539,8639
715,1763540,8640
725,1763540,8641
714,1763541,8642
724,1763541,8643
713,1763542,8644
726,1763542,8645
712,1763543,8646
711,1763544,8647
722,1763544,8648
710,1763545,8649
709,1763547,8651
721,1763547,8652
708,1763548,8653
720,1763548,8654
707,1763549,8655
719,1763549,8656
706,1763550,8657
718,1763550,8658
705,1763551,8659
717,1763551,8660
728,1926770,9845
729,1926771,9846
730,1926771,9847
731,1926772,9848
732,1926772,9849
733,1926773,9850
734,1926773,9851
735,1926775,9852
736,1926775,9853
737,1926839,9854
738,1926839,9855
739,1926840,9856
740,1926840,9857
741,1926841,9858
742,1926841,9859
743,1926845,9860
744,1926845,9861
745,1926919,9862
746,1926920,9863
747,1926920,9864
748,1926921,9865
749,1926921,9866
750,1926980,9867
751,1926980,9868
752,1926981,9869
753,1926981,9870
754,1927038,9871
755,1927038,9872
756,1927039,9873
757,1927040,9874
758,1927040,9875
759,1927108,9876
760,1927108,9877
761,1927108,9878
762,1927108,9879
763,1927109,9880
764,1927109,9881
765,1927110,9882
766,1927110,9883
767,1927111,9884
768,1927111,9885
769,1927165,9886
770,1927165,9887
771,1927166,9888
772,1927166,9889
773,1927219,9890
774,1927219,9891
775,1927221,9892
776,1927221,9893
777,1927222,9894
778,1927222,9895
779,1927223,9896
780,1927223,9897
781,2039198,10151
782,2039198,10152
783,2039199,10153
784,2039199,10154
785,2039200,10155
786,2039200,10156
787,2039247,10157
788,2039248,10158
789,2039248,10159
790,2039249,10160
791,2039249,10161
792,2039250,10162
793,2039250,10163
794,2039266,10164
795,2039294,10165
796,2039295,10166
797,2039295,10167
798,2039296,10168
799,2039296,10169
800,2039297,10170
801,2039297,10171
802,2039298,10172
803,2039298,10173
804,2039299,10174
805,2039299,10175
806,2039328,10176
807,2039329,10177
808,2039330,10178
809,2039330,10179
810,2039375,10180
811,2039375,10181
812,2039377,10182
813,2039377,10183
815,2096357,17089
816,2096357,17090
817,2096380,17091
818,2096380,17092
819,2096394,17093
820,2096423,17094
821,2096423,17095
822,2096435,17096
823,2096437,17097
824,2096437,17098
825,2096437,17099
826,2096437,17100
827,2197309,17452
828,2197636,17453
829,2197672,17454
831,2197847,17456
832,2197848,17457
833,2197848,17458
834,2197851,17459
835,2197851,17460
836,2197852,17461
837,2197852,17462
838,2197854,17463
839,2197854,17464
840,2197855,17465
841,2197855,17466
842,2197855,17467
843,2197855,17468
844,2197857,17469
845,2197857,17470
846,2197859,17471
847,2197859,17472
848,2197861,17473
849,2197861,17474
850,2197862,17475
851,2197862,17476
852,2197863,17477
853,2197867,17478
854,2197867,17479
855,2197868,17480
856,2197868,17481
857,2197870,17482
858,2197871,17483
859,2197871,17484
860,2197872,17485
861,2197872,17486
865,2197881,17490
866,2197881,17491
867,2197882,17492
868,2197882,17493
869,2197883,17494
870,2197884,17495
871,2197884,17496
872,2197884,17497
873,2197884,17498
874,2197884,17499
875,2197884,17500
876,2197884,17501
877,2197885,17502
878,2197885,17503
879,2197886,17504
880,2197886,17505
881,2197886,17506
882,2197887,17507
883,2197887,17508
884,2197888,17509
885,2197889,17510
886,2197889,17511
887,2197889,17512
888,2197892,17513
889,2197892,17514
890,2197893,17515
891,2197893,17516
892,2197894,17517
893,2197895,17518
894,2197895,17519
895,2197896,17520
896,2197896,17521
897,2197897,17522
898,2197899,17523
899,2197899,17524
900,2197900,17525
901,2197900,17526
902,2197901,17527
903,2197902,17528
904,2197902,17529
905,2197903,17530
906,2197903,17531
907,2197908,17532
908,2197908,17533
909,2197908,17534
910,2197909,17535
911,2197909,17536
912,2197910,17537
913,2197910,17538
914,2197913,17539
915,2197913,17540
916,2197915,17541
917,2197915,17542
918,2335200,18545
919,2335200,18546
920,2335200,18547
921,2335204,18548
922,2335204,18549
924,2335208,18551
925,2335208,18552
926,2335209,18553
927,2335209,18554
930,2335216,18557
931,2335216,18558
932,2335546,18559
933,2335546,18560
934,2335694,18561
935,2335694,18562
936,2335705,18563
937,2335705,18564
938,2335714,18565
939,2335714,18566
940,2335727,18567
941,2335727,18568
942,2335732,18569
943,2335749,18570
944,2335749,18571
945,2335810,18572
946,2335842,18573
947,2335842,18574
948,2335885,18575
949,2335894,18576
950,2335894,18577
951,2335896,18578
952,2335899,18579
953,2335913,18580
954,2335913,18581
955,2335937,18582
956,2335937,18583
957,2335987,18584
958,2335987,18585
959,2335999,18586
960,2335999,18587
961,2336011,18588
962,2336011,18589
963,2336012,18590
964,2336012,18591
966,2336076,18593
967,2336095,18594
968,2336095,18595
