atc_code,ddd_units,ddd_admr,ddd_comment,ddd_id,ddd_value
A01AA03,mg,O,,2,1.100000000000000000000000000000
A01AB02,mg,O,,3,60.000000000000000000000000000000
A01AB03,mg,O,,4,30.000000000000000000000000000000
A01AB04,mg,O,,5,40.000000000000000000000000000000
A01AB05,g,O,,6,0.180000000000000000000000000000
A01AB06,mg,O,,7,3.000000000000000000000000000000
A01AB07,mg,O,,8,80.000000000000000000000000000000
A01AB09,g,O,,9,0.200000000000000000000000000000
A01AB10,mg,O,,10,20.000000000000000000000000000000
A01AB23,mg,O,,11,1.000000000000000000000000000000
A02AA04,g,O,,12,3.000000000000000000000000000000
A02AB02,g,O,,13,5.000000000000000000000000000000
A02AC02,g,O,,14,6.000000000000000000000000000000
A02AD01,,,Standard dose: 10 tablets or 50 ml mixt,15,
A02BB01,mg,O,,23,0.800000000000000000000000000000
A02BB02,mcg,O,,24,70.000000000000000000000000000000
A02BC03,mg,O,,27,30.000000000000000000000000000000
A02BC04,mg,O,,28,20.000000000000000000000000000000
A02BX01,g,O,,30,0.150000000000000000000000000000
A02BX02,g,O,,31,4.000000000000000000000000000000
A02BX05,g,O,,33,0.480000000000000000000000000000
A02BX06,g,O,,34,1.200000000000000000000000000000
A06AX06,mg,O,,58,12.000000000000000000000000000000
A03BA03,mg,O,,64,1.200000000000000000000000000000
A03BA04,mg,O,,65,1.000000000000000000000000000000
A03BB02,mg,O,,67,3.000000000000000000000000000000
A03BB04,mg,O,,69,60.000000000000000000000000000000
A05AA02,g,O,,82,0.750000000000000000000000000000
A06AA01,g,O,,83,15.000000000000000000000000000000
A06AA02,g,O,,84,0.150000000000000000000000000000
A06AB01,mg,O,,85,10.000000000000000000000000000000
A06AB03,mg,O,,87,50.000000000000000000000000000000
A06AB04,g,O,,88,0.200000000000000000000000000000
A06AB05,g,O,,89,20.000000000000000000000000000000
A06AB08,mg,O,,90,5.000000000000000000000000000000
A06AB09,g,O,,91,0.120000000000000000000000000000
A06AC01,g,O,,92,7.000000000000000000000000000000
A06AC02,g,O,,93,3.000000000000000000000000000000
A06AC03,g,O,,94,8.000000000000000000000000000000
A06AC06,g,O,,95,2.000000000000000000000000000000
A06AC07,g,O,,96,10.000000000000000000000000000000
A06AC08,g,O,,97,2.500000000000000000000000000000
A06AD01,g,O,,98,7.000000000000000000000000000000
A06AD02,g,O,,99,7.000000000000000000000000000000
A06AD04,g,O,,100,7.000000000000000000000000000000
A06AD11,g,O,,101,6.700000000000000000000000000000
A06AD12,g,O,,102,10.000000000000000000000000000000
A06AD15,g,O,,103,10.000000000000000000000000000000
A06AD17,g,O,,104,50.000000000000000000000000000000
A06AD18,g,O,,105,10.000000000000000000000000000000
A06AH01,mg,P,,106,6.000000000000000000000000000000
A07AA01,g,O,,107,5.000000000000000000000000000000
A07AA02,MU,O,,108,1.500000000000000000000000000000
A07AA03,g,O,,109,0.300000000000000000000000000000
A07AA05,MU,O,,110,3.000000000000000000000000000000
A07AA06,g,O,,111,3.000000000000000000000000000000
A07AA07,g,O,,112,0.400000000000000000000000000000
A07AA09,g,O,,113,2.000000000000000000000000000000
A07AB02,g,O,,114,9.000000000000000000000000000000
A07AB03,g,O,,115,4.000000000000000000000000000000
A07AC01,g,O,,116,1.000000000000000000000000000000
A07AX03,g,O,,117,0.600000000000000000000000000000
A07BA01,g,O,,118,5.000000000000000000000000000000
A07BC05,g,O,,119,9.000000000000000000000000000000
A07DA01,mg,O,,120,15.000000000000000000000000000000
A07DA02,g,O,,121,0.100000000000000000000000000000
A07DA03,mg,O,,122,10.000000000000000000000000000000
A07DA05,mg,O,,123,5.000000000000000000000000000000
A07EA06,mg,O,,124,9.000000000000000000000000000000
A07EB01,g,O,,125,0.800000000000000000000000000000
A07EC03,g,O,,128,1.000000000000000000000000000000
A07EC04,g,O,,129,6.750000000000000000000000000000
A07FA02,g,O,,130,1.000000000000000000000000000000
A07XA01,g,O,,131,3.000000000000000000000000000000
A08AA01,mg,O,,132,15.000000000000000000000000000000
A08AA02,g,O,,133,0.120000000000000000000000000000
A08AA03,mg,O,,134,75.000000000000000000000000000000
A08AA04,mg,O,,135,30.000000000000000000000000000000
A08AA05,mg,O,,136,1.000000000000000000000000000000
A08AA10,mg,O,,137,10.000000000000000000000000000000
A08AB01,g,O,,138,0.360000000000000000000000000000
A09AB01,g,O,,140,1.500000000000000000000000000000
A09AB02,g,O,,141,1.000000000000000000000000000000
A09AB04,g,O,,142,2.000000000000000000000000000000
A10AD01,U,P,,155,40.000000000000000000000000000000
A10AD02,U,P,,156,40.000000000000000000000000000000
A10AD03,U,P,,157,40.000000000000000000000000000000
A10AD05,U,P,,158,40.000000000000000000000000000000
A10AD30,U,P,,159,40.000000000000000000000000000000
A10AE01,U,P,,160,40.000000000000000000000000000000
A10AE02,U,P,,161,40.000000000000000000000000000000
A10AE03,U,P,,162,40.000000000000000000000000000000
A10AE04,U,P,,163,40.000000000000000000000000000000
A10AE05,U,P,,164,40.000000000000000000000000000000
A10AE30,U,P,,165,40.000000000000000000000000000000
A10BA01,g,O,,167,0.100000000000000000000000000000
A10BA02,g,O,,168,2.000000000000000000000000000000
A10BA03,g,O,,169,0.200000000000000000000000000000
A10BB03,g,O,,172,1.500000000000000000000000000000
A10BB04,mg,O,,173,38.000000000000000000000000000000
A10BB05,g,O,,174,0.500000000000000000000000000000
A10BB06,g,O,,175,0.750000000000000000000000000000
A10BB07,mg,O,,176,10.000000000000000000000000000000
A10BB08,mg,O,,177,60.000000000000000000000000000000
