id,city,distance,hotelNames,location,rate,reviewNumbers
30, Kuala Lumpur,"3.7 miles from center","Space Hotel @ Chinatown Kuala Lumpur", Kuala Lumpur, Awesome ," 1,321 reviews "
31," Brickfields, Kuala Lumpur","1 miles from center","Royce Hotel @ KL Sentral"," Brickfields, Kuala Lumpur", Good , 185 reviews
32," Ampang, Kuala Lumpur","3.1 miles from center","Arte Plus By FIFI Serviced Suite KLCC"," Ampang, Kuala Lumpur", Review score , 783 reviews
33," Downtown Kuala Lumpur, Kuala Lumpur","1.7 miles from center","Four Seasons Hotel Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Awesome , 650 reviews
34," Brickfields, Kuala Lumpur","2.8 miles from center","Hotel Sentral @ KL Sentral Station"," Brickfields, Kuala Lumpur", Good ," 4,394 reviews "
35," Bukit Bintang, Kuala Lumpur","2,800 feet from center","Swiss-Garden Hotel Bukit Bintang Kuala Lumpur"," Bukit Bintang, Kuala Lumpur", Excellent , 389 reviews
36," Downtown Kuala Lumpur, Kuala Lumpur","2.1 miles from center","Grand Hyatt Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Awesome ," 2,896 reviews "
37," Bukit Bintang, Kuala Lumpur","0.7 miles from center","Dorsett Kuala Lumpur"," Bukit Bintang, Kuala Lumpur", Very Good ," 3,633 reviews "
38," Mid Valley, Kuala Lumpur","3.1 miles from center","OYO 193 City Kuchai Hotel"," Mid Valley, Kuala Lumpur", Good , 105 reviews
39," Downtown Kuala Lumpur, Kuala Lumpur","1,800 feet from center","Traders Hotel Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Excellent ," 4,379 reviews "
40," Downtown Kuala Lumpur, Kuala Lumpur","0.7 miles from center","Premium suites in KLCC area"," Downtown Kuala Lumpur, Kuala Lumpur", Exceptional , 45 reviews
41," Bukit Bintang, Kuala Lumpur","4.3 miles from center","The Suites @ Times Square"," Bukit Bintang, Kuala Lumpur", Very Good , 358 reviews
42, Kuala Lumpur,"2,800 feet from center","OYO Home 44047 Extraordinary 1br Rev.o Bukit Jalil", Kuala Lumpur, Awesome , 56 reviews
43," Bukit Bintang, Kuala Lumpur","2,150 feet from center","Bintang Warisan Hotel"," Bukit Bintang, Kuala Lumpur", Very Good ," 1,019 reviews "
44, Kuala Lumpur,"0.8 miles from center","Worldview Grand Hotel", Kuala Lumpur, Good , 515 reviews
45," Bukit Bintang, Kuala Lumpur","3.1 miles from center","PARKROYAL Kuala Lumpur"," Bukit Bintang, Kuala Lumpur", Very Good ," 3,717 reviews "
46," Downtown Kuala Lumpur, Kuala Lumpur","7.5 miles from center","PNB Perdana Hotel & Suites On The Park"," Downtown Kuala Lumpur, Kuala Lumpur", Very Good ," 2,866 reviews "
47," Golden Triangle, Kuala Lumpur","0.6 miles from center","W Hotel @ Masjid Jamek"," Golden Triangle, Kuala Lumpur", Good , 414 reviews
48," Downtown Kuala Lumpur, Kuala Lumpur","3.1 miles from center","Oakwood Hotel and Residence Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Excellent ," 2,259 reviews "
49," Bukit Bintang, Kuala Lumpur","3.1 miles from center","OYO 1003 Rich Calton Hotel"," Bukit Bintang, Kuala Lumpur", Review score , 244 reviews
50, Kuala Lumpur,"5 miles from center","OYO 843 My Home Hotel Taman Connaught", Kuala Lumpur, Review score , 90 reviews
51, Kuala Lumpur,"5.6 miles from center","Silka Cheras Kuala Lumpur", Kuala Lumpur, Good ," 2,543 reviews "
52," Bukit Bintang, Kuala Lumpur","3.1 miles from center","Victoria Home Robertson"," Bukit Bintang, Kuala Lumpur", Very Good , 520 reviews
53," Downtown Kuala Lumpur, Kuala Lumpur","0.7 miles from center","Somerset Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Excellent , 772 reviews
54," Pudu, Kuala Lumpur","3.1 miles from center","H Boutique Hotel Xplorer Loke Yew"," Pudu, Kuala Lumpur", Awesome , 114 reviews
55," Chow Kit, Kuala Lumpur","1.1 miles from center","Tune Hotel Kuala Lumpur - PWTC"," Chow Kit, Kuala Lumpur", Good , 738 reviews
56, Kuala Lumpur,"1.6 miles from center","OYO 552 Hotel KL Centre Point", Kuala Lumpur, Review score , 133 reviews
57," Bukit Bintang, Kuala Lumpur","1.2 miles from center","Lanson Place Bukit Ceylon Serviced Residences"," Bukit Bintang, Kuala Lumpur", Awesome , 892 reviews
58," Bukit Bintang, Kuala Lumpur","1.1 miles from center","Hotel Ambassador"," Bukit Bintang, Kuala Lumpur", Review score , 363 reviews
59," Chow Kit, Kuala Lumpur","3.1 miles from center","OYO 506 Mah Lanu 2"," Chow Kit, Kuala Lumpur", Good , 83 reviews
60," Chow Kit, Kuala Lumpur","2,800 feet from center","Premiera Hotel Kuala Lumpur"," Chow Kit, Kuala Lumpur", Very Good , 585 reviews
61," Downtown Kuala Lumpur, Kuala Lumpur","3,100 feet from center","Ascott Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Excellent ," 1,433 reviews "
62, Kuala Lumpur,"3.1 miles from center","SEASON POINT HOTEL", Kuala Lumpur, Very Good , 200 reviews
63," Bukit Bintang, Kuala Lumpur","1.1 miles from center","Bukit Bintang Suite At Times Square"," Bukit Bintang, Kuala Lumpur", Very Good ," 1,061 reviews "
64," Pudu, Kuala Lumpur","0.9 miles from center","Days Hotel & Suites by Wyndham Fraser Business Park KL"," Pudu, Kuala Lumpur", Very Good , 60 reviews
65," KL Sentral Train Station, Kuala Lumpur","1,150 feet from center","Hilton Kuala Lumpur"," KL Sentral Train Station, Kuala Lumpur", Excellent ," 3,795 reviews "
66," Bukit Bintang, Kuala Lumpur","1 miles from center","Hotel Pudu Plaza Kuala Lumpur"," Bukit Bintang, Kuala Lumpur", Good , 817 reviews
67," Brickfields, Kuala Lumpur","3.1 miles from center","ZEN Rooms KL Sentral"," Brickfields, Kuala Lumpur", Good , 586 reviews
68," Brickfields, Kuala Lumpur","0.9 miles from center","The Establishment (EST) KL Sentral by Plush"," Brickfields, Kuala Lumpur", Very Good , 161 reviews
69," Bukit Bintang, Kuala Lumpur","3.1 miles from center","Marhaban Service Suite @ Times Square KL"," Bukit Bintang, Kuala Lumpur", Good , 23 reviews
70," Bukit Bintang, Kuala Lumpur","1.8 miles from center","Greystone Haus D Majestic Place"," Bukit Bintang, Kuala Lumpur", Good ," 1,023 reviews "
71," Bukit Bintang, Kuala Lumpur","3.1 miles from center","Friends Perk Hostel"," Bukit Bintang, Kuala Lumpur", Excellent , 205 reviews
72, Kuala Lumpur,"2 miles from center","Sofitel Kuala Lumpur Damansara", Kuala Lumpur, Excellent , 872 reviews
73," Brickfields, Kuala Lumpur","3.1 miles from center","CITI HOTEL @ KL SENTRAL"," Brickfields, Kuala Lumpur", Good ," 1,166 reviews "
74," Downtown Kuala Lumpur, Kuala Lumpur","1.2 miles from center","OYO Home 853 Premium 1BR Parkview"," Downtown Kuala Lumpur, Kuala Lumpur", Review score , 12 reviews
75, Kuala Lumpur,"4.3 miles from center","A&R Boutique Hotel", Kuala Lumpur, Excellent , 395 reviews
76," Bukit Bintang, Kuala Lumpur","3.1 miles from center","JW Marriott Hotel, Kuala Lumpur"," Bukit Bintang, Kuala Lumpur", Awesome ," 2,123 reviews "
77," Bukit Bintang, Kuala Lumpur","3,100 feet from center","Ceria Hotel"," Bukit Bintang, Kuala Lumpur", Very Good ," 1,147 reviews "
78," Golden Triangle, Kuala Lumpur","3.1 miles from center","Silka Maytower Kuala Lumpur"," Golden Triangle, Kuala Lumpur", Good ," 1,752 reviews "
79," Golden Triangle, Kuala Lumpur","0.9 miles from center","Citin Hotel Masjid Jamek by Compass Hospitality"," Golden Triangle, Kuala Lumpur", Good ," 1,369 reviews "
80," Bukit Bintang, Kuala Lumpur","0.7 miles from center","OYO 390 Mayview Glory Hotel"," Bukit Bintang, Kuala Lumpur", Good , 313 reviews
81," Ampang, Kuala Lumpur","0.8 miles from center","Arte Plus by Cobnb KLCC"," Ampang, Kuala Lumpur", Very Good , 296 reviews
82," Sri Hartamas, Kuala Lumpur","0.8 miles from center","Damas Suites & Residences Kuala Lumpur"," Sri Hartamas, Kuala Lumpur", Good ," 1,264 reviews "
83," Bukit Bintang, Kuala Lumpur","3.1 miles from center","PARKROYAL Serviced Suites Kuala Lumpur"," Bukit Bintang, Kuala Lumpur", Very Good ," 3,061 reviews "
84," Pudu, Kuala Lumpur","2.8 miles from center","Vivatel Kuala Lumpur"," Pudu, Kuala Lumpur", Very Good , 865 reviews
85," KL Sentral Train Station, Kuala Lumpur","3.1 miles from center","Le Meridien Kuala Lumpur"," KL Sentral Train Station, Kuala Lumpur", Awesome ," 1,547 reviews "
86," Downtown Kuala Lumpur, Kuala Lumpur","1,950 feet from center","E&O Residences Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Very Good ," 2,128 reviews "
87," Bukit Bintang, Kuala Lumpur","3.1 miles from center","OYO Home 1020 Comfy 1BR Casa Mutiara"," Bukit Bintang, Kuala Lumpur", Good , 27 reviews
88, Kuala Lumpur,"2.4 miles from center","Reggae Mansion Hostel Kuala Lumpur", Kuala Lumpur, Very Good , 330 reviews
89, Kuala Lumpur,"2 miles from center","OYO 531 Good Eight Hotel", Kuala Lumpur, Good , 85 reviews
90," Bukit Bintang, Kuala Lumpur","3.1 miles from center","Pullman Kuala Lumpur City Centre Hotel & Residences"," Bukit Bintang, Kuala Lumpur", Very Good ," 3,404 reviews "
91," Bukit Bintang, Kuala Lumpur","1,650 feet from center","ALPHA Service Suite at Times Square K.L"," Bukit Bintang, Kuala Lumpur", Good , 56 reviews
92," Bukit Bintang, Kuala Lumpur","3.1 miles from center","Comfort Service Apartment At Times Square"," Bukit Bintang, Kuala Lumpur", Good , 107 reviews
93," Downtown Kuala Lumpur, Kuala Lumpur","0.8 miles from center","Getaway Suite by Asiapex"," Downtown Kuala Lumpur, Kuala Lumpur", Excellent , 201 reviews
94," Bukit Bintang, Kuala Lumpur","3.1 miles from center","Travelodge Bukit Bintang"," Bukit Bintang, Kuala Lumpur", Very Good ," 1,762 reviews "
95," Downtown Kuala Lumpur, Kuala Lumpur","0.8 miles from center","The RuMa Hotel and Residences"," Downtown Kuala Lumpur, Kuala Lumpur", Exceptional , 706 reviews
96, Kuala Lumpur,"5.6 miles from center","OYO 188 YP Wangsa Hotel", Kuala Lumpur, Review score , 85 reviews
97," Bukit Bintang, Kuala Lumpur","2,950 feet from center","21 Capsule Hotel Bukit Bintang"," Bukit Bintang, Kuala Lumpur", Very Good , 708 reviews
98, Kuala Lumpur,"0.9 miles from center","Vistana Kuala Lumpur Titiwangsa", Kuala Lumpur, Very Good ," 3,921 reviews "
99," Downtown Kuala Lumpur, Kuala Lumpur","3.1 miles from center","Novotel Kuala Lumpur City Centre"," Downtown Kuala Lumpur, Kuala Lumpur", Good , 918 reviews
0," Marina Bay, Singapore","0.8 miles from center","Marina Bay Sands"," Marina Bay, Singapore", Excellent ," 30,574 reviews "
1," River Valley, Singapore","3.1 miles from center","Park Avenue Robertson"," River Valley, Singapore", Excellent , 90 reviews
2," Orchard, Singapore","0.8 miles from center","Le Grove Serviced Residences"," Orchard, Singapore", Very Good ," 1,301 reviews "
3," Orchard, Singapore","3.1 miles from center","Orchard Grand Court"," Orchard, Singapore", Excellent ," 1,092 reviews "
4," Changi, Singapore","2.4 miles from center","Aerotel Transit Hotel, Terminal 1"," Changi, Singapore", Very Good ," 4,104 reviews "
5," Clarke Quay, Singapore","1.1 miles from center","Somerset Liang Court Singapore"," Clarke Quay, Singapore", Excellent ," 1,988 reviews "
6," Sentosa Island, Singapore","3.1 miles from center","Village Hotel Sentosa by Far East Hospitality"," Sentosa Island, Singapore", Excellent , 855 reviews
7," Orchard, Singapore","10.6 miles from center","Grand Hyatt Singapore"," Orchard, Singapore", Excellent ," 1,800 reviews "
8," Orchard, Singapore","2,800 feet from center","Treetops Executive Residences"," Orchard, Singapore", Awesome , 907 reviews
9," Orchard, Singapore","3.1 miles from center","Orchard Parksuites by Far East Hospitality"," Orchard, Singapore", Very Good , 242 reviews
10," Robertson Quay, Singapore","3.1 miles from center","Park Avenue Clemenceau"," Robertson Quay, Singapore", Excellent , 635 reviews
11," Robertson Quay, Singapore","1.7 miles from center","Fraser Place Robertson Walk Singapore"," Robertson Quay, Singapore", Excellent , 354 reviews
12," Orchard, Singapore","3.1 miles from center","Mandarin Orchard Singapore"," Orchard, Singapore", Very Good ," 5,138 reviews "
13," Sentosa Island, Singapore","2.1 miles from center","Resorts World Sentosa - Equarius Hotel"," Sentosa Island, Singapore", Very Good , 935 reviews
14," River Valley, Singapore","1.6 miles from center","Fraser Suites Singapore"," River Valley, Singapore", Excellent , 211 reviews
15," Bugis, Singapore","3.1 miles from center","Pan Pacific Serviced Suites Beach Road"," Bugis, Singapore", Awesome ," 2,187 reviews "
16," Novena, Singapore","0.7 miles from center","Citadines Balestier"," Novena, Singapore", Excellent , 64 reviews
17," Sentosa Island, Singapore","3.1 miles from center","Resorts World Sentosa - Festive Hotel"," Sentosa Island, Singapore", Good ," 1,677 reviews "
18," Lavender, Singapore","0.7 miles from center","PARKROYAL on Kitchener Road"," Lavender, Singapore", Good ," 2,513 reviews "
19," Bukit Merah, Singapore","3.1 miles from center","Travelodge Harbourfront Singapore"," Bukit Merah, Singapore", Very Good ," 1,266 reviews "
20," Marina Bay, Singapore","1.4 miles from center","Pan Pacific Singapore"," Marina Bay, Singapore", Awesome ," 6,521 reviews "
21," Orchard, Singapore","3.1 miles from center","Greatwood Residence at Devonshire"," Orchard, Singapore", Very Good , 135 reviews
22," Sentosa Island, Singapore","3.1 miles from center","Shangri-La's Rasa Sentosa Resort & Spa"," Sentosa Island, Singapore", Excellent ," 2,516 reviews "
23," Chinatown, Singapore","1.7 miles from center","Dorsett Singapore"," Chinatown, Singapore", Very Good ," 1,726 reviews "
24," City Hall, Singapore","0.8 miles from center","Carlton Hotel Singapore"," City Hall, Singapore", Excellent ," 5,378 reviews "
25," Bugis, Singapore","0.8 miles from center","Pan Pacific Serviced Suites Beach Road"," Bugis, Singapore", Awesome ," 2,187 reviews "
26," Novena, Singapore","3.1 miles from center","Citadines Balestier"," Novena, Singapore", Excellent , 64 reviews
27," Sentosa Island, Singapore","2.1 miles from center","Resorts World Sentosa - Festive Hotel"," Sentosa Island, Singapore", Good ," 1,677 reviews "
28," Lavender, Singapore","3.1 miles from center","PARKROYAL on Kitchener Road"," Lavender, Singapore", Good ," 2,513 reviews "
29," Bukit Merah, Singapore","1.5 miles from center","Travelodge Harbourfront Singapore"," Bukit Merah, Singapore", Very Good ," 1,266 reviews "
30," Marina Bay, Singapore","3.1 miles from center","Pan Pacific Singapore"," Marina Bay, Singapore", Awesome ," 6,521 reviews "
31," Orchard, Singapore","2.6 miles from center","Greatwood Residence at Devonshire"," Orchard, Singapore", Very Good , 135 reviews
32," Sentosa Island, Singapore","3.1 miles from center","Shangri-La's Rasa Sentosa Resort & Spa"," Sentosa Island, Singapore", Excellent ," 2,516 reviews "
33," Chinatown, Singapore","2,600 feet from center","Dorsett Singapore"," Chinatown, Singapore", Very Good ," 1,726 reviews "
34," City Hall, Singapore","3.1 miles from center","Carlton Hotel Singapore"," City Hall, Singapore", Excellent ," 5,378 reviews "
35," Orchard, Singapore","1.1 miles from center","Shangri-La Hotel Singapore"," Orchard, Singapore", Awesome ," 2,486 reviews "
36," Chinatown, Singapore","3.1 miles from center","Capri by Fraser China Square, Singapore"," Chinatown, Singapore", Awesome , 109 reviews
37," Sentosa Island, Singapore","3.1 miles from center","Resorts World Sentosa - Hard Rock Hotel"," Sentosa Island, Singapore", Good ," 1,165 reviews "
38," Sentosa Island, Singapore","1.1 miles from center","Capella Singapore"," Sentosa Island, Singapore", Excellent , 692 reviews
39," Kampong Glam, Singapore","3.1 miles from center","Santa Grand Hotel Bugis"," Kampong Glam, Singapore", Good , 211 reviews
40," Chinatown, Singapore","1,950 feet from center","Parkroyal on Pickering"," Chinatown, Singapore", Awesome ," 4,151 reviews "
41," Chinatown, Singapore","3.1 miles from center","The Scarlet Singapore"," Chinatown, Singapore", Very Good ," 1,048 reviews "
42," Robertson Quay, Singapore","2.3 miles from center","M Social Singapore"," Robertson Quay, Singapore", Very Good ," 2,962 reviews "
43," Sentosa Island, Singapore","2,950 feet from center","Amara Sanctuary Resort Sentosa"," Sentosa Island, Singapore", Good ," 1,314 reviews "
44," City Hall, Singapore","3.1 miles from center","lyf Funan Singapore by Ascott"," City Hall, Singapore", Excellent , 189 reviews
45," Bukit Merah, Singapore","3.1 miles from center","Park Hotel Alexandra"," Bukit Merah, Singapore", Very Good ," 1,154 reviews "
46," Marina Bay, Singapore","3.1 miles from center","The Fullerton Hotel Singapore"," Marina Bay, Singapore", Awesome ," 2,286 reviews "
47," Orchard, Singapore","1.1 miles from center","Far East Plaza Residences by Far East Hospitality"," Orchard, Singapore", Good , 135 reviews
48," Changi, Singapore","3.1 miles from center","Crowne Plaza Changi Airport"," Changi, Singapore", Awesome ," 5,328 reviews "
49," Orchard, Singapore","2,800 feet from center","Hotel Jen Tanglin Singapore by Shangri-La"," Orchard, Singapore", Very Good ," 1,757 reviews "
50," Novena, Singapore","2 miles from center","Hotel Royal"," Novena, Singapore", Good , 706 reviews
51," Orchard, Singapore","3.1 miles from center","Fraser Residence Orchard Singapore"," Orchard, Singapore", Excellent , 29 reviews
52," Orchard, Singapore","1.7 miles from center","Grand Park Orchard"," Orchard, Singapore", Very Good , 948 reviews
53," Sentosa Island, Singapore","3.1 miles from center","W Singapore - Sentosa Cove"," Sentosa Island, Singapore", Excellent ," 1,315 reviews "
54," Orchard, Singapore","1.4 miles from center","Orchard Hotel Singapore"," Orchard, Singapore", Very Good ," 2,493 reviews "
55," City Hall, Singapore","3.1 miles from center","Swissotel The Stamford"," City Hall, Singapore", Excellent ," 3,887 reviews "
56," Orchard, Singapore","3.1 miles from center","Royal Plaza on Scotts"," Orchard, Singapore", Excellent ," 4,210 reviews "
57," Farrer Park, Singapore","2.1 miles from center","Park Hotel Farrer Park"," Farrer Park, Singapore", Very Good ," 1,451 reviews "
58," Kampong Glam, Singapore","1,150 feet from center","Village Hotel Bugis by Far East Hospitality"," Kampong Glam, Singapore", Good ," 4,744 reviews "
59," Orchard, Singapore","3.1 miles from center","YOTEL Singapore Orchard Road"," Orchard, Singapore", Excellent ," 8,407 reviews "
60," Orchard, Singapore","1.8 miles from center","Hotel Chancellor@Orchard"," Orchard, Singapore", Good ," 2,576 reviews "
61," Chinatown, Singapore","3.1 miles from center","Oasia Hotel Downtown, Singapore by Far East Hospitality"," Chinatown, Singapore", Excellent ," 2,066 reviews "
62," Changi, Singapore","1.5 miles from center","Capri by Fraser Changi City, Singapore"," Changi, Singapore", Excellent ," 1,692 reviews "
63," Changi, Singapore","3.1 miles from center","Village Hotel Changi by Far East Hospitality"," Changi, Singapore", Very Good ," 6,446 reviews "
64," Shenton Way, Singapore","0.9 miles from center","Amara Singapore"," Shenton Way, Singapore", Very Good ," 1,782 reviews "
65," Marina Bay, Singapore","3.1 miles from center","The Business Suite"," Marina Bay, Singapore", Very Good , 215 reviews
66," Orchard, Singapore","1.9 miles from center","Regent Singapore"," Orchard, Singapore", Excellent , 774 reviews
67," City Hall, Singapore","3.1 miles from center","Fairmont Singapore"," City Hall, Singapore", Awesome ," 1,943 reviews "
68," Orchard, Singapore","1.1 miles from center","Ascott Orchard Singapore"," Orchard, Singapore", Excellent , 977 reviews
69," Novena, Singapore","3.1 miles from center","Ramada by Wyndham Singapore at Zhongshan Park"," Novena, Singapore", Very Good ," 1,252 reviews "
70," Lavender, Singapore","1.1 miles from center","Parc Sovereign Hotel - Tyrwhitt"," Lavender, Singapore", Good ," 2,727 reviews "
71," Orchard, Singapore","3.1 miles from center","Orchard Scotts Residences by Far East Hospitality"," Orchard, Singapore", Very Good , 116 reviews
72," Clarke Quay, Singapore","8.1 miles from center","Park Regis Singapore"," Clarke Quay, Singapore", Very Good ," 2,641 reviews "
73," Clarke Quay, Singapore","3.1 miles from center","Village Residence Clarke Quay by Far East Hospitality"," Clarke Quay, Singapore", Excellent , 225 reviews
74," Sentosa Island, Singapore","11.2 miles from center","Sofitel Singapore Sentosa Resort & Spa"," Sentosa Island, Singapore", Very Good ," 1,013 reviews "
75," Orchard, Singapore","1.9 miles from center","8 on Claymore Serviced Residences - By Royal Plaza on Scotts"," Orchard, Singapore", Awesome , 185 reviews
76," Orchard, Singapore","3.1 miles from center","Alocassia Serviced Apartments"," Orchard, Singapore", Excellent , 169 reviews
77," Bugis, Singapore","2.7 miles from center","Andaz Singapore – A Concept by Hyatt"," Bugis, Singapore", Awesome ," 1,585 reviews "
78," Sentosa Island, Singapore","3.1 miles from center","Resorts World Sentosa - Hotel Michael"," Sentosa Island, Singapore", Very Good , 911 reviews
79," Robertson Quay, Singapore","0.8 miles from center","Studio M Hotel"," Robertson Quay, Singapore", Good ," 4,549 reviews "
80," Orchard, Singapore","3.1 miles from center","Singapore Marriott Tang Plaza Hotel"," Orchard, Singapore", Very Good , 431 reviews
81," Orchard, Singapore","3.1 miles from center","Winsland Serviced Suites by Lanson Place"," Orchard, Singapore", Excellent , 177 reviews
82," Singapore River, Singapore","0.9 miles from center","Holiday Inn Singapore Atrium"," Singapore River, Singapore", Very Good ," 1,005 reviews "
83," Bencoolen, Singapore","1.7 miles from center","Hotel G Singapore"," Bencoolen, Singapore", Very Good ," 6,736 reviews "
84," Katong, Singapore","3.1 miles from center","Hotel Indigo Singapore Katong"," Katong, Singapore", Awesome ," 1,667 reviews "
85," Robertson Quay, Singapore","1 miles from center","Great World Serviced Apartments"," Robertson Quay, Singapore", Excellent , 79 reviews
86," Shenton Way, Singapore","3.1 miles from center","M Hotel Singapore"," Shenton Way, Singapore", Very Good ," 2,223 reviews "
87," City Hall, Singapore","1.2 miles from center","The Capitol Kempinski Hotel Singapore"," City Hall, Singapore", Awesome , 463 reviews
88," Novena, Singapore","0.7 miles from center","Oasia Hotel Novena, Singapore by Far East Hospitality"," Novena, Singapore", Very Good ," 2,373 reviews "
89," Novena, Singapore","3.1 miles from center","Days Hotel by Wyndham Singapore at Zhongshan Park"," Novena, Singapore", Very Good ," 1,740 reviews "
90," Bugis, Singapore","3.7 miles from center","InterContinental Singapore"," Bugis, Singapore", Excellent ," 1,038 reviews "
91," Downtown Singapore, Singapore","1.5 miles from center","Thanksgiving Serviced Residence"," Downtown Singapore, Singapore", Excellent , 310 reviews
92," Orchard, Singapore","1.3 miles from center","Quincy Hotel by Far East Hospitality"," Orchard, Singapore", Awesome ," 1,337 reviews "
93," Dhoby Ghaut, Singapore","3.1 miles from center","Ji Hotel Orchard Singapore"," Dhoby Ghaut, Singapore", Excellent , 27 reviews
94," Robertson Quay, Singapore","1,150 feet from center","InterContinental Singapore Robertson Quay"," Robertson Quay, Singapore", Excellent , 598 reviews
95," Clarke Quay, Singapore","3.1 miles from center","Novotel Clarke Quay"," Clarke Quay, Singapore", Very Good ," 3,136 reviews "
96," Orchard, Singapore","2.1 miles from center","Hotel Grand Central"," Orchard, Singapore", Good ," 1,122 reviews "
97," Orchard, Singapore","3.1 miles from center","Hilton Singapore"," Orchard, Singapore", Good , 688 reviews
98," Kallang, Singapore","2.5 miles from center","Destination Singapore Beach Road"," Kallang, Singapore", Very Good ," 7,631 reviews "
99," Robertson Quay, Singapore","0.6 miles from center","Grand Copthorne Waterfront"," Robertson Quay, Singapore", Very Good ," 2,033 reviews "
0," Barsha Heights (Tecom) , Dubai","8.7 miles from center","Atana Hotel"," Barsha Heights (Tecom) , Dubai",dubai," 16,958 reviews "
1," Jumeirah Beach Residence, Dubai","3.1 miles from center","Sonder — JBR Suites"," Jumeirah Beach Residence, Dubai",dubai, 23 reviews
2," Barsha Heights (Tecom) , Dubai","3.1 miles from center","Signature 1 Hotel Tecom"," Barsha Heights (Tecom) , Dubai",dubai," 2,619 reviews "
3," Business Bay, Dubai","11.2 miles from center","Park Regis Business Bay"," Business Bay, Dubai",dubai, 104 reviews
4," Bur Dubai, Dubai","3.1 miles from center","Queen Elizabeth 2 Hotel"," Bur Dubai, Dubai",dubai," 2,842 reviews "
5," Dubai Investment Park, Dubai","8.7 miles from center","Premier Inn Dubai Investments Park"," Dubai Investment Park, Dubai",dubai," 2,128 reviews "
6," Dubai Marina, Dubai","3.1 miles from center","Dusit Residence Apartments - Key One Homes"," Dubai Marina, Dubai",dubai, 381 reviews
7," Al Barsha, Dubai","1 miles from center","Millennium Al Barsha"," Al Barsha, Dubai",dubai, 341 reviews
8," Jumeirah Beach Residence, Dubai","3.1 miles from center","Roda Amwaj Suites Jumeirah Beach Residence"," Jumeirah Beach Residence, Dubai",dubai," 7,250 reviews "
9," Barsha Heights (Tecom) , Dubai","4.3 miles from center","Millennium Place Barsha Heights Hotel"," Barsha Heights (Tecom) , Dubai",dubai, 100 reviews
10," Deira, Dubai","3.1 miles from center","City Seasons Hotel Dubai"," Deira, Dubai",dubai," 1,553 reviews "
11," Business Bay, Dubai","14.3 miles from center","Millennium Atria Business Bay"," Business Bay, Dubai",dubai, 823 reviews
12, Dubai,"11.2 miles from center","Five Jumeirah Village", Dubai,dubai," 1,334 reviews "
13," Barsha Heights (Tecom) , Dubai","3.1 miles from center","Millennium Place Barsha Heights Hotel Apartments"," Barsha Heights (Tecom) , Dubai",dubai, 32 reviews
14," Trade Center Area, Dubai","3.1 miles from center","Carlton Downtown Hotel"," Trade Center Area, Dubai",dubai," 3,158 reviews "
15," Bur Dubai, Dubai","6.8 miles from center","City Seasons Towers Hotel Bur Dubai"," Bur Dubai, Dubai",dubai," 2,545 reviews "
16," Al Barsha, Dubai","3.1 miles from center","Sheraton Mall of the Emirates Hotel, Dubai"," Al Barsha, Dubai",dubai," 3,298 reviews "
17," Trade Center Area, Dubai","11.8 miles from center","Roda Al Murooj Residences"," Trade Center Area, Dubai",dubai, 222 reviews
18," Barsha Heights (Tecom) , Dubai","3.1 miles from center","Media Rotana Dubai"," Barsha Heights (Tecom) , Dubai",dubai," 2,644 reviews "
19," Al Barsha, Dubai","9.3 miles from center","Citymax Hotel Al Barsha at the Mall"," Al Barsha, Dubai",dubai," 3,468 reviews "
20," Trade Center Area, Dubai","3.1 miles from center","Novotel World Trade Centre Dubai"," Trade Center Area, Dubai",dubai," 4,247 reviews "
21," Bur Dubai, Dubai","5.6 miles from center","Grayton Hotel"," Bur Dubai, Dubai",dubai, 360 reviews
22," Palm Jumeirah, Dubai","3.1 miles from center","C Central Resort The Palm"," Palm Jumeirah, Dubai",dubai, 166 reviews
23," Al Barsha, Dubai","1.2 miles from center","Ibis Al Barsha"," Al Barsha, Dubai",dubai," 3,617 reviews "
24, Dubai,"9.9 miles from center","The S Hotel Al Barsha", Dubai,dubai, 868 reviews
25," Bur Dubai, Dubai","4.3 miles from center","City Seasons Towers Hotel Bur Dubai"," Bur Dubai, Dubai",dubai," 2,545 reviews "
26," Al Barsha, Dubai","3.1 miles from center","Sheraton Mall of the Emirates Hotel, Dubai"," Al Barsha, Dubai",dubai," 3,298 reviews "
27," Trade Center Area, Dubai","6.2 miles from center","Roda Al Murooj Residences"," Trade Center Area, Dubai",dubai, 222 reviews
28," Barsha Heights (Tecom) , Dubai","3.1 miles from center","Media Rotana Dubai"," Barsha Heights (Tecom) , Dubai",dubai," 2,644 reviews "
29," Al Barsha, Dubai","3.1 miles from center","Citymax Hotel Al Barsha at the Mall"," Al Barsha, Dubai",dubai," 3,468 reviews "
30," Trade Center Area, Dubai","0.6 miles from center","Novotel World Trade Centre Dubai"," Trade Center Area, Dubai",dubai," 4,247 reviews "
