id,city,distance,hotelNames,location,rate,reviewNumbers
53," Besiktas, Istanbul","2,150 feet from center","The Stay Bosphorus"," Besiktas, Istanbul", Awesome , 419 reviews
54," Sisli, Istanbul","3.7 miles from center","The Stay Nisantasi"," Sisli, Istanbul", Awesome , 381 reviews
55," Asian Side, Istanbul","3 miles from center","ISG Sabiha Gökçen Airport Hotel"," Asian Side, Istanbul", Excellent ," 4,239 reviews "
56," Beyoglu, Istanbul","18.6 miles from center","Hotel Naumpasa Konagi"," Beyoglu, Istanbul", Excellent , 642 reviews
57," Fatih, Istanbul","1.9 miles from center","Alpinn Hotel - Special Category"," Fatih, Istanbul", Very Good , 263 reviews
58," Fatih, Istanbul","3.1 miles from center","Innova Sultanahmet Istanbul"," Fatih, Istanbul", Very Good , 651 reviews
59," Fatih, Istanbul","2,450 feet from center","Ottoman Hotel Imperial-Special Category"," Fatih, Istanbul", Very Good , 117 reviews
60," Fatih, Istanbul","1,000 feet from center","Azade Hotel"," Fatih, Istanbul", Very Good , 958 reviews
61," Kagithane, Istanbul","1,500 feet from center","Mövenpick Hotel Istanbul"," Kagithane, Istanbul", Very Good ," 1,088 reviews "
62," Sisli, Istanbul","2,150 feet from center","Arcade Hotel Istanbul"," Sisli, Istanbul", Excellent , 676 reviews
63," Fatih, Istanbul","5.6 miles from center","Q Hotel & Suites Istanbul -Best Group Hotels"," Fatih, Istanbul", Excellent , 809 reviews
64," Fatih, Istanbul","3.1 miles from center","Sokullu Pasa Hotel - Special Class"," Fatih, Istanbul", Excellent , 154 reviews
65," Atasehir, Istanbul","3.1 miles from center","Plus Hotel Bostanci Atasehir"," Atasehir, Istanbul", Very Good , 429 reviews
66," Beyoglu, Istanbul","3.1 miles from center","Sentire Hotels & Residences"," Beyoglu, Istanbul", Awesome , 485 reviews
67," Beyoglu, Istanbul","1,650 feet from center","Galata Times Boutique Hotel"," Beyoglu, Istanbul", Excellent , 141 reviews
68," Fatih, Istanbul","1,800 feet from center","Armada Istanbul Old City Hotel"," Fatih, Istanbul", Very Good , 884 reviews
69," Asian Side, Istanbul","6.8 miles from center","TEVETOGLU HOTEL"," Asian Side, Istanbul", Very Good , 604 reviews
70," Fatih, Istanbul","3.1 miles from center","Blue House Hotel"," Fatih, Istanbul", Excellent , 230 reviews
