walsCode,isoCode,glottocode,Name,genus,family,macroarea,countrycodes
ncm,bud,ntch1242,Ncàm,Gur,Niger-Congo,Africa,GH TG
ndb,nbl,sout2808,Ndebele (in South Africa),Bantoid,Niger-Congo,Africa,ZA
nde,nnb,nand1264,Nande,Bantoid,Niger-Congo,Africa,CD
ndg,ndz,ndog1248,Ndogo,Ubangi,Niger-Congo,Africa,SD
ndi,ngb,nort2774,Ngbandi,Ubangi,Niger-Congo,Africa,CD
ndj,djj,djee1236,Ndjébbana,Ndjébbana,Mangrida,Australia,AU
ndo,ndo,ndon1254,Ndonga,Bantoid,Niger-Congo,Africa,AO NA
ndr,fij,fiji1243,Nadroga,Oceanic,Austronesian,Papunesia,FJ
ndt,ndv,ndut1239,Ndut,Northern Atlantic,Niger-Congo,Africa,SN
ndu,nmd,ndum1239,Ndumu,Bantoid,Niger-Congo,Africa,GA
ndy,djk,ndyu1242,Ndyuka,Creoles and Pidgins,other,South America,GF SR
ned,dse,dutc1253,Nederlandse Gebarentaal,Sign Languages,other,Eurasia,NL
neg,neg,negi1245,Negidal,Tungusic,Altaic,Eurasia,RU
neh,nsn,neha1247,Nehan,Oceanic,Austronesian,Papunesia,PG
nel,nee,kuma1276,Nelemwa,Oceanic,Austronesian,Papunesia,NC
nen,yrk,nene1249,Nenets,Samoyedic,Uralic,Eurasia,RU
nep,nep,nepa1252,Nepali,Indic,Indo-European,Eurasia,NP
nev,ood,toho1245,Nevome,Tepiman,Uto-Aztecan,North America,MX
new,new,newa1246,Newari (Kathmandu),Mahakiranti,Sino-Tibetan,Eurasia,NP
ney,ney,neyo1238,Neyo,Kru,Niger-Congo,Africa,CI
nez,nez,nezp1238,Nez Perce,Sahaptian,Penutian,North America,US
nga,nio,ngan1291,Nganasan,Samoyedic,Uralic,Eurasia,RU
ngb,nga,ngba1285,Ngbaka (Minagende),Gbaya-Manza-Ngbaka,Niger-Congo,Africa,CD
ngd,nxg,ngad1261,Ngad'a,Central Malayo-Polynesian,Austronesian,Papunesia,ID
nge,nge,ngem1255,Ngemba,Bantoid,Niger-Congo,Africa,CM
ngg,nam,nang1259,Ngan'gityemerri,Ngankikurungkurr,Southern Daly,Australia,AU
ngi,wyb,wang1291,Ngiyambaa,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU
ngj,nju,ngad1258,Ngadjumaja,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
ngk,nam,nang1259,Ngankikurungkurr,Ngankikurungkurr,Southern Daly,Australia,AU
ngl,nig,ngal1293,Ngalakan,Ngalakan,Gunwinyguan,Australia,AU
ngm,sba,ngam1268,Ngambay,Bongo-Bagirmi,Central Sudanic,Africa,TD CM
ngn,nid,ngan1295,Ngandi,Ngandi,Gunwinyguan,Australia,AU
ngo,ngo,ngon1269,Ngoni,Bantoid,Niger-Congo,Africa,MZ TZ
ngr,nay,narr1259,Ngarinyeri,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU
ngt,nmf,tang1336,Naga (Tangkhul),Kuki-Chin,Sino-Tibetan,Eurasia,IN
ngu,llp,nort2836,Nguna,Oceanic,Austronesian,Papunesia,VU
ngw,nxn,ngaw1240,Ngawun,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
ngy,nbj,ngar1235,Ngarinyman,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
ngz,ngi,ngiz1242,Ngizim,West Chadic,Afro-Asiatic,Africa,NG
nha,,nhan1238,Nhanda,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
nhc,nhn,cent2132,Nahuatl (Central),Aztecan,Uto-Aztecan,North America,MX
nhh,nhe,huas1257,Nahuatl (Huasteca),Aztecan,Uto-Aztecan,North America,MX
nhm,ncl,mich1245,Nahuatl (Michoacán),Aztecan,Uto-Aztecan,North America,MX
nhn,ncj,nort2957,Nahuatl (North Puebla),Aztecan,Uto-Aztecan,North America,MX
nhp,,poch1244,Nahuatl (Pochutla),Aztecan,Uto-Aztecan,North America,MX
nht,nhg,tete1251,Nahuatl (Tetelcingo),Aztecan,Uto-Aztecan,North America,MX
nhu,,,Nahuatl (Huauchinango),Aztecan,Uto-Aztecan,,MX
nhx,ngu,guer1241,Nahuatl (Xalitla),Aztecan,Uto-Aztecan,North America,MX
nia,nia,nias1242,Nias,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,ID
