walsCode,isoCode,glottocode,Name,genus,family,macroarea,countrycodes
pod,pbi,park1239,Podoko,Biu-Mandara,Afro-Asiatic,Africa,CM
pog,poy,pogo1243,Pogoro,Bantoid,Niger-Congo,Africa,TZ
poh,pon,pohn1238,Pohnpeian,Oceanic,Austronesian,Papunesia,FM
pok,rwa,rawo1244,Poko-Rawo,Serra Hills,Skou,Papunesia,PG
pol,pol,poli1260,Polish,Slavic,Indo-European,Eurasia,PL
pop,pbe,mezo1235,Popoloca (Metzontla),Popolocan,Oto-Manguean,North America,MX
por,por,port1283,Portuguese,Romance,Indo-European,Eurasia,PT
pot,pot,pota1247,Potawatomi,Algonquian,Algic,North America,US
pow,pim,powh1243,Powhatan,Algonquian,Algic,North America,US
ppc,pio,piap1246,Piapoco,Inland Northern Arawakan,Arawakan,South America,CO
ppi,pit,pitt1247,Pitta Pitta,Central Pama-Nyungan,Pama-Nyungan,Australia,AU
pra,prn,pras1239,Prasuni,Nuristani,Indo-European,Eurasia,AF
prc,pab,pare1272,Parecis,Central Arawakan,Arawakan,South America,BR
prd,pci,duru1236,Parji (Dravidian),Central Dravidian,Dravidian,Eurasia,IN
pre,asa,asut1235,Pare,Bantoid,Niger-Congo,Africa,TZ
prh,myp,pira1253,Pirahã,Mura,Mura,South America,BR
pri,pre,prin1242,Príncipense,Creoles and Pidgins,other,Africa,ST
prk,prx,puri1258,Purki,Bodic,Sino-Tibetan,Eurasia,IN
pro,oci,occi1239,Provençal,Romance,Indo-European,Eurasia,FR
prs,pes,west2369,Persian,Iranian,Indo-European,Eurasia,IR
prt,pir,pira1254,Piratapuyo,Tucanoan,Tucanoan,South America,CO BR
psh,pst,cent1973,Pashto,Iranian,Indo-European,Eurasia,AF PK
psj,poe,sanj1285,Popoloca (San Juan Atzingo),Popolocan,Oto-Manguean,North America,MX
psl,psd,plai1235,Plains-Indians Sign Language,Sign Languages,other,North America,US
psm,pqm,male1292,Passamaquoddy-Maliseet,Algonquian,Algic,North America,US CA
pso,pom,sout2982,Pomo (Southeastern),Pomoan,Hokan,North America,US
psv,pbf,coyo1236,Popoloca (San Vicente Coyotepec),Popolocan,Oto-Manguean,North America,MX
psw,psw,port1285,Port Sandwich,Oceanic,Austronesian,Papunesia,VU
pta,duf,dumb1241,Paita,Oceanic,Austronesian,Papunesia,NC
pte,pck,pait1244,Paite,Kuki-Chin,Sino-Tibetan,Eurasia,IN
ptp,gfk,patp1243,Patpatar,Oceanic,Austronesian,Papunesia,PG
ptt,lae,patt1248,Pattani,Bodic,Sino-Tibetan,Eurasia,IN
ptw,wit,wint1259,Patwin,Wintuan,Penutian,North America,US
pui,pui,puin1248,Puinave,Puinave,Puinave,South America,VR CO
puk,prk,para1301,Parauk,Palaung-Khmuic,Austro-Asiatic,Eurasia,CN MM
pul,puw,pulu1242,Puluwat,Oceanic,Austronesian,Papunesia,FM
pum,pmj,pumi1242,Pumi,Qiangic,Sino-Tibetan,Eurasia,CN
pun,wdj,wadj1254,Pungupungu,Anson Bay,Anson Bay,Australia,AU
puq,,puqu1242,Puquina,Puquina,Puquina,South America,PE BO
pur,tsz,pure1242,Purépecha,Tarascan,Tarascan,North America,MX
put,ute,utes1238,Paiute (Southern),Numic,Uto-Aztecan,North America,US
pwn,paw,pawn1254,Pawnee,Caddoan,Caddoan,North America,US
qaf,aar,afar1241,Qafar,Lowland East Cushitic,Afro-Asiatic,Africa,ER ET DJ
qan,qxa,chiq1249,Quechua (Ancash),Quechuan,Quechuan,South America,PE
qaw,alc,qawa1238,Qawasqar,Alacalufan,Alacalufan,South America,CL
qay,quy,ayac1239,Quechua (Ayacucho),Quechuan,Quechuan,South America,PE
qbo,quh,boli1262,Quechua (Bolivian),Quechuan,Quechuan,South America,BO
qca,qvc,caja1238,Quechua (Cajamarca),Quechuan,Quechuan,South America,PE
qch,quc,kich1262,Quiché,Mayan,Mayan,North America,GT
qco,quh,sout2991,Quechua (Cochabamba),Quechuan,Quechuan,South America,BO
qcu,quz,cusc1236,Quechua (Cuzco),Quechuan,Quechuan,South America,PE
qec,qug,chim1302,Quechua (Ecuadorean),Quechuan,Quechuan,South America,EC
qhu,qvh,huam1248,Quechua (Huallaga),Quechuan,Quechuan,South America,PE
qia,cng,qian1264,Qiang,Qiangic,Sino-Tibetan,Eurasia,CN
qim,qvi,imba1240,Quechua (Imbabura),Quechuan,Quechuan,South America,EC
qta,qvn,nort2980,Quechua (Tarma),Quechuan,Quechuan,South America,PE
que,yum,quec1382,Quechan,Yuman,Hokan,North America,US
qui,qui,quil1240,Quileute,Chimakuan,Chimakuan,North America,US
qum,qum,sipa1247,Sipakapense,Mayan,Mayan,North America,GT
rad,rad,rade1240,Rade,Malayo-Sumbawan,Austronesian,Eurasia,VN
rag,lml,hano1246,Raga,Oceanic,Austronesian,Papunesia,VU
ral,ral,ralt1242,Ralte,Kuki-Chin,Sino-Tibetan,Eurasia,IN MM
ram,rma,rama1270,Rama,Rama,Chibchan,North America,NI
rao,rao,raoo1244,Rao,Annaberg,Lower Sepik-Ramu,Papunesia,PG
rap,rap,rapa1244,Rapanui,Oceanic,Austronesian,Papunesia,CL
ras,ras,tega1236,Rashad,Rashad,Kordofanian,Africa,SD
rav,rmn,balk1252,Romani (Ajia Varvara),Indic,Indo-European,Eurasia,GR
raw,raw,rawa1265,Rawang,Nungish,Sino-Tibetan,Eurasia,MM
rbg,rmo,sint1235,Romani (Burgenland),Indic,Indo-European,Eurasia,AT
rbu,rmn,balk1252,Romani (Bugurdzi),Indic,Indo-European,Eurasia,RS
rcp,,,Russian-Chinese Pidgin (Birobidjan),Creoles and Pidgins,other,,RU
rej,rej,reja1240,Rejang,Rejang,Austronesian,Papunesia,ID
rem,bfw,bond1245,Remo,Munda,Austro-Asiatic,Eurasia,IN
ren,rel,rend1243,Rendille,Lowland East Cushitic,Afro-Asiatic,Africa,KE
res,rgr,resi1247,Resígaro,Inland Northern Arawakan,Arawakan,South America,CO PE
ret,tnc,tani1257,Retuarã,Tucanoan,Tucanoan,South America,CO
rga,rng,rong1268,Ronga,Bantoid,Niger-Congo,Africa,MZ
rgc,jya,jiar1239,rGyalrong (Caodeng),rGyalrong,Sino-Tibetan,Eurasia,CN
rgn,rog,nort2994,Roglai (Northern),Malayo-Sumbawan,Austronesian,Eurasia,VN
ria,ran,rian1263,Riantana,Kolopom,Kolopom,Papunesia,ID
rik,rkb,rikb1245,Rikbaktsa,Rikbaktsa,Macro-Ge,South America,BR
rim,rim,nyat1246,Rimi,Bantoid,Niger-Congo,Africa,TZ
rit,rit,rita1239,Ritharngu,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
rji,rji,raji1240,Raji,Raji-Raute,Sino-Tibetan,Eurasia,NP IN
rka,rmy,vlax1238,Romani (Kalderash),Indic,Indo-European,Eurasia,RS
rlo,rmy,vlax1238,Romani (Lovari),Indic,Indo-European,Eurasia,RO HU
rmb,rmb,remb1249,Rembarnga,Rembarnga,Gunwinyguan,Australia,AU
rmc,roh,roma1326,Romansch,Romance,Indo-European,Eurasia,CH
rnd,run,rund1242,Rundi,Bantoid,Niger-Congo,Africa,BI
rng,ren,reng1252,Rengao,Bahnaric,Austro-Asiatic,Eurasia,VN
rnn,mnv,renn1242,Rennellese,Oceanic,Austronesian,Papunesia,SB
rnr,rml,balt1257,Romani (North Russian),Indic,Indo-European,Eurasia,RU
rny,nyn,nyan1307,Runyankore,Bantoid,Niger-Congo,Africa,UG
rom,ron,roma1327,Romanian,Romance,Indo-European,Eurasia,RO
ron,cla,ronn1241,Ron,West Chadic,Afro-Asiatic,Africa,NG
ror,rro,waim1251,Roro,Oceanic,Austronesian,Papunesia,PG
rot,rtm,rotu1241,Rotuman,Oceanic,Austronesian,Papunesia,FJ
rov,rug,rovi1238,Roviana,Oceanic,Austronesian,Papunesia,SB
rpa,bod,tibe1272,Rang Pas,Bodic,Sino-Tibetan,Eurasia,NP
rru,nyo,nyor1246,Runyoro-Rutooro,Bantoid,Niger-Congo,Africa,UG
rsc,roh,roma1326,Romansch (Scharans),Romance,Indo-European,Eurasia,CH
rse,,,Romani (Sepecides),Indic,Indo-European,,TR
rsh,sgh,shug1248,Rushan,Iranian,Indo-European,Eurasia,TJ AF
rsl,rsl,russ1255,Russian Sign Language,Sign Languages,other,Eurasia,RU
rsm,roh,roma1326,Romansch (Surmeiran),Romance,Indo-European,Eurasia,CH
rsu,roh,roma1326,Romansch (Sursilvan),Romance,Indo-European,Eurasia,CH
rti,twu,term1237,Roti,Central Malayo-Polynesian,Austronesian,Papunesia,ID
rtk,roo,roto1249,Rotokas,West Bougainville,West Bougainville,Papunesia,PG
ruk,dru,ruka1240,Rukai (Tanan),Rukai,Austronesian,Papunesia,TW
rum,klq,rumu1243,Rumu,Turama-Kikorian,Turama-Kikorian,Papunesia,PG
run,rou,rung1258,Runga,Maban,Maban,Africa,TD CF
rus,rus,russ1263,Russian,Slavic,Indo-European,Eurasia,RU
rut,rut,rutu1240,Rutul,Lezgic,Nakh-Daghestanian,Eurasia,RU AZ
rwa,rwo,rawa1267,Rawa,Finisterre-Huon,Trans-New Guinea,Papunesia,PG
rwe,rmw,wels1246,Romani (Welsh),Indic,Indo-European,Eurasia,GB
ryu,ryu,cent2126,Shuri,Japanese,Japanese,Eurasia,JP
saa,apb,saaa1240,Sa'a,Oceanic,Austronesian,Papunesia,SB
sab,snv,saba1265,Sa'ban,North Borneo,Austronesian,Papunesia,ID
sae,skb,saek1240,Saek,Kam-Tai,Tai-Kadai,Eurasia,LA TH
sah,saj,sahu1245,Sahu,North Halmaheran,West Papuan,Papunesia,ID
sak,sku,saka1289,Sakao,Oceanic,Austronesian,Papunesia,VU
sal,sln,sali1253,Salinan,Salinan,Salinan,North America,US
sam,smo,samo1305,Samoan,Oceanic,Austronesian,Papunesia,AS WS
san,sag,sang1328,Sango,Ubangi,Niger-Congo,Africa,CF
sao,ssy,saho1246,Saho,Lowland East Cushitic,Afro-Asiatic,Africa,ER ET
sap,spu,sapu1248,Sapuan,Bahnaric,Austro-Asiatic,Eurasia,LA
sar,dju,kapr1245,Sare,Sepik Hill,Sepik,Papunesia,PG
sav,sdg,savi1242,Savi,Indic,Indo-European,Eurasia,AF
saw,hvn,sabu1255,Sawu,Central Malayo-Polynesian,Austronesian,Papunesia,ID
say,pos,sayu1241,Sayultec,Mixe-Zoque,Mixe-Zoque,North America,MX
sba,slc,sali1298,Sáliba (in Colombia),Sáliba,Sáliban,South America,VR CO
sbg,sse,bala1311,Sama (Balangingi),Sama-Bajaw,Austronesian,Papunesia,PH
sch,str,stra1244,Saanich,Central Salish,Salishan,North America,CA
scr,hrv,sout1528,Serbian-Croatian,Slavic,Indo-European,Eurasia,RS BA HR
scs,sma,sout2674,Saami (Central-South),Saami,Uralic,Eurasia,SE
sdh,snd,sind1272,Sindhi,Indic,Indo-European,Eurasia,PK IN
sdw,sad,sand1273,Sandawe,Sandawe,Sandawe,Africa,TZ
sea,tvk,sout2859,Southeast Ambrym,Oceanic,Austronesian,Papunesia,VU
seb,kpz,kups1238,Sebei,Nilotic,Eastern Sudanic,Africa,UG
sec,sey,seco1241,Secoya,Tucanoan,Tucanoan,South America,EC PE
sed,sed,seda1262,Sedang,Bahnaric,Austro-Asiatic,Eurasia,VN
see,trv,taro1264,Seediq,Atayalic,Austronesian,Papunesia,TW
sel,ona,onaa1245,Selknam,Chon Proper,Chon,South America,AR
sem,nsm,sumi1235,Sema,Kuki-Chin,Sino-Tibetan,Eurasia,IN
sen,seh,nucl1396,Sena,Bantoid,Niger-Congo,Africa,MZ
ser,sei,seri1257,Seri,Seri,Hokan,North America,MX
ses,sot,sout2807,Sesotho,Bantoid,Niger-Congo,Africa,ZA LS
sey,crs,sese1246,Seychelles Creole,Creoles and Pidgins,other,Eurasia,SC
sgb,mnx,mani1235,Sougb,East Bird's Head,East Bird's Head,Papunesia,ID
sge,sop,song1303,Songe,Bantoid,Niger-Congo,Africa,CD
sgl,szg,seng1278,Sengele,Bantoid,Niger-Congo,Africa,CD
sgr,sxn,sang1336,Sangir,Sangiric,Austronesian,Papunesia,ID
sgs,str,stra1244,Songish,Central Salish,Salishan,North America,CA
sgu,snq,sang1333,Sangu,Bantoid,Niger-Congo,Africa,GA
sha,shn,shan1277,Shan,Kam-Tai,Tai-Kadai,Eurasia,MM
shb,sbf,shab1252,Shabo,Shabo,Shabo,Africa,ET
shd,sdp,sher1257,Sherdukpen,Western Arunachal,Sino-Tibetan,Eurasia,IN
she,xsr,sher1255,Sherpa,Bodic,Sino-Tibetan,Eurasia,NP
shg,bod,tibe1272,Shigatse,Bodic,Sino-Tibetan,Eurasia,CN
shh,mcd,shar1245,Sharanahua,Panoan,Panoan,South America,PE BR
shi,shb,nina1238,Shiriana,Yanomam,Yanomam,South America,VR BR
shk,shp,ship1254,Shipibo-Konibo,Panoan,Panoan,South America,PE
shl,shk,shil1265,Shilluk,Nilotic,Eastern Sudanic,Africa,SD
shm,ksb,sham1280,Shambala,Bantoid,Niger-Congo,Africa,TZ
shn,sna,shon1251,Shona,Bantoid,Niger-Congo,Africa,ZW
sho,shh,shos1248,Shoshone,Numic,Uto-Aztecan,North America,US
shp,waa,nort1527,Sahaptin (Northern),Sahaptian,Penutian,North America,US
shr,cjs,shor1247,Shor,Turkic,Altaic,Eurasia,RU
shs,sht,shas1239,Shasta,Shasta,Hokan,North America,US
sht,shj,shat1244,Shatt,Daju,Eastern Sudanic,Africa,SD
shu,shs,shus1248,Shuswap,Interior Salish,Salishan,North America,CA
shw,sjw,shaw1249,Shawnee,Algonquian,Algic,North America,US
shy,yuy,east2337,Shira Yughur,Mongolic,Altaic,Eurasia,CN
sia,snp,sian1257,Siane,Eastern Highlands,Trans-New Guinea,Papunesia,PG
sid,sid,sida1246,Sidaama,Highland East Cushitic,Afro-Asiatic,Africa,ET
sik,ski,sika1262,Sika,Central Malayo-Polynesian,Austronesian,Papunesia,ID
sil,dau,dars1235,Sila,Daju,Eastern Sudanic,Africa,TD
sim,smr,sime1241,Simeulue,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,ID
sin,snn,sion1247,Siona,Tucanoan,Tucanoan,South America,CO EC
sio,xsi,sioo1240,Sio,Oceanic,Austronesian,Papunesia,PG
sir,sjr,siar1238,Siar,Oceanic,Austronesian,Papunesia,PG
sis,baa,baba1268,Sisiqa,Oceanic,Austronesian,Papunesia,SB
siu,sis,sius1254,Siuslaw,Siuslawan,Oregon Coast,North America,US
ski,sjd,kild1236,Saami (Kildin),Saami,Uralic,Eurasia,RU
skk,sip,sikk1242,Sikkimese,Bodic,Sino-Tibetan,Eurasia,IN
skl,skh,siku1242,Sikule,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,ID
skm,suk,suku1261,Sukuma,Bantoid,Niger-Congo,Africa,TZ
skn,guh,guah1255,Sikuani,Guahiban,Guahiban,South America,CO
sko,skv,nucl1634,Skou,Western Skou,Skou,Papunesia,ID
skp,sel,selk1253,Selkup,Samoyedic,Uralic,Eurasia,RU
skr,tty,sika1263,Sikaritai,Lakes Plain,Lakes Plain,Papunesia,ID
sku,sub,suku1259,Suku,Bantoid,Niger-Congo,Africa,AO CD
skw,swv,shek1243,Shekhawati,Indic,Indo-European,Eurasia,IN
sla,xsl,slav1253,Slave,Athapaskan,Na-Dene,North America,CA
slb,sbe,sali1295,Saliba (in Papua New Guinea),Oceanic,Austronesian,Papunesia,PG
sle,ndi,samb1305,Samba Leko,Adamawa,Niger-Congo,Africa,CM NG
slg,suv,sulu1241,Sulung,Sulung,Sulung,Eurasia,IN
slo,slv,slov1268,Slovene,Slavic,Indo-European,Eurasia,SI
slp,spl,sele1250,Selepet,Finisterre-Huon,Trans-New Guinea,Papunesia,PG
slr,slr,sala1264,Salar,Turkic,Altaic,Eurasia,CN
slv,xsl,sout2959,Slavey,Athapaskan,Na-Dene,North America,CA
sly,sly,sela1260,Selayar,South Sulawesi,Austronesian,Papunesia,ID
smd,sdm,sema1269,Semandang,Land Dayak,Austronesian,Papunesia,ID
sme,sif,siam1242,Seme,Kru,Niger-Congo,Africa,BF
smj,sea,sema1266,Semai,Aslian,Austro-Asiatic,Eurasia,MY
sml,sza,seme1247,Semelai,Aslian,Austro-Asiatic,Eurasia,MY
smn,mus,cree1270,Seminole,Muskogean,Muskogean,North America,US
smp,,shom1245,Shompen,Shompen,Shompen,Eurasia,IN
smt,uma,umat1237,Sahaptin (Umatilla),Sahaptian,Penutian,North America,US
sna,scl,shin1264,Shina,Indic,Indo-European,Eurasia,PK
snc,see,sene1264,Seneca,Northern Iroquoian,Iroquoian,North America,US
snd,sef,ceba1235,Senadi,Gur,Niger-Congo,Africa,CI
sng,snc,sina1266,Sinaugoro,Oceanic,Austronesian,Papunesia,PG
snh,sin,sinh1246,Sinhala,Indic,Indo-European,Eurasia,LK
snm,xsu,sanu1240,Sanuma,Yanomam,Yanomam,South America,BR VR
snn,snk,soni1259,Soninke,Western Mande,Mande,Africa,CI SN BF ML
sno,sme,nort2671,Saami (Northern),Saami,Uralic,Eurasia,NO FI SE
snt,set,nucl1632,Sentani,Sentani,Sentani,Papunesia,ID
so,teu,sooo1256,So,Kuliak,Eastern Sudanic,Africa,UG
sob,sob,sobe1238,Sobei,Oceanic,Austronesian,Papunesia,ID
sod,gru,kist1241,Soddo,Semitic,Afro-Asiatic,Africa,ET
sol,evn,even1259,Solon,Tungusic,Altaic,Eurasia,CN
som,som,soma1255,Somali,Lowland East Cushitic,Afro-Asiatic,Africa,SO
son,sov,sons1242,Sonsorol-Tobi,Oceanic,Austronesian,Papunesia,PW
soo,str,stra1244,Sooke,Central Salish,Salishan,North America,CA
soq,sqt,soqo1240,Soqotri,Semitic,Afro-Asiatic,Africa,YE
sor,srb,sora1254,Sora,Munda,Austro-Asiatic,Eurasia,IN
sou,hsb,uppe1395,Sorbian (Upper),Slavic,Indo-European,Eurasia,DE
spa,spa,stan1288,Spanish,Romance,Indo-European,Eurasia,ES
spc,spa,stan1288,Spanish (Canary Islands),Romance,Indo-European,Eurasia,ES
spi,bod,tibe1272,Spitian,Bodic,Sino-Tibetan,Eurasia,IN
spo,spo,spok1245,Spokane,Interior Salish,Salishan,North America,US
sps,slh,sout2965,Salish (Southern Puget Sound),Central Salish,Salishan,North America,US
squ,squ,squa1248,Squamish,Central Salish,Salishan,North America,CA
sra,srn,sran1240,Sranan,Creoles and Pidgins,other,South America,SR
srb,hsb,sorb1249,Sorbian,Slavic,Indo-European,Eurasia,DE
src,srs,sars1236,Sarcee,Athapaskan,Na-Dene,North America,CA
srd,sro,camp1261,Sardinian,Romance,Indo-European,Eurasia,IT
sre,kpm,koho1244,Sre,Bahnaric,Austro-Asiatic,Eurasia,VN
sri,sri,siri1274,Siriano,Tucanoan,Tucanoan,South America,BR CO
srl,dsb,lowe1385,Sorbian (Lower),Slavic,Indo-European,Eurasia,DE
srm,srm,sara1340,Saramaccan,Creoles and Pidgins,other,South America,SR GF
srn,srq,siri1273,Sirionó,Tupi-Guaraní,Tupian,South America,BO
sro,ssd,siro1249,Siroi,Madang,Trans-New Guinea,Papunesia,PG
srr,ser,serr1255,Serrano,California Uto-Aztecan,Uto-Aztecan,North America,US
sru,slu,sela1259,Selaru,Central Malayo-Polynesian,Austronesian,Papunesia,ID
sry,fos,sira1267,Siraya,East Formosan,Austronesian,Papunesia,TW
ssa,sld,west2465,Sisaala,Gur,Niger-Congo,Africa,GH
ssh,bwo,boro1277,Shinassha,North Omotic,Afro-Asiatic,Africa,ET
ssl,kvk,kore1273,South Korean Sign Language,Sign Languages,other,Eurasia,KR
sss,str,stra1244,Salish (Samish Straits),Central Salish,Salishan,North America,US
sst,str,stra1244,Salish (Straits),Central Salish,Salishan,North America,CA US
sta,sce,dong1285,Santa,Mongolic,Altaic,Eurasia,CN
sti,stt,stie1250,Stieng,Bahnaric,Austro-Asiatic,Eurasia,VN KH
stl,sat,sant1410,Santali,Munda,Austro-Asiatic,Eurasia,IN
stn,nso,pedi1238,Sotho (Northern),Bantoid,Niger-Congo,Africa,ZA
sto,sto,ston1242,Stoney,Core Siouan,Siouan,North America,CA
sub,sbs,subi1246,Subiya,Bantoid,Niger-Congo,Africa,NA
sud,tgo,sude1239,Sudest,Oceanic,Austronesian,Papunesia,PG
sue,sue,suen1241,Suena,Binanderean,Trans-New Guinea,Papunesia,PG
sug,sjg,assa1269,Sungor,Taman,Eastern Sudanic,Africa,TD
sui,swi,suii1243,Sui,Kam-Tai,Tai-Kadai,Eurasia,CN
suk,sui,suki1245,Suki,Suki,Gogodala-Suki,Papunesia,PG
sul,sua,sulk1246,Sulka,Sulka,Sulka,Papunesia,PG
sum,sum,sumo1243,Sumu,Misumalpan,Misumalpan,North America,NI
sun,sun,sund1252,Sundanese,Malayo-Sumbawan,Austronesian,Papunesia,ID
sup,spp,supy1237,Supyire,Gur,Niger-Congo,Africa,ML
sur,sgz,surs1246,Sursurunga,Oceanic,Austronesian,Papunesia,PG
sus,sus,susu1250,Susu,Western Mande,Mande,Africa,GN
sva,sva,svan1243,Svan,Kartvelian,Kartvelian,Eurasia,GE
svc,csb,kash1274,Slovincian,Slavic,Indo-European,Eurasia,PL
svk,slk,slov1269,Slovak,Slavic,Indo-European,Eurasia,SK
svs,svs,savo1255,Savosavo,Savosavo,Solomons East Papuan,Papunesia,SB
svt,swl,swed1236,Svenska Teckenspråket,Sign Languages,other,Eurasia,SE
swa,swh,swah1253,Swahili,Bantoid,Niger-Congo,Africa,TZ
swe,swe,swed1254,Swedish,Germanic,Indo-European,Eurasia,FI SE
swi,szw,sawa1247,Sawai,South Halmahera - West New Guinea,Austronesian,Papunesia,ID
swr,shh,shos1248,Shoshone (Wind River),Numic,Uto-Aztecan,North America,US
swt,ssw,swat1243,Swati,Bantoid,Niger-Congo,Africa,ZA SZ
swv,swe,swed1254,Swedish (Västerbotten),Germanic,Indo-European,Eurasia,SE
syg,ybe,west2402,Saryg Yughur,Turkic,Altaic,Eurasia,CN
syu,sll,salt1242,Salt-Yui,Chimbu,Trans-New Guinea,Papunesia,PG
tab,mky,east2440,Taba,South Halmahera - West New Guinea,Austronesian,Papunesia,ID
tac,tna,taca1256,Tacana,Tacanan,Tacanan,South America,BO
taf,sps,sapo1253,Taiof,Oceanic,Austronesian,Papunesia,PG
tag,tgl,taga1270,Tagalog,Greater Central Philippine,Austronesian,Papunesia,PH
tah,tah,tahi1242,Tahitian,Oceanic,Austronesian,Papunesia,PF
tai,thv,taha1241,Tuareg (Air),Berber,Afro-Asiatic,Africa,NE
taj,tgk,taji1245,Tajik,Iranian,Indo-European,Eurasia,TJ
tak,tbc,taki1248,Takia,Oceanic,Austronesian,Papunesia,PG
tal,tlj,tali1258,Talinga,Bantoid,Niger-Congo,Africa,UG CD
tam,taj,east2346,Tamang (Eastern),Bodic,Sino-Tibetan,Eurasia,NP
tan,tan,nucl1696,Tangale,West Chadic,Afro-Asiatic,Africa,NG
tao,tro,tara1313,Tarao,Kuki-Chin,Sino-Tibetan,Eurasia,IN
tap,gpn,taia1239,Taiap,Gapun,Gapun,Papunesia,PG
taq,nan,minn1241,Taiwanese,Chinese,Sino-Tibetan,Eurasia,TW
tar,tae,tari1256,Tariana,Inland Northern Arawakan,Arawakan,South America,BR
tas,shi,tach1250,Tashlhiyt,Berber,Afro-Asiatic,Africa,MA
tat,txx,tata1257,Tatana',North Borneo,Austronesian,Papunesia,MY
tau,tya,tauy1241,Tauya,Madang,Trans-New Guinea,Papunesia,PG
taw,tbo,tawa1275,Tawala,Oceanic,Austronesian,Papunesia,PG
tay,cks,tayo1238,Tayo,Creoles and Pidgins,other,Papunesia,NC
taz,tly,taly1247,Talysh (Azerbaijan),Iranian,Indo-European,Eurasia,AZ
tba,sst,sina1271,Tabare,Chimbu,Trans-New Guinea,Papunesia,PG
tbb,tub,tuba1278,Tübatulabal,California Uto-Aztecan,Uto-Aztecan,North America,US
tbe,tig,tigr1270,Tigré (Beni Amer),Semitic,Afro-Asiatic,Africa,ER
tbl,tnm,tabl1243,Tabla,Sentani,Sentani,Papunesia,ID
tbo,tbl,tbol1240,Tboli,Bilic,Austronesian,Papunesia,PH
tbr,tby,taba1263,Tabaru,North Halmaheran,West Papuan,Papunesia,ID
tbs,tab,taba1259,Tabassaran,Lezgic,Nakh-Daghestanian,Eurasia,RU
tbt,tti,toba1266,Tobati,Oceanic,Austronesian,Papunesia,ID
tbu,dzg,tebu1238,Tubu,Western Saharan,Saharan,Africa,TD NE
tbw,tap,taab1238,Tabwa,Bantoid,Niger-Congo,Africa,ZM CD
tbx,skj,seke1240,Tangbe,Bodic,Sino-Tibetan,Eurasia,NP
tce,tar,cent2131,Tarahumara (Central),Tarahumaran,Uto-Aztecan,North America,MX
tda,tcx,toda1252,Toda,Southern Dravidian,Dravidian,Eurasia,IN
tdi,bod,tibe1272,Tibetan (Dingri),Bodic,Sino-Tibetan,Eurasia,CN
tdr,bod,tibe1272,Tibetan (Drokpa),Bodic,Sino-Tibetan,Eurasia,CN
tec,ttc,tekt1235,Teco,Mayan,Mayan,North America,GT MX
tee,tee,hueh1236,Tepehua (Huehuetla),Totonacan,Totonacan,North America,MX
teh,teh,tehu1242,Tehuelche,Chon Proper,Chon,South America,AR
tel,tel,telu1262,Telugu,South-Central Dravidian,Dravidian,Eurasia,IN
tem,kdh,temm1241,Tem,Gur,Niger-Congo,Africa,BJ GH TG
ten,tex,tenn1246,Tennet,Surmic,Eastern Sudanic,Africa,SD
teo,tio,teop1238,Teop,Oceanic,Austronesian,Papunesia,PG
tep,tpt,tlac1235,Tepehua (Tlachichilco),Totonacan,Totonacan,North America,MX
ter,ttr,tera1251,Tera,Biu-Mandara,Afro-Asiatic,Africa,NG
tes,teo,teso1249,Teso,Nilotic,Eastern Sudanic,Africa,UG
tet,tll,tete1250,Tetela,Bantoid,Niger-Congo,Africa,CD
tew,tew,tewa1260,Tewa (Arizona),Kiowa-Tanoan,Kiowa-Tanoan,North America,US
tex,kmz,khor1269,Turkic (East-Central Xorasan),Turkic,Altaic,Eurasia,IR
tga,tgg,tang1348,Tangga,Oceanic,Austronesian,Papunesia,PG
tgb,tbw,tagb1258,Tagbanwa (Aborlan),Greater Central Philippine,Austronesian,Papunesia,PH
tgh,thv,taha1241,Tuareg (Ghat),Berber,Afro-Asiatic,Africa,LY
tgk,tgc,tiga1245,Tigak,Oceanic,Austronesian,Papunesia,PG
tgl,tsj,tsha1245,Tshangla,Bodic,Sino-Tibetan,Eurasia,BT IN
tgn,tzn,tugu1245,Tugun,Central Malayo-Polynesian,Austronesian,Papunesia,ID
tgo,tsv,tsog1243,Tsogo,Bantoid,Niger-Congo,Africa,GA
tgp,swt,sawi1256,Tanglapui,Kolana-Tanglapui,Timor-Alor-Pantar,Papunesia,ID
tgr,tig,tigr1270,Tigré,Semitic,Afro-Asiatic,Africa,ER
tgw,txn,west2538,Tarangan (West),Central Malayo-Polynesian,Austronesian,Papunesia,ID
tha,tha,thai1261,Thai,Kam-Tai,Tai-Kadai,Eurasia,TH
thd,tcz,thad1238,Thadou,Kuki-Chin,Sino-Tibetan,Eurasia,IN MM
thk,ths,thak1245,Thakali,Bodic,Sino-Tibetan,Eurasia,NP
thn,thf,than1259,Thangmi,Mahakiranti,Sino-Tibetan,Eurasia,NP
tho,thp,thom1243,Thompson,Interior Salish,Salishan,North America,CA
thp,typ,thay1248,Thaypan,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
ths,tsq,thai1240,Thai Sign Language,Sign Languages,other,Eurasia,TH
tht,kps,tehi1237,Tehit,West Bird's Head,West Papuan,Papunesia,ID
thu,tdh,thul1246,Thulung,Mahakiranti,Sino-Tibetan,Eurasia,NP
