ID;SUBSYSTEM;CODE;COVWATERHYDRANTUNITTYPE;DISTANCEFROMCORNER;FEEDERLEN;DIR;LINE;COLOR;INCOMM;CHR0;CHR1;STREET_NUMBER;STREET;OLDHYDNUM;CASTSUB;OOCDATE;OOCNOTES;INSTDATE1;ORACLEID;ACTIVE;REMARKS;FIREUSEONLY;STATUS;COMPRESSION;ADDDTTM;ADDBY;MODBY;FEATURE_ID;UNITID;Geom;Geo Local Area
WH-R21-013;DSTR;TC;TC1;3.0;0.6;N-NORTH;N-NORTH;Blue;Yes;;;;NWC SHERBROOKE ST & E 51ST AV;73D09;COVAV;;;;__FJ8VKK;Active;;N;IN_SERVICE;No;2009-11-10T10:33:54+01:00;covDBimport;SDE 834766;31298;31298;"{""type"": ""Point"", ""coordinates"": [-123.0816195179204, 49.22357581612322]}";Sunset
WH-R21-019;DSTR;TC;TC1;1.5;0.9;S-SOUTH;S-SOUTH;Green;Yes;;;;SEC CULLODEN ST & E 51ST AV;74A02;COVAV;;;1971-01-01;__FJ8X0W;Active;;N;IN_SERVICE;No;2009-11-10T10:39:29+01:00;covDBimport;SDE 834766;29903;29903;"{""type"": ""Point"", ""coordinates"": [-123.07863555498128, 49.22330758714048]}";Sunset
WH-R22-008;DSTR;TC;TC1;2.4;1.2;E-EAST;E-EAST;Blue;Yes;;;;NEC E 54TH AV & ROSS ST;73D15;COVAV;;;1967-01-01;__FJ8VK3;Active;;N;IN_SERVICE;No;2009-11-10T10:44:12+01:00;covDBimport;SDE 834766;32297;32297;"{""type"": ""Point"", ""coordinates"": [-123.08282919564543, 49.22059440831887]}";Sunset
WH-R22-011;DSTR;TC;TC1;3.7;1.2;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC CULLODEN ST & E 55TH AV;74B01;COVAV;;;;__FJ8VK8;Active;;N;IN_SERVICE;No;2009-11-10T10:37:06+01:00;covDBimport;SDE 834766;30287;30287;"{""type"": ""Point"", ""coordinates"": [-123.07842066138392, 49.21945867474485]}";Sunset
WH-R22-012;DSTR;TC;TC1;1.8;1.2;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC INVERNESS ST & E 55TH AV;73D21;COVAV;;;;__FJ8VK4;Active;;N;IN_SERVICE;No;2009-11-10T10:42:47+01:00;covDBimport;SDE 834766;33720;33720;"{""type"": ""Point"", ""coordinates"": [-123.07994358516349, 49.21948642468547]}";Sunset
WH-R22-013;DSTR;TC;TC1;1.5;0.9;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC SHERBROOKE ST & E 55TH AV;73D20;COVAV;;;1971-01-01;__FJ8X0Z;Active;;N;IN_SERVICE;No;2009-11-10T10:41:29+01:00;covDBimport;SDE 834766;32825;32825;"{""type"": ""Point"", ""coordinates"": [-123.08168346284492, 49.219502307480454]}";Sunset
WH-R22-015;DSTR;TC;C71P;3.2;4.6;E-EAST;E-EAST;Green;Yes;;;;SEC E 55TH AV & PRINCE ALBERT ST;73D18;COVAV;;;2004-11-25;__FJ8X10;Active;;N;IN_SERVICE;Yes;2009-11-10T10:37:52+01:00;covDBimport;SDE 834766;30378;30378;"{""type"": ""Point"", ""coordinates"": [-123.08757388389266, 49.21984232207972]}";Sunset
WH-R22-021;DSTR;TC;C71P;2.1;1.2;E-EAST;E-EAST;Blue;Yes;;;;NEC E 57TH AV & ROSS ST;81C08;COVAV;;;;__FJ8X12;Active;;N;IN_SERVICE;Yes;2009-11-10T10:31:29+01:00;covDBimport;SDE 834766;29525;29525;"{""type"": ""Point"", ""coordinates"": [-123.08292273170233, 49.21824030492678]}";Sunset
WH-R22-022;DSTR;AVK;2780;2.1;0.9;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC WINDSOR ST & E 57TH AV;81C07;COVAV;;;2009-10-14;__FJ8VK2;Active;;N;IN_SERVICE;Yes;2009-11-10T10:43:53+01:00;covDBimport;SDE 834766;33139;33139;"{""type"": ""Point"", ""coordinates"": [-123.08533510787854, 49.21807322379149]}";Sunset
WH-R23-005;DSTR;AVK;2780;1.2;1.2;E-EAST;E-EAST;Blue;Yes;;;;SEC E 62ND AV & PRINCE ALBERT ST;81D02;COVAV;;;2005-10-24;__FJ8X17;Active;;N;IN_SERVICE;Yes;2009-11-10T10:32:16+01:00;covDBimport;SDE 834766;29585;29585;"{""type"": ""Point"", ""coordinates"": [-123.08787262869244, 49.213805156932146]}";Sunset
WH-R23-007;DSTR;TC;TC1;4.9;1.2;E-EAST;E-EAST;Blue;Yes;;;;NEC E 61ST AV & WINDSOR ST;81D09;COVAV;2009-07-23;datalogger installed on hyd until September;1967-01-01;__FJ8VJQ;Active;;N;IN_SERVICE;No;2009-11-10T10:23:22+01:00;covDBimport;SDE 834766;28576;28576;"{""type"": ""Point"", ""coordinates"": [-123.08548447766943, 49.2148046607349]}";Sunset
WH-R23-012;DSTR;TC;TC1;3.7;0.6;W-WEST;W-WEST;Blue;Yes;;;;NWC E 61ST AV & ROSS ST;81D10;COVAV;;;;__FJ8VJW;Active;;N;IN_SERVICE;No;2009-11-10T10:14:34+01:00;covDBimport;SDE 834766;28146;28146;"{""type"": ""Point"", ""coordinates"": [-123.08334662821105, 49.214746305510154]}";Sunset
WH-R23-014;DSTR;TC;TC1;2.7;2.4;E-EAST;E-EAST;Blue;Yes;;;;NEC E 59TH AV & SHERBROOKE ST;81C15;COVAV;;;1976-01-01;__FJ8X19;Active;;N;IN_SERVICE;No;2009-11-10T10:34:56+01:00;covDBimport;SDE 834766;31767;31767;"{""type"": ""Point"", ""coordinates"": [-123.08143750351087, 49.216485942181116]}";Sunset
WH-R23-015;DSTR;TC;TC1;1.2;0.9;E-EAST;E-EAST;Blue;Yes;;;;NEC E 59TH AV & INVERNESS ST;81C14;COVAV;;;1976-01-01;__FJ8VJR;Active;;N;IN_SERVICE;No;2009-11-10T10:30:49+01:00;covDBimport;SDE 834766;29188;29188;"{""type"": ""Point"", ""coordinates"": [-123.07993666192098, 49.21647934455908]}";Sunset
WH-R23-016;DSTR;TC;C71P;3.4;1.5;W-WEST;W-WEST;Blue;Yes;;;;SWC E 60TH AV & INVERNESS ST;81C11;COVAV;;;2002-01-01;__FJ8WM4;Active;;N;IN_SERVICE;Yes;2009-11-10T10:34:53+01:00;covDBimport;WAS17;31752;31752;"{""type"": ""Point"", ""coordinates"": [-123.08028876955393, 49.21543011582807]}";Sunset
WH-R23-018;DSTR;TC;TC1;4.0;0.6;W-WEST;W-WEST;Blue;Yes;;;;SWC E 62ND AV & INVERNESS ST;81D17;COVAV;;;1965-01-01;__FJ8VJU;Active;;N;IN_SERVICE;No;2009-11-10T10:41:40+01:00;covDBimport;SDE 834766;33333;33333;"{""type"": ""Point"", ""coordinates"": [-123.08032558257344, 49.2137180452463]}";Sunset
