SITE;SITE_NAME;STATION_NAME;TRAMP_FARM_NAME;DESCRIPTION;DATE_COLLECTED;LABORATORY_SAMPLE_NUMBER;ANALYSIS;NAME;RESULT_UnitsNotAmendedFrom_mbqTo_bq;RESULT_NO_FLAG_UnitsAmendedForRIFE-AllBq's;Result_SFG;RNF_2SG;ACTUAL_ERROR;PERCENTAGE_ERROR;UNIT;ErrorCorrected;EC_2SF;LOD;ResultString
1;Sellafield;;ANIMAL;CAK - Cattle kidney;2016-10-13;201632031;121S;U-235;0.000435;0.000435;0.000435;0.00044;0.0002;46.5;Bq/kg;0.000396459;0.0004;0;0.00044?0.0004
21;Springfields;;CROP;BRT - Beetroot;2016-08-23;201630869;121S;U-235;0.000445;0.000445;0.000445;0.00045;0.00021;47.4;Bq/kg;0.000413423;0.00041;0;0.00045?0.00041
56;Thames area;Ufton Bridge to Theale;;CYS - Signal crayfish;2016-02-29;201628057;012S;U-235;0.000485;0.000485;0.000485;0.00049;0.00014;28.9;Bq/kg;0.000274723;0.00027;0;0.00049?0.00027
1;Sellafield;;CROP;POT - Potato;2016-08-08;201630734;121S;U-235;0.000578;0.000578;0.000578;0.00058;0.00023;39.6;Bq/kg;0.00044862;0.00045;0;0.00058?0.00045
33;Capenhurst;;CROP;BRT - Beetroot;2016-10-10;201632017;121S;U-235;0.000684;0.000684;0.000684;0.00068;0.00025;35.9;Bq/kg;0.00048129;0.00048;0;0.00068?0.00048
84;Derby;;CROP;POT - Potato;2016-09-01;201630962;121S;U-235;0.000696;0.000696;0.000696;0.0007;0.00024;33.9;Bq/kg;0.00046245;0.00046;0;0.0007?0.00046
1;Sellafield;W/A Commercial;;PLE - European plaice;2016-07-01;201630403;012S;U-235;0.000701;0.000701;0.000701;0.0007;0.00013;18;Bq/kg;0.000247313;0.00025;0;0.0007?0.00025
1;Sellafield;Drigg - Selker;;PLE - European plaice;2016-07-01;201633501;012S;U-235;0.000732;0.000732;0.000732;0.00073;0.00013;17.8;Bq/kg;0.00025538;0.00026;0;0.00073?0.00026
21;Springfields;;CROP;GRS - Grass;2016-08-23;201630870;121S;U-235;0.000839;0.000839;0.000839;0.00084;0.0003;35.4;Bq/kg;0.000582132;0.00058;0;0.00084?0.00058
1;Sellafield;W/A Commercial;;NEP - Norway lobster;2016-07-01;201635276;012S;U-235;0.00085;0.00085;0.00085;0.00085;0.00015;17.8;Bq/kg;0.000296548;0.0003;0;0.00085?0.0003
21;Springfields;;SP01;UMK-Unpasteurised Milk;2016-01-20;201627529;121L;U-238;0.00121;0.00121;0.00121;0.0012;0.001;53.7;Bq/L;0.00196;0.002;0;0.0012?0.002
1;Sellafield;;ANIMAL_RAVENGLASS;CAK - Cattle kidney;2016-06-13;201629844;121S;U-234;0.00169;0.00169;0.00169;0.0017;0.001;47.4;Bq/kg;0.00196;0.002;0;0.0017?0.002
31;Aldermaston;;CROP;WHT - Wheat;2016-08-23;201630863;121S;U-238;0.00203;0.00203;0.00203;0.002;0.001;29.3;Bq/kg;0.00196;0.002;0;0.002?0.002
84;Derby;;CROP;WHT - Wheat;2016-08-16;201630828;121S;U-238;0.00218;0.00218;0.00218;0.0022;0.001;33.3;Bq/kg;0.00196;0.002;0;0.0022?0.002
84;Derby;;CROP;WHT - Wheat;2016-08-16;201630828;121S;U-234;0.00222;0.00222;0.00222;0.0022;0.001;30.7;Bq/kg;0.00196;0.002;0;0.0022?0.002
31;Aldermaston;;CROP;WHT - Wheat;2016-08-23;201630863;121S;U-234;0.00269;0.00269;0.00269;0.0027;0.001;22;Bq/kg;0.00196;0.002;0;0.0027?0.002
1;Sellafield;;ANIMAL;LLK - Lamb liver & kidney;2016-07-26;201630562;121S;U-238;0.0029;0.0029;0.0029;0.0029;0.001;22.9;Bq/kg;0.00196;0.002;0;0.0029?0.002
1;Sellafield;;ANIMAL;LLK - Lamb liver & kidney;2016-07-26;201630562;121S;U-234;0.00385;0.00385;0.00385;0.0039;0.001;17.4;Bq/kg;0.00196;0.002;0;0.0039?0.002
21;Springfields;;SP01;UMK-Unpasteurised Milk;2016-01-20;201627529;121L;U-234;0.00396;0.00396;0.00396;0.004;0.001;17.3;Bq/L;0.00196;0.002;0;0.004?0.002
1;Sellafield;;ANIMAL;LLK - Lamb liver & kidney;2016-07-26;201630563;121S;U-234;0.00405;0.00405;0.00405;0.0041;0.001;18.7;Bq/kg;0.00196;0.002;0;0.0041?0.002
1;Sellafield;;ANIMAL;LLK - Lamb liver & kidney;2016-07-26;201630563;121S;U-238;0.00436;0.00436;0.00436;0.0044;0.001;18.7;Bq/kg;0.00196;0.002;0;0.0044?0.002
1;Sellafield;Sellafield PLZ;;CRE - Edible crab;2016-10-10;201632007;012S;U-235;0.00451;0.00451;0.00451;0.0045;0.00041;9.1;Bq/kg;0.000804404;0.0008;0;0.0045?0.0008
1;Sellafield;;ANIMAL;CAK - Cattle kidney;2016-10-13;201632031;121S;U-238;0.00719;0.00719;0.00719;0.0072;0.001;12.3;Bq/kg;0.00196;0.002;0;0.0072?0.002
1;Sellafield;;CROP;BRT - Beetroot;2016-08-30;201631015;121S;U-238;0.00763;0.00763;0.00763;0.0076;0.001;17.5;Bq/kg;0.00196;0.002;0;0.0076?0.002
1;Sellafield;;ANIMAL;CAK - Cattle kidney;2016-10-13;201632031;121S;U-234;0.00794;0.00794;0.00794;0.0079;0.001;11.1;Bq/kg;0.00196;0.002;0;0.0079?0.002
33;Capenhurst;;CROP;GRS - Grass;2016-10-10;201632016;121S;U-238;0.00795;0.00795;0.00795;0.008;0.001;15.3;Bq/kg;0.00196;0.002;0;0.008?0.002
33;Capenhurst;;CROP;BRT - Beetroot;2016-10-10;201632017;121S;U-234;0.00811;0.00811;0.00811;0.0081;0.001;11.2;Bq/kg;0.00196;0.002;0;0.0081?0.002
31;Aldermaston;;AD12;UMK-Unpasteurised Milk;2016-11-15;201634066;118L;PU-239+240;0.00842;0.000008;0.00842;0.000008;0.00001;57.8;Bq/L;0.0000098;0.0000098;0;0.0000084?0.0000098
33;Capenhurst;;CROP;GRS - Grass;2016-10-10;201632016;121S;U-234;0.00874;0.00874;0.00874;0.0087;0.001;14.1;Bq/kg;0.00196;0.002;0;0.0087?0.002
9;Hinkley;Stert, Stolford;;USH - Shrimp (unidentified);2016-05-23;201629474;003S;CM-243+244;0.00921;0.000009;0.00921;0.000009;0.00001;57.8;Bq/kg;0.0000098;0.0000098;0;0.0000092?0.0000098
1;Sellafield;;CROP;POT - Potato;2016-08-08;201630734;121S;U-238;0.00947;0.00947;0.00947;0.0095;0.001;11.7;Bq/kg;0.00196;0.002;0;0.0095?0.002
33;Capenhurst;;CROP;BRT - Beetroot;2016-10-10;201632017;121S;U-238;0.0095;0.0095;0.0095;0.0095;0.001;10.5;Bq/kg;0.00196;0.002;0;0.0095?0.002
67;Drigg;;RV09;UMK-Unpasteurised Milk;2016-05-15;201629877;118L;PU-239+240;0.0103;0.00001;0.0103;0.00001;0.00001;50;Bq/L;0.0000098;0.0000098;0;0.00001?0.0000098
84;Derby;;CROP;POT - Potato;2016-09-01;201630962;121S;U-238;0.0106;0.0106;0.0106;0.011;0.001;9.37;Bq/kg;0.00196;0.002;0;0.011?0.002
21;Springfields;;CROP;BRT - Beetroot;2016-08-23;201630869;121S;U-234;0.0106;0.0106;0.0106;0.011;0.001;11.6;Bq/kg;0.00196;0.002;0;0.011?0.002
31;Aldermaston;;AD11;UMK-Unpasteurised Milk;2016-02-15;201628167;118L;AM-241 (chem);0.0109;0.000011;0.0109;0.000011;0.00001;48;Bq/L;0.0000098;0.0000098;0;0.000011?0.0000098
31;Aldermaston;;CROP;POT - Potato;2016-08-10;201630719;121S;U-238;0.0112;0.0112;0.0112;0.011;0.001;9.22;Bq/kg;0.00196;0.002;0;0.011?0.002
21;Springfields;;CROP;BRT - Beetroot;2016-08-23;201630869;121S;U-238;0.0112;0.0112;0.0112;0.011;0.001;11.1;Bq/kg;0.00196;0.002;0;0.011?0.002
67;Drigg;;DR02;UMK-Unpasteurised Milk;2016-11-15;201633992;118L;AM-241 (chem);0.0113;0.000011;0.0113;0.000011;0.00001;57.6;Bq/L;0.00001372;0.000014;0;0.000011?0.000014
67;Drigg;;DR02;UMK-Unpasteurised Milk;2016-02-15;201628381;118L;AM-241 (chem);0.0115;0.000012;0.0115;0.000012;0.00001;56.1;Bq/L;0.00001176;0.000012;0;0.000012?0.000012
31;Aldermaston;;CROP;POT - Potato;2016-08-10;201630719;121S;U-234;0.0116;0.0116;0.0116;0.012;0.001;8.79;Bq/kg;0.00196;0.002;0;0.012?0.002
1;Sellafield;;SE09;UMK-Unpasteurised Milk;2016-05-15;201629890;118L;PU-239+240;0.012;0.000012;0.012;0.000012;0.00001;50;Bq/L;0.00001176;0.000012;0;0.000012?0.000012
84;Derby;;CROP;POT - Potato;2016-09-01;201630962;121S;U-234;0.0121;0.0121;0.0121;0.012;0.001;8.45;Bq/kg;0.00196;0.002;0;0.012?0.002
67;Drigg;;RV09;UMK-Unpasteurised Milk;2016-08-15;201631541;118L;AM-241 (chem);0.0121;0.000012;0.0121;0.000012;0.00001;56.9;Bq/L;0.00001372;0.000014;0;0.000012?0.000014
8;Dungeness;PLZ - Fish;;SCE - Escallop;2016-04-15;201630218;003S;CM-243+244;0.0125;0.000013;0.0125;0.000013;0.00001;55;Bq/kg;0.00001372;0.000014;0;0.000013?0.000014
1;Sellafield;;CROP;POT - Potato;2016-08-08;201630734;121S;U-234;0.013;0.013;0.013;0.013;0.001;9.06;Bq/kg;0.00196;0.002;0;0.013?0.002
67;Drigg;;DR02;UMK-Unpasteurised Milk;2016-05-15;201629875;118L;AM-241 (chem);0.0134;0.000013;0.0134;0.000013;0.00001;54.6;Bq/L;0.00001372;0.000014;0;0.000013?0.000014
67;Drigg;;RV09;UMK-Unpasteurised Milk;2016-02-15;201628384;118L;AM-241 (chem);0.0134;0.000013;0.0134;0.000013;0.00001;59.2;Bq/L;0.00001568;0.000016;0;0.000013?0.000016
29;Heysham;Morecambe;;FLE - Flounder (European);2016-03-24;201629047;004S;SR-90;0.0145;0.0145;0.0145;0.015;0.007;47.7;Bq/kg;0.01372;0.014;0;0.015?0.014
89;England;;CANTEEN_MEAL_WEST;CANTEEN MEAL;2016-02-15;201628114;004S;SR-90;0.0156;0.0156;0.0156;0.016;0.008;48.1;Bq/kg;0.01568;0.016;0;0.016?0.016
8;Dungeness;PLZ - Fish;;SCE - Escallop;2016-04-15;201630218;004S;SR-90;0.0158;0.0158;0.0158;0.016;0.008;51.2;Bq/kg;0.01568;0.016;0;0.016?0.016
7;Bradwell;Blackwater Estuary;;OYY - Oysters;2016-08-15;201630833;003S;CM-243+244;0.0164;0.000016;0.0164;0.000016;0.00001;44.8;Bq/kg;0.00001372;0.000014;0;0.000016?0.000014
56;Thames area;Ufton Bridge to Theale;;CYS - Signal crayfish;2016-02-29;201628057;012S;U-238;0.0175;0.0175;0.0175;0.018;0.001;5.51;Bq/kg;0.00196;0.002;0;0.018?0.002
52;Northern ireland;;CANTEEN_MEAL_EAST_NI;CANTEEN MEAL;2016-04-26;201629116;004S;SR-90;0.0178;0.0178;0.0178;0.018;0.008;42.9;Bq/kg;0.01568;0.016;0;0.018?0.016
1;Sellafield;;SE11;UMK-Unpasteurised Milk;2016-08-15;201631650;118L;AM-241 (chem);0.0185;0.000019;0.0185;0.000019;0.00001;49.1;Bq/L;0.00001764;0.000018;0;0.000019?0.000018
21;Springfields;;CROP;GRS - Grass;2016-08-23;201630870;121S;U-238;0.019;0.019;0.019;0.019;0.002;8.44;Bq/kg;0.00392;0.0039;0;0.019?0.0039
1;Sellafield;Sellafield Distance South;;MUS - Blue (edible) mussel;2016-07-01;201630638;003S;CM-243+244;0.0191;0.000019;0.0191;0.000019;0.00001;57.8;Bq/kg;0.00002156;0.000022;0;0.000019?0.000022
1;Sellafield;;ANIMAL_DRIGG;EGG - Chicken eggs;2016-06-03;201630385;118S;PU-238;0.0193;0.000019;0.0193;0.000019;0.00001;57.8;Bq/kg;0.00002156;0.000022;0;0.000019?0.000022
1;Sellafield;Drigg - Selker;;PLE - European plaice;2016-07-01;201633501;012S;U-238;0.0195;0.0195;0.0195;0.02;0.001;4.14;Bq/kg;0.00196;0.002;0;0.02?0.002
1;Sellafield;;SE08;UMK-Unpasteurised Milk;2016-11-15;201634093;118L;AM-241 (chem);0.0196;0.00002;0.0196;0.00002;0.00001;44.3;Bq/L;0.00001764;0.000018;0;0.00002?0.000018
1;Sellafield;W/A Commercial;;NEP - Norway lobster;2016-07-01;201635276;012S;U-238;0.021;0.021;0.021;0.021;0.001;4.19;Bq/kg;0.00196;0.002;0;0.021?0.002
67;Drigg;;DR02;UMK-Unpasteurised Milk;2016-08-15;201631536;118L;AM-241 (chem);0.0211;0.000021;0.0211;0.000021;0.00001;49.3;Bq/L;0.0000196;0.00002;0;0.000021?0.00002
79;Wales;;CANTEEN_MEAL_SOUTH_2;CANTEEN MEAL;2016-12-19;201634130;004S;SR-90;0.0211;0.0211;0.0211;0.021;0.008;37.7;Bq/kg;0.01568;0.016;0;0.021?0.016
1;Sellafield;Drigg - Selker;;PLE - European plaice;2016-07-01;201633501;012S;U-234;0.0216;0.0216;0.0216;0.022;0.001;3.99;Bq/kg;0.00196;0.002;0;0.022?0.002
52;Northern Ireland;;CANTEEN_MEAL_WEST_NI;CANTEEN MEAL;2016-11-08;201633540;004S;SR-90;0.0219;0.0219;0.0219;0.022;0.006;25.3;Bq/kg;0.01176;0.012;0;0.022?0.012
13;Trawsfynydd;Traws Lake (Anglers Supplied);;TRB - Rainbow trout;2016-04-28;201630668;003S;PU-238;0.022;0.000022;0.022;0.000022;0.00001;36.9;Bq/kg;0.00001568;0.000016;0;0.000022?0.000016
89;England;;CANTEEN_MEAL_NORTH;CANTEEN MEAL;2016-02-18;201628014;004S;SR-90;0.0221;0.0221;0.0221;0.022;0.006;27.2;Bq/kg;0.01176;0.012;0;0.022?0.012
1;Sellafield;W/A Commercial;;NEP - Norway lobster;2016-07-01;201635276;012S;U-234;0.0226;0.0226;0.0226;0.023;0.001;4.07;Bq/kg;0.00196;0.002;0;0.023?0.002
67;Drigg;;RV09;UMK-Unpasteurised Milk;2016-05-15;201629877;118L;AM-241 (chem);0.0227;0.000023;0.0227;0.000023;0.00001;41.1;Bq/L;0.00001764;0.000018;0;0.000023?0.000018
1;Sellafield;W/A Commercial;;PLE - European plaice;2016-07-01;201630403;012S;U-238;0.0227;0.0227;0.0227;0.023;0.001;3.87;Bq/kg;0.00196;0.002;0;0.023?0.002
1;Sellafield;W/A Commercial;;COD - Cod;2016-10-10;201633509;003S;CM-243+244;0.0231;0.000023;0.0231;0.000023;0.00001;51.6;Bq/kg;0.00002352;0.000024;0;0.000023?0.000024
89;England;;CANTEEN_MEAL_SOUTH;CANTEEN MEAL;2016-03-17;201628330;004S;SR-90;0.0233;0.0233;0.0233;0.023;0.006;25.5;Bq/kg;0.01176;0.012;0;0.023?0.012
21;Springfields;;CROP;GRS - Grass;2016-08-23;201630870;121S;U-234;0.0235;0.0235;0.0235;0.024;0.002;7.6;Bq/kg;0.00392;0.0039;0;0.024?0.0039
89;England;;CANTEEN_MEAL_MIDDLE;CANTEEN MEAL;2016-01-27;201627882;004S;SR-90;0.024;0.024;0.024;0.024;0.007;27.4;Bq/kg;0.01372;0.014;0;0.024?0.014
1;Sellafield;Nethertown;;PEE - Edible winkle;2016-10-01;201632004;012S;U-235;0.0241;0.0241;0.0241;0.024;0.002;9.95;Bq/kg;0.00392;0.0039;0;0.024?0.0039
89;England;;CANTEEN_MEAL_EAST;CANTEEN MEAL;2016-12-01;201633941;004S;SR-90;0.025;0.025;0.025;0.025;0.006;25.9;Bq/kg;0.01176;0.012;0;0.025?0.012
1;Sellafield;;SE08;UMK-Unpasteurised Milk;2016-05-15;201629888;118L;AM-241 (chem);0.025;0.000025;0.025;0.000025;0.00001;57.1;Bq/L;0.00002744;0.000027;0;0.000025?0.000027
1;Sellafield;W/A Commercial;;PLE - European plaice;2016-07-01;201630403;012S;U-234;0.0252;0.0252;0.0252;0.025;0.001;3.73;Bq/kg;0.00196;0.002;0;0.025?0.002
52;Northern ireland;;CANTEEN_MEAL_WEST_NI;CANTEEN MEAL;2016-08-08;201630800;004S;SR-90;0.026;0.026;0.026;0.026;0.01;39.9;Bq/kg;0.0196;0.02;0;0.026?0.02
1;Sellafield;;ANIMAL_RAVENGLASS;CAM - Cattle muscle;2016-06-13;201629843;118S;PU-239+240;0.0265;0.000027;0.0265;0.000027;0.00001;50;Bq/kg;0.00002548;0.000025;0;0.000027?0.000025
89;England;;CANTEEN_MEAL_EAST;CANTEEN MEAL;2016-10-31;201632597;004S;SR-90;0.0271;0.0271;0.0271;0.027;0.008;29.1;Bq/kg;0.01568;0.016;0;0.027?0.016
56;Thames area;Ufton Bridge to Theale;;CYS - Signal crayfish;2016-02-29;201628057;012S;U-234;0.0272;0.0272;0.0272;0.027;0.001;4.43;Bq/kg;0.00196;0.002;0;0.027?0.002
29;Heysham;Morecambe;;FLE - Flounder (European);2016-08-15;201630889;003S;CM-243+244;0.0278;0.000028;0.0278;0.000028;0.00001;29;Bq/kg;0.00001568;0.000016;0;0.000028?0.000016
79;Wales;;CANTEEN_MEAL_SOUTH_2;CANTEEN MEAL;2016-02-17;201628333;004S;SR-90;0.028;0.028;0.028;0.028;0.008;28.7;Bq/kg;0.01568;0.016;0;0.028?0.016
1;Sellafield;W/A Commercial;;COD - Cod;2016-07-01;201633510;004S;SR-90;0.0283;0.0283;0.0283;0.028;0.01;36.9;Bq/kg;0.0196;0.02;0;0.028?0.02
21;Springfields;Ribble Estuary;;USH - Shrimp (unidentified);2016-07-21;201630887;003S;CM-243+244;0.0285;0.000029;0.0285;0.000029;0.00001;50;Bq/kg;0.00002744;0.000027;0;0.000029?0.000027
1;Sellafield;Seascale Area;;CPR - Common prawn;2016-07-01;201632013;004S;SR-90;0.0287;0.0287;0.0287;0.029;0.014;48.3;Bq/kg;0.02744;0.027;0;0.029?0.027
79;Wales;;CANTEEN_MEAL_SOUTH_2;CANTEEN MEAL;2016-09-23;201631886;004S;SR-90;0.0289;0.0289;0.0289;0.029;0.009;31.5;Bq/kg;0.01764;0.018;0;0.029?0.018
1;Sellafield;;SE11;UMK-Unpasteurised Milk;2016-05-15;201629892;118L;PU-239+240;0.029;0.000029;0.029;0.000029;0.00001;33.4;Bq/L;0.0000196;0.00002;0;0.000029?0.00002
1;Sellafield;;SE09;UMK-Unpasteurised Milk;2016-02-15;201628444;118L;AM-241 (chem);0.0292;0.000029;0.0292;0.000029;0.00001;37;Bq/L;0.00002156;0.000022;0;0.000029?0.000022
56;Thames area;Ufton Bridge to Theale;;CYS - Signal crayfish;2016-02-29;201628057;003S;PU-238;0.031;0.000031;0.031;0.000031;0.00001;37.9;Bq/kg;0.00002352;0.000024;0;0.000031?0.000024
52;Northern ireland;;CANTEEN_MEAL_WEST_NI;CANTEEN MEAL;2016-04-22;201629089;004S;SR-90;0.0313;0.0313;0.0313;0.031;0.007;21.9;Bq/kg;0.01372;0.014;0;0.031?0.014
1;Sellafield;Parton (N);;COD - Cod;2016-01-22;201628068;045S;PB-210;0.0314;0.0314;0.0314;0.031;0.003;10.6;Bq/kg;0.00588;0.0059;0;0.031?0.0059
1;Sellafield;;CROP;POT - Potato;2016-08-08;201630734;004S;SR-90;0.0317;0.0317;0.0317;0.032;0.015;47.2;Bq/kg;0.0294;0.029;0;0.032?0.029
79;Wales;;CANTEEN_MEAL_SOUTH 1;CANTEEN MEAL;2016-02-03;201628045;004S;SR-90;0.0321;0.0321;0.0321;0.032;0.005;14.1;Bq/kg;0.0098;0.0098;0;0.032?0.0098
1;Sellafield;;SE09;UMK-Unpasteurised Milk;2016-05-15;201629890;118L;AM-241 (chem);0.0322;0.000032;0.0322;0.000032;0.00001;30.1;Bq/L;0.0000196;0.00002;0;0.000032?0.00002
31;Aldermaston;;CROP;WHT - Wheat;2016-08-23;201630863;118S;PU-239+240;0.0323;0.000032;0.0323;0.000032;0.00002;53.1;Bq/kg;0.00003332;0.000033;0;0.000032?0.000033
1;Sellafield;;ANIMAL;CAM - Cattle muscle;2016-10-13;201632030;004S;SR-90;0.0331;0.0331;0.0331;0.033;0.013;37.8;Bq/kg;0.02548;0.025;0;0.033?0.025
1;Sellafield;;ANIMAL;RAB - Rabbit;2016-10-17;201632574;118S;PU-238;0.0342;0.000034;0.0342;0.000034;0.00002;57.8;Bq/kg;0.0000392;0.000039;0;0.000034?0.000039
31;Aldermaston;;AD11;UMK-Unpasteurised Milk;2016-05-15;201629799;118L;AM-241 (chem);0.0349;0.000035;0.0349;0.000035;0.00001;38;Bq/L;0.00002548;0.000025;0;0.000035?0.000025
89;England;;CANTEEN_MEAL_EAST;CANTEEN MEAL;2016-10-15;201632596;004S;SR-90;0.0351;0.0351;0.0351;0.035;0.008;22.3;Bq/kg;0.01568;0.016;0;0.035?0.016
29;Heysham;Morecambe;;USH - Shrimp (unidentified);2016-05-16;201629607;004S;SR-90;0.0352;0.0352;0.0352;0.035;0.018;51.2;Bq/kg;0.03528;0.035;0;0.035?0.035
1;Sellafield;Drigg - Selker;;PLE - European plaice;2016-07-01;201633501;004S;SR-90;0.0356;0.0356;0.0356;0.036;0.014;38.8;Bq/kg;0.02744;0.027;0;0.036?0.027
1;Sellafield;W/A Commercial;;COD - Cod;2016-03-06;201629021;003S;CM-242;0.0359;0.000036;0.0359;0.000036;0.00002;44.8;Bq/kg;0.00003136;0.000031;0;0.000036?0.000031
1;Sellafield;;CROP;CAR - Carrot;2016-08-30;201631016;004S;SR-90;0.0361;0.0361;0.0361;0.036;0.007;20.4;Bq/kg;0.01372;0.014;0;0.036?0.014
1;Sellafield;Nethertown;;PEE - Edible winkle;2016-04-01;201630407;012S;U-235;0.0365;0.0365;0.0365;0.037;0.003;7.84;Bq/kg;0.00588;0.0059;0;0.037?0.0059
1;Sellafield;W/A Commercial;;COD - Cod;2016-03-06;201629021;003S;CM-243+244;0.0366;0.000037;0.0366;0.000037;0.00001;27.8;Bq/kg;0.0000196;0.00002;0;0.000037?0.00002
1;Sellafield;;SE08;UMK-Unpasteurised Milk;2016-11-15;201634093;118L;PU-239+240;0.0386;0.000039;0.0386;0.000039;0.00002;41.4;Bq/L;0.00003136;0.000031;0;0.000039?0.000031
52;Northern ireland;;CANTEEN_MEAL_WEST_NI;CANTEEN MEAL;2016-03-04;201628152;004S;SR-90;0.0392;0.0392;0.0392;0.039;0.006;16.3;Bq/kg;0.01176;0.012;0;0.039?0.012
1;Sellafield;Parton (N);;LBE - European lobster;2016-07-01;201630323;004S;SR-90;0.0397;0.0397;0.0397;0.04;0.016;40.6;Bq/kg;0.03136;0.031;0;0.04?0.031
89;England;;CANTEEN_MEAL_EAST;CANTEEN MEAL;2016-09-19;201631934;004S;SR-90;0.0405;0.0405;0.0405;0.041;0.008;19.4;Bq/kg;0.01568;0.016;0;0.041?0.016
1;Sellafield;W/A Commercial;;NEP - Norway lobster;2016-04-22;201629599;038S;PM-147;0.0406;0.0406;0.0406;0.041;0.009;22.9;Bq/kg;0.01764;0.018;0;0.041?0.018
1;Sellafield;;SE17;UMK-Unpasteurised Milk;2016-12-05;201633908;10;CS-137;0.04093;0.04093;0.04093;0.041;0.01168;28.5379;Bq/L;0.0228928;0.023;0;0.041?0.023
13;Trawsfynydd;;TR06;UMK-Unpasteurised Milk;2016-08-15;201631544;10;CS-137;0.041;0.041;0.041;0.041;0.0127;30.99;Bq/L;0.024892;0.025;0;0.041?0.025
79;Wales;;CANTEEN_MEAL_SOUTH_2;CANTEEN MEAL;2016-04-30;201630430;004S;SR-90;0.043;0.043;0.043;0.043;0.009;20.7;Bq/kg;0.01764;0.018;0;0.043?0.018
1;Sellafield;;SE09;UMK-Unpasteurised Milk;2016-11-15;201634095;118L;PU-239+240;0.0434;0.000043;0.0434;0.000043;0.00002;37.9;Bq/L;0.00003136;0.000031;0;0.000043?0.000031
1;Sellafield;;ANIMAL;CAK - Cattle kidney;2016-10-13;201632031;004S;SR-90;0.0441;0.0441;0.0441;0.044;0.013;30.4;Bq/kg;0.02548;0.025;0;0.044?0.025
21;Springfields;;CROP;BRT - Beetroot;2016-08-23;201630869;118S;PU-239+240;0.0458;0.000046;0.0458;0.000046;0.00002;50.9;Bq/kg;0.00004508;0.000045;0;0.000046?0.000045
1;Sellafield;;RV08;UMK-Unpasteurised Milk;2016-10-10;201631957;10;CS-137;0.046333;0.046333;0.046333;0.046;0.01189;25.669;Bq/L;0.0233044;0.023;0;0.046?0.023
1;Sellafield;Sellafield PLZ;;LBE - European lobster;2016-10-10;201632009;045S;PB-210;0.0466;0.0466;0.0466;0.047;0.003;7.41;Bq/kg;0.00588;0.0059;0;0.047?0.0059
18;Winfrith;Lulworth Ledges;;SCE - Escallop;2016-06-15;201629827;003S;CM-243+244;0.0476;0.000048;0.0476;0.000048;0.00001;23.7;Bq/kg;0.00002156;0.000022;0;0.000048?0.000022
1;Sellafield;;RV08;UMK-Unpasteurised Milk;2016-12-12;201634002;10;CS-137;0.047968;0.047968;0.047968;0.048;0.01209;25.2079;Bq/L;0.0236964;0.024;0;0.048?0.024
56;Thames area;Woolwich Reach;;FLE - Flounder (European);2016-11-03;201633373;2;CS-137;0.048;0.048;0.048;0.048;0.0145;30.25;Bq/kg;0.02842;0.028;0;0.048?0.028
8;Dungeness;Sea kale (Power Station);;SKL - Sea kale;2016-06-20;201629826;2;CS-137;0.049;0.049;0.049;0.049;0.0148;30.22;Bq/kg;0.029008;0.029;0;0.049?0.029
56;Thames area;Ufton Bridge to Theale;;CYS - Signal crayfish;2016-02-29;201628057;2;CS-137;0.049;0.049;0.049;0.049;0.0166;33.86;Bq/kg;0.032536;0.033;0;0.049?0.033
1;Sellafield;;SE09;UMK-Unpasteurised Milk;2016-11-21;201633819;10;CS-137;0.052;0.052;0.052;0.052;0.0117;22.55;Bq/L;0.022932;0.023;0;0.052?0.023
1;Sellafield;;SE11;UMK-Unpasteurised Milk;2016-02-22;201628025;10;CS-137;0.05215;0.05215;0.05215;0.052;0.01719;32.9636;Bq/L;0.0336924;0.034;0;0.052?0.034
1;Sellafield;;ANIMAL;LAM - Lamb muscle;2016-07-26;201630560;118S;PU-238;0.055;0.000055;0.055;0.000055;0.00003;50.4;Bq/kg;0.00005488;0.000055;0;0.000055?0.000055
1;Sellafield;;ANIMAL;PHT - Pheasant;2016-11-01;201633363;118S;PU-239+240;0.055;0.000055;0.055;0.000055;0.00003;57.8;Bq/kg;0.00006272;0.000063;0;0.000055?0.000063
1;Sellafield;;SE11;UMK-Unpasteurised Milk;2016-08-22;201630848;10;CS-137;0.056591;0.056591;0.056591;0.057;0.01728;30.5388;Bq/L;0.0338688;0.034;0;0.057?0.034
1;Sellafield;;ANIMAL_DRIGG;LLK - Lamb liver & kidney;2016-10-13;201632573;004S;SR-90;0.0571;0.0571;0.0571;0.057;0.014;24;Bq/kg;0.02744;0.027;0;0.057?0.027
1;Sellafield;;SE09;UMK-Unpasteurised Milk;2016-12-27;201634094;10;CS-137;0.057464;0.057464;0.057464;0.057;0.01265;22.0061;Bq/L;0.024794;0.025;0;0.057?0.025
1;Sellafield;;SE17;UMK-Unpasteurised Milk;2016-02-08;201627841;10;CS-137;0.05838;0.05838;0.05838;0.058;0.01743;29.854;Bq/L;0.0341628;0.034;0;0.058?0.034
1;Sellafield;Sellafield PLZ;;CRE - Edible crab;2016-04-18;201629054;038S;PM-147;0.0588;0.0588;0.0588;0.059;0.01;16.2;Bq/kg;0.0196;0.02;0;0.059?0.02
