Breed;Color;Date;DateCreated;Name;Sex;State
Basenji;Copper w/White Belly & Paws;2011-03-11;2011-03-11;Sport;M/N;Lost
Keesehound;Cream w/Blk & Grey Markings;2011-03-12;2011-03-12;Haley;F/S;Lost
pitbull;brindle;2011-03-13;2011-03-13;Askher;F/S;Lost
Budgie;Yellow;2011-03-21;2011-03-21;;F;Lost
Karelian Bear Dog;Black/White;2011-03-24;2011-03-24;Jango;M/N;Matched
Boston Terrier;Black/White;2011-03-25;2011-03-25;Ace;M/N;Lost
Pom;White/Tan Patches;2011-04-18;2011-04-18;Spock;M/N;Matched
Sheltie X Spaniel;Black and Tan;2011-04-28;2011-04-28;Honey;F;Matched
Pomeranian;Brown w/ white spots on feet;2011-04-01;2011-04-01;Precious;F;Lost
Sheltie X;Black/White;2011-04-06;2011-04-06;Qing Mei;F;Lost
French Bulldog;White/Black Head;2011-04-20;2011-04-20;Zoey;F/S;Lost
Husky;Black/White;2011-04-24;2011-04-24;Chocolate;F;Lost
King Charles Cavalier Spaniel;Brown;2011-04-25;2011-04-25;Kenzie;F;Lost
Blue Nose Pit Bull;gray w/ white face & paws;2011-04-27;2011-04-27;Grace;F/S;Lost
Pekingese;Fawn;2011-04-27;2011-04-27;Pugsy;F/S;Lost
Lab X;Blonde;2011-04-27;2011-04-27;Jake;M;Lost
Parrot;Multi;2011-05-03;2011-05-03;Baby Picasso;M;Lost
Pug;Tan w/ black on face;2011-05-06;2011-05-06;Misha;M;Lost
Boxer X Malamute;Brown w/Black;2011-05-08;2011-05-08;Sophie;F/S;Matched
Shih Tzu;White/Tan;2011-05-09;2011-05-09;CoCo;M;Lost
Pug;Fawn/Black;2011-05-10;2011-05-10;Rosie;F/S;Lost
SH Bengal Cat;Orange/Black/Brown;2011-05-17;2011-05-17;Missou;F/S;Lost
Husky;;2011-05-19;2011-05-19;;M;Lost
Retriever;Golden;2011-05-26;2011-05-26;Sheila;F;Lost
Skipper X Bermese;Black w/brwn feet striped tail;2011-06-02;2011-06-02;Domino;M;Lost
Shih Tzu X Bichon;Black/White;2011-06-05;2011-06-05;Bear;M/N;Lost
Pomeranian;White;2011-06-09;2011-06-09;Bentley;M;Lost
Flare point Cat;n/a;2011-06-11;2011-06-11;?;;Lost
Pomeranian;Tan;2011-06-11;2011-06-11;Ruka;;Lost
DLH Cat;Grey;2011-06-14;2011-06-14;Bully;M/N;Lost
Pug;Black/White Chest;2011-06-23;2011-06-23;Kujo;M;Matched
Lab Terrier X;Blonde;2011-07-15;2011-07-15;Prints;F/S;Matched
Miniature Poodle X;White;2011-08-02;2011-08-03;Bailey;M/N;Matched
Chihuahua;White/Tan;2011-08-04;2011-08-04;Me;F/S;Matched
Shih Tzu X;Tri Colour;2011-08-08;2011-08-09;Tom;M;Matched
Samoyed;White;2011-08-11;2011-08-12;Rorie;F;Matched
Poodle x Shih tzu;White;2011-08-12;2011-08-12;Molly;F/S;Matched
Shih Tzu;White/Tan;2011-08-31;2011-08-31;CiCi;F;Matched
Min Pin;Brown and Black;2011-09-07;2011-09-07;Prada;M/N;Matched
French Bulldog;Tan;2011-10-11;2011-10-11;Cooper;M/N;Matched
shitzu;Black and White;2011-10-15;2011-10-15;Tina;F;Matched
Yorkshire Terrier;Tan and Black;2011-10-16;2011-10-16;Unknown;M;Matched
Shepherd X;Tan/Black;2011-10-17;2011-10-17;Angel;F/S;Matched
Shiba Inu;Blonde/Yellow;2011-10-28;2011-10-28;Kiwi;M;Matched
Lab X Border Collie;Yellow;2011-10-31;2011-10-31;Peanut;F/S;Matched
German Shepherd X;Mostly Black w/Tan markings;2011-11-08;2011-11-08;Louis;F/S;Matched
Retriever;Gold;2011-11-10;2011-11-10;Sherman;M/N;Matched
Husky;Black and white;2011-11-11;2011-11-11;Nuka;F;Matched
American Bulldog;White and black;2011-11-12;2011-11-12;Hussy;F/S;Matched
Hound;Black & Tan;2011-11-11;2011-11-12;Brownie;M/N;Matched
DLH Cat;Black;2011-06-28;2011-06-28;Puff;M/N;Lost
Beagle X Boxer;Black and White;2011-07-02;2011-07-02;;;Lost
Lab X Collie;Black and Tan;2011-07-04;2011-07-04;Dolly;F/S;Lost
Chiuaha X Yorkie;Brown and White;2011-07-08;2011-07-08;Siga;M;Lost
DSH;Black and brown Tabby;2011-07-17;2011-07-17;;;
Shih Tzu X Poodle;White;2011-07-18;2011-07-18;Angel;F;Lost
Lab;Black;2011-07-18;2011-07-18;Goose;M;Lost
Staffy;Brown Brindle;2011-07-27;2011-07-27;Daisy;F/S;Lost
Long haired Himalayan;Cream/Brown;2011-07-29;2011-07-29;Katou;M/N;Lost
Sharpei X Border Collie;Black / w/ white paws;2011-07-29;2011-07-29;Buster;F/S;Lost
Yorkie;Brown and Grey;2011-08-01;2011-08-01;;F;Lost
Pitbull X;Auburn/White;2011-07-31;2011-08-02;Mimi;F/S;Lost
Cat;Blk/White broken tail;2011-07-24;2011-08-03;Mosey;M/N;Lost
DSH Cat;White/Grey;2011-07-31;2011-08-10;Charlie;M;Lost
Yorkshire Terrier;Brown/Tan;2011-08-09;2011-08-09;Yor;F;Lost
DSH Cat;Black/White;2011-08-07;2011-08-09;Pinky;M;Lost
DLH Cat;Grey;2011-08-04;2011-08-09;Butch;M/N;Lost
DSH Cat;Black/White;2011-08-07;2011-08-10;Little Cat;F/S;Lost
Pit Bull;Brindle;2011-08-16;2011-08-16;Bella;F;Lost
Shetland Sheepdog;brown white and chestnut;2011-08-17;2011-08-17;Taffy;M;Lost
CAT;Beige and orange;2011-08-17;2011-08-17;;;Lost
Chihuahua;Black;2011-08-22;2011-08-22;Chubby;M;Lost
Yorkshire Terrier;Grey w/ Blonde Head;2011-08-24;2011-08-24;Lakai;M/N;Lost
Dove;Tan w/ black ring around neck;2011-08-24;2011-08-24;?;X;Lost
DSH;Black and White;2011-08-25;2011-08-30;;;Lost
Poodle;White;2011-09-02;2011-09-02;Sunny;M/N;Lost
DSH Cat;Black/White;2011-09-01;2011-09-09;Toni;M/N;Lost
Cockatiel;Gry body Yllw head orng cheeks;2011-09-30;2011-09-02;Willie;M;Lost
Timberwolf X Malamute;Brown/Beige;2011-09-04;2011-09-04;Timber;M;Lost
Poodle Terrier Mix;Black;2011-09-08;2011-09-08;Coquette;;Lost
pigeon;black/white;2011-09-09;2011-09-09;Jannat;X;Lost
Pomeranian;Orange/Brown;2011-09-12;2011-09-12;Foxie;F;Lost
Border Collie;mostly black with white paws,;2011-09-15;2011-09-15;Dee O jay;M;Lost
Border Collie;Black/White;2011-09-15;2011-09-15;Buddy;M/N;Lost
DSH Cat;Black/White;2011-09-22;2011-09-22;Slammo;M/N;Lost
Cairn Terrier X;Grey w/silver markings;2011-09-27;2011-09-27;Daisy;F/S;Lost
French Bulldog;White w/ Black Dots;2011-10-11;2011-10-11;Yoda;M/N;Lost
German Shepard X;Brown/Black;2011-10-14;2011-10-14;Rex;M/N;Lost
Border Colie/Healer Mix;Black, White, Tanned Spotted;2011-10-18;2011-10-18;Zara;F;Lost
Mut/Dezi Dogs;Brown/Fawn;2011-10-20;2011-10-21;Tika;F/S;Lost
Bangle Cat;Black/Tan/Orange;2011-10-16;2011-10-21;Shenpa;F/S;Lost
Pointer;White;2011-10-23;2011-10-23;Butchie;M/N;
Cat - Machoon;Snow White;2011-10-23;2011-10-24;Dray;M/N;Lost
Terrier;White/Tan spots;2011-10-25;2011-10-25;Cooper;M;Lost
shihtzu;white/grey;2011-10-25;2011-10-25;Loklok Douglas;F;Lost
Schnauzer X Scottie X;Black/ Tri colour;2011-10-26;2011-10-26;Forrest;M/N;Lost
European short hairt mix;Black/White;2011-10-30;2011-10-30;Sashimi or Flo Flo;F;Lost
Rottweiler;Black/Tan;2011-11-03;2011-11-03;River;X;Lost
poodle;Brown (very short haircut);2011-11-06;2011-11-06;Bobbie;M;Lost
Whippet;White w/ brindle patches;2011-11-10;2011-11-10;Ozzie;M/N;Lost
DSH;grey muted tortoise shell;2011-11-11;2011-11-11;Rosy;F;Lost
Rottweiler X;Black & Grey;2011-11-24;2011-11-24;Roxanne;F;Matched
Mixed ( Collie X Hound);Black;2011-12-15;2011-12-15;Rocky;F/S;Matched
DSH;White and brown Calico;2011-11-15;2011-11-15;Mavis;F/S;Lost
Beagle;Tri Colour;2011-11-18;2011-11-18;Katie;F/S;Lost
DLH;Grey;2011-11-19;2011-11-21;Niro;M/N;Lost
Teacup Chihuahua;White;2011-11-19;2011-12-08;Eddie;M;Lost
Doberman X;Black w/Little Brown;2011-11-25;2011-11-25;Marcie or Loubo (rescue dog);F;Found
Rottweiler X;Black/Brown;2011-12-22;2011-12-22;Tia;F/S;Matched
Rottweiler;tan with white chest;2011-12-24;2011-12-24;;F;Matched
Husky X  Lab;blonde;2011-12-27;2011-12-27;Atticus;M/N;Matched
Shiba Inu;doldish/red;2011-12-31;2011-12-31;Hachi;F/S;Matched
Labrador;Brown;2011-12-02;2011-12-02;CoCo;M/N;Lost
German Shepherd;Black and brown;2011-12-03;2011-12-03;Raja;;Lost
Cat;White and Brown and black long;2011-12-04;2011-12-06;;F;Lost
Irish wolfhound X;Grey- dark & light;2012-01-02;2012-01-02;Adah;F/S;Matched
Shepherd X;Mostly Black - some brn/wht;2012-01-05;2012-01-05;Lucky;M;Matched
Lab;Black;2012-01-10;2012-01-10;Tucker;M;Matched
Brittany Spaniel;White/Brown;2011-12-11;2011-12-11;Zilla;F;Lost
DSH Cat;Black;2011-12-17;2011-12-21;Zena;F/S;Lost
Pitbull X (5 mnths old);Black/orange;2012-01-13;2012-01-13;Haze;M;Matched
Papillon X;White/Brown/Tan;2011-12-20;2011-12-20;Koko;F/S;Lost
DMH Cat;Grey & White;2011-12-20;2011-12-21;Ziggy;M/N;Lost
Labrador X;Black;2011-12-21;2011-12-21;Cedar;F/S;Lost
Min Pin;Black, Brown & White;2012-01-02;2012-01-02;Bella;F;Lost
Amer Bulldog X;White/Brown;2012-02-06;2012-02-06;Boda;M/N;Matched
Chihuahua mix Terrier;Black, Grey Scruffy;2012-02-08;2012-02-08;Toto;M;Matched
Doberman X Staffy;Tan and Black;2012-01-23;2012-01-23;Hunter;M/N;Lost
Lab;Black;2012-02-02;2012-02-02;Paladin;M;Lost
Rotti;Black / Tan;2012-02-03;2012-02-03;Samson;M;Lost
yorkie cross;Brown;2012-02-04;2012-02-04;Charlie;M/N;Lost
Mix German Shepherd;RotWeiler Colors;2012-02-12;2012-02-12;Fluff;F;Lost
Pit Bull;Blue;2012-02-23;2012-02-23;Chloe;F;Lost
Rottweiler;Black and Tan;2012-02-25;2012-02-25;;M;Lost
maltese x shih Tzu;White/Brown;2012-02-25;2012-02-26;Cooper;M;Lost
Australian Shepherd;Brown white black;2012-02-20;2012-02-26;Kayla/Kindle?;F;Lost
Toy Poodle;White;2012-02-26;2012-02-26;Espay;M;Lost
Cockatiel;Orange/Yellow/Grey;2012-02-28;2012-02-28;Zoe;F;Lost
Tabby Cat;Grey & Black - DSH;2012-02-23;2012-02-28;Charlie;M;Lost
Husky;White Face - Brown down back;2012-03-12;2012-03-12;Star;F/S;Matched
Lab;Chocolate;2012-03-12;2012-03-12;Latte;F/S;Matched
King Charles Spaniel;Ginger / White;2012-03-16;2012-03-16;MacDuff;M/N;Matched
Border Collie;Black/White;2012-03-16;2012-03-16;Ozzy;F/S;Lost
Unknown;White - Curly Hair (small);2012-03-20;2012-03-20;Banjo;M;Matched
Blue Heeler;White w/Black Spots;2012-03-09;2012-03-09;;X;Lost
DSH;White with Grey Brown Tabby Sp;2012-03-07;2012-03-09;Poppy;F/S;Lost
Maltipoo X poodle;White;2012-03-15;2012-03-15;Archie;M;Lost
Lab;Chocolate;2012-04-11;2012-04-11;Rebel;M/N;Matched
Pit Bull;Grey/White;2012-04-20;2012-04-20;Grace;F/S;Matched
Shepherd X;Black/Tan;2012-04-20;2012-04-20;Tucker;M/N;Matched
Australian Blue Heeler;;2012-03-26;2012-03-26;Chester;M/N;Lost
DSH;Orange & white markings;2012-03-26;2012-03-26;Atwood;M/N;Lost
Chihuahua;Blonde/White;2012-03-25;2012-03-29;Bacardi;M;Lost
English Bulldog;White/Brown;2012-04-01;2012-04-01;Lemmy;M/N;Lost
Japanese Chin;White/Brown;2012-04-01;2012-04-01;Moshi;F;Lost
Staff. Terrier;Black/White;2012-04-02;2012-04-02;Snoopy;M;Lost
Poodle X;Gray;2012-04-04;2012-04-04;Bell Bell;F;Lost
Lab;Black;2012-04-04;2012-04-04;Hendrix;M/N;Lost
Mini Daschund mix;brown with black markings shor;2012-04-06;2012-04-06;Dexter;M;Lost
Yorkie;Black & Grey;2012-04-08;2012-04-08;Baby;M;Lost
Basset Hound;Mostly Black with Brown & Whit;2012-04-09;2012-04-09;Baxter;M;Lost
Germ. S/Haired Pointer;White/Black/Brown;2012-04-09;2012-04-10;Mo;M;Lost
Med Mix Breed;White;2012-04-13;2012-04-13;Sprite;F/S;Lost
DSH;Black/White;2012-04-14;2012-04-14;Merlin;M;Lost
Chihuahua;Black;2012-04-15;2012-04-15;Soliel;F;Lost
Pit Bull;Brindle;2012-04-18;2012-04-18;;;Lost
Chihuahua;Tan/White;2012-04-23;2012-04-23;Stewie;M/N;Lost
Shih Tzu;Black/White;2012-04-24;2012-04-24;Daisey;F/S;Lost
Chihuahua/Yorkie;Black/Brown;2012-04-27;2012-04-27;Siga;M;Matched
Cat;Black/White (Tuxedo/Med Hair);2012-04-30;2012-04-30;Fluffy;M;Lost
Tabby DSH;Orange with White Markings;2012-04-29;2012-05-01;Yogi;M/N;Lost
Boston Terrier;Brown;2012-05-06;2012-05-06;Dougie;M;Lost
Cat;Orange Tabby;2012-05-08;2012-05-08;Twinkey;M/N;Lost
DSH Cat;Calico;2012-05-08;2012-05-09;;F;Lost
Shiba Inu;Sesame Red w/white;2012-05-09;2012-05-09;Venus;F/S;Matched
Chihuahua;White;2012-05-09;2012-05-09;Casper;M;Matched
DMH - Ragdoll X;White/Grey (med haired);2012-05-10;2012-05-10;?;F;Lost
Wheaten Terrier;Blonde;2012-05-11;2012-05-11;Ruby;F;Matched
Richback;Brown;2012-05-11;2012-05-12;Milo;M/N;Matched
Tortoise Shell;Black/Brown;2012-05-09;2012-05-15;Sephen;F;Lost
Chihuahua;Brown;2012-05-15;2012-05-15;Buster;M;Lost
Pug;Black/Tan/Brown;2012-05-16;2012-05-16;Fluffy;X;Lost
DSH;Black;2012-05-13;2012-05-17;Musashi;M;Lost
Lab/Shep;Tan/Black;2012-05-17;2012-05-17;Frankly;M;Lost
Chihuahua/Yorkie;Black/Brown;2012-05-18;2012-05-18;Siga;M;Matched
Toy Pom;Tan ( Skin Black );2012-05-22;2012-05-22;Diesel;M;Lost
Daschund X Terrier;Golden Brown;2012-05-22;2012-05-22;Apollo;M/N;Matched
American Eskimo;White;2012-05-18;2012-05-22;Sassy;F/S;Lost
DSH;DiliCalico;2012-05-18;2012-05-22;My Kitty;F/S;Lost
Miniature Pincher;Brown;2012-05-25;2012-05-25;Kane;M;Matched
Chihuahua X;White/Black;2012-05-26;2012-05-26;Lily;F;Lost
Blue Heeler X;Black/White/Tan;2012-05-25;2012-05-26;Mika;F/S;Lost
Jack Russel/ Terrier X;Light Brown/White;2012-05-27;2012-05-27;Jack;M/N;Lost
Shitzu X Yorkie;Black with White chest;2012-05-27;2012-05-27;Timmy;M/N;Matched
Golden Retriver;Light Yellow;2012-05-28;2012-05-28;Tum Tum;M/N;Matched
pitbullX terrier;white/brindle;2012-05-29;2012-05-29;Kali;F/S;Matched
Beagle X;Tan/Chestnut red/White;2012-06-02;2012-06-03;Koda;M/N;Matched
Pekingese X Yorkie;Orange;2012-06-04;2012-06-04;Molly;F/S;Matched
DSH - Cat;Grey Calico;2012-06-04;2012-06-04;Mimzy;F;Lost
DSH Cat;Black/White;2012-05-21;2012-06-05;Jett;M/N;Lost
Pit Bull;Blue;2012-06-05;2012-06-05;Drizzle;M;Matched
German Shepherd X - Puppy;Light Brown;2012-06-05;2012-06-05;?;;Lost
DSH;Black;2012-06-06;2012-06-06;Blackie;M/N;Lost
Labradoodle;Cream/Apricot;2012-06-07;2012-06-07;Kasey;M/N;Lost
Rotty X lab;Black/tan;2012-06-09;2012-06-09;;F;Lost
DSH (Russian Blue) Cat;Charcoal Grey;2012-06-11;2012-06-12;Scout;M/N;Lost
Akita X;Black/Tan;2012-06-13;2012-06-13;Silver;F/S;Matched
Husky X Shepherd;Silver / Black;2012-06-14;2012-06-14;Buddy;M/N;Lost
German Shepherd;Black/Brown;2012-06-14;2012-06-14;Lucy;F/S;Matched
Sphynx;Hairless Cat;2012-06-15;2012-06-15;Cairo;M/N;Lost
DSH;Black;2012-06-15;2012-06-15;Grosmine;M;Lost
Bordie Collie X Dutch Shepperd;Black with White;2012-06-15;2012-06-15;Jesse;F/S;Lost
DSH;Brown & Black Tortoise shell;2012-06-16;2012-06-16;Blackie;F/S;Lost
Husky X;Golden;2012-06-17;2012-06-17;Indo;M/N;Matched
Chuhuahua X;Tan;2012-06-19;2012-06-20;Mason;M;Lost
Dezi (india street dog);Brown/Caramel;2012-06-21;2012-06-21;Tika;F/S;Matched
Chihuahua;Black;2012-06-22;2012-06-22;Tubbie;F/S;Lost
Shepherd;Black;2012-06-22;2012-06-22;Lulu;F;Lost
DLH Tabby;Orange;2012-06-22;2012-06-24;Rosko;M;Lost
Toy Poodle;Apricot/Red;2012-06-25;2012-06-25;Pippin;M;Lost
Husky;Black & White;2012-06-25;2012-06-25;Atkis;M/N;Lost
DMH;Tortise Shell;2012-06-26;2012-06-26;Unknown;F/S;Lost
Yorkshire Terrier;Tan/Black;2012-06-26;2012-06-26;Mason;M/N;Matched
Border Collie X Blue Heeler;Black w/white on paw /chest;2012-06-27;2012-06-28;Chloe;F/S;Matched
Lab;Chocolate;2012-06-28;2012-06-28;Sev;M/N;Matched
Maltese;White;2012-06-28;2012-06-29;Dobby;M;Lost
Havanese X;White;2012-07-03;2012-07-03;Occi;M;Lost
DSH Cat;Black SH;2012-07-03;2012-07-03;Mimi;F/S;Lost
Maltese;White;2012-06-01;2012-07-06;Bubble;M;Lost
Labrador;Chocolate/Brown;2012-07-06;2012-07-07;Reese;M;Lost
lab;Yellow;2012-07-07;2012-07-07;Oakie;F;Lost
Lab;Chocolate;2012-07-08;2012-07-08;;M/N;Matched
Yorkie;Brown;2012-07-08;2012-07-08;Dolce;F;Lost
Sheltie;Sable;2012-07-11;2012-07-12;Pag;M/N;Matched
Pomeranian;Orange/White;2012-07-12;2012-07-12;Simba;M;Lost
German Shep X;Tan/Black;2012-07-14;2012-07-14;Jake;M/N;Matched
Maltipoo;Gold;2012-07-13;2012-07-14;Paddy;M;Lost
Dacshund;White/Grey;2012-07-14;2012-07-14;Dougie;M/N;Lost
DSH cat;Black;2012-07-14;2012-07-15;Ghost;M/N;Lost
DSH;Grey and white;2012-07-12;2012-07-15;LB;M/N;Lost
Dezi (India Street dog);Brown;2012-07-15;2012-07-15;Tika;F/S;Matched
Westie/Poodle X;White;2012-07-16;2012-07-16;Mimi;F;Lost
Pomeranian;Orange/Gold;2012-07-16;2012-07-16;Choco;F/S;Lost
Collie X;Brown/White;2012-07-16;2012-07-16;Penny;F/S;Matched
DSH;Black w/white paws & chin;2012-07-09;2012-07-16;?;;Lost
Schnauzer;Silver/White;2012-07-17;2012-07-17;Winnie;M;Matched
Shih Tzu;Black/White;2012-07-18;2012-07-18;Toby;M/N;Matched
DSH;Black;2012-07-18;2012-07-18;Tango;M/N;Lost
Golden Lab mix;Gold;2012-07-19;2012-07-19;Bonita;F;Lost
Lab X Pit Bull;White;2012-07-18;2012-07-19;Paulo;M;Lost
King Shep X Great Dane;Black/Brown;2012-07-18;2012-07-19;?;M;Lost
DSH;Black/White;2012-07-20;2012-07-20;Timmy;M/N;Lost
Mixed breed beagle colouring;White/Black/Brown;2012-07-20;2012-07-21;Tosh;M;Matched
Golden Retriever;Red;2012-07-20;2012-07-21;Charlie;M/N;Matched
Poodle;Beige;2012-07-21;2012-07-22;Sasha;M;Matched
Golden Retriever;Golden;2014-07-06;2014-07-06;Sparky;M;Matched
;Black;2014-06-28;2014-07-06;;M/N;Lost
Tabby;Grey;2014-07-06;2014-07-06;Rocco;M;Matched
DSH Tabby;Apricot;2014-07-07;2014-07-07;Horasce;M;Lost
DSH;White;2014-07-08;2014-07-08;Max;M/N;Lost
Tabby, white, orange, black;White;2014-07-09;2014-07-09;Baby;M;Lost
Brown grey tabby;Brown;2014-07-10;2014-07-10;William;M/N;Lost
Siamese;Grey;2014-07-10;2014-07-11;Pixie;F/S;Lost
Chihuahua;Tan;2014-07-12;2014-07-12;Precious;F;Matched
Jack Russell Terrier;Black;2014-07-12;2014-07-12;Jasper;M;Lost
.Unknown Breed Mix;White;2014-07-14;2014-07-14;Charlie;M;Lost
Tabby;Orange black with white boots;2014-07-14;2014-07-14;timbers;F/S;Matched
Germ. Shepherd;Black;2014-07-14;2014-07-14;Sammy;F/S;Matched
Cat;Orange;2014-07-15;2014-07-15;Rocky;M;Lost
Pug;Cream;2014-07-15;2014-07-15;Marley;F/S;Lost
Husky X;Brown;2014-07-17;2014-07-17;Arky (aka Arkajalka);M/N;Matched
Chihuahua;Brown;2014-07-16;2014-07-17;Romy;;Matched
Pomeranian;Cream;2014-07-18;2014-07-18;Chubby;M;Matched
Toy Poodle;Apricot;2014-07-19;2014-07-19;Porky;M;Matched
Cat;Grey;2014-07-21;2014-07-21;?;X;Lost
Japanese Chin;Black;2014-07-21;2014-07-21;Bobbaloui;M;Lost
Japanese Chin;White;2014-07-23;2014-07-23;Snuffles;M;Lost
Terrier X;Tan;2014-07-23;2014-07-23;Tallulah;F;Matched
DSH;Black;2014-07-23;2014-07-23;Bruno;M;Lost
Vizsla;Brown;2014-07-23;2014-07-23;Jazzy;F;Matched
Labrador;Brown;2014-07-24;2014-07-24;Nkosi;M;Matched
Pit Bull;White;2014-07-24;2014-07-24;Daisy;F;Matched
Tabby kitten;Grey;2014-07-26;2014-07-26;Not provided;M;Lost
Pomeranian;White;2014-07-26;2014-07-26;Princess;F;Lost
Black cat, white paws;Black;2014-07-27;2014-07-27;Name not given;;Lost
Burmese Cat;Brown;2014-07-27;2014-07-27;Creature;F;Lost
Cairn Terrier;Brown;2014-07-27;2014-07-27;Ginger;;Lost
Miniature Pinscher;Black;2014-07-28;2014-07-28;scrappy;M;Lost
Chihuahua;Tan;2014-07-28;2014-07-28;Tika;F;Lost
Pit Bull;Tan;2014-07-28;2014-07-28;Miklo;M;Matched
Dachshund;Black;2014-07-28;2014-07-28;Welly;M/N;Matched
Jack Russell Terrier;Black;2014-07-29;2014-07-29;Unknown;M;Lost
Toy Poodle;White;2014-07-31;2014-07-31;Bobo;F/S;Lost
Long Haired;Grey;2014-08-02;2014-08-02;Cocoa;M;Lost
Carpet Python Snake;Green, Black, cream;2014-08-03;2014-08-03;Murmur;M;Lost
Germ. Shepherd;Black;2014-08-03;2014-08-03;Hailey;F;Lost
Miniature Jackson;Pibolt brown/white/grey/black;2014-08-04;2014-08-04;Russell;M;Lost
Lab X;Black;2014-08-05;2014-08-05;Cypress;F/S;Matched
Golden Retriever;Golden;2014-08-05;2014-08-05;Fiona;F/S;Matched
Two rabbits;Grey;2014-08-08;2014-08-09;;X;Lost
Lab X;Black;2014-08-09;2014-08-09;Cypress;F;Lost
Yorkshire Terrier;Black;2014-08-09;2014-08-09;Pepsi;M;Lost
Shepherd X;Brown;2014-08-10;2014-08-10;Hank;M;Matched
Pit Bull;Black;2014-08-10;2014-08-10;Duke;M;Matched
Grey cat;Grey;2014-08-11;2014-08-11;;M;Lost
Shih Tzu;Brown;2014-08-11;2014-08-11;Milo;M;Matched
Pomeranian;Cream;2014-08-12;2014-08-12;Tinkerbell;F;Lost
French Poodle;White;2014-08-13;2014-08-13;Jolie;F;Lost
Budgie;White;2014-08-13;2014-08-13;;X;Lost
Weimaraner;Grey;2014-08-14;2014-08-14;Baxter;M;Matched
;Brown;2014-08-14;2014-08-14;Max;M;Lost
Husky;Black;2014-08-15;2014-08-15;Cyber;M;Matched
Persian;White;2014-08-16;2014-08-16;Lilly;F;Lost
Pomeranian;White;2014-08-16;2014-08-17;DuDu;M;Lost
;Black;2014-08-18;2014-08-18;Precious;M;Lost
Staffordshire Bull Terrier;Grey;2014-08-21;2014-08-21;Isis;F;Matched
Short haired black cat;Black;2014-08-22;2014-08-22;Little Snugs;F;Lost
Miniature Pinscher;Black;2014-08-23;2014-08-23;Rolo;F;Lost
Pit Bull;White;2014-08-23;2014-08-23;Forte;M;Lost
Blue Heeler;White;2014-08-25;2014-08-25;Puck;F;Lost
tabby;;2014-08-25;2014-08-25;Tommy;M;Lost
short hair;Black;2014-08-25;2014-08-25;Charlie;M;Lost
DSH;Grey;2014-08-26;2014-08-26;Coco;;Lost
DSH;Orange;2014-08-27;2014-08-27;Kit;F;Lost
short haired tortoiseshell;Black;2014-08-28;2014-08-28;Harriot;F;Lost
Germ. Shepherd;Brown;2014-09-02;2014-09-02;Teko;F/S;Lost
Calico;Orange/White/Grey;2014-09-02;2014-09-02;Sasha;F;Lost
Shih Tzu;White;2014-09-02;2014-09-02;Milo;M;Lost
Pit Bull;Brown;2014-09-04;2014-09-04;Stevie;F;Lost
Pit X;Brown;2014-09-05;2014-09-05;Sadie;F;Lost
Foxhound;Black;2014-09-05;2014-09-05;Fergus;M/N;Lost
Shiba Inu;Cream;2014-09-08;2014-09-08;Ted;M;Lost
Toy Poodle;Black;2014-09-08;2014-09-08;;M;Lost
Marmalade & white cat;Apricot;2014-09-05;2014-09-10;Diesel;M/N;Lost
Amer. Pit Bull;Tan;2014-09-11;2014-09-11;Chaos;M;Lost
Staffordshire Bull Terrier;Red;2014-09-12;2014-09-12;Bandit;M/N;Lost
Orange cat;Apricot;2014-09-11;2014-09-13;Oliver;M;Lost
Puli;Black;2014-09-14;2014-09-14;Duda;M;Matched
Parakeet;;2014-09-15;2014-09-15;Phoenix;M;Lost
Shih Tzu;White;2014-09-19;2014-09-19;Spencer;M;Matched
Himlayan cat;Brown;2014-09-20;2014-09-20;Cappie;M;Lost
DSH;White;2014-09-21;2014-09-21;lulu;F;Lost
Husky;Brown;2014-09-24;2014-09-24;Joey;M;Matched
Orange & white cat;Apricot;2014-09-20;2014-09-24;;F/S;Lost
DSH;Black;2014-09-25;2014-09-25;Black Sabbath;M/N;Lost
Husky;White;2014-09-25;2014-09-25;Bobby;;Lost
Labrador;Brown;2014-09-25;2014-09-25;Havoc;M;Lost
Chihuahua;Brown;2014-09-26;2014-09-26;Stella;F/S;Matched
Chihuahua;Brown;2014-09-27;2014-09-27;Zaya or Zea;F;Lost
Labrador;White;2014-09-28;2014-09-28;Jase;M;Lost
Pit Bull;Tan;2014-09-29;2014-09-29;Gigi;F;Matched
TabbyX, white w tabby tail;White;2014-09-29;2014-10-01;;F;Lost
Chihuahua;White;2014-10-01;2014-10-01;Nicky;F;Lost
Bichon Frise;White;2014-10-03;2014-10-03;Toto;M;Matched
Lab X;Black;2014-10-05;2014-10-05;Bria;F;Lost
Labrador;Black;2014-10-05;2014-10-05;Freedo;M;Matched
DSH;Black;2014-10-07;2014-10-07;Basil;M;Lost
DSH black & white;Black;2014-10-06;2014-10-09;Mr. Socks;M/N;Lost
Orange cat, w no tail;Apricot;2014-10-05;2014-10-10;Finnegan;M;Lost
French Bulldog;Black;2014-10-11;2014-10-11;Nano;M;Lost
Maltese;White;2014-10-11;2014-10-11;Roxy;F;Lost
.Unknown Breed Mix;Black;2014-10-12;2014-10-12;Raven;F;Lost
Doberman Pinscher;Brown;2014-10-12;2014-10-12;Bonito;M;Matched
Pit Bull;Tan;2014-10-14;2014-10-14;Angel;F;Matched
