Breed;Color;Date;DateCreated;Name;Sex;State
Husky;Black & White;1999-03-24;2005-06-21;Yukon;M/N;Lost
Husky X Chesapeke;Red;1999-03-24;2005-06-21;Wosco;F/S;Lost
Dalmation;Black & White Spots;1999-03-27;2005-06-21;;F/S;Lost
Lab X Pointer;Black;1999-03-28;2005-06-21;Lady;F/S;Matched
Shep X;Black & Tan;1999-03-28;2005-06-21;;F;Found
Golden Retreiver;Golden;1999-03-28;2005-06-21;Sasha;F/S;Lost
Husky;Black & White;1999-03-29;2005-06-21;Glacier;F/S;Matched
Bichon Frise;White;1999-03-28;2005-06-21;Lady;F/S;Lost
Lab;Yellow;1999-04-01;2005-06-21;Keily;F;Matched
Border Collie;Black & White;1999-04-01;2005-06-21;Katie;F/S;Lost
Lab X;Yellow;1999-04-01;2005-06-21;;M;Found
Lab;Golden;1999-04-02;2005-06-21;Shadow;F;Lost
Lab;Chocolate;1999-04-04;2005-06-21;;M;Found
Maltipoo;Black & White;1999-04-10;2005-06-21;Barney;M;Lost
Lab X Collie X Beagle;Two Black Dogs;1999-04-10;2005-06-21;Coco and Wayne;M;Found
Collie;Black;1999-04-11;2005-06-21;Sheka;F;Lost
Poodle;Biege;1999-04-11;2005-06-21;Sparky;M;Lost
Sheperd;Black & Tan;1999-04-13;2005-06-21;Fuji;F/S;Matched
Yellow Lab X Bord Collie;Black & Gold;1999-04-13;2005-06-21;Buster;M/N;Lost
Shepherd  X;Cream;1999-04-13;2005-06-21;;F;Found
Boxer;Brown & White;1999-04-14;2005-06-21;;F/S;Lost
J.R. Terrier;Brown & White;1999-04-14;2005-06-21;Kaspar;M;Found
Shiba Inu;Cinnamon;1999-04-16;2005-06-21;Nishka;F/S;Lost
Sheltie;Brown & Grey & White;1999-04-16;2005-06-21;;M;Found
Elkhound  X;Grey;1999-04-17;2005-06-21;Bear (aka fozzie);M;Matched
Malti (25 lbs);White;1999-04-18;2005-06-21;Ginger;F;Lost
Retreiver;Golden Red;1999-04-21;2005-06-21;Molly;F/S;Lost
Shep X Wolf;Grey & Brown;1999-04-23;2005-06-21;Lucas;M/N;Matched
Peki  X Shih;Black & Whtie;1999-04-23;2005-06-21;Kujo;M;Lost
Shep;Black & Tan;1999-04-24;2005-06-21;Dasher;M/N;Found
Pitbull  X;Black & White;1999-04-24;2005-06-21;Clouseau;M;Lost
Lab X Chesapeake;Brown & Black;1999-04-25;2005-06-21;Jackie Madeleine;F;Lost
Keeshound;Brown & White;1999-04-25;2005-06-21;Caviar;M;Matched
Dog;Black;1999-04-28;2005-06-21;;M;Found
Toy Pomeranian;Orange;1999-04-29;2005-06-21;Manny;M/N;Lost
Rott;Black & Tan;1999-04-30;2005-06-21;;M;Matched
Golden Retreiver;Golden;1999-05-03;2005-06-21;;M/N;Lost
Dalmation;White & Black spots;1999-05-04;2005-06-21;;M/N;Matched
Shep X Husky;Black & Tan;1999-05-05;2005-06-21;Homer;M/N;Lost
Retriever;Golden;1999-05-08;2005-06-21;Billy;M;Lost
Wolf X;Grey with White spots over eye;1999-05-10;2005-06-21;Teak;M;Lost
