Geom;P_ANNOTATION_LBL_ID
"{""type"": ""LineString"", ""coordinates"": [[-123.15245994473852, 49.27045718680437], [-123.15246005425674, 49.270492726685774], [-123.15200058229755, 49.270485758083666]]}";__FJ7KXH
"{""type"": ""LineString"", ""coordinates"": [[-123.15186101011203, 49.27045323506966], [-123.15175242259195, 49.270452028456]]}";__FJ7KXI
"{""type"": ""LineString"", ""coordinates"": [[-123.14932609438105, 49.27042553246693], [-123.14901335415416, 49.270423237659024]]}";__FJ7KXS
"{""type"": ""LineString"", ""coordinates"": [[-123.14890749827606, 49.270420684564414], [-123.14827651264628, 49.270413859096806]]}";__FJ7KXT
"{""type"": ""LineString"", ""coordinates"": [[-123.15010060037301, 49.269269977210314], [-123.14999612285919, 49.269267864087496]]}";__FJ7KXY
"{""type"": ""LineString"", ""coordinates"": [[-123.14821385745478, 49.26923961633225], [-123.14810456893412, 49.2692375076703]]}";__FJ7KY0
"{""type"": ""LineString"", ""coordinates"": [[-123.14703809025241, 49.26949381169401], [-123.1465775763044, 49.26948900868825]]}";__FJ7KY1
"{""type"": ""LineString"", ""coordinates"": [[-123.14472029548202, 49.26947617497754], [-123.14461787839436, 49.26947361364614]]}";__FJ7KY4
"{""type"": ""LineString"", ""coordinates"": [[-123.14494350557604, 49.269189398101446], [-123.14483902975915, 49.26918773007338]]}";__FJ7KY6
"{""type"": ""LineString"", ""coordinates"": [[-123.14463483801359, 49.26916684713721], [-123.14452212964287, 49.26916563888757]]}";__FJ7KY7
"{""type"": ""LineString"", ""coordinates"": [[-123.14970561113422, 49.26866377242239], [-123.14960181949559, 49.268660758534544]]}";__FJ7KY8
"{""type"": ""LineString"", ""coordinates"": [[-123.14823474214445, 49.26864456606966], [-123.14813576441568, 49.268642444208915]]}";__FJ7KYA
"{""type"": ""LineString"", ""coordinates"": [[-123.14982094069669, 49.268391518120545], [-123.14950477142293, 49.268387439047515]]}";__FJ7KYB
"{""type"": ""LineString"", ""coordinates"": [[-123.14930345109516, 49.26826996118223], [-123.14919554739592, 49.26827055032335]]}";__FJ7KYD
"{""type"": ""LineString"", ""coordinates"": [[-123.15015452255592, 49.26779651128979], [-123.15005417459953, 49.267795292373464]]}";__FJ7KYF
"{""type"": ""LineString"", ""coordinates"": [[-123.14537066148095, 49.26860236545366], [-123.14528199870742, 49.26860202721021]]}";__FJ7KYO
"{""type"": ""LineString"", ""coordinates"": [[-123.15501723082514, 49.26348717015953], [-123.1547114022982, 49.26348354122704]]}";__FJ7KYU
"{""type"": ""LineString"", ""coordinates"": [[-123.15219690660956, 49.264170093868884], [-123.15186219905922, 49.264162888353034]]}";__FJ7KZ1
"{""type"": ""LineString"", ""coordinates"": [[-123.15482568397006, 49.26507239154739], [-123.154592689779, 49.26506730640116]]}";__FJ7KZ3
"{""type"": ""LineString"", ""coordinates"": [[-123.15347632106203, 49.26696050422804], [-123.15305912563947, 49.26695476099697]]}";__FJ7KZB
"{""type"": ""LineString"", ""coordinates"": [[-123.15164511429526, 49.26685859575848], [-123.15159356739231, 49.266858213640106]]}";__FJ7KZG
"{""type"": ""LineString"", ""coordinates"": [[-123.15012104375394, 49.266733771613914], [-123.14977107810081, 49.26672745239601]]}";__FJ7KZP
"{""type"": ""LineString"", ""coordinates"": [[-123.14870594723249, 49.266048385961625], [-123.14830043946054, 49.266041270221514]]}";__FJ7KZQ
"{""type"": ""LineString"", ""coordinates"": [[-123.1495296561438, 49.2657234865263], [-123.14915439298059, 49.265717234158856]]}";__FJ7KZR
"{""type"": ""LineString"", ""coordinates"": [[-123.14978865218106, 49.26500892274377], [-123.14948417822853, 49.265001680134574]]}";__FJ7KZV
"{""type"": ""LineString"", ""coordinates"": [[-123.1365547223124, 49.272381451613185], [-123.1365702144792, 49.27276959389036]]}";__FJ7L03
"{""type"": ""LineString"", ""coordinates"": [[-123.13791777221871, 49.26767250191854], [-123.13791388919753, 49.267758860484115]]}";__FJ7L06
"{""type"": ""LineString"", ""coordinates"": [[-123.13894219894786, 49.26928189211486], [-123.13893531171922, 49.269521622437466]]}";__FJ7L0A
"{""type"": ""LineString"", ""coordinates"": [[-123.14298267901108, 49.269445092039334], [-123.14287820401536, 49.26944387199712]]}";__FJ7L0C
"{""type"": ""LineString"", ""coordinates"": [[-123.1427764743703, 49.26944129918827], [-123.14266787682536, 49.269440533809934]]}";__FJ7L0D
"{""type"": ""LineString"", ""coordinates"": [[-123.14172347323345, 49.26942777148232], [-123.141621747593, 49.269426564922114]]}";__FJ7L0F
"{""type"": ""LineString"", ""coordinates"": [[-123.14151589933454, 49.269425795091244], [-123.14141142441292, 49.2694245737227]]}";__FJ7L0G
"{""type"": ""LineString"", ""coordinates"": [[-123.14367688802355, 49.269453208098355], [-123.14336621479866, 49.26945044567696]]}";__FJ7L0J
"{""type"": ""LineString"", ""coordinates"": [[-123.14368776247295, 49.2691743434085], [-123.14337502519659, 49.26917024329334]]}";__FJ7L0K
"{""type"": ""LineString"", ""coordinates"": [[-123.1416581508966, 49.268462666690816], [-123.14145126572222, 49.268459771829754]]}";__FJ7L0S
"{""type"": ""LineString"", ""coordinates"": [[-123.13886035943051, 49.26852952408597], [-123.13885386258823, 49.268663560370534]]}";__FJ7L11
"{""type"": ""LineString"", ""coordinates"": [[-123.14068054499495, 49.2676434988066], [-123.14058020012078, 49.267643171178754]]}";__FJ7L12
"{""type"": ""LineString"", ""coordinates"": [[-123.1339555536998, 49.2699706064376], [-123.13385161302165, 49.26991315763013]]}";__FJ7L17
"{""type"": ""LineString"", ""coordinates"": [[-123.13399579147253, 49.27190009226003], [-123.13408189234325, 49.27196745633602]]}";__FJ7L1A
"{""type"": ""LineString"", ""coordinates"": [[-123.136673400856, 49.271595293221814], [-123.13668005393784, 49.27201312113867]]}";__FJ7L1D
"{""type"": ""LineString"", ""coordinates"": [[-123.14145969762616, 49.26398058185816], [-123.14126108186115, 49.263979025816525]]}";__FJ7L1H
"{""type"": ""LineString"", ""coordinates"": [[-123.14293904025371, 49.26506941197386], [-123.14267718667891, 49.26506568777968]]}";__FJ7L1K
"{""type"": ""LineString"", ""coordinates"": [[-123.14212844745289, 49.26733047485851], [-123.1420061050671, 49.267328376485665]]}";__FJ7L1S
"{""type"": ""LineString"", ""coordinates"": [[-123.14170113673836, 49.2673930755881], [-123.14159529540306, 49.26739320534275]]}";__FJ7L1U
"{""type"": ""LineString"", ""coordinates"": [[-123.13971312946981, 49.263864429047686], [-123.13950901002052, 49.26386062784751]]}";__FJ7L1V
"{""type"": ""LineString"", ""coordinates"": [[-123.14317703330939, 49.26301641102917], [-123.14295574308818, 49.263014885997514]]}";__FJ7L21
"{""type"": ""LineString"", ""coordinates"": [[-123.1431579769212, 49.263318223888184], [-123.14295111707054, 49.26331668096675]]}";__FJ7L22
"{""type"": ""LineString"", ""coordinates"": [[-123.13805572947125, 49.264171376810076], [-123.13805179551017, 49.26423929532048]]}";__FJ7L29
"{""type"": ""LineString"", ""coordinates"": [[-123.13715549790803, 49.26418998960996], [-123.13694038400025, 49.26418709644315]]}";__FJ7L2A
"{""type"": ""LineString"", ""coordinates"": [[-123.13654141932805, 49.26503582552222], [-123.13631256175715, 49.26503474646766]]}";__FJ7L2F
"{""type"": ""LineString"", ""coordinates"": [[-123.1399147250573, 49.2658777618905], [-123.13980475706452, 49.26587565519724]]}";__FJ7L2H
"{""type"": ""LineString"", ""coordinates"": [[-123.13414519030246, 49.26284877631139], [-123.13414262917179, 49.26291804239007]]}";__FJ7L2N
"{""type"": ""LineString"", ""coordinates"": [[-123.13135885264832, 49.2746169696198], [-123.13124974505916, 49.274687256087276]]}";__FJ7L2Q
"{""type"": ""LineString"", ""coordinates"": [[-123.13255298081629, 49.27595768811358], [-123.13247681545592, 49.27600859827427]]}";__FJ7L2V
"{""type"": ""LineString"", ""coordinates"": [[-123.13256991419294, 49.27636649096863], [-123.13251776288568, 49.27640073250212]]}";__FJ7L2X
"{""type"": ""LineString"", ""coordinates"": [[-123.13189292369987, 49.276391084958654], [-123.13182156524884, 49.27644063991817]]}";__FJ7L30
"{""type"": ""LineString"", ""coordinates"": [[-123.13244156774662, 49.27794523933076], [-123.13264195191003, 49.27807274110201]]}";__FJ7L33
"{""type"": ""LineString"", ""coordinates"": [[-123.13080331936531, 49.27966915235998], [-123.13069450105196, 49.2795932662025]]}";__FJ7L38
"{""type"": ""LineString"", ""coordinates"": [[-123.13284767033765, 49.2806414299815], [-123.13274505686746, 49.280574084054294]]}";__FJ7L3B
"{""type"": ""LineString"", ""coordinates"": [[-123.134445101493, 49.28204366696513], [-123.134644809854, 49.282172506246575]]}";__FJ7L3E
"{""type"": ""LineString"", ""coordinates"": [[-123.1348885911933, 49.28232289116325], [-123.1350552718341, 49.282435585954424]]}";__FJ7L3F
"{""type"": ""LineString"", ""coordinates"": [[-123.13691351264828, 49.28174125612638], [-123.13709603920084, 49.28186517318332]]}";__FJ7L3J
"{""type"": ""LineString"", ""coordinates"": [[-123.13309076539178, 49.28254445818795], [-123.13296611284878, 49.28246409485234]]}";__FJ7L3M
"{""type"": ""LineString"", ""coordinates"": [[-123.13287457623706, 49.28242687015943], [-123.1327702660381, 49.28249715244612]]}";__FJ7L3N
"{""type"": ""LineString"", ""coordinates"": [[-123.14398480038392, 49.27773656032662], [-123.14398205913551, 49.27798034226722]]}";__FJ7L3P
"{""type"": ""LineString"", ""coordinates"": [[-123.13508811933104, 49.2796817901119], [-123.13527062998992, 49.27980435183907]]}";__FJ7L3W
"{""type"": ""LineString"", ""coordinates"": [[-123.13353350128943, 49.28005552990956], [-123.13421324267276, 49.28049953610669]]}";__FJ7L3X
"{""type"": ""LineString"", ""coordinates"": [[-123.13473943133712, 49.28035905766742], [-123.13493638011703, 49.28048655042151]]}";__FJ7L3Y
"{""type"": ""LineString"", ""coordinates"": [[-123.13600131847433, 49.28027617295008], [-123.13619621276415, 49.280405474009086]]}";__FJ7L40
"{""type"": ""LineString"", ""coordinates"": [[-123.13686415715405, 49.28032237888581], [-123.1373669056683, 49.28065143770976]]}";__FJ7L41
"{""type"": ""LineString"", ""coordinates"": [[-123.13257549263439, 49.27765275123102], [-123.13330477668254, 49.278134953617155]]}";__FJ7L45
"{""type"": ""LineString"", ""coordinates"": [[-123.14048034055126, 49.280918440470465], [-123.1411187897279, 49.2813404359935]]}";__FJ7L48
"{""type"": ""LineString"", ""coordinates"": [[-123.06650546794738, 49.20781266239664], [-123.06650553685061, 49.20787427111101]]}";__FJ7L4M
"{""type"": ""LineString"", ""coordinates"": [[-123.04036254715399, 49.23598629085493], [-123.0401324470564, 49.235978725059645]]}";__FJ7L4X
"{""type"": ""LineString"", ""coordinates"": [[-123.03951496864764, 49.23599287155659], [-123.03946761200035, 49.236037863981274]]}";__FJ7L4Y
"{""type"": ""LineString"", ""coordinates"": [[-123.03549964939361, 49.23515846272171], [-123.03544474499064, 49.23521784822018]]}";__FJ7L50
"{""type"": ""LineString"", ""coordinates"": [[-123.03545435501826, 49.23428862704184], [-123.03538839967558, 49.23426031222785]]}";__FJ7L51
"{""type"": ""LineString"", ""coordinates"": [[-123.03373483302214, 49.23273119147722], [-123.03352944626988, 49.232662437591756]]}";__FJ7L5G
"{""type"": ""LineString"", ""coordinates"": [[-123.03301465840111, 49.23313258777515], [-123.0329061048027, 49.23307549889922]]}";__FJ7L5I
"{""type"": ""LineString"", ""coordinates"": [[-123.03257071750781, 49.22953605126213], [-123.03243611203513, 49.22953473984702]]}";__FJ7L5L
"{""type"": ""LineString"", ""coordinates"": [[-123.04110722573164, 49.24181085272004], [-123.0410371366906, 49.24178389192349]]}";__FJ7L5O
"{""type"": ""LineString"", ""coordinates"": [[-123.0272817139662, 49.24224992758087], [-123.0274203942869, 49.24210462166447]]}";__FJ7L5P
"{""type"": ""LineString"", ""coordinates"": [[-123.03331046130685, 49.24070334241036], [-123.03323144308196, 49.24066873349386]]}";__FJ7L5T
"{""type"": ""LineString"", ""coordinates"": [[-123.08783348917687, 49.22416985841773], [-123.08771400632709, 49.22416994920526]]}";__FJ7L65
"{""type"": ""LineString"", ""coordinates"": [[-123.07224326914141, 49.2335935064814], [-123.07224263348597, 49.23362858836054]]}";__FJ7L6C
"{""type"": ""LineString"", ""coordinates"": [[-123.09443545161409, 49.23045617025906], [-123.09428435450185, 49.23045224581316]]}";__FJ7L6L
"{""type"": ""LineString"", ""coordinates"": [[-123.09201019692156, 49.22770206985554], [-123.09173001654, 49.22769824481072]]}";__FJ7L6O
"{""type"": ""LineString"", ""coordinates"": [[-123.09107888112322, 49.22987108829595], [-123.09107766799255, 49.22995834325599]]}";__FJ7L6T
"{""type"": ""LineString"", ""coordinates"": [[-123.09155274961662, 49.229515392009496], [-123.09141060133834, 49.22951371452217]]}";__FJ7L6U
"{""type"": ""LineString"", ""coordinates"": [[-123.09186042928329, 49.229521894198804], [-123.09167774689021, 49.22951934074437]]}";__FJ7L6V
"{""type"": ""LineString"", ""coordinates"": [[-123.09378909695282, 49.22894328056438], [-123.093624961372, 49.2289420644189]]}";__FJ7L70
"{""type"": ""LineString"", ""coordinates"": [[-123.09150413241188, 49.23070818372463], [-123.0913653975111, 49.230704695430894]]}";__FJ7L73
"{""type"": ""LineString"", ""coordinates"": [[-123.09692045566564, 49.2298900824352], [-123.09664505965806, 49.229888064347655]]}";__FJ7L78
"{""type"": ""LineString"", ""coordinates"": [[-123.09119447594199, 49.2251391385382], [-123.09118980314634, 49.225212003877736]]}";__FJ7L7B
"{""type"": ""LineString"", ""coordinates"": [[-123.09161233988604, 49.22682268539307], [-123.09148050260079, 49.22682234010904]]}";__FJ7L7D
"{""type"": ""LineString"", ""coordinates"": [[-123.09247818982271, 49.22529461761213], [-123.09236625713865, 49.22529426639849]]}";__FJ7L7I
"{""type"": ""LineString"", ""coordinates"": [[-123.090099273796, 49.23234373490239], [-123.0900966476653, 49.232410301831756]]}";__FJ7L7M
"{""type"": ""LineString"", ""coordinates"": [[-123.09010123166567, 49.234167952660165], [-123.09009212182431, 49.234453558990126]]}";__FJ7L7O
"{""type"": ""LineString"", ""coordinates"": [[-123.089720809083, 49.230418181183815], [-123.08971479266813, 49.23050903795405]]}";__FJ7L7W
"{""type"": ""LineString"", ""coordinates"": [[-123.09039939447341, 49.22706876186791], [-123.09038870390019, 49.22723158448285]]}";__FJ7L7X
"{""type"": ""LineString"", ""coordinates"": [[-123.08246181917383, 49.242249157408835], [-123.08197821257453, 49.242246353254075]]}";__FJ7L8B
"{""type"": ""LineString"", ""coordinates"": [[-123.0797213873809, 49.221334199171054], [-123.07971534648038, 49.22142055794229]]}";__FJ7L8J
"{""type"": ""LineString"", ""coordinates"": [[-123.05697802803964, 49.232418538862426], [-123.05697489950195, 49.232672197544076]]}";__FJ7L8N
"{""type"": ""LineString"", ""coordinates"": [[-123.06254742967154, 49.23001697390334], [-123.06228235175273, 49.23001666736062]]}";__FJ7L8O
"{""type"": ""LineString"", ""coordinates"": [[-123.06377231451147, 49.22443440264661], [-123.06370364522415, 49.22443399077256]]}";__FJ7L8U
"{""type"": ""LineString"", ""coordinates"": [[-123.05410084243553, 49.23973028771806], [-123.05401837184907, 49.23969119700821]]}";__FJ7L92
"{""type"": ""LineString"", ""coordinates"": [[-123.05245430772212, 49.239034383540336], [-123.05238906504304, 49.23903261409674]]}";__FJ7L93
"{""type"": ""LineString"", ""coordinates"": [[-123.0542008162576, 49.23945634473706], [-123.05411766406796, 49.23942175203712]]}";__FJ7L94
"{""type"": ""LineString"", ""coordinates"": [[-123.05155122967089, 49.23919627264689], [-123.05131758018584, 49.239093830907585]]}";__FJ7L98
"{""type"": ""LineString"", ""coordinates"": [[-123.04982569008307, 49.23843379237618], [-123.04936046615565, 49.238228010002224]]}";__FJ7L9B
"{""type"": ""LineString"", ""coordinates"": [[-123.0525827806181, 49.23200461061169], [-123.05192691020387, 49.23200715610105]]}";__FJ7L9C
"{""type"": ""LineString"", ""coordinates"": [[-123.06235693892145, 49.241642031618774], [-123.06235294817171, 49.2417459287807]]}";__FJ7L9I
"{""type"": ""LineString"", ""coordinates"": [[-123.04862415388145, 49.241006925444196], [-123.04846747474105, 49.2409435748435]]}";__FJ7L9L
"{""type"": ""LineString"", ""coordinates"": [[-123.05595761059877, 49.241648043032434], [-123.05583802566792, 49.24159502898497]]}";__FJ7L9O
"{""type"": ""LineString"", ""coordinates"": [[-123.04620400026066, 49.23141231991687], [-123.04609617349807, 49.231410563942234]]}";__FJ7L9T
"{""type"": ""LineString"", ""coordinates"": [[-123.06825507491789, 49.23277630230933], [-123.0682544469822, 49.23281903013143]]}";__FJ7L9W
"{""type"": ""LineString"", ""coordinates"": [[-123.0649459561051, 49.23609404820642], [-123.06494067730995, 49.236248328663734]]}";__FJ7LA0
"{""type"": ""LineString"", ""coordinates"": [[-123.06592870256208, 49.23504324231], [-123.06592604860124, 49.235113406768576]]}";__FJ7LA1
"{""type"": ""LineString"", ""coordinates"": [[-123.06499062925062, 49.235612777315545], [-123.06498880196537, 49.23578008996075]]}";__FJ7LA3
"{""type"": ""LineString"", ""coordinates"": [[-123.06502701409553, 49.23407138484479], [-123.06502379192793, 49.23423285140775]]}";__FJ7LA4
"{""type"": ""LineString"", ""coordinates"": [[-123.06591800174859, 49.230645514334945], [-123.06591741071792, 49.23071747672108]]}";__FJ7LA5
"{""type"": ""LineString"", ""coordinates"": [[-123.06608980597949, 49.22547694654305], [-123.06597651815655, 49.225480159644256]]}";__FJ7LA9
"{""type"": ""LineString"", ""coordinates"": [[-123.06523336389131, 49.22589346431204], [-123.06522680227852, 49.22612552782256]]}";__FJ7LAD
"{""type"": ""LineString"", ""coordinates"": [[-123.06486373451801, 49.241303338880286], [-123.06486247219438, 49.241378000076054]]}";__FJ7LAH
"{""type"": ""LineString"", ""coordinates"": [[-123.12779422460098, 49.212099263805385], [-123.12779575182525, 49.21215908077782]]}";__FJ7LAW
"{""type"": ""LineString"", ""coordinates"": [[-123.12932490994942, 49.207888177794494], [-123.12931408237166, 49.20821112097138]]}";__FJ7LB3
"{""type"": ""LineString"", ""coordinates"": [[-123.12934090018979, 49.20743390650787], [-123.12933077334161, 49.207762246103904]]}";__FJ7LB4
"{""type"": ""LineString"", ""coordinates"": [[-123.1283952685311, 49.20859942033042], [-123.12838825194633, 49.20880587010239]]}";__FJ7LB6
"{""type"": ""LineString"", ""coordinates"": [[-123.1284240304844, 49.208058321450736], [-123.12841705228239, 49.208274216259554]]}";__FJ7LBB
"{""type"": ""LineString"", ""coordinates"": [[-123.12794690185811, 49.20803817077205], [-123.12794431847539, 49.20810113169559]]}";__FJ7LBD
"{""type"": ""LineString"", ""coordinates"": [[-123.12671124901489, 49.207470175744334], [-123.12671004393674, 49.207535851713054]]}";__FJ7LBG
"{""type"": ""LineString"", ""coordinates"": [[-123.12670301023505, 49.20774903891316], [-123.12670180390569, 49.20780885894341]]}";__FJ7LBH
"{""type"": ""LineString"", ""coordinates"": [[-123.12584249906035, 49.20758269414252], [-123.12583342739903, 49.20780038115433]]}";__FJ7LBQ
"{""type"": ""LineString"", ""coordinates"": [[-123.12466937140351, 49.20758085391976], [-123.12466879898076, 49.207631668955976]]}";__FJ7LBV
"{""type"": ""LineString"", ""coordinates"": [[-123.12715087933614, 49.206505864702265], [-123.1271438775644, 49.2067253576353]]}";__FJ7LC0
"{""type"": ""LineString"", ""coordinates"": [[-123.1297682256415, 49.208617639681194], [-123.1297624307657, 49.20875887229182]]}";__FJ7LC2
"{""type"": ""LineString"", ""coordinates"": [[-123.12979596472536, 49.20188520336079], [-123.12954723873347, 49.20149736221835]]}";__FJ7LC3
"{""type"": ""LineString"", ""coordinates"": [[-123.12178372528089, 49.20763752640176], [-123.12147237353385, 49.20776512867182]]}";__FJ7LC7
"{""type"": ""LineString"", ""coordinates"": [[-123.10245072019775, 49.21565042180146], [-123.10244471492976, 49.215734533003015]]}";__FJ7LCD
"{""type"": ""LineString"", ""coordinates"": [[-123.10157158127313, 49.21187499605235], [-123.10157100717633, 49.21192986780601]]}";__FJ7LCI
"{""type"": ""LineString"", ""coordinates"": [[-123.08988359571804, 49.21535437018358], [-123.08975108865316, 49.215354023452335]]}";__FJ7LCQ
"{""type"": ""LineString"", ""coordinates"": [[-123.10232261069848, 49.21903813913712], [-123.1023179845363, 49.21912539740716]]}";__FJ7LCX
"{""type"": ""LineString"", ""coordinates"": [[-123.09821289838017, 49.21780226530644], [-123.09820963828669, 49.21788952226764]]}";__FJ7LCZ
"{""type"": ""LineString"", ""coordinates"": [[-123.08206656601104, 49.20916573802777], [-123.08135614906064, 49.20920132221755]]}";__FJ7LD4
"{""type"": ""LineString"", ""coordinates"": [[-123.09370937824028, 49.20923746797715], [-123.09370545331439, 49.20933282124044]]}";__FJ7LD6
"{""type"": ""LineString"", ""coordinates"": [[-123.14447481751192, 49.20762868923231], [-123.1444656035355, 49.20776003206925]]}";__FJ7LDR
"{""type"": ""LineString"", ""coordinates"": [[-123.14824667514961, 49.20754825938256], [-123.14770015559235, 49.20728810493284]]}";__FJ7LDS
"{""type"": ""LineString"", ""coordinates"": [[-123.13995175051741, 49.212132515638714], [-123.13992902194875, 49.212583216089904]]}";__FJ7LE1
"{""type"": ""LineString"", ""coordinates"": [[-123.13617010037443, 49.212503710527756], [-123.13616820140616, 49.2125621821341]]}";__FJ7LE3
"{""type"": ""LineString"", ""coordinates"": [[-123.14102694813158, 49.207214318293836], [-123.14102651879679, 49.20730472154144]]}";__FJ7LE8
"{""type"": ""LineString"", ""coordinates"": [[-123.14345663438303, 49.20572384587395], [-123.143217089648, 49.205497461614854]]}";__FJ7LEA
"{""type"": ""LineString"", ""coordinates"": [[-123.13971459517009, 49.206542201436704], [-123.13970109444239, 49.206857062144834]]}";__FJ7LEJ
"{""type"": ""LineString"", ""coordinates"": [[-123.13656678400392, 49.20733361222827], [-123.13647068120844, 49.20733373480921]]}";__FJ7LEZ
"{""type"": ""LineString"", ""coordinates"": [[-123.14008517057607, 49.20793962157072], [-123.14008266465045, 49.20801968273255]]}";__FJ7LF4
"{""type"": ""LineString"", ""coordinates"": [[-123.17666679103274, 49.237377707344706], [-123.17655895343675, 49.23737787220616]]}";__FJ7LFF
"{""type"": ""LineString"", ""coordinates"": [[-123.17155110212732, 49.235446967443515], [-123.17146318698072, 49.23544709796345]]}";__FJ7LFP
"{""type"": ""LineString"", ""coordinates"": [[-123.16631759576704, 49.22924388059955], [-123.1663169440633, 49.22945482045179]]}";__FJ7LFT
"{""type"": ""LineString"", ""coordinates"": [[-123.17642731949414, 49.22999472158099], [-123.17642039862993, 49.23016879047815]]}";__FJ7LFV
"{""type"": ""LineString"", ""coordinates"": [[-123.16642393167236, 49.23002046836484], [-123.16642286482696, 49.23011177180847]]}";__FJ7LFW
"{""type"": ""LineString"", ""coordinates"": [[-123.16642183121414, 49.23021296999043], [-123.16642217882217, 49.23031236712852]]}";__FJ7LFX
"{""type"": ""LineString"", ""coordinates"": [[-123.16032092289826, 49.23707071171134], [-123.16030066590044, 49.23759876099503]]}";__FJ7LG6
"{""type"": ""LineString"", ""coordinates"": [[-123.15889517446827, 49.23755484490901], [-123.1588856642607, 49.237797729721606]]}";__FJ7LGB
"{""type"": ""LineString"", ""coordinates"": [[-123.15720145380082, 49.23758641462813], [-123.15666431603599, 49.23758040685459]]}";__FJ7LGE
"{""type"": ""LineString"", ""coordinates"": [[-123.16238767839762, 49.23621953687617], [-123.1623824298336, 49.236294654606255]]}";__FJ7LGK
"{""type"": ""LineString"", ""coordinates"": [[-123.15978098026527, 49.23620206875304], [-123.15967726187365, 49.23620086287181]]}";__FJ7LGL
"{""type"": ""LineString"", ""coordinates"": [[-123.16391431603526, 49.23861504676495], [-123.16377487616059, 49.23861434500202]]}";__FJ7LGS
"{""type"": ""LineString"", ""coordinates"": [[-123.16378832615177, 49.23153098639231], [-123.16378380414648, 49.231617347292044]]}";__FJ7LGU
"{""type"": ""LineString"", ""coordinates"": [[-123.16193046275251, 49.231502598920535], [-123.1619179437328, 49.231866474691415]]}";__FJ7LGW
"{""type"": ""LineString"", ""coordinates"": [[-123.16096646793285, 49.23145350075807], [-123.1609487128877, 49.231903288439675]]}";__FJ7LH0
"{""type"": ""LineString"", ""coordinates"": [[-123.16051281580803, 49.23146952287406], [-123.16050267301186, 49.23172635161003]]}";__FJ7LH1
"{""type"": ""LineString"", ""coordinates"": [[-123.15910161359731, 49.23151368083514], [-123.15910419173792, 49.231461055018954]]}";__FJ7LH6
"{""type"": ""LineString"", ""coordinates"": [[-123.15818346036093, 49.23154293496348], [-123.15742452896339, 49.231532736602254]]}";__FJ7LH7
"{""type"": ""LineString"", ""coordinates"": [[-123.15835579085717, 49.23237296119892], [-123.15823765638456, 49.23237132402487]]}";__FJ7LH9
"{""type"": ""LineString"", ""coordinates"": [[-123.15612248155026, 49.232427309963626], [-123.15611675206947, 49.23256629443156]]}";__FJ7LHB
"{""type"": ""LineString"", ""coordinates"": [[-123.15763048837788, 49.23428456354081], [-123.15752059122586, 49.23428291439232]]}";__FJ7LHG
"{""type"": ""LineString"", ""coordinates"": [[-123.15647588897339, 49.23426950999182], [-123.15637286010318, 49.23426785044818]]}";__FJ7LHJ
"{""type"": ""LineString"", ""coordinates"": [[-123.1568560650612, 49.233950103637646], [-123.15664450323432, 49.23394770112112]]}";__FJ7LHL
"{""type"": ""LineString"", ""coordinates"": [[-123.15949117183429, 49.233454868938246], [-123.15948763739598, 49.23363702774879]]}";__FJ7LHN
"{""type"": ""LineString"", ""coordinates"": [[-123.159505221315, 49.232916474448984], [-123.15950345344646, 49.233007337978485]]}";__FJ7LHQ
"{""type"": ""LineString"", ""coordinates"": [[-123.16114382723842, 49.23435162423005], [-123.16100782766016, 49.234349115281105]]}";__FJ7LHT
"{""type"": ""LineString"", ""coordinates"": [[-123.16230411952422, 49.233587634013915], [-123.16229149747409, 49.23413321399498]]}";__FJ7LHX
"{""type"": ""LineString"", ""coordinates"": [[-123.16232204561166, 49.23298401812489], [-123.1623072691861, 49.23350082536801]]}";__FJ7LHY
"{""type"": ""LineString"", ""coordinates"": [[-123.16185254873798, 49.233489769517895], [-123.16183853784524, 49.23403221205874]]}";__FJ7LI0
"{""type"": ""LineString"", ""coordinates"": [[-123.166101192777, 49.23408861579789], [-123.1660043483623, 49.234087855477306]]}";__FJ7LI3
"{""type"": ""LineString"", ""coordinates"": [[-123.1654367172256, 49.23338435021793], [-123.16533094418251, 49.23338315235657]]}";__FJ7LI5
"{""type"": ""LineString"", ""coordinates"": [[-123.16113895072252, 49.23495971021736], [-123.16102012170334, 49.234957627093365]]}";__FJ7LIB
"{""type"": ""LineString"", ""coordinates"": [[-123.1589640097188, 49.2358973752436], [-123.15882182873337, 49.23589622151387]]}";__FJ7LID
"{""type"": ""LineString"", ""coordinates"": [[-123.1575532513375, 49.234829781306004], [-123.15745022126815, 49.234828122724586]]}";__FJ7LII
"{""type"": ""LineString"", ""coordinates"": [[-123.16051420245505, 49.23293619776649], [-123.16051445601609, 49.23301445614839]]}";__FJ7LIM
"{""type"": ""LineString"", ""coordinates"": [[-123.16482720526582, 49.23141687912819], [-123.1648266741012, 49.23146365523541]]}";__FJ7LIN
"{""type"": ""LineString"", ""coordinates"": [[-123.15841940396938, 49.23123091691825], [-123.15798533379402, 49.23122342462742]]}";__FJ7LIO
"{""type"": ""LineString"", ""coordinates"": [[-123.15785346362834, 49.23122090631924], [-123.15770923002322, 49.231217954976806]]}";__FJ7LIP
"{""type"": ""LineString"", ""coordinates"": [[-123.15938429665775, 49.2312196769054], [-123.1588712526784, 49.23121410492406]]}";__FJ7LIQ
"{""type"": ""LineString"", ""coordinates"": [[-123.1613273446998, 49.229381901503274], [-123.16122432879806, 49.22938115479198]]}";__FJ7LIW
