enzyme,pathway_id
Q96C36,SMP0000020
P07814,SMP0000020
Q7Z4N8,SMP0000020
Q5T160,SMP0000020
P50440,SMP0000020
Q14353,SMP0000020
P12277,SMP0000020
P05089,SMP0000020
P00480,SMP0000020
Q9Y619,SMP0000020
P14920,SMP0000020
P17174,SMP0000020
P29475,SMP0000020
Q16878,SMP0000021
Q96SZ5,SMP0000021
Q9Y600,SMP0000021
Q99259,SMP0000021
Q6P531,SMP0000021
P13196,SMP0000024
P13716,SMP0000024
P08397,SMP0000024
P10746,SMP0000024
P06132,SMP0000024
P36551,SMP0000024
P50336,SMP0000024
Q8N4E7,SMP0000024
P22830,SMP0000024
Q12887,SMP0000024
Q7KZN9,SMP0000024
P09601,SMP0000024
P53004,SMP0000024
O75310,SMP0000024
P08236,SMP0000024
Q96I15,SMP0000029
Q99611,SMP0000029
P32929,SMP0000029
P35520,SMP0000029
P23526,SMP0000029
Q8TCB7,SMP0000029
P31153,SMP0000029
Q9NZL9,SMP0000029
P56192,SMP0000029
O43252,SMP0000029
P19440,SMP0000029
Q96KN2,SMP0000044
A5YM72,SMP0000044
O60678,SMP0000044
P19113,SMP0000044
P50135,SMP0000044
P21397,SMP0000044
P30838,SMP0000044
P05091,SMP0000044
P42357,SMP0000044
Q96N76,SMP0000044
Q96NU7,SMP0000044
O95954,SMP0000044
P49590,SMP0000044
P12081,SMP0000044
P19801,SMP0000044
Q8N4J0,SMP0000044
Q96KP4,SMP0000044
P52789,SMP0000058
P06744,SMP0000058
P35557,SMP0000058
P14410,SMP0000058
P36871,SMP0000058
Q6PCE3,SMP0000058
Q16851,SMP0000058
P54840,SMP0000058
Q04446,SMP0000058
O43451,SMP0000058
P04745,SMP0000058
P35573,SMP0000058
O60701,SMP0000058
P06737,SMP0000058
O75310,SMP0000058
P08236,SMP0000058
A8YXX4,SMP0000072
Q9UI32,SMP0000072
Q06210,SMP0000072
Q96EK6,SMP0000072
Q9UJ70,SMP0000072
P27708,SMP0000072
P31327,SMP0000072
Q06203,SMP0000072
P49915,SMP0000072
Q6IA69,SMP0000072
P30038,SMP0000072
P24298,SMP0000072
P00367,SMP0000072
P00505,SMP0000072
Q5JPH6,SMP0000072
P48506,SMP0000072
P48507,SMP0000072
P48637,SMP0000072
P00390,SMP0000072
Q99259,SMP0000072
P80404,SMP0000072
P51649,SMP0000072
P47897,SMP0000072
P21953,SMP0000137
P12694,SMP0000137
P09622,SMP0000137
P35914,SMP0000137
P54687,SMP0000137
P11182,SMP0000137
P26440,SMP0000137
P11310,SMP0000137
P30084,SMP0000137
Q96RQ3,SMP0000137
Q9HCC0,SMP0000137
P16219,SMP0000137
P45954,SMP0000137
Q9UKU7,SMP0000137
Q6NVY1,SMP0000137
P31937,SMP0000137
P80404,SMP0000137
Q99714,SMP0000137
P42765,SMP0000137
Q02252,SMP0000137
P05165,SMP0000137
P05166,SMP0000137
Q96PE7,SMP0000137
P22033,SMP0000137
Q06278,SMP0000137
P05091,SMP0000137
Q13825,SMP0000137
P54868,SMP0000137
P24752,SMP0000137
P55809,SMP0000137
P21953,SMP0000139
P12694,SMP0000139
P09622,SMP0000139
P35914,SMP0000139
P54687,SMP0000139
