ahfs_code,drugbank_id
84:04.08.92,DB00406
28:16.08.92,DB00408
84:04.04,DB00410
52:40.20,DB00411
12:04.00,DB00411
68:20.28,DB00412
28:36.20.08,DB00413
08:12.16.08,DB00415
08:12.16.04,DB00417
28:24.04,DB00418
92:92.00,DB00419
24:32.20,DB00421
28:20.32,DB00422
12:20.04,DB00423
28:24.92,DB00425
08:18.32,DB00426
10:00.00,DB00428
76:00.00,DB00429
52:04.20,DB00432
56:22.08,DB00433
28:16.08.24,DB00433
04:04.92,DB00434
24:12.08,DB00435
92:16.00,DB00437
08:12.06.12,DB00438
08:36.00,DB00440
10:00.00,DB00441
08:18.32,DB00442
68:04.00,DB00443
84:06.00,DB00443
52:08.00,DB00443
56:36.00,DB00443
52:08.08,DB00443
10:00.00,DB00444
10:00.00,DB00445
52:04.04,DB00446
08:12.08,DB00446
56:28.36,DB00448
52:24.00,DB00449
28:24.92,DB00450
68:36.04,DB00451
52:04.04,DB00452
84:04.04,DB00452
28:08.08,DB00454
04:08.00,DB00455
24:20.00,DB00457
28:16.04.28,DB00458
84:92.00,DB00459
52:92.00,DB00460
28:08.04.92,DB00461
24:16.00,DB00464
52:08.20,DB00465
28:08.04.92,DB00465
08:30.08,DB00468
28:08.04.92,DB00469
56:22.92,DB00470
48:10.24,DB00471
28:16.04.20,DB00472
28:24.08,DB00475
28:16.04.16,DB00476
28:16.08.24,DB00477
08:12.02,DB00479
10:00.00,DB00480
68:16.12,DB00481
28:08.04.08,DB00482
52:40.04,DB00484
84:92.00,DB00484
56:22.92,DB00486
24:24.00,DB00489
28:24.92,DB00490
24:32.04,DB00492
08:12.06.12,DB00493
28:36.12,DB00494
08:18.08.20,DB00495
86:12.04,DB00496
28:08.08,DB00497
10:00.00,DB00499
56:28.12,DB00501
28:16.08.08,DB00502
08:18.08.08,DB00503
08:12.28.16,DB00512
48:08.00,DB00514
48:16.00,DB00514
10:00.00,DB00515
24:32.04,DB00519
08:14.16,DB00520
84:92.00,DB00523
40:28.24,DB00524
84:04.08.40,DB00525
10:00.00,DB00526
84:08.00,DB00527
10:00.00,DB00530
10:00.00,DB00531
52:04.04,DB00537
08:12.18,DB00537
36:89.00*,DB00538
28:16.04.28,DB00540
10:00.00,DB00541
24:32.04,DB00542
10:00.00,DB00544
84:92.00,DB00544
12:04.00,DB00545
84:06.00,DB00547
84:92.00,DB00548
48:10.24,DB00549
68:36.08,DB00550
84:50.06,DB00553
28:08.04.92,DB00554
28:12.92,DB00555
36:89.00*,DB00556
28:24.92,DB00557
08:18.28,DB00558
48:48.00,DB00559
08:12.24.12,DB00560
10:00.00,DB00563
28:12.92,DB00564
12:20.20,DB00565
08:12.06.04,DB00567
20:12.04.14,DB00569
20:12.04.92,DB00569
10:00.00,DB00570
24:24.00,DB00571
12:08.08,DB00572
52:24.00,DB00572
24:08.16,DB00575
08:18.32,DB00577
28:20.92,DB00579
28:20.00,DB00579
40:10.00,DB00581
56:12.00,DB00581
08:14.08,DB00582
40:20.00,DB00583
24:32.04,DB00584
24:32.20,DB00584
56:28.12,DB00585
52:02.00,DB00586
28:32.92,DB00586
28:08.04.08,DB00586
52:08.20,DB00586
28:08.04.92,DB00586
68:04.00,DB00588
84:06.00,DB00588
52:08.00,DB00588
52:08.08,DB00588
24:20.00,DB00590
84:06.00,DB00591
52:08.08,DB00591
08:08.00,DB00592
28:12.20,DB00593
40:28.16,DB00594
84:06.00,DB00596
36:89.00*,DB00597
24:24.00,DB00598
28:04.04,DB00599
08:12.28.24,DB00601
08:08.00,DB00602
84:04.12,DB00602
68:32.00,DB00603
28:08.04.92,DB00605
08:30.08,DB00608
28:08.12,DB00611
24:24.00,DB00612
08:16.04,DB00615
10:00.00,DB00619
68:04.00,DB00620
84:06.00,DB00620
52:08.08,DB00620
28:16.08.24,DB00623
68:08.00,DB00624
08:18.08.16,DB00625
52:04.04,DB00626
84:04.04,DB00626
08:12.28.08,DB00626
24:06.92,DB00627
88:08.00,DB00627
28:24.08,DB00628
92:24.00,DB00630
10:00.00,DB00631
84:04.06,DB00632
28:24.92,DB00633
52:04.04,DB00634
68:04.00,DB00635
24:04.04.24,DB00640
24:04.92,DB00640
92:00.00,DB00640
24:06.08,DB00641
10:00.00,DB00642
08:08.00,DB00643
68:18.00,DB00644
36:66.00,DB00644
52:16.00,DB00645
84:04.08.28,DB00646
08:14.28,DB00646
10:00.00,DB00648
08:18.08.20,DB00649
92:12.00,DB00650
28:08.12,DB00652
56:12.00,DB00653
28:12.92,DB00653
40:12.00,DB00653
52:40.28,DB00654
68:16.04,DB00655
28:16.04.24,DB00656
40:18.19,DB00658
28:92.00,DB00659
24:28.92,DB00661
84:06.00,DB00663
10:00.00,DB00665
68:18.00,DB00666
12:12.12,DB00668
34:00.00,DB00668
12:12.00,DB00668
52:32.00,DB00668
28:32.28,DB00669
08:12.06.12,DB00671
68:20.20,DB00672
56:22.32,DB00673
12:04.00,DB00674
10:00.00,DB00675
24:32.08,DB00678
08:14.28,DB00681
20:12.04.08,DB00682
28:24.08,DB00683
08:12.02,DB00684
52:04.04,DB00684
92:00.00,DB00686
68:04.00,DB00687
10:00.00,DB00688
92:44.00,DB00688
28:24.08,DB00690
12:16.04.04,DB00692
12:16.00,DB00692
36:58.00,DB00693
36:89.00*,DB00693
10:00.00,DB00694
40:28.08,DB00695
12:16.00,DB00696
12:20.04,DB00697
08:36.00,DB00698
24:32.20,DB00700
52:40.12,DB00703
28:10.00,DB00704
08:18.08.16,DB00705
12:16.04.12,DB00706
10:00.00,DB00707
28:08.08,DB00708
08:18.08.20,DB00709
52:08.20,DB00712
28:08.04.92,DB00712
28:36.20.08,DB00714
28:08.08,DB00714
28:16.04.20,DB00715
52:02.00,DB00716
48:92.00,DB00716
68:12.00,DB00717
68:32.00,DB00717
08:18.32,DB00718
92:24.00,DB00720
24:32.04,DB00722
84:92.00,DB00724
28:16.04.28,DB00726
24:12.08,DB00727
12:20.20,DB00728
12:20.92,DB00732
