Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
BIS,BIS,Finance & Commercial Group,FCG-5-4371-DD6,HEO,22300,45000,,12.43
BIS,BIS,Finance & Commercial Group,FCG-5-4371-DD6,EO,18763,35000,,21.42
BIS,BIS,Finance & Commercial Group,FCG-5-4371-DD6,AO,16325,22126,,5.56
BIS,BIS,Finance & Commercial Group,FCG-5-4371-DD6,AA,13605,15117,,8
BIS,BIS,Finance & Commercial Group,FCG-5-3552-DD7,Grade 6,50043,75983,,2
BIS,BIS,Finance & Commercial Group,FCG-5-3552-DD7,Grade 7,40686,64151,,6
BIS,BIS,Finance & Commercial Group,FCG-5-3552-DD7,SEO,28741,49798,,4.56
BIS,BIS,Finance & Commercial Group,FCG-5-3552-DD7,HEO,22300,45000,,9
BIS,BIS,Finance & Commercial Group,FCG-5-3552-DD7,EO,18763,35000,,10.3
BIS,BIS,Finance & Commercial Group,FCG-5-3552-DD7,AO,16325,22126,,4.67
BIS,BIS,Finance & Commercial Group,FCG-5-3554-DD8,Grade 6,50043,75983,,3
BIS,BIS,Finance & Commercial Group,FCG-5-3554-DD8,Grade 7,40686,64151,,9
BIS,BIS,Finance & Commercial Group,FCG-5-3554-DD8,SEO,28741,49798,,6
BIS,BIS,Finance & Commercial Group,FCG-5-3554-DD8,HEO,22300,45000,,8.51
BIS,BIS,Finance & Commercial Group,FCG-5-3554-DD8,EO,18763,35000,,3.79
BIS,BIS,Finance & Commercial Group,FCG-5-3554-DD8,AO,16325,22126,,29.58
BIS,BIS,Finance & Commercial Group,FCG-5-3554-DD8,AA,13605,15117,,1.3
BIS,BIS,Shareholder Executive,SE-3-5506-MR,Other,N/A,N/A,,1
BIS,BIS,Shareholder Executive,SE-5-5501-DD2,Grade 6,50043,75983,,1
BIS,BIS,Shareholder Executive,SE-5-5501-DD4,Grade 6,50043,75983,,2
BIS,BIS,Shareholder Executive,SE-5-5501-DD4,Grade 7,40686,64151,,1
BIS,BIS,Shareholder Executive,SE-5-5501-DD4,HEO,22300,45000,,1
BIS,BIS,Shareholder Executive,SE-5-5501-DD11,Grade 6,50043,75983,,5
BIS,BIS,Shareholder Executive,SE-5-5501-DD11,Grade 7,40686,64151,,4
BIS,BIS,Shareholder Executive,SE-5-5501-DD11,HEO,22300,45000,,2
BIS,BIS,Shareholder Executive,SE-5-5501-DD11,EO,18763,35000,,2
BIS,BIS,Shareholder Executive,SE-5-5502-DD9,Grade 7,40686,64151,,1
BIS,BIS,Shareholder Executive,SE-5-5502-DD10,Grade 6,50043,75983,,1
BIS,BIS,Shareholder Executive,SE-5-5502-DD10,Grade 7,40686,64151,,1
BIS,BIS,Shareholder Executive,SE-5-5502-DD10,HEO,22300,45000,,1.78
BIS,BIS,Shareholder Executive,SE-5-5504-DD1,Grade 6,50043,75983,,2
BIS,BIS,Shareholder Executive,SE-5-5504-DD1,Grade 7,40686,64151,,1
BIS,BIS,Shareholder Executive,SE-5-5504-DD1,Other,N/A,N/A,,1
BIS,BIS,Shareholder Executive,SE-5-5506-DD5,Grade 6,50043,75983,,3
BIS,BIS,Government Office for Science,GOSCI-3-0015-ND,Grade 7,40686,64151,,1
BIS,BIS,Government Office for Science,GOSCI-3-0015-ND,HEO,22300,45000,,2
BIS,BIS,Government Office for Science,GOSCI-3-0015-ND,EO,18763,35000,,3
BIS,BIS,Government Office for Science,GOSCI-3-0015-ND,AO,16325,22126,,1
BIS,BIS,Government Office for Science,GOSCI-5-0014-DD4,Grade 6,50043,75983,,2
BIS,BIS,Government Office for Science,GOSCI-5-0014-DD4,Grade 7,40686,64151,,6
BIS,BIS,Government Office for Science,GOSCI-5-0014-DD4,HEO,22300,45000,,10
BIS,BIS,Government Office for Science,GOSCI-5-0014-DD4,EO,18763,35000,,9
BIS,BIS,Government Office for Science,GOSCI-5-0014-DD4,AO,16325,22126,,4
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD1,Grade 6,50043,75983,,2
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD1,Grade 7,40686,64151,,3
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD1,SEO,16325,22126,,1
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD1,HEO,22300,45000,,4
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD1,EO,18763,35000,,1
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD2,Grade 6,50043,75983,,1
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD2,Grade 7,40686,64151,,5
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD2,HEO,22300,45000,,4.81
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD2,AO,16325,22126,,1
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD3,Grade 6,50043,75983,,1
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD3,Grade 7,40686,64151,,2.67
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD3,SEO,28741,49798,,2
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD3,HEO,22300,45000,,3
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD3,EO,18763,35000,,2
BIS,BIS,Government Office for Science,GOSCI-5-0016-DD3,AO,16325,22126,,1
BIS,BIS,Science and Research Group,SR-2-0022-AS,EO,18763,35000,,2
BIS,BIS,Science and Research Group,SR-3-0022-JN,EO,18763,35000,,1
BIS,BIS,Science and Research Group,SR-3-1081-ND,Grade 6,50043,75983,,1
BIS,BIS,Science and Research Group,SR-3-1081-ND,Grade 7,40686,64151,,4.62
BIS,BIS,Science and Research Group,SR-3-1081-ND,SEO,28741,49798,,1
BIS,BIS,Science and Research Group,SR-3-1081-ND,HEO,22300,45000,,6
BIS,BIS,Science and Research Group,SR-3-1081-ND,EO,18763,35000,,2
BIS,BIS,Science and Research Group,SR-3-1081-ND,AO,16325,22126,,1
BIS,BIS,Science and Research Group,SR-5-0012-DD6,Grade 6,50043,75983,,3
BIS,BIS,Science and Research Group,SR-5-0012-DD6,Grade 7,40686,64151,,6
BIS,BIS,Science and Research Group,SR-5-0012-DD6,SEO,28741,49798,,4
BIS,BIS,Science and Research Group,SR-5-0012-DD6,HEO,22300,45000,,11.58
BIS,BIS,Science and Research Group,SR-5-0012-DD6,EO,18763,35000,,2
BIS,BIS,Science and Research Group,SR-5-0012-DD6,AO,16325,22126,,2
BIS,BIS,Science and Research Group,SR-5-0021-DD2,Other,N/A,N/A,,1
BIS,BIS,Science and Research Group,SR-5-0021-DD2,Grade 6,50043,75983,,1.83
BIS,BIS,Science and Research Group,SR-5-0021-DD2,Grade 7,40686,64151,,1
BIS,BIS,Science and Research Group,SR-5-0021-DD2,HEO,22300,45000,,6
BIS,BIS,Science and Research Group,SR-5-0021-DD2,EO,18763,35000,,1
BIS,BIS,Science and Research Group,SR-5-0021-DD2,AO,16325,22126,,0.75
BIS,BIS,Science and Research Group,SR-5-0023-DD1,Grade 6,50043,75983,,1
BIS,BIS,Science and Research Group,SR-5-0023-DD1,Grade 7,40686,64151,,1
BIS,BIS,Science and Research Group,SR-5-0023-DD1,SEO,28741,49798,,5
BIS,BIS,Science and Research Group,SR-5-0023-DD1,HEO,22300,45000,,3
BIS,BIS,Science and Research Group,SR-5-0023-DD1,EO,18763,35000,,3
BIS,BIS,Science and Research Group,SR-5-0023-DD1,AO,16325,22126,,1
BIS,BIS,Science and Research Group,SR-5-0024-DD3,Grade 6,50043,75983,,3
BIS,BIS,Science and Research Group,SR-5-0024-DD3,Grade 7,40686,64151,,2.25
BIS,BIS,Science and Research Group,SR-5-0024-DD3,HEO,22300,45000,,6.58
BIS,BIS,Science and Research Group,SR-5-0024-DD3,EO,18763,35000,,1
BIS,BIS,Science and Research Group,SR-5-0025-DD4,Grade 6,50043,75983,,1
BIS,BIS,Science and Research Group,SR-5-0025-DD4,Grade 7,40686,64151,,2
BIS,BIS,Science and Research Group,SR-5-0025-DD4,HEO,22300,45000,,7.89
BIS,BIS,Science and Research Group,SR-5-0025-DD4,EO,18763,35000,,1
BIS,BIS,Science and Research Group,SR-5-0028-DD5,Grade 6,50043,75983,,1
BIS,BIS,Science and Research Group,SR-5-0028-DD5,Grade 7,40686,64151,,4
BIS,BIS,Science and Research Group,SR-5-0028-DD5,HEO,22300,45000,,2
BIS,BIS,Science and Research Group,SR-5-0028-DD5,AO,16325,22126,,0.76
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-1-3006-SF,Grade 7,40686,64151,,1
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-1-3006-SF,HEO,22300,45000,,2
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-1-3006-SF,EO,18763,35000,,1
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-1-3006-SF,AO,16325,22126,,1
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-3-3002-RA,Other,N/A,N/A,,1
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-3-3002-RA,Grade 6,50043,75983,,2
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-3-3002-RA,Grade 7,40686,64151,,7
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-3-3002-RA,SEO,28741,49798,,7
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-3-3002-RA,HEO,22300,45000,,18
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-3-3002-RA,EO,18763,35000,,46.67
BIS,BIS,Ministerial and Parliamentary Support Team,MPST-3-3002-RA,AO,16325,22126,,12.69
BIS,BIS,Office of Manpower Economics,OME-3-5001-IJ,Grade 6,50043,75983,,1
BIS,BIS,Office of Manpower Economics,OME-3-5001-IJ,Grade 7,40686,64151,,3.33
BIS,BIS,Office of Manpower Economics,OME-3-5001-IJ,HEO,22300,45000,,3
BIS,BIS,Office of Manpower Economics,OME-3-5001-IJ,AO,16325,22126,,2
BIS,BIS,Office of Manpower Economics,OME-5-5001-DD1,Grade 7,40686,64151,,2
BIS,BIS,Office of Manpower Economics,OME-5-5001-DD1,HEO,22300,45000,,2
BIS,BIS,Office of Manpower Economics,OME-5-5001-DD1,AO,16325,22126,,1
BIS,BIS,Office of Manpower Economics,OME-5-5001-DD2,Grade 7,40686,64151,,3
BIS,BIS,Office of Manpower Economics,OME-5-5001-DD2,HEO,22300,45000,,2.59
BIS,BIS,Office of Manpower Economics,OME-5-5001-DD2,AO,16325,22126,,1
BIS,BIS,Office of Manpower Economics,OME-5-5001-DD3,Grade 7,40686,64151,,2
BIS,BIS,Office of Manpower Economics,OME-5-5001-DD3,HEO,22300,45000,,3
BIS,BIS,Office of Manpower Economics,OME-5-5001-DD3,AO,16325,22126,,1
BIS,BIS,Government Skills,GS-5-1260-DD1,Grade 7,40686,64151,,4.67
BIS,BIS,Government Skills,GS-5-1260-DD1,SEO,28741,49798,,1.78
BIS,BIS,Government Skills,GS-5-1260-DD1,HEO,22300,45000,,2
BIS,BIS,Government Skills,GS-5-1260-DD1,EO,18763,35000,,1
BIS,BIS,Government Skills,GS-5-1260-DD1,AO,16325,22126,,1
BIS,BIS,Government Skills,GS-3-1260-ND,Grade 7,40686,64151,,1
BIS,BIS,Government Skills,GS-3-1260-ND,SEO,28741,49798,,1
BIS,BIS,Government Skills,GS-3-1260-ND,HEO,22300,45000,,1.89
BIS,BIS,Government Skills,GS-3-1260-ND,EO,18763,35000,,1
BIS,BIS,Government Skills,GS-5-1260-DD2,Grade 6,50043,75983,,1.83
BIS,BIS,Government Skills,GS-5-1260-DD2,Grade 7,40686,64151,,5.9
BIS,BIS,Government Skills,GS-5-1260-DD2,SEO,28741,49798,,3.83
BIS,BIS,Government Skills,GS-5-1260-DD2,HEO,22300,45000,,0.83
BIS,BIS,Government Skills,GS-5-1260-DD3,Grade 6,50043,75983,,1
BIS,BIS,Government Skills,GS-5-1260-DD3,Grade 7,40686,64151,,1
BIS,BIS,Government Skills,GS-5-1260-DD3,SEO,28741,49798,,0.65
BIS,BIS,Government Skills,GS-5-1260-DD3,EO,18763,35000,,1
BIS,BIS,Government Skills,GS-5-1260-DD4,Grade 7,40686,64151,,2
BIS,BIS,Government Skills,GS-5-1260-DD5,Grade 6,50043,75983,,1
BIS,BIS,Government Skills,GS-5-1260-DD5,Grade 7,40686,64151,,2
BIS,BIS,Government Skills,GS-5-1260-DD5,SEO,28741,49798,,2
BIS,BIS,Government Skills,GS-5-1260-DD5,HEO,22300,45000,,1
BIS,BIS,Government Skills,GS-5-1260-DD5,EO,18763,35000,,1
BIS,BIS,Government Skills,GS-5-1260-DD5,Other,N/A,N/A,,1
BIS,BIS,Universities and Skills Group,US-2-1120-SM,HEO,22300,45000,,2
BIS,BIS,Universities and Skills Group,US-2-1120-SM,EO,18763,35000,,1
BIS,BIS,Universities and Skills Group,US-2-1120-SM,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-3-1102-MH,Grade 6,50043,75983,,1
BIS,BIS,Universities and Skills Group,US-3-1102-MW,EO,18763,35000,,1
BIS,BIS,Universities and Skills Group,US-3-1164-SP,Grade 7,40686,64151,,1.81
BIS,BIS,Universities and Skills Group,US-3-1164-SP,HEO,22300,45000,,3
BIS,BIS,Universities and Skills Group,US-3-1164-SP,EO,18763,35000,,1
BIS,BIS,Universities and Skills Group,US-3-1164-SP,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-3-1202-JL,EO,18763,35000,,1
BIS,BIS,Universities and Skills Group,US-3-1232-CC,EO,18763,35000,,1
BIS,BIS,Universities and Skills Group,US-5-1102-DD10,Grade 7,40686,64151,,6
BIS,BIS,Universities and Skills Group,US-5-1102-DD10,SEO,28741,49798,,7.51
BIS,BIS,Universities and Skills Group,US-5-1102-DD10,HEO,22300,45000,,7
BIS,BIS,Universities and Skills Group,US-5-1102-DD10,EO,18763,35000,,4.86
BIS,BIS,Universities and Skills Group,US-5-1102-DD13,Grade 6,50043,75983,,2
BIS,BIS,Universities and Skills Group,US-5-1102-DD13,Grade 7,40686,64151,,6.51
BIS,BIS,Universities and Skills Group,US-5-1102-DD13,SEO,28741,49798,,7.07
BIS,BIS,Universities and Skills Group,US-5-1102-DD13,HEO,22300,45000,,14.31
BIS,BIS,Universities and Skills Group,US-5-1102-DD13,EO,18763,35000,,5.58
BIS,BIS,Universities and Skills Group,US-5-1102-DD13,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-5-1102-DD15,Grade 6,50043,75983,,1
BIS,BIS,Universities and Skills Group,US-5-1102-DD15,Grade 7,40686,64151,,1.94
BIS,BIS,Universities and Skills Group,US-5-1102-DD15,SEO,28741,49798,,3
BIS,BIS,Universities and Skills Group,US-5-1102-DD15,EO,18763,35000,,1
BIS,BIS,Universities and Skills Group,US-5-1102-DD22,Grade 7,40686,64151,,5
BIS,BIS,Universities and Skills Group,US-5-1102-DD22,SEO,28741,49798,,1
BIS,BIS,Universities and Skills Group,US-5-1102-DD22,HEO,22300,45000,,4
BIS,BIS,Universities and Skills Group,US-5-1102-DD22,EO,18763,35000,,1
BIS,BIS,Universities and Skills Group,US-5-1102-DD22,AO,16325,22126,,0.6
BIS,BIS,Universities and Skills Group,US-5-1102-DD23,Grade 7,40686,64151,,2
BIS,BIS,Universities and Skills Group,US-5-1102-DD23,SEO,28741,49798,,1
BIS,BIS,Universities and Skills Group,US-5-1102-DD23,HEO,22300,45000,,3.4
BIS,BIS,Universities and Skills Group,US-5-1102-DD23,EO,18763,35000,,1.73
BIS,BIS,Universities and Skills Group,US-5-1102-DD25,Grade 7,40686,64151,,1.89
BIS,BIS,Universities and Skills Group,US-5-1102-DD25,SEO,28741,49798,,3.67
BIS,BIS,Universities and Skills Group,US-5-1102-DD25,HEO,22300,45000,,2
BIS,BIS,Universities and Skills Group,US-5-1102-DD6,Grade 7,40686,64151,,2
BIS,BIS,Universities and Skills Group,US-5-1102-DD6,SEO,28741,49798,,1.86
BIS,BIS,Universities and Skills Group,US-5-1102-DD6,HEO,22300,45000,,2
BIS,BIS,Universities and Skills Group,US-5-1102-DD6,EO,18763,35000,,0.6
BIS,BIS,Universities and Skills Group,US-5-1102-DD9,Grade 6,50043,75983,,3
BIS,BIS,Universities and Skills Group,US-5-1102-DD9,Grade 7,40686,64151,,3
BIS,BIS,Universities and Skills Group,US-5-1102-DD9,SEO,28741,49798,,4.39
BIS,BIS,Universities and Skills Group,US-5-1102-DD9,HEO,22300,45000,,7.89
BIS,BIS,Universities and Skills Group,US-5-1102-DD9,EO,18763,35000,,4.46
BIS,BIS,Universities and Skills Group,US-5-1102-DD9,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-5-1161-DD14,Grade 6,50043,75983,,3
BIS,BIS,Universities and Skills Group,US-5-1161-DD14,Grade 7,40686,64151,,5
BIS,BIS,Universities and Skills Group,US-5-1161-DD14,SEO,28741,49798,,5
BIS,BIS,Universities and Skills Group,US-5-1161-DD14,HEO,22300,45000,,2.86
BIS,BIS,Universities and Skills Group,US-5-1161-DD14,EO,18763,35000,,2.86
BIS,BIS,Universities and Skills Group,US-5-1161-DD14,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-5-1164-DD24,Grade 7,40686,64151,,1
BIS,BIS,Universities and Skills Group,US-5-1166-DD8,Grade 6,50043,75983,,3
BIS,BIS,Universities and Skills Group,US-5-1166-DD8,Grade 7,40686,64151,,5
BIS,BIS,Universities and Skills Group,US-5-1166-DD8,SEO,28741,49798,,6.53
BIS,BIS,Universities and Skills Group,US-5-1166-DD8,HEO,22300,45000,,2
BIS,BIS,Universities and Skills Group,US-5-1166-DD8,EO,18763,35000,,2
BIS,BIS,Universities and Skills Group,US-5-1166-DD8,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-5-1169-DD5,Grade 6,50043,75983,,3.68
BIS,BIS,Universities and Skills Group,US-5-1169-DD5,Grade 7,40686,64151,,5.57
BIS,BIS,Universities and Skills Group,US-5-1169-DD5,SEO,28741,49798,,8.81
BIS,BIS,Universities and Skills Group,US-5-1169-DD5,HEO,22300,45000,,12.49
BIS,BIS,Universities and Skills Group,US-5-1169-DD5,EO,18763,35000,,2.41
BIS,BIS,Universities and Skills Group,US-5-1169-DD5,AO,16325,22126,,2.68
BIS,BIS,Universities and Skills Group,US-5-1202-DD12,Grade 6,50043,75983,,1
BIS,BIS,Universities and Skills Group,US-5-1202-DD12,Grade 7,40686,64151,,3.59
BIS,BIS,Universities and Skills Group,US-5-1202-DD12,SEO,28741,49798,,1
BIS,BIS,Universities and Skills Group,US-5-1202-DD12,HEO,22300,45000,,5
BIS,BIS,Universities and Skills Group,US-5-1202-DD12,AO,16325,22126,,1.92
BIS,BIS,Universities and Skills Group,US-5-1202-DD16,Grade 7,40686,64151,,3.79
BIS,BIS,Universities and Skills Group,US-5-1202-DD16,SEO,28741,49798,,4.78
BIS,BIS,Universities and Skills Group,US-5-1202-DD16,HEO,22300,45000,,2.65
BIS,BIS,Universities and Skills Group,US-5-1202-DD16,EO,18763,35000,,2.79
BIS,BIS,Universities and Skills Group,US-5-1202-DD17,Grade 6,50043,75983,,1
BIS,BIS,Universities and Skills Group,US-5-1202-DD17,Grade 7,40686,64151,,5
BIS,BIS,Universities and Skills Group,US-5-1202-DD17,SEO,28741,49798,,4.75
BIS,BIS,Universities and Skills Group,US-5-1202-DD17,HEO,22300,45000,,3.66
BIS,BIS,Universities and Skills Group,US-5-1202-DD17,EO,18763,35000,,2
BIS,BIS,Universities and Skills Group,US-5-1202-DD17,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-5-1202-DD18,Grade 7,40686,64151,,3
BIS,BIS,Universities and Skills Group,US-5-1202-DD18,SEO,28741,49798,,3.69
BIS,BIS,Universities and Skills Group,US-5-1202-DD18,HEO,22300,45000,,3
BIS,BIS,Universities and Skills Group,US-5-1202-DD18,EO,18763,35000,,2
BIS,BIS,Universities and Skills Group,US-5-1202-DD19,Grade 6,50043,75983,,1.35
BIS,BIS,Universities and Skills Group,US-5-1202-DD19,Grade 7,40686,64151,,3
BIS,BIS,Universities and Skills Group,US-5-1202-DD19,SEO,28741,49798,,3
BIS,BIS,Universities and Skills Group,US-5-1202-DD19,HEO,22300,45000,,1
BIS,BIS,Universities and Skills Group,US-5-1202-DD19,EO,18763,35000,,1.87
BIS,BIS,Universities and Skills Group,US-5-1202-DD19,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-5-1202-DD21,Grade 6,50043,75983,,2.65
BIS,BIS,Universities and Skills Group,US-5-1202-DD21,Grade 7,40686,64151,,4
BIS,BIS,Universities and Skills Group,US-5-1202-DD21,SEO,28741,49798,,4
BIS,BIS,Universities and Skills Group,US-5-1202-DD21,HEO,22300,45000,,8.43
BIS,BIS,Universities and Skills Group,US-5-1202-DD21,EO,18763,35000,,1.81
BIS,BIS,Universities and Skills Group,US-5-1202-DD21,AO,16325,22126,,3.6
BIS,BIS,Universities and Skills Group,US-5-1202-DD7,Grade 7,40686,64151,,2
BIS,BIS,Universities and Skills Group,US-5-1202-DD7,SEO,28741,49798,,1
BIS,BIS,Universities and Skills Group,US-5-1202-DD7,HEO,22300,45000,,4.66
BIS,BIS,Universities and Skills Group,US-5-1232-DD11,Grade 6,50043,75983,,1.6
BIS,BIS,Universities and Skills Group,US-5-1232-DD11,Grade 7,40686,64151,,2
BIS,BIS,Universities and Skills Group,US-5-1232-DD11,HEO,22300,45000,,4.54
BIS,BIS,Universities and Skills Group,US-5-1232-DD11,EO,18763,35000,,3
BIS,BIS,Universities and Skills Group,US-5-1232-DD11,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-5-1232-DD1JS1,Grade 6,50043,75983,,2
BIS,BIS,Universities and Skills Group,US-5-1232-DD1JS1,Grade 7,40686,64151,,3
BIS,BIS,Universities and Skills Group,US-5-1232-DD1JS1,SEO,28741,49798,,4
BIS,BIS,Universities and Skills Group,US-5-1232-DD1JS1,HEO,22300,45000,,1.86
BIS,BIS,Universities and Skills Group,US-5-1232-DD1JS1,EO,18763,35000,,0.81
BIS,BIS,Universities and Skills Group,US-5-1232-DD20,Grade 6,50043,75983,,2
BIS,BIS,Universities and Skills Group,US-5-1232-DD20,Grade 7,40686,64151,,7.38
BIS,BIS,Universities and Skills Group,US-5-1232-DD20,SEO,28741,49798,,3.79
BIS,BIS,Universities and Skills Group,US-5-1232-DD20,HEO,22300,45000,,4
BIS,BIS,Universities and Skills Group,US-5-1232-DD20,EO,18763,35000,,2
BIS,BIS,Universities and Skills Group,US-5-1232-DD2JS1,Grade 6,50043,75983,,2
BIS,BIS,Universities and Skills Group,US-5-1232-DD2JS1,Grade 7,40686,64151,,3
BIS,BIS,Universities and Skills Group,US-5-1232-DD2JS1,SEO,28741,49798,,1
BIS,BIS,Universities and Skills Group,US-5-1232-DD2JS1,HEO,22300,45000,,2
BIS,BIS,Universities and Skills Group,US-5-1232-DD2JS1,EO,18763,35000,,0.54
BIS,BIS,Universities and Skills Group,US-5-1232-DD2JS1,AO,16325,22126,,2
BIS,BIS,Universities and Skills Group,US-5-1232-DD3,Grade 6,50043,75983,,3
BIS,BIS,Universities and Skills Group,US-5-1232-DD3,Grade 7,40686,64151,,6.26
BIS,BIS,Universities and Skills Group,US-5-1232-DD3,SEO,28741,49798,,1.86
BIS,BIS,Universities and Skills Group,US-5-1232-DD3,HEO,22300,45000,,3.92
BIS,BIS,Universities and Skills Group,US-5-1232-DD3,EO,18763,35000,,2.62
BIS,BIS,Universities and Skills Group,US-5-1232-DD3,AO,16325,22126,,1
BIS,BIS,Universities and Skills Group,US-5-1232-DD4,Grade 6,50043,75983,,3
BIS,BIS,Universities and Skills Group,US-5-1232-DD4,Grade 7,40686,64151,,5
BIS,BIS,Universities and Skills Group,US-5-1232-DD4,SEO,28741,49798,,0.65
BIS,BIS,Universities and Skills Group,US-5-1232-DD4,HEO,22300,45000,,3.94
BIS,BIS,Universities and Skills Group,US-5-1232-DD4,EO,18763,35000,,2.39
BIS,BIS,Universities and Skills Group,US-5-1232-DD4,AO,16325,22126,,1.54
