"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","1C","14919","18870","HR Admin","4.92","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","HR Adviser","3.00","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","HR Business Partner","2.00","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","HR Policy Manager","0.76","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","HR Projects & Tech Manager","1.00","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","HR Specialist","0.86","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3B","27418","34680","Information Architect 1","2.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4A","36289","45900","Information Architect 2","3.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","Inspire & UKLP Delivery Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","Internal Communications Manager","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2C","22842","28050","Internal Communications Specialist","3.27","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3A","25749","31620","IP & Legal Office Manager","1.00","Law"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","IP Technical Officer","1.00","Law"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","1C","14919","18870","IS Administrator","7.84","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","IS Business Analyst","3.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","4B","41531","51000","IS Business Planning Manager","1.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","4B","41531","51000","IS Chief Architect","1.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","4B","41531","51000","IS Common Services Manager","1.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4A","36289","45900","IS Consultant","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","4A","36289","45900","IS Consultant","5.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","IS Contract/Supplier Manager","2.74","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","IS Data Centre Manager","1.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","IS Demand Manager","1.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","IS Operational Lead","12.34","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4B","41531","51000","IS Operations Manager - Info Risk","1.00","Internal Audit"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","4B","41531","51000","IS Principal Architect","2.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","IS Principal Bus Consultant","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","4B","41531","51000","IS Principal Bus Consultant","3.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","IS Project Manager","3.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","IS Service Delivery Manager","6.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","IS Solutions Architect","3.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","4B","41531","51000","IS Technology Services Manager","1.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","2B","20543","25985","IS Tester","1.00","Information Technology"
