Body_Name,Body,Payment Date,Transaction Number,Department,Supplier Name,Supplier Post Code,Expenditure Category,Net Amount
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,6.7300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,7.3800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,22.1900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,9.2600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,15.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,27.6100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,C-Commercial and Operations,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,18.4600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,40.7900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,40.7300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,7.4600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589003,G-C & A - Over 18's,COUNTRY FRESH FOODS,S20 3GH,412-Provisions,20.2700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589004,A-Chief Exec,CREATIVE FLAVOURS CATERING LTD,NG7 7JT,417-Contract Catering,510.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589005,P-Royal Centre,CROWN PLAZA NOTTINGHAM,NG1 5RH,464-Show Services,33764.1700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589007,C-Commercial and Operations,D G PRIVATE HIRE LTD,NG2 4EZ,311-Contract Hire,4402.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589009,N-Development & Growth - Services,DERBY & DERBYSHIRE RAIL FORUM LTD,DE1 3HB,475-Other Services,7500.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589010,C-Commercial and Operations,DGSATECH LTD,DN21 3TA,413-Grounds Maintenance Mats,425.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589011,C-Commercial and Operations,DOUBLE T DEVELOPMENTS LTD,NG5 2AH,408-Materials General,250.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589012,F-C & A - Central,DRAINSCAN LTD,NG8 3HY,226-Water Charges,116.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589013,N-Development & Growth - Services,DUNN MOTOR TRACTION LTD T/A YOURBUS,DE75 7RJ,463-Other Contractor Paymnts,9172.2500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589016,C-Commercial and Operations,ENTERPRISE RENT A CAR UK LTD,NG9 8AB,311-Contract Hire,1667.9700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589016,C-Commercial and Operations,ENTERPRISE RENT A CAR UK LTD,NG9 8AB,311-Contract Hire,-85.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589017,N-Development & Growth - Services,EXPERIENCE NOTTINGHAMSHIRE LTD,NG1 2BY,462-Other Fees,97750.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589018,G-C & A - Over 18's,EXTRACARE CHARITABLE TRUST,NG8 6PU,520-Community Care,17449.2300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589018,G-C & A - Over 18's,EXTRACARE CHARITABLE TRUST,NG8 6PU,520-Community Care,40682.7200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589019,F-C & A - Central,FAST GRAPHICS LTD,NG7 3EF,425-Printing,294.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589019,C-Commercial and Operations,FAST GRAPHICS LTD,NG7 3EF,413-Grounds Maintenance Mats,118.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589019,Z-Capital,FAST GRAPHICS LTD,NG7 3EF,9NC-Buildg Wrk-Direct Pymnts,444.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589020,C-Commercial and Operations,FRITH RESOURCE MANAGEMENT LTD,WV16 5EE,475-Other Services,237.0100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589021,C-Commercial and Operations,G4S CASH SOLUTIONS (UK) LTD,PO7 7SE,475-Other Services,574.0100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589021,C-Commercial and Operations,G4S CASH SOLUTIONS (UK) LTD,PO7 7SE,475-Other Services,1936.7600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589021,P-Royal Centre,G4S CASH SOLUTIONS (UK) LTD,PO7 7SE,471-Security Services,4.1300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589021,P-Royal Centre,G4S CASH SOLUTIONS (UK) LTD,PO7 7SE,471-Security Services,176.7600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589021,C-Commercial and Operations,G4S CASH SOLUTIONS (UK) LTD,PO7 7SE,475-Other Services,574.0100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589021,F-C & A - Central,G4S CASH SOLUTIONS (UK) LTD,PO7 7SE,475-Other Services,10.3200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589022,N-Development & Growth - Services,GO DINE LTD,NG1 1LP,475-Other Services,1500.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589022,N-Development & Growth - Services,GO DINE LTD,NG1 1LP,475-Other Services,1500.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589023,N-Development & Growth - Services,GRAYS LOCKSMITHS LTD,NG7 3FX,200-R & M of Buildings,80.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589023,H-HRA,GRAYS LOCKSMITHS LTD,NG7 3FX,200-R & M of Buildings,99.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589023,H-HRA,GRAYS LOCKSMITHS LTD,NG7 3FX,200-R & M of Buildings,154.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589024,N-Development & Growth - Services,GRT NOTTM LIFT PROJECT COMPANY (NO2) LTD,EC1A 1AB,504-NET payments,131736.0500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589026,C-Commercial and Operations,HARLANDS GROUP,RH16 3BN,475-Other Services,1233.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,246.2400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,123.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,123.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,184.6800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,123.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,-123.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,246.2400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,138.5100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,215.4600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,307.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,153.9000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,153.9000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,92.3400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,61.5600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589027,G-C & A - Over 18's,HEADWAY (NOTTINGHAM) LTD,NG8 4BJ,520-Community Care,123.1200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589028,F-C & A - Central,HERTS FOR LEARNING LTD,SG1 2FQ,401-Operational Equipment,100.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589029,C-Commercial and Operations,HILTON CABINET COMPANY LTD,TW13 7QD,475-Other Services,42.7400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589029,C-Commercial and Operations,HILTON CABINET COMPANY LTD,TW13 7QD,475-Other Services,57.9500000000
