Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Forwarding Address 1,Forwarding Address 2,Forwarding Address 3,Forwarding Address 4,Forwarding Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
11273998521253,,,15.09.2014                                               ,                                ,                                ,UNIT 1A M K BUSINESS PARK          ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ,OL16 5SA,,,,,,7100,Warehouse and Premises                                      ,     ,                                                         , ,0,0,Y
13937X0192002A     ,,,12.11.2014                                               ,                                ,                                ,429 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4SZ,,,,,,5400,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
12641X90840852     ,,,02.06.2014                                               ,                                ,                                ,PT 80 HOWARD STREET                ,ROCHDALE                           ,                                ,                                ,OL12 0LU,,,,,,4850,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y
14618X98985541     ,,,01.12.2013                                               ,                                ,                                ,18 ST MARYS GATE                   ,ROCHDALE                           ,                                ,                                ,OL16 1DZ,,,,,,8400,Shop and Premises                                           ,     ,                                                         , ,0,0,Y
6024130074001A     ,,,20.03.2006                                               ,                                ,                                ,777-779 HALIFAX ROAD               ,WARDLE                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9QD,,,,,,4950,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
31177700150011,,,01.04.2013                                               ,                                ,                                ,29 MAGDALA STREET                  ,HEYWOOD                            ,                                ,                                ,OL10 2HN,,,,,,2550,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
215299000400X6     ,,,01.08.2007                                               ,                                ,                                ,4 MIDDLETON GARDENS                ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4DF ,,,,,,13750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
40670800170148,,,01.04.2005                                               ,                                ,                                ,30A HARE HILL ROAD                 ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 9AD,,,,,,2550,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
2098450016009A     ,,,10.04.2014                                               ,                                ,                                ,UNIT 16-17 HANSON CLOSE            ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2HD ,,,,,,4250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
20265100360082,,,01.04.2005                                               ,                                ,                                ,205 BOARSHAW ROAD                  ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2WQ ,,,,,,2550,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
