Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Forwarding Address 1,Forwarding Address 2,Forwarding Address 3,Forwarding Address 4,Forwarding Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
32226694915338,02 UK LTD                       ,                                ,01.04.2005                                               ,MM02 SITE REF 11078 ON ROOF     ,                                ,ADJ UNIT 10                        ,YEARGATE INDUSTRIAL ESTATE         ,HEYWOOD                         ,LANCASHIRE                      ,BL9 7HT ,C/O CLUTTONS LLP                   ,PORTMAN HOUSE                      ,2 PORTMAN STREET                ,LONDON                          ,W1H 6DU ,10750,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, 
60427600850031,17TH ROCHDALE 1ST WARDLE SCOUTS ,C/O MRS ANGELA TAIT             ,01.04.2005                                               ,WARDLE SCOUT GROUP              ,                                ,RAMSDEN ROAD                       ,WARDLE                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9NX,THE BARN                           ,LAWFLAT WARDLE                     ,Rochdale                        ,                                ,OL12 9LD,3500,SCOUT HEADQUARTERS                                          ,     ,                                                         ,Y,0,80, 
30979794013489,20/20 INDUSTRIES LTD            ,                                ,01.04.2011                                               ,GF 12 OFFICE THE OLD POLICE     ,STATION BUSINESS CENTRE         ,HIND HILL STREET                   ,HEYWOOD                            ,LANCS                           ,                                ,OL10 1AQ,TOPS BUSINESS CENTRE               ,HIND HILL STREET                   ,HEYWOOD                         ,MANCHESTER                      ,OL10 1AQ,1200,Offices and Premises                                        ,     ,                                                         , ,0,0,Y
11036729579947,21ST CENTURY TATTOO LTD         ,                                ,04.07.2008                                               ,                                ,                                ,1-5 CHEETHAM STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1PQ,01-May,CHEETHAM STREET                    ,ROCHDALE LANCASHIRE             ,                                ,OL16 1PQ,5600,TATOO STUDIO & PREMISES                                     ,     ,                                                         , ,0,0,Y
15419800110027,27TH ROCHDALE LOWERPLACE SCOUTS ,                                ,01.04.2005                                               ,                                ,                                ,27TH RDALE (LOWERPLACE) SCOUT GROUP,WATKIN STREET                      ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4HJ,MR SCOTT DUNKLEY                   ,24 LAMBOURNE GROVE                 ,MILNROW                         ,ROCHDALE                        ,OL16 4YA,2600,CLUBROOM & PREMISES                                         ,     ,                                                         ,Y,20,80, 
41192300410068,29TH ROCHDALE SCOUTS C/O J R    ,COLLINGE                        ,01.04.2005                                               ,                                ,                                ,120 NEW ROAD                       ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8NL,4 LONSDALE AVENUE                  ,ROCHDALE                           ,                                ,                                ,OL16 5HP,2250,HALL AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
3152799916535A     ,2SQUARED AGENCY LTD             ,                                ,20.05.2014                                               ,UNIT B4/ BAYS 1 AND 2           ,BROADLANDS                      ,HEYWOOD DISTRIBUTION PARK          ,PILSWORTH ROAD                     ,HEYWOOD                         ,                                ,OL10 2TS,                                   ,                                   ,                                ,                                ,        ,78000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
14816800010089,37TH ROCHDALE SCOUT GROUP C/O   ,KEN GRACEY                      ,01.04.2005                                               ,                                ,                                ,37TH ROCHDALE SCOUTS               ,SILK STREET                        ,ROCHDALE                        ,LANCASHIRE                      ,OL11 3ER,37TH ROCHDALE SCOUTS               ,SILK STREET                        ,ROCHDALE LANCASHIRE             ,                                ,OL11 3ER,2075,HALL AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
31612X0001103A     ,3RD/4TH HEYWOOD (RAVENCROFT)    ,SCOUT GROUP                     ,01.04.2005                                               ,                                ,                                ,3RD AND 4TH HEYWOOD SCOUT GROUP    ,REGENT STREET                      ,HEYWOOD                         ,LANCASHIRE                      ,OL10 3BX,FAO MRS M MURRAY                   ,43 CHERWELL AVENUE                 ,HEYWOOD LANCASHIRE              ,                                ,OL10 4SY,2425,SCOUT HUT & PREMISES                                        ,     ,                                                         ,Y,0,80, 
32035695588447,4 SEASONS GARDEN MAINTENANCE LTD,                                ,10.03.2014                                               ,                                ,                                ,FOUR SEASONS GARDEN                ,MAINTENANCE                        ,VALE STREET                     ,HEYWOOD                         ,OL10 1PQ,32 BAMFORD MEWS                    ,NORDEN ROAD                        ,ROCHDALE                        ,                                ,OL11 5NX,4100,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y
14340093715653,4 WAYS RECYCLING LTD            ,                                ,15.02.2015                                               ,UNIT 29 THE CALDERSHAW CENTRE   ,                                ,INGS LANE                          ,ROCHDALE                           ,LANCS                           ,                                ,OL12 7EG,                                   ,                                   ,                                ,                                ,        ,4900,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
12242992537134,4COURT HEALTHCARE LTD           ,                                ,02.02.2011                                               ,4 COURT HEALTH CARE LTD AT      ,HEYBROOK SERVICE STATION        ,HALIFAX ROAD                       ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2NJ,254 SHEAR BROW                     ,"4 COURT, FIRST FLOOR               ",BLACKBURN                       ,                                ,BB1 8DS ,8000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
11273994614272,4ROSES GLOBAL LTD               ,                                ,27.01.2016                                               ,                                ,                                ,SUITE G5 LOCK 50 BUSINESS CENTRE   ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ,OL16 5RD,                                   ,                                   ,                                ,                                ,        ,1775,Offices and Premises                                        ,     ,                                                         , ,0,0, 
14265593670432,580 CENTRAL LTD                 ,                                ,01.04.2014                                               ,                                ,                                ,SUITE A UNIT 14                    ,HARP INDUSTRIAL ESTATE             ,QUEENSWAY                       ,ROCHDALE                        ,OL11 2PU,SILVESTER HOUSE                    ,BRADSHAW STREET                    ,HEYWOOD                         ,                                ,OL10 1PN,4500,Offices and Premises                                        ,     ,                                                         , ,0,0,Y
11073497854119,580 CENTRAL LTD                 ,                                ,05.01.2015                                               ,                                ,                                ,YARD 3                             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,ROEACRE TANNERY                    ,BRADSHAW STREET                    ,HEYWOOD                         ,                                ,OL10 1PN,11000,Land Used for Storage and Premises                          ,     ,                                                         , ,0,0, 
16151797881688,64H LLP                         ,                                ,18.04.2016                                               ,WILLOW POINT                    ,                                ,47 BRIDGEFOLD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5BX,THE STEAM MILL                     ,STEAM MILL STREET                  ,CHESTER                         ,                                ,CH3 5AN ,61500,OFFICES AND PREMISES                                        ,Y    ,18.04.2016                                               , ,0,0,
11483900020056,9TH HEYWOOD SCOUT GROUP C/O MR M,BOWE                            ,01.04.2005                                               ,                                ,                                ,9TH HEYWOOD SCOUT GROUP            ,DIGGLES LANE                       ,ROCHDALE                        ,LANCASHIRE                      ,OL11 5PP,16 MERCER LANE                     ,ROCHDALE                           ,                                ,                                ,OL11 5RU,5600,SCOUT HUT & PREMISES                                        ,     ,                                                         ,Y,0,80, 
14555X92879436     ,A & D SPORTS LIMITED            ,                                ,31.10.2014                                               ,                                ,                                ,NJP JOINERY                        ,UNIT 1 RUGBY ROAD                  ,ROCHDALE                        ,                                ,OL12 0LQ,                                   ,                                   ,                                ,                                ,        ,17000,Workshop and Premises                                       ,     ,                                                         , ,0,0,
14555X95152595     ,A & D SPORTS LTD                ,                                ,02.07.2012                                               ,                                ,                                ,UNITS 1 & 2 LAWTON STREET          ,ROCHDALE                           ,                                ,                                ,OL12 0LQ,                                   ,                                   ,                                ,                                ,        ,43000,Workshop and Premises                                       ,     ,                                                         , ,0,0,
142661000400X2     ,A & F SPRINKLERS LTD            ,                                ,21.02.2014                                               ,UNIT 4                          ,                                ,TRANS PENNINE TRADING ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2NU,UNIT 4                             ,GORRELLS WAY                       ,TRANS- PENNINE TRADING ESTATE   ,ROCHDALE                        ,OL11 2NU,58500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
30034900060048,A & S DENTAL STUDIO LTD         ,                                ,23.06.2014                                               ,                                ,                                ,20 ARGYLE PARADE                   ,HEYWOOD                            ,                                ,                                ,OL10 3RY,6 HOLBORN DRIVE                    ,MANCHESTER                         ,                                ,                                ,M8 8US  ,5000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
30766297512848,A & T SURFACING LIMITED         ,                                ,01.12.2014                                               ,CONSTRUCTION HOUSE              ,                                ,GREEN LANE                         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1NE,                                   ,                                   ,                                ,                                ,        ,38250,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
3031660013007B     ,A & W DENTAL LABORATORY LTD     ,                                ,01.06.2013                                               ,H3039 1342                      ,                                ,13 BUTTERMERE AVENUE               ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2BH,63 FERNSIDE                        ,RADCLIFFE                          ,MANCHESTER                      ,                                ,M26 1EQ ,2075,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13937X90480076     ,A A ARNOLD LTD                  ,                                ,01.04.2005                                               ,                                ,                                ,69-73 OLDHAM ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5QR,69-73                              ,OLDHAM ROAD                        ,ROCHDALE LANCASHIRE             ,                                ,OL16 5QR,10000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
14340096565790,A D STAIRS LTD                  ,                                ,01.04.2009                                               ,UNIT 15 CALDERSHAW CENTRE       ,                                ,ROOLEY MOOR ROAD                   ,ROCHDALE                           ,                                ,                                ,OL12 7EG,CALDERSHAW BUSINESS CENTRE UNIT 15 ,ROOLEY MOOR ROAD                   ,ROCHDALE LANCASHIRE             ,                                ,OL12 7EG,6700,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
40508800540021,A DEARNLEY LTD                  ,                                ,16.03.2015                                               ,                                ,                                ,103 FEATHERSTALL ROAD              ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8JZ,                                   ,                                   ,                                ,                                ,        ,2550,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13298X99180619     ,A E DIXON & SON LTD             ,                                ,01.04.2005                                               ,                                ,                                ,2 MANCHESTER ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4HY,2 MANCHESTER ROAD                  ,ROCHDALE LANCASHIRE                ,                                ,                                ,OL11 4HY,22500,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,
11627302360003,A J PROPERTIES (NORTH WEST) LTD ,T/A A J PROPERTIES              ,01.04.2005                                               ,                                ,                                ,693 EDENFIELD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5SL,693 EDENFIELD ROAD                 ,ROCHDALE LANCASHIRE                ,                                ,                                ,OL11 5SL,7300,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
12242900020058,A K FUEL LTD                    ,                                ,01.04.2009                                               ,HEYBROOK CORNER SERVICE STATION ,                                ,HALIFAX ROAD                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9QU,HEYBROOK CORNER SERVICE STATION    ,HALIFAX ROAD                       ,ROCHDALE LANCASHIRE             ,                                ,OL12 9QU,7600,PETROL FILLING STATION AND PREMISES                         ,     ,                                                         , ,0,0,Y
2204470023316B     ,A NOVO UK LTD                   ,                                ,01.04.2005                                               ,UNIT 31 STAKEHILL INDUSTRIAL    ,ESTATE                          ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2RW ,COMMUNICATIONS HOUSE               ,VULCAN ROAD NORTH                  ,NORWICH                         ,NORFOLK                         ,NR6 6AQ ,362500,WAREHOUSE AND PREMISES                                      ,Y    ,31.08.2012                                               , ,0,0,
13937X95051322     ,A R H INVESTMENTS LTD           ,                                ,01.07.2011                                               ,STORE ON 2ND FLR                ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,C/O 34 TYRONE DRIVE                ,ROCHDALE                           ,                                ,                                ,OL11 4BE,690,Store                                                       ,     ,                                                         , ,0,0,Y
13937X98634585     ,A R H INVESTMENTS LTD           ,                                ,28.03.2013                                               ,OFFICE 6 AT                     ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,C/O 34 TYRONE DRIVE                ,ROCHDALE                           ,                                ,                                ,OL11 4BE,960,Offices and Premises                                        ,Y    ,28.03.2013                                               , ,0,0, 
13937X01545625     ,A R H INVESTMENTS LTD           ,                                ,01.08.2014                                               ,OFFICE 4 AT                     ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,C/O 34 TYRONE DRIVE                ,ROCHDALE                           ,                                ,                                ,OL11 4BE,1150,Offices and Premises                                        ,Y    ,01.08.2014                                               , ,0,0, 
30001891569400,A TO Z SOLUTIONS CENTRE LTD     ,                                ,01.05.2015                                               ,                                ,                                ,3D ACCESS GARAGE AT                ,INDEPENDENCE HOUSE                 ,ADELAIDE STREET                 ,HEYWOOD                         ,OL10 4HF,INDEPENDENCE HOUSE                 ,ADELAIDE STREET                    ,HEYWOOD                         ,                                ,OL10 4HF,4500,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y
21009100020059,A V BODIES LTD                  ,                                ,20.07.2015                                               ,UNIT 4                          ,                                ,HASLAM STREET                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2AP ,                                   ,                                   ,                                ,                                ,        ,6000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
41192396320153,A WORLD OF WEDDINGS LTD         ,                                ,01.02.2010                                               ,                                ,                                ,128 NEW ROAD                       ,LITTLEBOROUGH                      ,                                ,                                ,OL15 8NL,128 NEW ROAD                       ,LITTLEBOROUGH                      ,                                ,                                ,OL15 8NL,3900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13499295724763,A.S.K. TRADING LTD.             ,                                ,05.11.2009                                               ,                                ,                                ,1ST FLR ELM WORKS                  ,59 MERE LANE                       ,ROCHDALE                        ,LANCS                           ,OL11 3TD,1ST FLR ELM WORKS                  ,59 MERE LANE                       ,ROCHDALE LANCS                  ,                                ,OL11 3TD,10000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
10787990600094,A/C VENTILATION LTD             ,                                ,01.10.2015                                               ,                                ,                                ,AC VENTILATIONS LTD                ,BUCKLEY HOUSE                      ,BUCKLEY ROAD                    ,ROCHDALE                        ,OL12 9RH,                                   ,                                   ,                                ,                                ,        ,8000,Offices and Premises                                        ,     ,                                                         , ,0,0,Y
10274291514865,A2 PROPERTY LIMITED             ,                                ,03.04.2016                                               ,SHOP3 AT 1A-3A                  ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JJ,3 BAILLIE STREET                   ,ROCHDALE                           ,                                ,                                ,OL16 1JJ,12000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
10274295855412,A2 SOLICITORS LLP               ,                                ,14.02.2014                                               ,                                ,                                ,A2 SOLICITORS AT                   ,SHOP 2 AT 1A-3A                    ,BAILLIE STREET                  ,ROCHDALE                        ,OL16 1JJ,3 BAILLIE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JG,11750,Shop and Premises                                           ,     ,                                                         , ,0,0, 
11378800050073,AAC PHYSIOTHERAPY LTD           ,                                ,01.01.2011                                               ,OFFICE 5 EVANS EASYSPACE LTD    ,                                ,DANE STREET                        ,ROCHDALE                           ,LANCS                           ,                                ,OL12 6XB,DAISY HILL HOUSE                   ,DAISY HILL DRIVE                   ,ADLINGTON                       ,CHORLEY                         ,PR6 9NE ,1175,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
31339694429254,AAF COMPONENTS LTD              ,                                ,01.02.2009                                               ,UNIT 6                          ,QUEST PARK                      ,MOSS HALL ROAD                     ,BURY                               ,LANCS                           ,                                ,BL9 7JJ ,UNIT 6                             ,QUEST PARK MOSS HALL ROAD          ,BURY LANCS                      ,                                ,BL9 7JJ ,27500,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
3076627451424B     ,AAH PHARMACEUTICALS LTD         ,                                ,01.04.2005                                               ,                                ,                                ,3 SOUTHGATE GREEN LANE             ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1ND,SAPPHIRE COURT                     ,WALGRAVE TRIANGLE                  ,COVENTRY                        ,                                ,CV2 2TX ,11250,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
21864100270006,AAH PHARMACY CONCESSIONS LTD T/A,VANTAGE PHARMACY                ,01.04.2005                                               ,                                ,                                ,50 ROCHDALE ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2PU ,PHOENIX HOUSE                      ,MANOR ROAD                         ,MANCETTER                       ,ATHERSTONE WARWICKSHIRE         ,CV9 1QY ,4550,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
2126480069003A     ,AAH RETAIL PHARMACY LTD T/A     ,VANTAGE PHARMACY                ,01.04.2005                                               ,                                ,                                ,199 KIRKWAY                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1LW ,PHOENIX HOUSE                      ,MANOR ROAD                         ,MANCETTER                       ,ATHERSTONE WARWICKSHIRE         ,CV9 1QY ,11000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
13937X01150085     ,AAH RETAIL PHARMACY LTD T/A     ,VANTAGE PHARMACY                ,01.04.2005                                               ,LLOYDS PHARMACY                 ,                                ,293 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JG,PHOENIX HOUSE                      ,MANOR ROAD                         ,MANCETTER                       ,ATHERSTONE WARWICKSHIRE         ,CV9 1QY ,11250,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
10274298881862,AB & J HAIR BEAUTY SALON LTD    ,                                ,18.09.2015                                               ,office no 3 1st flr             ,                                ,5 BAILLIE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JJ,24 ST CHADS CLOSE                  ,ROCHDALE                           ,                                ,                                ,OL16 1FG,1725,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
13100899160792,ABBEY ARCHITECTURAL IRONMONGERY ,CO LTD                          ,01.08.2008                                               ,ROOM SIZE LTD                   ,                                ,LOMAX STREET                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0DN,ROOM SIZE LTD                      ,LOMAX STREET                       ,ROCHDALE LANCASHIRE             ,                                ,OL12 0DN,26000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
60481X94473714     ,ABC PLASTIC RECYCLING LTD       ,                                ,01.06.2015                                               ,                                ,                                ,JSK GLASS FIBRES LTD               ,UNIT 3                             ,DYEHOUSE LANE                   ,WARDLE                          ,OL16 2PF,UNIT 3 DYEHOUSE LANE               ,WARDLE                             ,ROCHDALE                        ,                                ,OL16 2QN,23000,Workshop and Premises                                       ,     ,                                                         , ,0,0,
110391000400XAB    ,ABILAS RECRUITMENT SPECIALISTS  ,LIMITED                         ,14.03.2014                                               ,                                ,                                ,GND FLR 12-14 CHEETHAM STREET      ,ROCHDALE                           ,                                ,                                ,OL16 1DL,129 HAREWOOD WAY                   ,ROCHDALE                           ,                                ,                                ,OL11 5TW,8800,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
22044791378538,ABL(HOLDING) LTD T/A PSV GLASS  ,                                ,07.03.2007                                               ,MEDLOCK MEDICAL LTD             ,                                ,STAKEHILL INDUSTRIAL ESTATE        ,MIDDLETON                          ,                                ,                                ,M24 2SJ ,16 HILLBOTTOM ROAD                 ,HIGH WYCOMBE BUCKINGHAMSHIRE       ,                                ,                                ,HP12 4HJ,204000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
1010950010005B     ,ABM (LANCASHIRE) LTD            ,                                ,27.04.2011                                               ,UNIT 10                         ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,UNIT 10 ALMA INDUSRTIAL ESTATE     ,ROCHDALE                           ,                                ,LANCS                           ,OL12 0HQ,7200,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
31527900110023,ABSOLUTE CENTRE STAGE LIMITED   ,                                ,07.11.2013                                               ,UNIT P1F PARKLANDS              ,                                ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2TT,                                   ,                                   ,                                ,                                ,        ,16250,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
11660802000035,AC ELECTRICAL (ROCHDALE) LTD    ,                                ,01.03.2013                                               ,UNIT 2                          ,                                ,EDWARD STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DU,                                   ,                                   ,                                ,                                ,        ,3050,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
13475993048327,ACCELERATION (HIRE) LTD         ,                                ,12.03.2007                                               ,UNIT 3 AT                       ,                                ,70 MELLOR STREET                   ,ROCHDALE                           ,                                ,                                ,OL12 6AA,5 LEIGHTON AVENUE                  ,SMITHYBRIDGE                       ,LITTLEBOROUGH                   ,LANCASHIRE                      ,OL15 0BW,4750,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y
13475991903376,ACCELERATION SERVICES LTD       ,                                ,12.03.2007                                               ,UNITS 1 & 2 AT                  ,                                ,70 MELLOR STREET                   ,ROCHDALE                           ,                                ,                                ,OL12 6AA,UNITS 1 & 2 AT                     ,70 MELLOR STREET                   ,ROCHDALE                        ,                                ,OL12 6AA,10000,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y
14644098881608,ACCENT HANSEN LTD               ,                                ,17.08.2015                                               ,CEDAR HOUSE SANDBROOK BUSINESS  ,PARK                            ,SANDBROOK WAY                      ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1LQ,                                   ,                                   ,                                ,                                ,        ,80500,"Offices, Office and Premises                                ",     ,                                                         , ,0,0,
20985397321597,ACCESS CLEANING SPECIALISTS LTD ,                                ,01.04.2005                                               ,ACCESS HOUSE                    ,                                ,HANSON STREET                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2HW ,ACCESS HOUSE                       ,HANSON STREET                      ,MIDDLETON                       ,MANCHESTER                      ,M24 2HW ,1825,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
1527290019000B     ,ACCIDENT CLAIMS MANAGEMENT LTD  ,                                ,01.04.2013                                               ,                                ,                                ,31 TWEEDALE STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1HH,                                   ,                                   ,                                ,                                ,        ,4750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
15561798376569,ACCUMAC LTD                     ,                                ,01.12.2011                                               ,UNIT E3                         ,                                ,FIELDHOUSE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0AA,                                   ,                                   ,                                ,                                ,        ,2850,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
20202400270002,ACE POLISHING SERVICES LTD      ,                                ,11.06.2015                                               ,UNIT 3                          ,                                ,BENTLEY AVENUE                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2RW ,UNIT 3                             ,BENTLEY AVENUE                     ,MIDDLETON                       ,MANCHESTER                      ,M24 2RW ,23000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
11168193188016,ACEGATE (MANUFACTURING) LTD     ,                                ,18.05.2009                                               ,mitchell hey mill middle        ,                                ,COLLEGE ROAD                       ,ROCHDALE                           ,LANCS                           ,                                ,OL12 6AF,                                   ,                                   ,                                ,                                ,        ,22500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
11186199187544,ACEGATE LTD                     ,                                ,01.04.2005                                               ,MITCHELL HEY MILLS              ,                                ,REAR (K/A UNIT C) COLLEGE ROAD     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6AF,MITCHELL HEY MILLS                 ,REAR (K/A UNIT C) COLLEGE ROAD     ,ROCHDALE LANCASHIRE             ,                                ,OL12 6AF,68500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
30991295574876,ACORN PROPERTY SERVICES         ,(NORTHERN) LTD                  ,05.03.2014                                               ,UNIT 52                         ,                                ,HOOLEY BRIDGE IND ESTATE           ,HEYWOOD                            ,LANCS                           ,                                ,OL10 4AP,53 YORK STREET                     ,HEYWOOD                            ,                                ,                                ,OL10 4NR,3450,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
21468694476063,ACROBAT CARBON SERVICES LTD     ,                                ,24.10.2011                                               ,UNIT 9 RHODES BUSINESS PARK     ,                                ,SILBURN WAY                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4PN ,                                   ,                                   ,                                ,                                ,        ,31750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
11378998470826,ACRYATE RESEARCH AND DEVELOPMENT,LTD                             ,01.04.2008                                               ,"EVANS EASYSPACE LTD, UNITS 20   ",& 21                            ,DANE STREET                        ,ROCHDALE                           ,                                ,                                ,OL12 6XB,UNIT 20-21 EVANS BUSINESS CENTRE   ,DANE STREET                        ,ROCHDALE                        ,                                ,OL12 6XB,6500,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
31276690010082,ACS LINING LTD                  ,                                ,01.04.2005                                               ,                                ,                                ,4 MIDDLETON ROAD                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2HT,4 MIDDLETON ROAD                   ,HEYWOOD LANCASHIRE                 ,                                ,                                ,OL10 2HT,7200,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
15672800306072,ACTION FORCE LIMITED            ,                                ,01.03.2013                                               ,UNIT 3F                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,                                   ,                                   ,                                ,                                ,        ,4250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
14264591050350,ACTION ROCHDALE LIMITED         ,                                ,02.07.2013                                               ,GREEN MILL                      ,                                ,WELL I'TH LANE                     ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1BB,                                   ,                                   ,                                ,                                ,        ,25250,"WAREHOUSE, OFFICE AND PREMISES                              ",     ,                                                         ,Y,0,80,
1415930001016B     ,ACTION ROCHDALE LIMITED T/A     ,ROLLERCITY                      ,02.07.2013                                               ,B MANNING                       ,                                ,PLATTING LANE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2JT,                                   ,                                   ,                                ,                                ,        ,3600,CAR PARK AND PREMISES                                       ,     ,                                                         ,Y,0,80, 
