Body,Body name,Service label,Service divison label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Other Education Services,Refurbishment Works,Capital,Construction,3,19/07/2011,1107-05870,4233.60,C,M D Construction (Bfd) Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Regeneration Management,Capital,Construction,3,27/07/2011,1107-05871,12272.39,C,M D Construction (Bfd) Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Repairs To LCC Vehicles,341,14/07/2011,1107-05872,1268.67,R,M G Smith
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Asset Management Services,Supplies and Services,Other Hired And Contracted Services,265,13/07/2011,1107-05873,570.84,R,M J Mccarthy Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Director Of Childrens Services,Premises,Furniture And Fittings,195,15/07/2011,1107-05874,475.00,R,M J Mccarthy Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Youth Justice,Supplies and Services,Other Hired And Contracted Services,265,20/07/2011,1107-05875,1699.63,R,M J Mccarthy Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Other Education Services,Primary Schools,Capital,Other Costs,7,21/07/2011,1107-05876,3571.52,C,M J Mccarthy Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Integrated Youth Support Service,Supplies and Services,Other Hired And Contracted Services,265,07/07/2011,1107-05877,926.00,R,M Jennings
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Customer Services,Supplies and Services,Other Hired And Contracted Services,265,04/07/2011,1107-05878,830.00,R,M Opl
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Resaleable Material,204,24/06/2011,1107-05879,1188.00,R,M Widdup & Sons Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Hra,Supplies and Services,Computer Software & Equipment,214,20/07/2011,1107-05880,1905.00,R,M3 Housing Limited
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Information Technology,Supplies and Services,Computer Software & Equipment,214,08/07/2011,1107-05881,980.00,R,Machenair Ltd
