Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",78176700,,1750,Workshop And Premises,Rateable Value below threshold
Nestle Uk Ltd,"Bailey Hall Mills, Bailey Hall Road, Halifax, HX3 9XT",64124720,"Fao Viv Guinan, Nestle Rowntree Division, Albion Mills, Halifax, HX3 9XT",35250,Warehouse And Premises,Listed Building
Hutchinson 3G Uk Ltd,"Telecommunication Mast, Site Ref H D 0010, Church Lane, Brighouse            HD6 1DL",29156712,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",11500,Communication Station and Premises,Unoccupied Land
Units To Let [Northern] Ltd,"Container No. 3, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340732,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",200,Steel Container,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D 09, Dean Clough Mills, Halifax, HX3 5AX",64885704,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",3350,Warehouse And Premises,Listed Building
Blackshaw Holdings Ltd,"3RD Flr Space Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084814,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",5400,Factory and Premises,Empty Relief - Post 01/04/2008
,"Lower Grd Floor & Basement, 354 Pellon Lane, Halifax, HX1 4QD",68236781,,1725,Store And Premises,Rateable Value below threshold
Units To Let [Northern] Ltd,"Unit 17a, Mill House Works, Mill House Lane, Sowerby Bridge      HX6 3LN",77352708,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",405,Store And Premises,Listed Building
The Imperial Crown Hotel Ltd,"Hughes Corporation, 31 Square Road, Halifax, HX1 1QG",68708722,"Corus Hotels Ltd, Rossway Park, Berkhamstead, HP4 3TZ",21750,Public House and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite T4, Dean Clough Mills, Halifax, HX3 5AX",64296717,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",1550,Offices and Premises,Listed Building
Assn Of Islamic Charitable Projects,"Second Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104703,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",12750,Offices and Premises,Listed Building
Swinton Group Ltd,"Lakeside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",65288706,"Attn Andrew Mellor, Swinton House, 6 Great Marlborough Street, Manchester, M1 5SW",24000,Offices and Premises,Empty Relief - Post 01/04/2008
Grantham House Properties Ltd,"Grantham House, Grantham Road, Halifax, HX3 6PL",65192713,"C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",13000,Offices and Premises,Empty Relief - Post 01/04/2008
,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",64184703,,3150,Store And Premises,Empty Relief - Post 01/04/2008
Units To Let [Northern] Ltd,"Unit 11 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340746,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",610,Band Practice Room,Rateable Value below threshold
Hutchinson Construction [Northern] Ltd,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",65900707,"C/O Mr P Hutchinson, 5 Lydgate Park, Lightcliffe, Halifax, HX3 8TB",10250,Offices and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc,"8 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252735,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2850,Shop and Premises,Listed Building
European Food Brokers Ltd,"Atlas Works, Gibbet Street, Halifax, HX1 4DB",65164887,"Chateau Pleck, Darlastan Road, Walsall, West Midlands, WS2 9SQ",79000,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"Garage 1, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420725,,1400,Store And Premises,Empty Property - RV < 15000
C H Property Trustee Quality Course Ltd,"Commercial Mills, Ripponden, Sowerby Bridge, HX6 4EH",77408704,"33 Park Square West, Leeds, LS1 2PF",12000,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"Hollins Mill, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",77276733,,25250,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"Unofficial Address, The Old Fruit Shop, Lane Ends, Wheatley             HX2 8TW",65572700,,1550,Shop and Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 202 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420725,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 302 Third Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420726,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1600,Warehouse And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 104 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212725,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1075,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 8, River Street Business Park, River Street, Brighouse            HD6 1LU",29492735,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1550,Store And Premises,Empty Property - RV < 15000
,"39/41 Crown Street, Halifax, HX1 1HY",64756041,,14500,Shop and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Land & Property Services,"65 Rustic, Piece Hall, Halifax, HX1 1RE",68252717,"Northgate House, Northgate, Halifax, HX1 1UN",2050,Shop and Premises,Listed Building
Calderdale Mbc Land & Property Services,"68 Rustic, Piece Hall, Halifax, HX1 1RE",68252777,"Northgate House, Northgate, Halifax, HX1 1UN",1000,Shop and Premises,Listed Building
Homes & Communities Agency,"Crown Works, Hopwood Lane, Halifax, HX1 5HW",65364703,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",2050,Workshop And Premises,Rateable Value below threshold
Homes & Communities Agency,"Part Ground Floor, 8 King Cross Street, Halifax, HX1 2SH",65520730,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",2800,Offices and Premises,Listed Building
Due West Ltd,"First Floor, 4/6/8 Albion Street, Halifax, HX1 1DU",64052004,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",5500,Offices and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Community Services,"3 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252780,"C/O Michael Devereux, Piece Hall Admin Office, Piece Hall, Halifax, HX1 1RE",2800,Shop and Premises,Listed Building
,"Unit 1 Carlton Mills, South Street, Halifax, HX1 2TE",68640700,,950,Store And Premises,Empty Property - RV < 15000
,"Unit 6, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",65020708,,1425,Garage And Premises,Rateable Value below threshold
Burnley Road Ltd,"Stubley Lane Works, Burnley Road, Todmorden, OL14 7EF",78076897,"P O Box 62, Todmorden, OL14 8WS",3550,Land Used For Storage and Premises,Unoccupied Land
Warmco Space Heating Ltd,"Unit 6 Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212762,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",5200,Warehouse And Premises,Listed Building
Haverley Properties Ltd,"28 Pellon Lane, Halifax, HX1 5SP",68236786,"Long Royd House, Long Royd Road, Triangle, HX6 1NX",2425,Taxi Office And Premises,Empty Property - RV < 15000
,"67 Hanson Lane, Halifax, HX1 5NX",65264067,,6100,Shop and Premises,Empty Relief - Post 01/04/2008
Sowerby Bridge Wharf Ltd,"Grd Flr, Lower Calder House, The Wharf, Sowerby Bridge, HX6 2AG",77124702,"The Wharf, Sowerby Bridge, HX6 2AG",4200,Offices and Premises,Listed Building
,"Bay 6 (Ground Floor), Shay Lane Works, Shay Lane, Halifax              HX3 6SF",68536789,,2200,Workshop And Premises,Empty Property - RV < 15000
Homes & Communities Agency,"1st Floor, 6 King Cross Street, Halifax, HX1 2SH",65520721,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",6200,Offices and Premises,Listed Building
Blackshaw Holdings Ltd,"Unit 27 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056750,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,Offices and Premises,Rateable Value below threshold
,"Harley Mill, Harley Street, Todmorden, OL14 5JE",78208702,,8400,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Mozart House, 34 & 34a Prescott Street, Halifax, HX1 2QW",68280034,,5400,Guest House And Premises,Empty Relief - Post 01/04/2008
Brearley-Greens,"296b Queens Road, Halifax, HX1 4NS",68308732,"12 Horton Street, Halifax, HX1 1PU",2650,Shop and Premises,Rateable Value below threshold
,"Part Basement, 2 Wards End, Halifax, HX1 1DD",69264730,,950,Store And Premises,Rateable Value below threshold
Units To Let [Northern] Ltd,"Unit 17B Mill House Works, Mill House Lane, Triangle, Sowerby Bridge      HX6 3LN",77352736,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",770,Store And Premises,Listed Building
,"1ST Floor Royds House, Birds Royd Lane, Brighouse, HD6 1LQ",29052753,,14500,Offices and Premises,Empty Relief - Post 01/04/2008
Gardner Jorissen Ltd,"Unit 10 No 2 Warehouse, Canal Wharf, Sowerby Bridge, HX6 2AG",77128742,,2250,Shop and Premises,Empty Property - RV < 15000
A T C Properties Ltd,"Suite 2A First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",65100715,"7 Cottage Road, Headingley, Leeds, LS6 4DD",1275,Office,Empty Property - RV < 15000
Binks Vertical Ltd,"Calderbank House, 23 Huddersfield Road, Brighouse, HD6 1LE",29344735,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",5100,Shop and Premises,Empty Relief - Post 01/04/2008
,"30 Waterhouse Street, Halifax, HX1 1UQ",69304030,,6100,Shop and Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 16B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628835,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",2350,Office,Rateable Value below threshold
,"Basement, 2 Silver Street, Halifax, HX1 1HS",68580731,,1125,Store And Premises,Listed Building
Bizspace Ltd,"Unit 2A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628854,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",4750,Warehouse And Premises,Empty Relief - Post 01/04/2008
Tayfield Investments Ltd,"Car Park Adj Sandholme, Sawmill,  Key Sike Lane, Todmorden, OL14 5RF",78100701,"Barclays Bank Chambers, 12 Market Street, Hebden Bridge, HX7 8AD",1400,Car Park and Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D 261, Dean Clough Mills, Halifax, HX3 5AX",64788847,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",7800,Office,Listed Building
,"Former Cottage, Rishworth Business Complex, Rishworth, Sowerby Bridge       HX6 4EW",77412733,,3500,Offices and Premises,Empty Relief - Post 01/04/2008
Westfield Properties,"Unit 16B Calder Workshops, Gibbet Street, Halifax, HX1 4JQ",65164847,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1175,Offices and Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unofficial Address, Unit 202 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",610,Office and Premises,Rateable Value below threshold
Bizspace Ltd,"Unit 10, Calderdale Business Park, Club Lane, Ovenden             HX2 8AX",64628717,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",9600,Offices and Premises,Empty Relief - Post 01/04/2008
F C F M Group Ltd,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276707,"295 Kings Road, London, SW3 5EP",570,Office,Listed Building
Appleyard Lees,"26 Clare Road, Halifax, HX1 2HX",64584026,"11/15 Clare Road, Halifax, HX1 2HX",17750,Offices and Premises,Empty Relief - Post 01/04/2008
No Entry Security Limited,"97 Lightcliffe Road, Brighouse, HD6 2HJ",29384097,,2325,Workshop And Premises,Empty Property - RV < 15000
A - Z Motor Factors Ltd,"269/271 Queens Road, Halifax, HX1 4NS",68308269,,11500,Shop and Premises,Empty Relief - Post 01/04/2008
C H Property Trustee Bands Capital Limited,"Wainwright Hall, Jepson Lane, Elland, HX5 0PY",56148701,"33 Park Square West, Leeds, West Yorkshire, England, LS1 2PF",4850,Hall And Premises,Empty Relief - Post 01/04/2008
R S Investments Yorkshire Ltd,"Halifax Road, Hipperholme, Halifax, HX3 8ER",65232701,"Thornfield, Leeds Road, Hipperholme, HX3 8NH",1675,Workshop And Premises,Empty Property - RV < 15000
Samuel Smith Ltd,"Colliers Arms, 66 Park Road, Elland, HX5 9HZ",56192712,"The Old Brewery, Tadcaster, LS24 9SB",10250,Public House and Premises,Empty Relief - Post 01/04/2008
Joinery Equipment (Hire) Ltd,"Lever Street, Todmorden, OL14 5QF",78284701,,2475,Store And Premises,Rateable Value below threshold
,"Units At, 32 Charles Street, Elland, HX5 0NF",56040708,,4700,Store and Premises,Empty Relief - Post 01/04/2008
Blackshaw Holdings Ltd,"Unit 24 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056736,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1950,Offices and Premises,Empty Property - RV < 15000
,"Sovereign House, 8 Bonegate Road, Brighouse, HD6 1SP",29064701,,7000,Day Nursery and Premises,Empty Relief - Post 01/04/2008
Banana Beach Tanning Corporation Ltd,"26 Southgate, Halifax, HX1 1DL",68652026,"4 Blackbrook Court, Brighouse, HD6 2RP",17500,Salon And Premises,Listed Building
Halifax Opportunities Trust,"Office 19 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242717,"Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",1575,Offices and Premises,Empty Property - RV < 15000
,"R/O 25 Bethel Street, Brighouse, HD6 1JR",29048712,,990,Store And Premises,Rateable Value below threshold
Kino & Co,"12D Holdsworth Road, Holmfield, Halifax, HX3 6SN",65344510,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1975,Offices and Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 1, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",29124719,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",12000,Workshop And Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",65344746,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",670,Office,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 1 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284732,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1725,Store And Premises,Empty Property - RV < 15000
,"56 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168056,,1875,Shop and Premises,Rateable Value below threshold
Calderdale Mbc Children & Young People's Services,"Lower Ground Floor, Carlton Mill, Wharf Street, Sowerby Bridge      HX6 2AS",77652738,"Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",27750,Offices and Premises,Listed Building
Cellar 28 Ltd,"Ground Floor Office, Cellar 28, William Street, Brighouse            HD6 1HR",29644028,"William Street, Brighouse, HD6 1HR",1550,Office,Empty Property - RV < 15000
,"Unit 2, 38 Sunderland Street, Halifax, HX1 5AF",68880705,,2025,Store And Premises,Rateable Value below threshold
,"Unit 5 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612728,,1875,Store And Premises,Empty Property - RV < 15000
,"85 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328703,,9000,Shop and Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 14D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628721,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1600,Store,Rateable Value below threshold
Kino & Co,"Unit 12E, Holdsworth Road, Halifax, HX3 6SW",65344518,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",3950,Warehouse And Premises,Empty Relief - Post 01/04/2008
Units To Let [Northern] Ltd,"Unit 6 Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",77340729,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",1750,Workshop And Premises,Empty Property - RV < 15000
Towngate Plc,"Part 1ST Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB",29656726,"C/O Sanderson Weatherall Llp, 25 Wellington Street, Leeds, LS1 4WG",7700,Offices and Premises,Empty Relief - Post 01/04/2008
Sbs Easy Storage Limited,"Unit 1, Fielden Works, Walton Street, Sowerby Bridge       HX6 1AN",77636719,"Horley Green House, Horley Green Road, Halifax, HX3 6AS",53000,Factory and Premises,Empty Relief - Post 01/04/2008
Royal Bank Of Canada Trust Corporation Ltd,"Unit 12 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626720,"C2 (General Partner Two) Lp, C/O Ryden Llp, 3rd Floor Carlton Tower, 34 St Pauls Street, Leeds, LS1 2QB",15750,Workshop And Premises,Qualifying industrial hereditament
,"Punch Bowl Inn, 389 Huddersfield Road, Halifax, HX3 9LJ",65412706,,4750,Public House and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite F3 West F Mill, Dean Clough Mills, Halifax, HX3 5AX",64778814,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",125000,Offices and Premises,Listed Building
,"91/93 Northgate, Halifax, HX1 1XJ",68096710,,1675,Stores,Empty Property - RV < 15000
Simms Electrical Distributors Ltd (In Liquidation),"Miall Works, Battinson Road, Halifax, HX1 4AZ",64176705,"C/O Lee & Co, Photon House, Percy Street, Leeds, LS12 1EG",6500,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
Wattlid Ltd,"Units 18A & 18B, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",76088864,"The Continuum, Moderna Business Park, Mytholmroyd, HX7 5QQ",13750,Store And Premises,Qualifying industrial hereditament
,"New Delight Works, Boothtown Road, Halifax, HX3 6TU",64284824,,2475,Workshop And Premises,Empty Property - RV < 15000
,"Sonia Maud Beauty Room, Central Hall, Oldham Road, Ripponden            HX6 4DN",77408770,,1750,Offices and Premises,Empty Property - RV < 15000
,"Calder Forge, Central Buildings, Hollins Mill Lane, Sowerby Bridge       HX6 2QG",77276736,,880,Workshop And Premises,Empty Property - RV < 15000
B C A Group Ltd,"Unit G9 Lock View, Lowfields Business Park, Elland, HX5 9DF",56174726,,94000,Warehouse And Premises,Qualifying industrial hereditament
Dean Clough Ltd,"Unit S1-S8 & B R 1, Dean Clough, Halifax, HX3 5AX",64788801,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",11000,Workshop And Premises,Qualifying industrial hereditament
,"2a New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408706,,3800,Offices and Premises,Empty Relief - Post 01/04/2008
,"8 Carlton Place, Halifax, HX1 2SB",64484710,,34500,Restaurant and Premises,Empty Relief - Post 01/04/2008
Renson Products Uk Ltd (In Administartion 09/09/16),"Unit 5, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236764,"Leonard Curtis, Tower 12, 18/22 Bridge Street, Spittalfields, Manchster, M3 3BZ",9300,Workshop And Premises,Bankrupt / Liquidation / Winding Up Order
Thornber Chicks Ltd,"Units 7 & 8, White Lee Garage, Burnley Road, Mytholmroyd         HX7 5QJ",76088771,"Dean Hey Farm, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",28000,Warehouse And Premises,Qualifying industrial hereditament
,"Unit 2A, New Delight Works, Boothtown Road, Halifax              HX3 6TU",64284828,,1875,Vehicle Repair Workshop And Premises,Empty Property - RV < 15000
Calderdale Mbc,"33 Southgate, Elland, HX5 0BW",56224033,"Regen & Development, Northgate House, Northgate, Halifax, HX1 1UN",6800,Shop and Premises,Empty Relief - Post 01/04/2008
,"The Old Ambulance Hall, Stansfield Road, Todmorden, OL14 5DL",78444719,,17500,Workshop And Premises,Qualifying industrial hereditament
Bizspace Ltd,"Unit 18C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628861,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",3100,Offices and Premises,Empty Relief - Post 01/04/2008
Pennine Housing 2000 Ltd,"95 Turner Avenue South, Illingworth, Halifax, HX2 8EF",69116095,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",3400,Community Centre And Premises,Empty Relief - Post 01/04/2008
,"King Street, Todmorden, OL14 6LX",78288701,,2800,Warehouse And Premises,Rateable Value below threshold
Gama Healthcare Ltd,"Office Block(First Floor), North Dean Business Park, Stainland Road, Greetland           HX4 8LR",68772758,"2 Regal Way, Watford, WD24 4YJ",16750,Offices and Premises,Empty Relief - Post 01/04/2008
Kino & Co,"UNIT1C/D Lwr Gf South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344993,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",3150,Store And Premises,Qualifying industrial hereditament
,"Ground Floor, 58/60 Southgate, Elland, HX5 0DQ",56224752,,9000,Shop and Premises,Awaiting occupation
Harley House Ripponden Ltd.,"Meadowside, Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ",77348778,"Registered Office, 67 Chorley Old Road, Bolton, BL1 3AJ",4000,Offices and Premises,Empty Relief - Post 01/04/2008
Bamford Developments Limited Pension Scheme,"Unit 1 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824713,"8 St Stephen Street, Manchester, M3 6AY",3850,Offices And Premises,Awaiting occupation
,"Unit 3 Atlas Works, Sedburgh Road, Halifax, HX3 9HB",68520718,,4350,Vehicle Repair Workshop And Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Unit S M 5.3, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344892,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2650,Office,Empty Property - RV < 15000
,"Unit 4, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",76224712,,1950,Workshop And Premises,Empty Property - RV < 15000
Ryden Llp,"Unit 11 Caldene Business Pk, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QJ",76252812,"7 Conference Square, Edinburgh, Scotland, EH3 8AN",1350,Store And Premises,Qualifying industrial hereditament
,"Office 3, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",64480711,,3600,Office,Listed Building
Tosca North East Ltd,"65 Commercial Street, Brighouse, HD6 1AF",29196728,"C/O London & Scottish Inv Ltd, 349 Bath Street, Glasgow, G2 4AA",10000,Shop and Premises,Empty Relief - Post 01/04/2008
Switalskis Solicitors Limited,"Part First Floor, Venture House, 3 Silver Street, Halifax              HX1 1HS",68580003,"19 Cheapside, Wakefield, WF1 2SD",14750,Offices and Premises,Empty Relief - Post 01/04/2008
Burrwood Garage Ltd,"Monsal Mills, Miall Street, Halifax, HX1 4AE",65788708,"Pellon Lane, Halifax, HX1 4AA",2325,Workshop And Premises,Empty Property - RV < 15000
Nivlac Investments Ltd,"Ainley House, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",56132700,,188000,Warehouse And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite D40, Dean Clough, Halifax, HX3 5AX",64778824,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",1925,Offices and Premises,Listed Building
Kino & Co,"Unit 1B South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344919,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2200,Store And Premises,Empty Property - RV < 15000
Calderdale Mbc Markets Manager,"Stall 28 Market Hall, Brook Street, Todmorden, OL14 5AJ",78068719,"19 Albion Street, Halifax, HX1 1DU",1700,Market Stall And Premises,Rateable Value below threshold
Maramar Holdings Ltd,"(Unoff Add) Unit J Factory, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",64242853,"The Gatehouse, The Ridings Business Park, Hopwood Lane, Halifax, HX1 3TT",15250,Workshop And Premises,Empty Relief - Post 01/04/2008
Units To Let [Northern] Ltd,"Unit 29 Ab 1ST Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",77690719,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",4500,Store And Premises,Empty Relief - Post 01/04/2008
,"R/O 109 Wakefield Road, Lightcliffe, Halifax, HX3 8SH",69248706,,1200,Store And Premises,Rateable Value below threshold
,"111 Haley Hill, Halifax, HX3 6EE",65224111,,2650,Shop and Premises,Rateable Value below threshold
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",56132765,"Gl Hearn Management Ltd, Po Box 1821, Southampton, SO18 9NA",1475,Store And Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 2, Borough Market, Halifax, HX1 1DZ",64288775,"19 Albion Street, Halifax, HX1 1DU",193,Store And Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 5, Borough Market, Halifax, HX1 1DZ",64288777,"19 Albion Street, Halifax, HX1 1DU",167,Store And Premises,Rateable Value below threshold
,"Woodgate, 164 King Cross Road, Halifax, HX1 3LN",65516712,,2475,Surgery And Premises,Rateable Value below threshold
,"Adj 9 Kent Street, Halifax, HX1 2SR",65500700,,1000,Store And Premises,Rateable Value below threshold
W H Greenwood Ltd,"Unit 1, 25 Square Road, Halifax, HX1 1QG",68708707,"25 Square Road, Halifax, HX1 1QG",2150,Workshop And Premises,Rateable Value below threshold
Hawkhead Bray & Son Ltd,"Unit 32a, Phoebe Lane Ind Est, Phoebe Lane, Halifax             HX3 9EX",68248727,"Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",300,Store And Premises,Rateable Value below threshold
,"The Theatre, 1A Wards End, Halifax, HX1 1DD",69264700,,61500,Club and Premises,Listed Building
Pennine Housing 2000 Ltd,"118 Oak Avenue, Todmorden, OL14 5PD",78340118,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",2250,Shop and Premises,Rateable Value below threshold
Calderdale Mbc,"10 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252756,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2850,Shop and Premises,Listed Building
Dean Clough Ltd,"Office Suite D5 5TH Floor, Dean Clough Mills, Halifax, HX3 5AX",64788851,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",46500,Offices and Premises,Listed Building
Exors Of Mr G R Rower,"19b School Lane, Todmorden, OL14 5AP",78412702,"C/O Mrs C W J Mahoney, 19 The Paddock, Rufford, Lancs, L40 1UL",2375,Offices and Premises,Rateable Value below threshold
White Rose Non Wovens Ltd,"Arches Street, Halifax, HX1 2SY",69360715,"West Parade, Halifax, HX1 2SY",2075,Workshop And Premises,Rateable Value below threshold
,"Unit 31 (Boiler House), Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164751,,890,Workshop And Premises,Rateable Value below threshold
,"Unit 7, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164755,,570,Workshop And Premises,Rateable Value below threshold
