Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Warmco Space Heating Ltd,"Unit 15D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"77 Mill Lane, Brighouse, HD6 1PN",29420742,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1350,Offices and Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"77A Mill Lane, Brighouse, HD6 1PN",29420743,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1075,Offices and Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 14D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284721,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",570,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 14B, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284723,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 203C Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420722,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",450,Store And Premises,Empty Property - RV < 15000
,"13/15 Bull Green, Halifax, HX1 2EB",64436716,,8300,Shop and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 201 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1025,Office,Rateable Value below threshold
,"Unit 4, South Street, Halifax, HX1 2EL",68640711,,1075,Workshop And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 204 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",660,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 1 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212718,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2550,Warehouse And Premises,Listed Building
,"Telecommunications Mast, Site Ref HD0009 N Vale Mills, Bradford Road, Brighouse            HD6 4DJ",29080753,,11500,Communication Station and Premises,Unoccupied Land
Gradon Estates Ltd,"Grove Inn, Burnley Road, Luddendenfoot, Halifax             HX2 6HS",64448706,"Marsh Dene Farm, Marsh Lane, Southowram, Halifax, HX3 9NR",5100,Public House and Premises,Listed Building
,"39 Hanson Lane, Halifax, HX1 5NX",65264039,,2350,Shop and Premises,Empty Property - RV < 15000
Calderdale Mbc Land & Property Services,"6 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252773,"Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Listed Building
Bizspace Ltd,"Unit 16D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628837,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",2250,Office,Rateable Value below threshold
,"59 Hanson Lane, Halifax, HX1 5NX",65264757,,2600,Shop and Premises,Rateable Value below threshold
W R P Holdings Ltd,"Unit 8 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236819,"Fao Mr Calvert, Unit 2, Springvale Works, Elland Road, Brighouse, HD6 2RN",141,Store And Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 32 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056720,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1350,Store And Premises,Empty Property - RV < 15000
