"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Court, Tribunals, Judiciary & Coroners","12","G7","48400","61000","Legal Adviser","1.74","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Court, Tribunals, Judiciary & Coroners","12","G6","61200","75200","Senior Legal Adviser","2.60","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Human Rights, Crime & Sentencing Team","17","LT","28000","32000","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Human Rights, Crime & Sentencing Team","17","G7","48400","61000","Legal Adviser","4.53","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Human Rights, Crime & Sentencing Team","17","G6","61200","75200","Senior Legal Adviser","2.86","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Justice Reform & Legal Aid","15","LO","42000","42000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Justice Reform & Legal Aid","15","G7","48400","61000","Legal Adviser","1.80","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Justice Reform & Legal Aid","15","G6","61200","75200","Senior Legal Adviser","2.63","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Legal Aid Agency","16","G7","48400","61000","Legal Adviser","5.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Legal Aid Agency","16","G6","61200","75200","Senior Legal Adviser","2.89","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Offender Management","14","G7","48400","61000","Legal Adviser","4.81","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice - Offender Management","14","G6","61200","75200","Senior Legal Adviser","3.40","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Advisory","10","EO","25150","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Private Office","1","HEO","29550","35000","Operational Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Private Office","1","EO","25150","30000","Operational Officer","2.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Private Office","1","AO","21850","23800","Operational Support Officer","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Secondment Out","129","LT","28000","32000","Legal Trainee","6.00","Law"
"Attorney General's Office","Government Legal Department","Secondment Out","129","G7","48400","61000","Not in Post","7.91","Other"
"Attorney General's Office","Government Legal Department","Secondment Out","129","G6","61200","75200","Not in Post","12.83","Other"
"Attorney General's Office","Government Legal Department","Secondment Out","129","EO","25150","30000","Not in Post","2.00","Other"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Agricultural Law (AL)","120","LO","42000","42000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Agricultural Law (AL)","120","G7","48400","61000","Legal Adviser","6.20","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Agricultural Law (AL)","120","G6","61200","75200","Senior Legal Adviser","3.27","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Agricultural Law (AL)","120","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Animal Health and Welfare, Plants and Food Team as of 01/2017","119","G7","48400","61000","Legal Adviser","3.20","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Animal Health and Welfare, Plants and Food Team as of 01/2017","119","G6","61200","75200","Senior Legal Adviser","3.70","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Animal Health and Welfare, Plants and Food Team as of 01/2017","119","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Biodiversity, Marine and Wildlife (BMW)","118","G7","48400","61000","Legal Adviser","4.07","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Biodiversity, Marine and Wildlife (BMW)","118","G6","61200","75200","Senior Legal Adviser","5.18","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Biodiversity, Marine and Wildlife (BMW)","118","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Business Management Unit (BMU)","117","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Business Management Unit (BMU)","117","G7","48400","61000","Legal Adviser","0.63","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Business Management Unit (BMU)","117","G6","61200","75200","Senior Legal Adviser","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Business Management Unit (BMU)","117","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Environmental Quality and Countryside (EQC)","122","G7","48400","61000","Legal Adviser","2.40","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Environmental Quality and Countryside (EQC)","122","G6","61200","75200","Senior Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - International, EU Exit and Trade Team","123","G7","48400","61000","Legal Adviser","5.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - International, EU Exit and Trade Team","123","G6","61200","75200","Senior Legal Adviser","5.80","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - International, EU Exit and Trade Team","123","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Water Team (WT)","121","LO","42000","42000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Water Team (WT)","121","G7","48400","61000","Legal Adviser","3.89","Law"
"Attorney General's Office","Government Legal Department","Department for Environment, Food & Rural Affairs - Water Team (WT)","121","G6","61200","75200","Senior Legal Adviser","3.47","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - EU Business","37","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - EU Business","37","G6","61200","75200","Senior Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - EU Withdrawal","140","LT","28000","32000","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - EU Withdrawal","140","G7","48400","61000","Legal Adviser","2.50","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - EU Withdrawal","140","G6","61200","75200","Senior Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - Future relationship","141","G7","48400","61000","Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - Future relationship","141","G6","61200","75200","Senior Legal Adviser","4.20","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - Legislation","36","G7","48400","61000","Legal Adviser","1.82","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - Legislation","36","G6","61200","75200","Senior Legal Adviser","5.00","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - Professional Support Team","135","EO","25150","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Department for Exiting the European Union Legal Advisers - Professional Support Team","135","AO","21850","23800","Legal Support Officer","3.00","Law"
"Attorney General's Office","Government Legal Department","Department for Transport - Rail Projects","85","G7","48400","61000","Legal Adviser","1.00","Law"
"Attorney General's Office","Government Legal Department","Department for Transport - Rail Projects","85","G6","61200","75200","Senior Legal Adviser","3.92","Law"
"Attorney General's Office","Government Legal Department","Government Equalities Office","66","G7","48400","61000","Legal Adviser","1.81","Law"
"Attorney General's Office","Government Legal Department","Government Equalities Office","66","G6","61200","75200","Senior Legal Adviser","2.53","Law"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","LT","28000","32000","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","G7","48400","61000","Legal Adviser","2.80","Law"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","G6","61200","75200","Senior Legal Adviser","5.03","Law"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","EO","25150","30000","Legal Officer","0.67","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Private Law & Inquiries Team A5 - General Private Law, Companies, Costs and Inquiries Team","25","SEO","36250","43000","Legal Manager","5.71","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Private Law & Inquiries Team A5 - General Private Law, Companies, Costs and Inquiries Team","25","LT","28000","32000","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Private Law & Inquiries Team A5 - General Private Law, Companies, Costs and Inquiries Team","25","HEO","29550","35000","Legal Manager","4.00","Law"
