"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Cabinet Office","Cabinet Office","COI - Moving Image & Audio Content","COI8","B2/BAND B2","29819","38103","Communications Manager","7.00","Communications"
"Cabinet Office","Cabinet Office","COI- News & PR","COI3","B2/BAND B2","29819","38103","Communications Manager","62.32","Communications"
"Cabinet Office","Cabinet Office","COI - In-House Content","COI3","B2/BAND B2","29819","38103","Communications Manager","2.00","Communications"
"Cabinet Office","Cabinet Office","COI - MMU&NDS","COI3","B2/BAND B2","29819","38103","Communications Manager","6.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","COI - Corporate Comms","COI3","B2/BAND B2","29819","38103","Communications Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","COI - Regional Marketing","COI3","B2/BAND B2","29819","38103","Communications Manager","8.81","Communications"
"Cabinet Office","Cabinet Office","COI- IT","COI2","B2/BAND B2","29819","38103","IT Manager","12.92","Communications"
"Cabinet Office","Cabinet Office","COI - Procurement","COI2","B2/BAND B2","29819","38103","Procurement Officer","3.00","Communications"
"Cabinet Office","Cabinet Office","COI - Finance & IA","COI7","B2/BAND B2","29819","38103","Finance Officer","5.67","Communications"
"Cabinet Office","Cabinet Office","COI - Facilities","COI2","B2/BAND B2","29819","38103","Operational Manager","2.00","Communications"
"Cabinet Office","Cabinet Office","COI - Strategy & Planning","COI12","C/BAND C","19594","24188","Communications support officer","1.00","Communications"
"Cabinet Office","Cabinet Office","COI - Research","COI9","C/BAND C","19594","24188","Communications support officer","1.00","Communications"
"Cabinet Office","Cabinet Office","COI - Direct & Relationship Marketing","COI11","C/BAND C","19594","24188","Communications Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","COI - Chief Executive Office","COI1","C/BAND C","19594","24188","Communications support officer","1.00","Communications"
"Cabinet Office","Cabinet Office","COI - HR","COI2","C/BAND C","19594","24188","HR support officer","1.00","Communications"
"Cabinet Office","Cabinet Office","COI - Client Account Team","COI17","C/BAND C","19594","24188","Communications support officer","1.00","Communications"
"Cabinet Office","Cabinet Office","COI - Finance & IA","COI7","C/BAND C","19594","24188","Finance Support Officer","7.00","Communications"
"Cabinet Office","Cabinet Office","COI - Facilities","COI2","C/BAND C","19594","24188","Operations Support Officer","9.00","Communications"
"Cabinet Office","Cabinet Office","COI - Live Events","COI3","TIS1","23826","30140","Communications support officer","1.00","Communications"
"Cabinet Office","Cabinet Office","COI - Channel Integration","COI3","TIS1","23826","30140","Communications support officer","1.00","Communications"
"Cabinet Office","Cabinet Office","COI - MMU&NDS","COI3","TIS1","23826","30140","Communications support officer","6.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","COI - Regional Marketing","COI3","TIS1","23826","30140","Communications support officer","1.00","Communications"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Communications Manager","2.00","Communications"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Analyst","5.50","Economics"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Economist","4.00","Economics"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Programme Manager","1.00","Human resources"
