Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Customer Service,Premises,1923/16001,Cleaning Materials & Toilet Req,16001,05/10/2017,inv0041559,29.45,General Fund,PPS Ltd,17808
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Customer Service,Premises,2211/16001,Cleaning Materials & Toilet Req,16001,05/10/2017,inv0041564,7.50,Control Holding and SU Accnts,PPS Ltd,17808
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Customer Service,Premises,2211/16001,Cleaning Materials & Toilet Req,16001,05/10/2017,inv0041565,47.80,Control Holding and SU Accnts,PPS Ltd,17808
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Customer Service,Premises,2211/16001,Cleaning Materials & Toilet Req,16001,05/10/2017,inv0041565,17.90,Control Holding and SU Accnts,PPS Ltd,17808
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Customer Service,Premises,2211/16001,Cleaning Materials & Toilet Req,16001,05/10/2017,inv0041565,9.40,Control Holding and SU Accnts,PPS Ltd,17808
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Customer Service,Premises,2211/16001,Cleaning Materials & Toilet Req,16001,05/10/2017,inv0041565,9.90,Control Holding and SU Accnts,PPS Ltd,17808
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Other Holding Accounts,2203,Resources and Enabling,Supplies and Services,2020/34107,Hired Services - General,34107,05/10/2017,inv0041552,1200.00,Control Holding and SU Accnts,Razorblue Ltd,18068
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Other Holding Accounts,2203,Resources and Enabling,Supplies and Services,2020/35104,Software Charges,35104,05/10/2017,inv0041560,600.00,Control Holding and SU Accnts,Razorblue Ltd,18068
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Hosted Partnerships,3A1,Building Control Partnership,3101,Corporate Management,Supplies and Services,3002/35104,Software Charges,35104,05/10/2017,inv0041547,681.00,Partnerships and Agencies,Razorblue Ltd,18068
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Hosted Partnerships,3A1,Building Control Partnership,3101,Corporate Management,Supplies and Services,3002/35104,Software Charges,35104,05/10/2017,inv0041548,44.24,Partnerships and Agencies,Razorblue Ltd,18068
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Hosted Partnerships,3A1,Building Control Partnership,3101,Corporate Management,Supplies and Services,3002/35302,Postage Imprest,35302,05/10/2017,inv0041548,5.61,Partnerships and Agencies,Razorblue Ltd,18068
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Hosted Partnerships,3A1,Building Control Partnership,3101,Corporate Management,Supplies and Services,3003/35104,Software Charges,35104,05/10/2017,inv0041547,227.00,Partnerships and Agencies,Razorblue Ltd,18068
