Ratepayer,Billing Account Balance ,Liable Unit Balance ,Year,Property Address,Billing Address,Date Start,Date End
,-0.03,-0.03,2012,"305 Huddersfield Road, Halifax, HX3 0PG",,01/16/10,
,-549.51,-5812.39,2014,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,04/01/10,03/31/10
,-54.58,-54.58,2012,"228 Hanson Lane, Halifax, HX1 4QW",,07/05/10,10/20/12
,-154.42,-154.42,2012,"Unit 12 Middle Floor, Quality Works, Rochdale Road, Todmorden           OL14 7NA",,11/01/10,03/31/12
K Engineering Nationwide Ltd,-239.39,-239.39,2013,"Unit 9, Eastfield Mills, Belmont Street, Halifax             HX3 6AT","7 Thornes Moor Close, Wakefield, WF2 8QA",08/21/10,01/01/14
,-1416,-8289.02,2015,"Unit 3G / H South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,09/01/10,
,-855.8,-8289.02,2016,"Unit 3G / H South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,09/01/10,
C.P.P.S Policy Exchange Ltd,-414.7,-414.7,2011,"6 Hollins Place, Hebden Bridge, HX7 8EU","64 Towngate, Heptonstall, Hebden Bridge, HX7 7NB",01/28/11,03/31/11
Frank Marshall Estates Ltd,-13.49,-1754.69,2011,"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","4a Greengate, Cardale Park, Harrogate, HG3 1GY",03/30/12,03/29/12
Quality Water Specialists Llp,-13.59,-13.59,2011,"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","Suite 26 Century Building, Brunswick Business Park, Tower Street, Liverpool, L3 4BJ",02/01/11,03/29/12
Halifax Property Services Ltd,-1617.5,-2028.17,2014,"Century House, West Parade, Halifax, HX1 2TE","Fagley Lane, Eccleshill, Bradford, BD2 3NT",01/01/12,03/12/14
Holmfield Indoor Sports Centre,-125.4,-125.4,2016,"Top Floor Glass Roof, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,03/01/12,05/31/16
,-7.79,-7.79,2015,"Parking Spaces, Opp 35 Stansfield Road, Todmorden, OL14 5DL",,04/01/12,01/21/16
,-75.68,-75.68,2011,"214 Queens Road, Halifax, HX1 4NE",,03/15/12,
,-200,11559.15,2011,"8 Carlton Place, Halifax, HX1 2SB",,01/10/12,12/31/12
Prohold Ltd,-16.77,-16.77,2013,"Unit 1 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB","C/O 24 Meadowcroft, Honley, Holmfirth, HD9 6GJ",02/01/13,01/30/14
,-332.54,-665.08,2009,"4 Cheapside, Halifax, HX1 1TQ",,07/31/09,08/01/10
,-1.1,-1.1,2012,"39 Bethel Street, Brighouse, HD6 1JR",,08/08/09,
,-22.69,-22.69,2009,"270 Queens Road, Halifax, HX1 4NJ",,10/01/09,03/14/10
,-25.51,-25.51,2010,"Market Stall 129-130, Market Hall, Borough Market, Halifax             HX1 1DZ",,01/31/10,09/09/12
Halifax Property Services Ltd,-1253.2,-4765.75,2014,"Part 1st Floor, West Parade, Halifax, HX1 2TE","Fagley Lane, Eccleshill, Bradford, BD2 3NT",04/01/11,06/08/14
,-0.15,-0.15,2012,"28 Spring Hall Place, Halifax, HX1 4TF",,03/01/10,
Safety Systems Technology Ltd,-3.58,-3.58,2010,"Unit 3, Westbury Street, Elland, HX5 9AT","Unit 3 Westbury Street, Elland, HX5 9AT",06/01/10,03/31/11
Pro Porsche (Brighouse) Ltd,-99.37,-99.37,2011,"Armytage Road, Brighouse, HD6 1PT","337 Wakefield Road, Huddersfield, HD5 8DE",07/25/11,03/23/12
Hillcrest Garage (Sowerby Bridge) Ltd,-5587.46,-5942.28,2010,"Hillcrest Garage, Burnley Road, Sowerby Bridge, HX6 2TL","Hillcrest Garage, Burnley Road, Sowerby Bridge, HX6 2TL",04/01/05,03/31/10
Calderdale Mbc Children & Young People's Services,-1555.78,-4289.28,2015,"Community Centre, Burnsall Road, Rastrick, Brighouse           HD6 3JT","Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",12/14/11,09/03/15
Albion Bowling Club,-84.42,-84.42,2012,"Albion Bowling Club, R/O 143 Halifax Road, Brighouse, HD6 2ED","C/O Mr Neil Hopper, 38 Lords Lane, Brighouse, HD6 3RF",04/01/12,11/27/12
Warby Ltd,-0.01,250.9,2015,"Masons Arms, 1 Bacup Road, Todmorden, OL14 7PN",,04/01/12,
,-2393.25,-16287.27,2011,"Windmill Court Country Hotel, Keighley Road, Halifax, HX2 8YB",,04/01/10,
A - Z Motor Factors Ltd,-1100.8,-1100.8,2013,"Hope Street, Halifax, HX1 5DW",,07/30/13,12/16/13
Troy Chemical Company B V,-1268.98,-1281.65,2015,"Suites 3 & 5, 2ND Floor, Park View House, Woodvale Road, Brighouse            HD6 4AB","Uiverlaan12e, 3145 Xn, Maassluis, The Netherlands",01/29/13,12/04/15
,-549,-549,2013,"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,05/01/12,10/11/13
Wattlid Ltd,-1002.03,-1002.03,2014,"Units 1 & 2, Moderna Business Park, Mytholmroyd, Hebden Bridge       HX7 5QQ","The Continuum, Moderna Business Park, Mytholmroyd, HX7 5QQ",03/29/14,10/31/14
Interface Europe Ltd,-1361.38,-1361.38,2013,"Shelf Mills (Vacant), Wade House Road, Shelf, Halifax              HX3 7PA","Financial Director, Shelf Mills, Shelf, Halifax, HX3 7PA",02/01/13,02/27/14
,-0.98,1614.7,2015,"18 Commercial Street, Halifax, HX1 1TA",,11/07/13,
,-311.7,-326.68,2014,"New Delight Inn, Blackshawhead, Hebden Bridge, HX7 7HT",,03/30/14,
Himmat Ltd,-104,-104,2015,"Office 1,2ND Floor Bond Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Lower Ground Floor, Raven Street Centre, Raven Street, Halifax, HX1 4NB",12/01/13,03/18/15
,-13300,15939,2015,"Salvation, Barum Top, Halifax, HX1 1NL",,08/13/15,
G Property,-340.85,-987.79,2015,"1 Church Lane, Brighouse, HD6 1AT","25 Park Square West, Leeds, LS1 2PW",08/10/14,08/09/14
Ground Strategies Ltd,-28.32,-305.28,2015,"Office Suite E207, Dean Clough Mills, Halifax, HX3 5AX","Philmore & Co, Unit 11 Dale Street Mills, Dale Street, Longwood, Huddersfield, HD3 4TG",05/01/15,03/16/16
Ground Strategies Ltd,-276.96,-305.28,2016,"Office Suite E207, Dean Clough Mills, Halifax, HX3 5AX","Philmore & Co, Unit 11 Dale Street Mills, Dale Street, Longwood, Huddersfield, HD3 4TG",05/01/15,03/16/16
A J Bell (Pp) Trustees Limited,-324.22,-324.22,2014,"22 Burnley Road, Todmorden, OL14 5DJ","Trafford House, Chester Road, Manchester, M32 0RS",10/04/14,10/26/14
Bizspace Ltd,-3375.65,-3375.65,2014,"Unit 18, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",07/29/14,10/31/14
,-3,-3,2016,"Storeroom 11 Market Hall, Brook Street, Todmorden, OL14 5AJ",,06/05/14,
Coal Pension Properties Ltd,-4618,-4618,2015,"3 Woolshops, Halifax, HX1 1RU","C/O Capita Property &, Infrastructure Ltd, 65 Gresham Street, London, EC2V 7NQ",01/07/15,11/08/15
Graham Construction Limited,-2857.38,-4425.79,2016,"18/20 Square, Halifax, HX1 1RJ",,01/11/16,
,-2494,-8232.32,2016,"Part First Floor, 25B Union Street, Halifax, HX1 1PR",,06/27/14,04/30/15
Ees Corporate Trustees Ltd,-192.39,-5608.89,2013,"Crib Lane Level 3 Bottom, Dean Clough Mils, Halifax, HX3 5AX","The Pavilions, Bridgewater Road, Bristol, BS13 8AE",06/01/13,
,-441.1,2074.9,2014,"42 Wharf Street, Sowerby Bridge, HX6 2AE",,10/22/14,
Age Uk Calderdale & Kirklees,-10.67,-10.67,2015,"Age Concern, Harley Street, Todmorden, OL14 5JE","4 - 6 Square, Halifax, West Yorkshire, HX1 1RJ",02/14/14,01/31/16
,-4.93,-4.93,2016,"Unit 2 Reflecting Roadstuds, Mill Lane, Boothtown, Halifax              HX3 6TR",,08/01/14,04/30/16
,-797.38,-797.38,2015,"Storage & Id Cars, Queens Road Works, Queens Road, Halifax              HX1 3NS",,10/05/15,10/31/15
La Romantica Beds Ltd,-267.15,-267.15,2015,"Unit 10/10A Brunswick Works, Brassey Street, Halifax, HX1 2EA","Unit 1 Moorbank Mills, Artillery Street, Heckmondwike, WF16 0NT",06/04/14,12/20/15
Glostone Limited Pension Scheme,-450,-450,2012,"The Bus Garage, Burnt Acre Lane, Eastwood, Todmorden           OL14 6EH","C/O Jack Loach, 14 Burnt Acres Lane, Eastwood, Todmorden, OL14 6EH",06/12/11,12/11/13
Brisue Ltd,-111.44,-160.29,2015,"Golden Lion Hotel, Fielden Square, Todmorden, OL14 6LZ","Registered Office, 98 Rochdale Road, Todmorden, OL14 7LP",09/01/14,02/28/15
Bizspace Ltd,-2311,-2311,2014,"Unit 7, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",03/25/14,12/31/15
Royal & Sun Alliance,-66555,-66555,2015,"1ST & 2ND Flr, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 5AX","Fao Rates Management, Lambert Smith Hampton, Interchange Place, Edmund Street, Birmingham, B3 2TA",07/01/14,09/04/14
On Time Logistics Ltd [In Liquidation],-6528.92,-6528.92,2002,"Warehouse, Armytage Road, Brighouse, HD6 1PT","C/O K P M G, 1 Waterloo Way, Leicester, LE1 6LP",01/10/99,10/27/00
,-1.1,-1.1,2012,"41 Bethel Street, Brighouse, HD6 1JR",,12/02/95,
,-0.91,-0.91,2012,"Adj 27 Bethel Street, Brighouse, HD6 1JR",,11/02/02,
Fitlock (Yorkshire) Ltd [In Receivership],-60.68,-60.68,2002,"Bath Place, R/O11-19 Bramston Street, Brighouse, HD6 3AA","C/O Coopers & Lybrand, Albion Court, 5 Albion Place, Leeds, LS1 6JP",04/01/90,09/06/95
,-19.98,-19.98,2000,"1 Cliffe Road, Brighouse, HD6 1HE",,04/01/90,10/28/00
,-16.03,-16.03,2001,"85 Highfield Road, Rastrick, Brighouse, HD6 3JA",,04/01/00,05/28/01
,-26.43,-26.43,2002,"63 Commercial Street, Brighouse, HD6 1AF",,12/06/91,03/26/93
,-36.95,-36.95,2002,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,04/01/90,07/31/98
,-34.2,-34.2,2002,"4 Victoria Road, Elland, HX5 0PU",,04/01/90,03/01/91
,-14.33,-14.33,2006,"Back Ferguson Street, Halifax, HX1 2EE",,05/01/99,03/04/07
Rymancall Ltd,-18,-18,2002,"66 Battinson Road, Halifax, HX1 4RW",,10/01/92,05/31/94
,-7097.8,-77567.88,2014,"The Surgery, Burley Street, Elland, HX5 0AQ",,04/01/90,
,-41.09,-41.09,2012,"Unit 1, The Ainleys, Huddersfield Road, Elland              HX5 9JR",,03/01/93,
"Britannic Assurance Plc [Property Dept, Mr Hornshaw]",-2004.69,-2004.69,2002,"Unit B4 Lowfields Close, Lowfields Business Park, Elland, HX5 9DX","1 Wythall Green Way, Wythall, Birmingham, B47 6WG",10/24/01,11/21/02
Terberg Dts [Uk] Ltd,-288.34,-288.34,2009,"Unit G14 Lock View, Lowfields Business Park, Elland, HX5 9HD","Lowfields Business Park, Elland, HX5 9DA",04/01/01,11/02/09
Samuel Smith Ltd,-1340.23,986.02,2015,"Colliers Arms, 66 Park Road, Elland, HX5 9HZ","The Old Brewery, Tadcaster, LS24 9SB",04/01/90,
,-4.22,-4.22,2002,"Unit 3, Brookfield Works, Quebec Street, Elland               HX5 9AP",,11/01/90,03/29/92
,-259.7,-259.7,2012,"7 Carlton Street, Halifax, HX1 2AL",,05/22/00,
,-76.27,-76.27,2002,"Birks Royd Quarry, Church Lane, Southowram, Halifax             HX3 9TD",,11/01/95,01/28/98
Spectrum Search & Selection Ltd,-71.48,-71.48,2002,"28 Clare Road, Halifax, HX1 2HX","[In Liquidation], C/O Sargent & Co, 36 Clare Road, Halifax, HX1 2HX",09/27/01,11/30/02
Cristel Paint Finishers Ltd [In Administration],-1377.64,-1377.64,2004,"Dunkirk Mills, Dunkirk Street, Halifax, HX1 3TB","C/O O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ",11/26/91,10/12/04
A.R.P. Security Services Ltd,-0.45,-0.45,2012,"31 Edwards Road, Halifax, HX2 7DG",,04/01/90,
,-88,-88,2004,"18f Lydgate, Northowram, Halifax, HX3 7EJ",,12/15/01,12/05/04
,-253.99,-253.99,2010,"7 Northgate, Halifax, HX1 1UR",,09/25/98,02/28/11
,-0.89,-0.89,2012,"Unit 4 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",,06/01/95,
Springhill Stone Ltd,-36,188,2015,"Spring Hill Quarry, Barkisland, Halifax, HX4 8LJ","Spring Hill Quarry, Rochdale Road, Greetland, Halifax, HX4 8PS",04/01/90,
,-75.65,-75.65,2008,"228 Hanson Lane, Halifax, HX1 4QW",,04/01/90,04/06/08
B.T Plc,-117.75,1521.5,2014,"Hanson Lane, Halifax, HX1 5PG","Colliers Int Rating Uk Llp, 12th Flr, 11 Brindleyplace, 2 Brunswick Square, Brindleyplace, Birmingham, B1 2LP",04/01/95,
Due West Limited,-540.55,-540.55,2010,"9 Harrison Road, Halifax, HX1 2AF","O & C Management Limited, 9 Harrison Road, Halifax, HX1 2AF",04/01/92,03/31/10
Yorks Cable Management Ltd [In Liquidation],-12.7,-12.7,2002,"The Focus Centre, Holdsworth Road, Halifax, HX3 6SW","C/O Revell Ward Horton, Norwich Union House, 26 High Street, Huddersfield, HD1 2LN",11/01/94,03/27/96
,-38.83,-38.83,2002,"1 Ivy Terrace, Lightcliffe, Halifax, HX3 8BD",,01/28/02,11/29/02
,-16005,-112580.43,2009,"Beechwood Medical Centre, Keighley Road, Halifax, HX2 8AL",,09/01/98,10/13/12
,-226.26,-226.26,2002,"Rooms 1-3, Kingston Grange, Hopwood Lane, Halifax             HX1 4EX",,11/15/92,12/23/95
Pecan Bay Ltd,-1001.52,-1001.52,2002,"Fleece Inn, Barkisland, Halifax, HX4 0DJ","West Point Business Centre, Westland Square, Leeds, LS11 5SS",10/01/96,11/30/97
Blue Gecko Trading Co Ltd,-72.22,-72.22,2012,"Adj 40 Rochdale Road, Greetland, Halifax, HX4 8AX","Hollyns Warehouse, Adj 40 Rochdale Road, Greetland, Halifax, HX4 8AX",05/20/01,
,-3876.5,-24371.08,2012,"Rosegarth Surgery, Rothwell Mount, Halifax, HX1 2HB",,04/01/90,
,-6428.25,-54139.62,2014,"Kos Clinic, 4 Roydlands Street, Hipperholme, Halifax             HX3 8AF",,04/01/90,
Stanleys Wholesale Group Ltd[In Liquidation],-60.71,-60.71,2002,"Windsor Business/Office Park, Ryburn Terrace, Halifax, HX1 4SE","C/O Finn Associates, 4 Queen Street, Leeds, LS1 2TW",03/01/91,10/31/96
,-26,-26,2002,"Travellers Inn, Tanhouse Hill, Hipperholme, Halifax             HX3 8HN",,10/17/02,10/31/02
Clifford Longbottom Ltd,-154.76,-154.76,2002,"Fairfield Works, Shay Lane, Halifax, HX2 9AB",,04/01/90,06/30/98
Vodafone Ltd,-282.6,-536.4,2014,"Telecommunications Mast, Site Ref 4628  Shroggs Farm, Sowerby Lane, Luddendenfoot        HX2 6JP","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",09/01/98,
,-224.51,-224.51,2010,"St John's House, St Johns Lane, Halifax, HX1 2JD",,04/01/90,07/04/10
,-38.18,-38.18,2002,"Hare & Hounds Inn, Wadsworth, Hebden Bridge, HX7 8TN",,08/26/90,04/21/92
,-87.37,-87.37,2002,"5A Friendly (Flat), Burnley Road, Sowerby Bridge, HX6 2UG",,04/01/90,09/30/90
,-39.11,-39.11,2005,"10 Hollins Mill Lane, Sowerby Bridge, HX6 2QG",,04/01/90,01/26/06
Yorkshire Rider Ltd,-17.66,-17.66,2002,"Bus Station, Wade Street, Halifax, HX1 1SN","Attn Christine Haigh, Skircoat Road, Halifax, HX1 2RF",07/21/97,05/30/02
,-27.05,-27.05,2013,"46 Wakefield Road, Hipperholme, Halifax, HX3 8AQ",,01/14/00,12/16/13
,-10.52,-10.52,2009,"13 Woodside Place, Halifax, HX3 6EQ",,04/01/90,03/23/10
,-50.61,-50.61,2002,"22 Town Hall Street, Sowerby Bridge, HX6 2EA",,09/02/91,10/14/93
,-56.31,-56.31,2012,"West End Bowling Club, West Street, Sowerby Bridge, HX6 3BB",,04/01/90,
,-8,-43.54,2009,"Unit 10, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",,04/01/01,01/31/09
,-18.39,-18.39,2002,"23 Rochdale Road, Todmorden, OL14 5AA",,04/01/90,07/09/91
,-10.4,-10.4,2005,"780 Rochdale Road, Todmorden, OL14 7UA",,04/01/90,04/21/05
,-150.82,-174.82,2014,"Part Unit C, Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",,09/01/01,06/29/14
,-24,-174.82,2015,"Part Unit C, Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",,09/01/01,06/29/14
,-3.48,-3.48,2001,"South Grain Farm, Bacup Road, Todmorden, OL14 7HT",,03/28/02,05/27/04
,-0.89,-0.89,2012,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",,11/25/96,
,-1.77,-1.77,2012,"Unit 6, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",,07/01/99,
,-2.39,-2.39,2001,"1 Stansfield Road, Todmorden, OL14 5DN",,07/29/99,04/29/01
,-0.02,363.98,2014,"Hollins Mill, Rochdale Road, Todmorden, OL14 6SA",,01/07/03,
,-223.24,-223.24,2012,"23 Ovenden Road, Halifax, HX3 5PN",,12/20/02,
Parfitts Bakery Ltd (In Liquidation),-145.48,-145.48,2012,"7 Commercial Street, Brighouse, HD6 1AF","Dl Partnership Llp, Ground Floor, 90 New North Road, Huddersfield, HD1 5NE",01/06/03,03/23/13
,-37.29,-37.29,2014,"13 Wards End, Halifax, HX1 1BX",,12/02/02,11/13/14
,-400.27,-400.27,2013,"Red Rooster, 123 Elland Road, Brighouse, HD6 2QR",,03/17/03,03/06/14
F H Shaw Ltd,-13.67,-13.67,2003,"Part Westfield Works, Park Road, Elland, HX5 9HX","C/O Sargent & Co, 36 Clare Road, Halifax, HX1 2HX",07/03/03,10/13/03
Ladbrokes Betting & Gaming Ltd,-0.01,2009.99,2013,"364 Ovenden Road, Halifax, HX3 5TJ","Montagu Evans Llp, 2nd Floor, Abbey House, 74 Mosley Street, Manchester, M2 3LW",06/26/01,
M.C. Fabrications (Halifax) Ltd,-400,-400,2004,"Moorlea Garage, Albert Road, Halifax, HX2 0DF","Moorlea Garage, Albert Road, Pellon, Halifax, HX2 0DF",09/01/03,08/31/03
,-137.91,-137.91,2005,"The Savile Arms, Southgate, Elland, HX5 0BW",,03/03/03,06/02/05
Tefonica O2 (Uk) Ltd,-282.6,-106.36,2014,"Telecommunications Mast, Site Ref 15864 Brow Mills, Brighouse Road, Halifax              HX3 8DD","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",04/01/03,
,-23.56,-23.56,2004,"South Parade, Halifax, HX1 2LX",,10/07/03,03/08/05
,-4.98,-4.98,2007,"Unit 4, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",,10/01/03,07/31/07
,-0.09,-0.09,2010,"9 Stanley Street North, Ovenden, Halifax, HX2 9AH",,07/18/04,
Arctic Media Ltd,-0.85,-0.85,2012,"Unit 23 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",,04/01/04,
,-301.88,-555.13,2008,"South Grain Farm, Bacup Road, Todmorden, OL14 7HT",,05/28/04,12/31/08
,-2.73,-2.73,2008,"Unit 1, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",,11/10/03,03/26/09
The Factory Shop Ltd,-2922.8,4285.2,2015,"The Original Factory Shop, Halifax Road, Todmorden, OL14 5BE","C/O G L Heam Management Ltd, Po Box 1610, Southampton, SO15 3WX",11/06/04,
,-30,802,2013,"6 Borough Market, Halifax, HX1 1DY",,11/01/04,
Trustees Of Brighouse Sunday Football League,-4.83,-4.83,2010,"Lane Head Recreation Ground, Halifax Road, Brighouse, HD6 2EA","C/O Mr Russell Holmes, 7 Hardy Place, Brighouse, HD6 2PW",09/12/03,08/31/10
,-477.36,-477.36,2007,"Phoenix House, Phoenix Street, Brighouse, HD6 1PD",,01/12/04,09/24/07
,-51.73,-51.73,2003,"Bramsche Bar, 31 Rochdale Road, Todmorden, OL14 7LA",,01/15/04,03/20/04
,-189.16,-189.16,2004,"Buckland Place, Gibraltar Road, Halifax, HX1 4HJ",,10/01/03,06/30/04
Brass Court Ltd,-6.09,-6.09,2005,"The Barge, 37 Mill Lane, Brighouse, HD6 1PA","Second Floor Office, The Villa, 1 Hollingwood Lane, Bradford, BD7 2RE",10/02/03,09/30/05
Graham Evans [Property],-466.81,-466.81,2012,"The Old Office Block, Stainland Road, Greetland, Halifax             HX4 8BQ","48 Stainland Road, Greetland, Halifax, HX4 8BD",04/01/01,03/31/10
,-135.79,-135.79,2012,"Unit 5, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,06/01/02,
Ladbrokes Betting & Gaming Ltd,-0.01,640.98,2013,"Workshop, Sod House Green, Halifax, HX3 6QR","Montagu Evans Llp, 2nd Floor, Abbey House, 74 Mosley Street, Manchester, M2 3LW",07/01/01,
D. Bird (Joiners) Ltd,-2.25,-2.25,2006,"Unit 12 Washer Lane Works, Washer Lane, Halifax, HX2 7DX","6 Prospect Place, Sowerby, Sowerby Bridge, Halifax, HX6 1JF",07/01/04,03/30/07
,-78.03,-78.03,2005,"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,03/14/05,09/30/05
Vodafone Ltd,-235.5,-33.69,2014,"Television Mast, Land Near Tinker Hey Farm, North Dean Road, Greetland            HX4 8QA","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",11/01/04,
Ripponden Carriers Ltd [In Administration],-8.16,-8.16,2005,"Office 1, 11 Owler Ings Road, Brighouse, HD6 1EJ","C/O Begbies Traynor, Elliot House, 151 Deansgate, Manchester, M3 3BP",06/18/05,08/26/05
,-214.39,-838.94,2005,"Cross Inn, 46 Towngate, Heptonstall, Hebden Bridge       HX7 7NB",,06/13/05,10/02/07
,-6,-6,2006,"13/15 Bridge Gate, Hebden Bridge, HX7 8EX",,07/18/05,05/28/10
,-548.51,-548.51,2005,"Rear Of, 1 Ovenden Road, Halifax, HX3 5PN",,09/01/04,08/31/04
,-35.94,-35.94,2005,"242 King Cross Road, Halifax, HX1 3JP",,12/01/04,04/20/05
,-52.12,-52.12,2008,"Ground Floor, West Yorkshire Fire Station, Hollins Mill Lane, Sowerby Bridge       HX6 2QG",,09/15/04,04/30/08
,-331.35,-1534.14,2007,"Old Pond Inn, 15 Spout House Lane, Brighouse, HD6 2PL",,10/18/04,10/27/10
,-0.01,2184.06,2015,"The Westgate, 28 Westgate, Halifax, HX1 1PW",,01/31/06,05/10/15
,-50,-50,2016,"8 Central Street, Halifax, HX1 1HU",,04/01/06,12/31/15
,-3.18,-3.18,2012,"Unit 12 Nanholme Mill, Shaw Wood Road, Todmorden, OL14 6DR",,03/01/06,03/31/16
,-650,3391.75,2015,"5 Bethel Street, Brighouse, HD6 1JR",,07/27/05,
,-112.34,-112.34,2006,"3 Raven Street, Halifax, HX1 4NB",,05/09/05,02/09/07
,-65.36,-65.36,2009,"28 Spring Hall Place, Halifax, HX1 4TF",,11/26/05,02/28/10
,-6.28,-6.28,2009,"Unit 7a, Lineholme Mill, Burnley Road, Todmorden           OL14 7DH",,12/06/04,04/30/09
,-1.51,-1.51,2012,"12 Briggate, Elland, HX5 9DP",,04/05/05,
Dootson Contracting Ltd,-6.57,-6.57,2009,"2ND Floor, 4 Garden Street, Hebden Bridge, HX7 8AQ","Salt Pie Farm, Colden, Hebden Bridge, HX7 7TH",09/01/06,04/30/09
Masterclean (Uk) Ltd,-57.42,-57.42,2009,"Unit 5 Emstead Works, Old Lane, Halifax, HX3 5QN","Stansfield House, Shay Lane, Halifax, HX3 5QN",09/01/06,04/30/09
,-45.29,-45.29,2007,"10 The Colonnade, Piece Hall, Halifax, HX1 1RE",,10/09/06,11/03/07
Think Kaleidoscope Ltd,-355.43,-355.43,2010,"Unit 1 Marshall Hall Mills, Elland Lane, Elland, HX5 9DU","C/O O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ",10/13/06,09/03/10
,-185.63,-185.63,2013,"Albert Hotel, 3 Albert Street, Hebden Bridge, HX7 8AH",,10/18/06,03/17/14
Vodafone Ltd,-941.99,-1979.17,2014,"Telecommunications Mast, Site Ref 35452, Bowood Lane, Triangle             HX6 3DU","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",04/01/06,
Fat Cat Trading Co Ltd,-2.44,-2.44,2009,"17 The Colonnade, Piece Hall, Halifax, HX1 1RE","89 Stainland Road, Greetland, Halifax, HX4 8BD",10/01/06,03/29/10
Ploughcroft Building Services Limited,-29.42,-29.42,2006,"Office 3, 11 Owler Ings Road, Brighouse, HD6 1EJ","Mill 2, St Pegs Mill, Thornhillbeck Lane, Brighouse, HD6 4AH",12/01/06,03/15/07
,-37.87,-37.87,2012,"Unit 13/14, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,01/31/07,12/31/13
Cullingworth Commercials & Freight Services Ltd,-27.53,918.17,2015,"Lumbrook Mills, Westercroft Lane, Halifax, HX3 7TY","Fao June Dove, Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",11/02/06,
,-1.18,-1.18,2012,"Unit 1 1ST Floor, Number 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",,06/21/05,
,-3,467,2012,"Stables Cottage, Middle Longfield Farm, Longfield Road, Todmorden           OL14 6LX",,06/01/06,
,-7.42,-7.42,2008,"286 Gibbet Street, Halifax, HX1 4LT",,07/01/05,06/08/08
,-158.13,-347.46,2010,"2ND Floor, 52 Manor Heath Road, Halifax, HX3 0BE",,08/01/07,05/01/10
Spot On Concrete [Hx] Ltd,-77.08,-77.08,2009,"Empire Works, Watkinson Road, Halifax, HX2 9AB","Fao Steven Walker, 90 Pye Nest Road, Pye Nest, Halifax, HX2 7HS",08/01/07,07/31/09
,-1.77,-1.77,2012,"Jammy Fold Farm, Soil Hill, Halifax, HX2 9NT",,04/01/07,
,-270.74,-270.74,2010,"4 Dale Street, Todmorden, OL14 5PX",,09/02/07,10/28/10
,-160.21,-966.7,2011,"Balcony Store 30, Borough Market, Halifax, HX1 1DZ",,04/01/07,03/31/10
,-174.27,-966.7,2014,"Balcony Store 30, Borough Market, Halifax, HX1 1DZ",,04/01/07,03/31/10
,-1.77,-1.77,2012,"Unit 6, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,05/01/07,
Tefonica O2 (Uk) Ltd,-238.15,-666.7,2011,"Telecommunication Mast, Site Ref 18479, Old Lindley Road, Holywell Green       HX4 9DF","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",04/01/05,
