Ratepayer,Billing Account Balance ,Liable Unit Balance ,Year,Property Address,Billing Address,Date Start,Date End
,-8730.86,-112580.43,2012,"Beechwood Medical Centre, Keighley Road, Halifax, HX2 8AL",,09/01/98,10/13/12
Pennine Computer Group Ltd In Receivership,-423.44,-423.44,2002,"West House, 98 King Cross Street, Halifax, HX1 2TU","C/O Messrs Robson Rhodes, St George House, 40 Great George Street, Leeds, LS1 3DQ",04/01/90,08/29/91
Saw Services (Halifax) Ltd [In Liquidation],-4556.11,-4864.12,2002,"Unit 2 Copperwood Court, Queens Road, Halifax, HX1 3NS","C/O Baker Tilly, 2 Whitehall Quay, Leeds, LS1 4HG",04/01/90,08/31/01
,-46.5,-46.5,2002,"220 Queens Road, Halifax, HX1 4NE",,04/01/98,03/31/99
,-3996,-24371.08,2013,"Rosegarth Surgery, Rothwell Mount, Halifax, HX1 2HB",,04/01/90,
,-5550,-54139.62,2007,"Kos Clinic, 4 Roydlands Street, Hipperholme, Halifax             HX3 8AF",,04/01/90,
Ferguson Wools Ltd,-2665.7,-2886.77,2002,"Canal Side, Tillotson Holme, Luddendenfoot, Halifax              HX2 6AF","23 Hillcrest, Sowerby Bridge, Halifax, HX6 2TJ",04/01/90,02/28/02
Ryburn Valley Surfacing Products Ltd(In Receivership,-897.54,-897.54,2002,"Unit 11, Station Industrial Park, Station Road, Luddendenfoot","Messrs Wilson Pitts, Devonshire House, 38 York Place, Leeds, LS1 2ED",04/01/90,04/01/92
Speaks Building Systems Ltd,-544.44,-544.44,2005,"Unit 1 Shay Lane Works, Shay Lane, Halifax, HX3 6SF","C/O 1 Goosegate Farm, Heathy Lane, Holmefield, HX2 9UN",05/06/99,12/20/05
Avco Trust Ltd,-306.66,-306.66,2014,"First Floor, 18 Silver Street, Halifax, HX1 1HS","Citibank Na, C/O Cbre Fao Ap Rates Team, Cornwall Court 4th Floor, 19 Cornwall Street, Birmingham, B3 2DT",04/01/90,06/24/14
Vodafone Ltd,-259.8,-536.4,2011,"Telecommunications Mast, Site Ref 4628  Shroggs Farm, Sowerby Lane, Luddendenfoot        HX2 6JP","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",09/01/98,
T W Leach Ltd,-40.8,-40.8,2016,"173b Spring Hall Lane, Halifax, HX1 4JG","173B Spring Hall Lane, Halifax, HX1 4JG",03/01/99,06/30/16
The Imperial Crown Hotel Ltd,-7.8,-7.8,2005,"31 Square Road, Halifax, HX1 1QG","Corus Hotels Ltd, Rossway Park, Berkhamstead, HP4 3TZ",07/31/92,03/31/05
,-379.8,-490.4,2005,"55 Stainland Road, Greetland, Halifax, HX4 8BD",,04/01/90,03/31/06
,-100,-100,2002,"33 Stanningley Road, Mixenden, Halifax, HX2 8RJ",,09/19/00,11/10/01
Capstan Wire Products Ltd [In Liquidation],-15.77,-15.77,2002,"Unit 27, Phoebe Lane Industrial Est., Halifax, HX3 9EX","C/O Baker Tilly, Carlton House, Grammar School Street, Bradford, BD1 4NS",07/02/93,08/09/96
,-0.96,-0.96,2012,"Unit 16, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,04/01/00,
Inglewood Studios Ltd,-3.58,-3.58,2003,"Unit T5/T10, Canal Wharf Mill, Burnley Road, Mytholmroyd         HX7 8NH","The Courtyard, Town Street, Rawdon, Leeds, LS19 6PU",09/01/97,09/30/03
,-52.41,-52.41,2004,"20 Market Street, Hebden Bridge, HX7 6AA",,09/16/00,09/20/04
,-4.81,-4.81,2016,"Mount Pleasant Mill Yard, Midgley Road, Mytholmroyd, Hebden Bridge       HX7 5LR",,04/01/99,
J B Hemming Co Ltd (In Liquidation),-507.94,-507.94,2002,"Unit 11, Westfield Mill, Mytholmroyd, Hebden Bridge       HX7 8SH","C/O Messrs Poppleton &, Appleby, 32 High Street, Mancheste, RM4 1QD",04/01/90,01/21/93
,-188.63,-188.63,2002,"The Brothers Grimm, 17 Causeway Head, Sowerby Bridge, HX6 2TG",,01/01/92,11/05/00
,-65.79,-65.79,2002,"Manchester House, 107 Halifax Road, Ripponden, Sowerby Bridge      HX6 4DA",,06/03/91,02/28/97
Halifax Plc,-30.75,1892.25,2014,"Hollas Lane, Wakefield Road, Halifax, HX2 0TP","Lloyds Banking Group, C/O Cbre Corporate Outsourcing Ltd, 55 Temple Row, Birmingham, B2 5LS",04/01/95,
Reconstruct & Design Ltd,-85.07,-85.07,2002,"Old Oxford House, Albert Street, Hebden Bridge, HX7 8AH",,04/01/90,02/29/92
Shelter National Campaign For Homeless People Ltd,-91,325,2014,"32 Bridge Gate, Hebden Bridge, HX7 8EX","88 Old Street, London, EC1V 9HU",04/01/90,
Dalebank Home Furnishing Ltd(In Liquidation),-324.68,-324.68,2002,"Unit 9, Moderna Business Park, Mytholmroyd, Hebden Bridge       HX7 5QQ","C/O Grant Thornton, Eldon Lodge, Eldon Place, Bradford, BD1 3AP",04/01/90,08/18/92
,-32.23,-32.23,2012,"Dale View, Mytholmroyd, Hebden Bridge, HX7 5DU",,04/01/90,
,-91.07,-91.07,2004,"5 Wharf Street, Sowerby Bridge, HX6 2EG",,03/31/02,06/12/04
,-81.94,-81.94,2012,"Garage 2, Raglan Street, Todmorden, OL14 5HF",,04/01/90,
,-91.13,-91.13,2005,"Square Garage, Rochdale Road, Todmorden, OL14 6SX",,04/01/02,05/16/05
,-0.89,-0.89,2012,"Cinderhill Joinery Works, Castle Street, Todmorden, OL14 5SR",,04/01/90,
S Horsfall (Plumbers) Ltd,-36,-36,2012,"2 Dale Street, Todmorden, OL14 5PX","Liddington, Peel Cottage Road, Todmorden, OL14 7QJ",04/01/90,04/30/14
,-23.97,-23.97,2002,"3 Margate Street, Sowerby Bridge, HX6 1DZ",,04/01/90,03/24/91
,-70.41,-70.41,2009,"Unit 11, Penair Works, Mill Fold, Ripponden           HX6 4DJ",,06/01/91,05/13/09
Mill House Furniture Makers Ltd,-0.36,-0.36,2012,"Unit 17, Mill House Works, Mill House Lane, Triangle            HX6 3LN","15 Savile Drive, Savile Park, Halifax, HX1 2EU",11/01/99,
,-0.34,-0.34,2012,"238 Oldham Road, Ripponden, Sowerby Bridge, HX6 4EU",,08/14/00,
,-144,-144,2012,"17 Stansfield Road, Todmorden, OL14 5DN",,04/01/90,
,-21.69,-21.69,2002,"16 Water Street, Todmorden, OL14 5AB",,08/01/96,02/03/01
,-136.02,-136.02,2006,"4 West Street, Todmorden, OL14 5HY",,04/01/98,09/30/06
,-732,-732,2015,"Nichols Yard, R/O 36 Town Hall Street, Sowerby Bridge, HX6 2EE",,02/20/03,03/31/15
,-17.94,-17.94,2012,"Garage 1, Raglan Street, Todmorden, OL14 5HF",,04/04/03,
,-21.87,-21.87,2006,"220 King Cross Road, Halifax, HX1 3JP",,05/01/03,09/22/06
,-281.79,-826.69,2011,"The Mill, Gardeners Square, Hipperholme, Halifax              HX3 8LL",,05/03/03,07/31/11
Central Holdings Ltd,-11.64,-11.64,2009,"1/3 Central Buildings, Town Hall Street, Sowerby Bridge, HX6 2QF","37 Spring Lane, Pannal, Harrogate, HG3 1NP",11/01/01,04/30/09
Hollins Park Sports & Social Club,-0.73,-0.73,2014,"Changing Rooms, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",,11/01/02,
,-20,-20,2003,"Perry's Cafe Bar, 66 Rochdale Road, Halifax, HX2 7HB",,06/17/03,08/07/03
Tefonica O2 (Uk) Ltd,-288,-106.36,2015,"Telecommunications Mast, Site Ref 15864 Brow Mills, Brighouse Road, Halifax              HX3 8DD","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",04/01/03,
,-3.41,-453.41,2005,"2 Langdale Street, Elland, HX5 0JL",,04/01/03,03/31/03
