Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 1, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",Brackenridge Hanson Tate Ltd,12750,28/07/2016
"Unit 3 First Floor, No. 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",Integro Insurance Brokers Ltd,6000,16/10/2014
"33 Crown Street, Hebden Bridge, HX7 8EH",Marshall Bakers Ltd,6500,13/06/2016
"Units 9/10 Emstead Works, Old Lane, Halifax, HX3 5QN",Master Matting Installations Limited,3850,01/08/2016
"91 Northgate, Halifax, HX1 1XF",,12000,09/08/2016
"93 Northgate, Halifax, HX1 1XF",,3000,09/08/2016
"Holme Street Arts Centre, Holme Street, Hebden Bridge, HX7 8EE",,4350,16/08/2016
"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",F C F M Group Ltd,540,03/03/2016
"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",F C F M Group Ltd,1375,03/03/2016
"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",F C F M Group Ltd,10000,03/03/2016
"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",F C F M Group Ltd,3950,03/03/2016
"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",F C F M Group Ltd,4550,03/03/2016
"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",F C F M Group Ltd,3800,03/03/2016
"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",F C F M Group Ltd,5300,03/03/2016
"Office Suite D172, Dean Clough Office Park, Halifax, HX3 5AX",Dean Clough Ltd,1350,11/08/2016
"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",F C F M Group Ltd,1150,03/03/2016
"Office Suite D202, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,475,11/08/2016
"Richmond Street Mill, Richmond Street, Todmorden, OL14 5RD",Weir Minerals Europe Limited,12750,01/07/2016
"Office Suite D 132, Dean Clough Mills, Halifax, HX3 5AX",,2950,13/05/2016
"51 Hanson Lane, Halifax, HX1 5NX",The Hub Pharmacy Ltd,2250,01/07/2016
"Horne Street Pharmacy, Horne Street, Halifax, HX1 5UA",The Hub Pharmacy Ltd,7800,01/07/2016
"Unit 2C, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge        HX7 5QF",,13000,01/08/2016
"Sandbeds Pharmacy, Sandbeds Road, Pellon, Halifax             HX2 0JF",The Hub Pharmacy Ltd,4300,01/07/2016
"173b Spring Hall Lane, Halifax, HX1 4JG",The Hub Pharmacy Ltd,6500,01/07/2016
"Part 2ND Floor Store, Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",Betts Interior Design Ltd,690,01/06/2014
"Benchmaster Machine Tool Co, Holmfield Industrial Estate, Holmfield, Halifax              HX2 9TN",,0,01/04/2010
"Benchmaster Machine Tool Co, Holmfield Industrial Estate, Holmfield, Halifax              HX2 9TN",Gear Spec Ltd,5400,21/04/2016
"Units 2D & 2E, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",James Jackson (Hx) Ltd,10500,01/07/2016
"Unit A, Drakes Industrial Estate, Shay Lane, Halifax             HX3 6RL",,10750,01/08/2016
"Offices 27-29 1ST Floor, Hanson Lane Ent Centre, Hanson Lane, Halifax              HX1 5PG",Gns (Halifax) Ltd,3700,01/04/2016
"White Cottage, Cooper Bridge Road, Mirfield, WF14 0BS",,5900,01/07/2016
"Unit 3B & Compound, Mitchell Street, Todmorden, OL14 7DP",,7200,01/04/2016
"55A Halifax Road, Todmorden, OL14 5BB",,1750,01/07/2015
"13 Commercial Street, Brighouse, HD6 1AF",,15250,15/04/2016
"Yorkshire Timber Ltd, West Central Business Park, Victoria Road, Halifax              HX1 5QH",Yorkshire Timber Merchants Ltd,6300,09/05/2016
"Unit 4, West Central Business Park, Victoria Road, Halifax              HX1 5QH",,7100,29/02/2016
"Mile Thorn Works, Gibbet Street, Halifax, HX1 4JR",Polyframe Halifax Ltd,143000,01/07/2016
"Unit 3, West Central Business Park, Victoria Road, Halifax              HX1 5QH",,11500,29/02/2016
"Unit 2, West Central Business Park, Victoria Road, Halifax              HX1 5QH",,11500,29/02/2016
"Storage Containers, West Central Business Park, Victoria Road, Halifax              HX1 5QH",,1225,01/03/2016
"19A King Cross Street, Halifax, HX1 2SH",,4650,02/05/2016
"60a Huddersfield Road, Elland, HX5 9AA",Microworld (Yorkshire) Limited,15250,09/08/2016
"48 Wharf Street, Sowerby Bridge, HX6 2AE",,5400,14/08/2016
"17 Bull Green, Halifax, HX1 2RZ",Trafford Management Ltd,7000,01/07/2016
"22 King Cross Street, Halifax, HX1 2SH",,4550,15/08/2016
"26 Clare Road, Halifax, HX1 2HX",Appleyard Lees,14500,03/06/2016
"Kent House, 16 Bull Close Lane, Halifax, HX1 2EF",,3700,01/08/2016
"Siddal Place Hotel, Oxford Lane, Siddal, Halifax             HX3 9BJ",,2700,23/07/2016
"9 Northowram Green, Northowram, Halifax, HX3 7JE",,4400,25/07/2016
"Market Stalls 33/34, Market Hall, Brook Street, Todmorden           OL14 5AJ",,2750,01/06/2016
"17 Harrison Road, Halifax, HX1 2AF",Project F.F & E Ltd,38250,05/08/2016
"Shop 3 Croft Mill, Albert Street, Hebden Bridge, HX7 8AH",Lewil Limited,8600,01/07/2016
"91/93 Northgate, Halifax, HX1 1XJ",,1525,09/08/2016
"1 Old Market, Halifax, HX1 1TN",Ivanhoes Halifax Ltd,29250,28/06/2016
"Office Suite E207, Dean Clough Mills, Halifax, HX3 5AX",,7200,17/03/2016
"Office Suite E342, Dean Clough Mills, Halifax, HX3 5AX",,4850,18/04/2016
"Office Suite D 248, Dean Clough Office Park, Halifax, HX3 5AX",,1050,01/04/2016
"Office Suite D226, Dean Clough Mills, Halifax, HX3 5AX",,2500,01/05/2016
"Office Suite D 258, Dean Clough Mills, Halifax, HX3 5AX",Pension Compensation (Uk) Ltd,3100,18/04/2016
"Office Suite D 262, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,1675,19/04/2016
"10 Rochdale Road, Todmorden, OL14 5AA",Barclay Firth Ltd,2075,01/08/2016
"Croftmyl, Gf Office A1, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,1500,30/07/2015
"Office B13 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",Storm 7 Consulting Ltd,2800,21/03/2016
"Office B15 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",Storm 7 Consulting Ltd,2650,21/03/2016
"Office B16 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",Studio Foursies,5200,14/02/2016
"Office B21 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",Calderdale Tv,2750,09/03/2016
"Office B22 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",,3450,18/05/2016
"7A Broad Street Plaza, Halifax, HX1 1UX",Mach Health Fitness Limited,16000,05/04/2016
"Unit C2, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",,1525,01/07/2016
"Part B, Battinson Road Garage, Battinson Road, Halifax              HX1 4RP",My Carr Ltd,8500,15/07/2016
"28 Bridge Gate, Hebden Bridge, HX7 8EX",Violet Tattoos Ltd,3000,12/08/2016
"The Crown Hotel, 6 Lightcliffe Road, Brighouse, HD6 2DR",Enterprise Inns Plc,28500,20/07/2016
"Unit 2 Mount Works, Quebec Street, Elland, HX5 9AN",Hammerstones Construction Ltd,10500,01/08/2016
"Pressers Arms Inn, 2 South Lane, Elland, HX5 0HG",Punch Taverns (Pml) Ltd,7950,10/08/2016
"Ground Floor, 8 Carlton Street, Halifax, HX1 2AL",Translate Uk Ltd,4650,05/05/2016
"7/8/9/10 Town Hall Buildings, Elland, HX5 0EU",,20750,10/08/2016
"Unit HM15 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",Kino & Co,2700,01/05/2016
"26 Albert Street, Hebden Bridge, HX7 8AH",,2600,01/07/2016
"Railway Hotel, 29 Horton Street, Halifax, HX1 1QE",A & M Bars (Halifax) Ltd,19000,01/08/2016
"Bsmt Level Under U 1-5, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",,5300,01/04/2015
"Units 4/5, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",,8900,01/04/2015
"Unit 1 First Floor, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",,5400,01/04/2015
"Unit 2 2ND Floor, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",,3300,01/04/2015
"Office Hm 3.7 To 3.9, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,5500,24/03/2016
"Office Hm 3.6, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",John Maguire (Sports) Ltd,1100,24/03/2016
"Unit HM10 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",Kino & Co,1650,01/04/2016
"Units 4 & 5, Dancroft Industrial Estate, Gauxholme Fold, Todmorden           OL14 7PW",,4200,01/07/2016
"65 Commercial Street, Brighouse, HD6 1AF",Tosca Ltd,13000,21/08/2016
"67 Commercial Street, Brighouse, HD6 1AF",London & Scottish Property,14750,21/08/2016
"17 Market Street, Hebden Bridge, HX7 6EU",,8300,19/08/2016
"Unit B, Harley House Mill, Harley Street, Todmorden           OL14 5JE",Kinect Build Ltd (In Liquidation),5500,02/12/2015
"Kinect Build Ltd, 9 Harley Street, Todmorden, OL14 5JE",Kinect Build Ltd (In Liquidation),4100,02/12/2015
"28 Halifax Road, Todmorden, OL14 5QG",T & M Stores Ltd,9100,09/08/2016
"Unit B1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",E.S Maintenance Services Ltd,5600,05/08/2016
"Unit G5, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",Brogan Business Parks Ltd,3400,05/08/2016
"25 Woolshops, Halifax, HX1 1RU",Hays Travel Ltd,41000,19/08/2016
"Bradford Road, Brighouse, HD6 1RY",J Radcliffe And Sons Ltd,7200,01/09/2016
"12-14 Borough Market, Halifax, HX1 1DY",Calderdale Mbc Markets Manager,11500,29/08/2016
"Office 26 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,2200,01/09/2016
"Swales Moor Yard, Swales Moor Road, Halifax, HX3 6UF",Associated Waste Management Ltd,18000,01/07/2016
"Boggart Brig, Ogden Lane, Halifax, HX2 8XZ",,1750,22/07/2016
"Unit 3, Picture House Buildings, New Road, Hebden Bridge        HX7 8AD",Chadwick Lawrence L L P.,4200,24/05/2016
"Mill Royd Street, Brighouse, HD6 1EY",British Car Auctions Ltd,41250,19/01/2016
"Unit C Woodman Works, South Lane, Elland, HX5 0PA",,2900,01/04/2016
"7 Northgate, Halifax, HX1 1UR",,7500,21/08/2016
"Ainley House, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",Nivlac Investments Ltd,191000,25/08/2016
"Balcony Store 23, Borough Market, Halifax, HX1 1DZ",Calderdale Mbc Markets Manager,215,29/08/2016
"Unit 21 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse           HD6 4EA",D A P A Fabrication Ltd,8000,29/01/2016
"15 Harrison Road, Halifax, HX1 2AF",Calderdale Smartmove Ltd,9900,09/05/2016
"Part First Floor, 25B Union Street, Halifax, HX1 1PR",,6000,01/05/2015
"12 Leeds Road, Hipperholme, Halifax, HX3 8ND",,7000,27/08/2016
"55a Carr House Lane, Shelf, Halifax, HX3 7RH",Totspot Day Nursery (Shelf) Ltd,11500,01/09/2016
"Crown Buildings, 97 Halifax Road, Ripponden, HX6 4DA",Datablox Internet Ltd,1625,01/06/2016
"2 Richmond House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",The Slightly Foxed Brewing Company Limited,5000,25/05/2016
"Unit HM8 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",Kino & Co,3000,01/06/2016
"Enterprise House, 250 Halifax Road, Todmorden, OL14 5SQ",Anglo American Manchester Limited,9500,17/06/2016
"Unit 10, Moderna Business Park, Mytholmroyd, Hebden Bridge       HX7 5QQ",Moderna Business Park Ltd,22250,01/09/2016
"Unit 5 Emstead Works, Old Lane, Halifax, HX3 5QN",,6900,01/09/2016
"78 Huddersfield Road, Elland, HX5 9AA",,2700,07/01/2015
"Unit 2 Pellon Lane Retail Pk, Pellon Lane, Halifax, HX1 5HQ",Tilstone,23750,31/03/2016
"22 Water Street, Todmorden, OL14 5AB",,1950,24/08/2016
"2 Bond Street, Halifax Road, Todmorden, OL14 5QB",,5200,24/08/2016
"3 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",,3150,03/09/2016
"10 Church Street, Greetland, Halifax, HX4 8EG",,4900,30/11/2015
"Unit 1 Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",Mosonic Ltd,5100,01/02/2015
"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Himmat Ltd,4100,01/06/2016
"Office 2 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Happydays Ministries Uk,3350,01/07/2016
"Office 6 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Mayfair Solicitors Limited,2200,01/06/2016
"Part 1ST Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB",Towngate Plc,8800,01/08/2016
"Office 16 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,1400,12/07/2016
"Office 23 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Aim For Achievement In Mind Ltd,5400,01/08/2016
"Office 30 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halls Reactive Media Limited,1925,01/06/2016
"Office 33 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Property Maintenance Limited,1875,01/06/2016
"Office 34 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Community Partners Ltd,5400,01/06/2016
"Unit 1/1A, 30 Huddersfield Road, Brighouse, HD6 1HA",Impact Bodyshop & Repairs Ltd,51500,22/08/2016
"Ground Floor Unit 21, Phoebe Lane Industrial Est, Phoebe Lane, Halifax              HX3 9EX",G & S Conservatory Roof Solutions Ltd,2100,01/07/2016
"The Last Drop, 22/26 Bull Green, Halifax, HX1 5AB",The Craft Union Pub Company Ltd,27000,08/03/2016
"Off 4, Pt 2ND Flr Bond Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,2550,22/07/2016
"7 Horton Street, Halifax, HX1 1PX",Due West Ltd,27500,30/03/2016
"Units 54/55/56, Asquith Bottom Works, Asquith Bottom, Sowerby Bridge       HX6 4RG",,8900,01/04/2016
"Community Centre, Burnsall Road, Rastrick, Brighouse           HD6 3JT",Wakefield Diocean Board Of Education,5500,04/09/2015
"The Maltings, Halifax Road, Elland, HX5 0SH",Maramar Holdings Ltd,52000,17/03/2016
"Adj Lockwoods Carpets, Halifax Road, Elland, HX5 0SH",Maramar Holdings Ltd,2650,17/03/2016
"D Y L Motor Group, Queens Road, Halifax, HX1 3XY",All Counties Logistics Ltd,79000,08/08/2016
"22A Lightcliffe Road, Brighouse, HD6 2DJ",Fired Up Technologies Ltd,11500,12/08/2016
"Windmill Tavern, Park Square, Hough, Northowram           HX3 7BZ",Jack Hillas & Sons Ltd,11250,01/09/2016
"3/5/7 Wellington Arcade, Briggate, Brighouse, HD6 1DN",Tosca North East Ltd,26000,21/08/2016
"Riverside Mills Grd Flr, Saddleworth Road, Elland, HX5 0RY",Garlock [G B] Ltd,4900,08/08/2016
"15 Windmill Court, Keighley Road, Illingworth, Halifax              HX2 8YB",,1600,04/03/2016
"Hollins Mill Lane, Sowerby Bridge, HX6 2QG",,2750,01/05/2016
"Unit R2, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",Brogan Business Parks Ltd,6300,23/02/2016
"36 Hanson Lane, Halifax, HX1 5NX",,15250,23/08/2016
"Unit 6 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BT",,2650,09/09/2016
"Unit 20, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",,4650,09/09/2016
"35 Broad Street, Halifax, HX1 1YA",Forge26 Ltd,6100,06/07/2016
"Drakes Industrial Estate, Shay Lane, Halifax, HX3 6RL",K T H Fabrications Ltd,17750,01/09/2016
"Drakes Industrial Estate, Shay Lane, Halifax, HX3 6RL",K T H Fabrications Ltd,2800,01/09/2016
"Brighouse Fire Station, Halifax Road, Brighouse, HD6 2AH",Brown's (Precision Engineers) Christchurch Ltd,23000,05/07/2016
"300 Gibbet Street, Halifax, HX1 4JX",,6700,01/07/2016
"Unit 3, Hipperholme Business Park, Halifax Road, Halifax              HX3 8ER",Blackshaw Holdings Ltd,13500,05/09/2016
"Unit 2 Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",Ramsdens Legal Services Ltd,23750,02/09/2016
"Unit 3 Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",Ramsdens Legal Services Ltd,12750,02/09/2016
"Unit 4 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",,610,04/04/2016
"The Gateway, Lowfields Close, Lowfields Business Park, Elland               HX5 9DX",Vapour Media Ltd,57500,01/08/2016
"7 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,1775,13/09/2016
"613 Bradford Road, Brighouse, HD6 4DN",,4200,11/09/2016
"Lord Nelson Inn, 15 High Street, Luddenden, Halifax             HX2 6PX",,8800,01/09/2016
"Storage Land At, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,1725,01/06/2016
"Unit 10, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,1675,16/05/2016
"Unit 7 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",,620,12/12/2015
"Unit 5 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,950,03/09/2016
"Unit 17 Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",,3400,24/03/2016
"Office B3 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",Talent-I Ltd,3950,06/08/2016
"New Delight Works, Boothtown Road, Halifax, HX3 6TU",,2250,06/09/2016
"Coley Nurseries, Denholmegate Road, Hipperholme, Halifax             HX3 8HX",Rouse Homes Limited,80000,29/07/2016
"Unit 20 Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",,920,01/04/2016
"44 Commercial Street, Brighouse, HD6 1AQ",,19000,16/09/2016
"43/45 Bridge End, Brighouse, HD6 3DN",Bannon & Myers Ltd,4450,30/06/2016
"10 Commercial Street, Halifax, HX1 1TA",,6800,10/09/2016
"6 Westgate, Halifax, HX1 1DJ",,16750,01/08/2016
"Parking Spaces, Opp 35 Stansfield Road, Todmorden, OL14 5DL",,270,06/09/2016
"7A Stansfield Road, Todmorden, OL14 5DN",,870,06/09/2016
"Part Grd & Basement Flrs, 7 Victoria Road, Elland, HX5 0AB",,10000,23/07/2016
"Friendly Quarry, Burnley Road, Luddendenfoot, Halifax             HX2 6BD",Bands Capital 3 Ltd,3400,12/07/2016
"Unit G6, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",Brogan Business Parks Ltd,5900,12/08/2016
"Unit C7, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",,3250,01/07/2016
"Unit 1A, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",Fast Doors Direct Ltd,9400,01/08/2015
"Unit 15, Station Industrial Park, Station Road, Luddendenfoot        HX2 6AD",Portinscale (U.K.) Ltd,22750,01/04/2016
"Part First Floor, 25B Union Street, Halifax, HX1 1PR",Tus School Wear Ltd,6700,01/05/2015
"Central Warehouse, Armytage Road, Brighouse, HD6 1RD",Halco (Brighouse) Ltd,189000,01/09/2016
"Office 26, 11 Owler Ings Road, Brighouse, HD6 1EJ",,3050,15/08/2016
"Office 17 Ground Floor, 11 Owler Ings Road, Brighouse, HD6 1EJ",,1100,15/08/2016
"Stalls 41/42 Market Hall, Brook Street, Todmorden, OL14 5AJ",,1750,12/03/2016
"Stalls 6/7 Market Hall, Brook Street, Todmorden, OL14 5AJ",,2950,01/03/2015
"179 King Cross Road, Halifax, HX1 3LN",,1950,01/04/2015
"Rear Of Unit 7/8, Queens Road Works, Queens Road, Halifax              HX1 3XY",,7200,01/08/2016
"10 Albert Road, Sowerby Bridge, HX6 2PA",,4900,24/05/2016
"Office 5 Britannia Works, Garden Street North, Halifax, HX3 6AE",,3550,05/09/2016
"Warehouse 2, Brittannia Works, Garden Street North, Halifax              HX3 6AE",,2950,05/09/2016
"10a Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",Environment Agency,2950,07/09/2016
"Top Floor Glass Roof, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,1925,01/06/2016
"The Court Yard, 5/6 Wards End, Halifax, HX1 1BX",Enterprise Inns Plc,22750,06/09/2016
"R/O 25 Bethel Street, Brighouse, HD6 1JR",,990,13/06/2016
"West Parade, Halifax, HX1 2TA",White Rose Non-Wovens Ltd,12000,01/08/2016
"Drakes Industrial Estate, Shay Lane, Halifax, HX3 6RL",,5500,08/09/2016
"11 Westgate, Halifax, HX1 1DJ",Due West Ltd,8400,13/09/2016
"17 Westgate, Halifax, HX1 1DJ",,8100,13/09/2016
"School House, 56 Hopwood Lane, Halifax, HX1 5ER",Harris Peel (Developments) Ltd,42500,08/05/2016
"2 Crown Street, Hebden Bridge, HX7 8EH",Nutclough Mill Ltd,14750,06/09/2016
"2 Crown Street, Hebden Bridge, HX7 8EH",Nutclough Mill Ltd,7900,06/09/2016
"2 Crown Street, Hebden Bridge, HX7 8EH",Nutclough Mill Ltd,1575,06/09/2016
"Unit 3 The Warehouse, Wood Street, Brighouse, HD6 1PW",,5200,01/05/2016
"145 Queens Road, Halifax, HX1 4LN",,3600,01/04/2015
"Gf Unit 2 Hough Mills, Bradford Road, Halifax, HX3 7BN",D & Ma Sunderland & Son Limited,9800,01/04/2016
"Horse & Jockey Inn, 301 Warley Road, Halifax, HX2 0AD",,17250,11/08/2016
"9 Wharf Street, Sowerby Bridge, HX6 2EG",,3800,01/09/2016
"Croftmyl, Gf Office A8, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,3900,10/09/2016
"Stalls 21/22 Market Hall, Brook Street, Todmorden, OL14 5AJ",,3100,06/05/2016
"Office 3 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Ulearn Education Ltd,5400,01/07/2016
"River Street, Brighouse, HD6 1NH",Pure Innovations Group  Ltd,124000,07/09/2015
"Office 25 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,2100,01/08/2016
"Unit 8C Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",,2225,01/04/2016
"Cmbc Museum, Square Road, Halifax, HX1 1QG",Calderdale Industrial Museum Association,26250,11/08/2016
"Office 2, 11 Owler Ings Road, Brighouse, HD6 1EJ",Harrington Family Law Ltd,700,01/09/2016
"2a New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,3850,01/10/2016
"23-27 King Street, Brighouse, HD6 1NX",Poundworld Retail Limited,56500,28/09/2015
"25/27 Silver Street, Halifax, HX1 1HS",Womencentre Ltd,5600,01/10/2016
"611 Bradford Road, Brighouse, HD6 4DN",,6300,27/09/2016
"Unit 2A, West Parade, Halifax, HX1 2TE",Frank Marshall Estates Ltd,1750,01/05/2016
"Unit H5 Premier Way, Lowfields Business Park, Elland, HX5 9HF",London Borough Of Southwark,80000,30/09/2016
"The Moorings, Canal Wharf, Sowerby Bridge, HX6 2AG",Broomhouse Investments Ltd,60000,20/09/2016
"1 New Street, Bailiff Bridge, Brighouse, HD6 4DP",Shampooch Pet Services Ltd,5100,01/10/2016
"5 The Old Arcade, Halifax, HX1 1TJ",,13250,01/08/2016
"23 Square Road, Halifax, HX1 1QG",,10000,01/10/2016
"Unit 2 The Warehouse, Wood Street, Brighouse, HD6 1PW",,7600,01/09/2016
"Office 40 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Linguaserve Language Services Gbr,1425,01/10/2016
"Slack Top, Heptonstall, Hebden Bridge, HX7 7HA",,3900,20/09/2016
"Unit 1, Horne Street Business Park, Horne Street, Halifax              HX1 5UA",,22250,01/10/2016
"10 Commercial Street, Halifax, HX1 1TA",Quartz Estates (Halifax) Ltd,19000,25/06/2016
"18 Town Hall Street, Sowerby Bridge, HX6 2EA",Tim Bobbin Pub Company Ltd,12500,01/10/2016
"Units 1A & 1B, Brier Hey, Burnley Road, Mytholmroyd          HX7 5PF",Practical Vintage,8600,01/09/2016
"Unit 8F, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",,6000,01/09/2016
"Unit 3 Sdh Ind Estate, West Street, Sowerby Bridge, HX6 3BS",,4650,01/05/2016
"9 Russell Street, Halifax, HX1 1RL",W A Shearings Ltd,24500,06/11/2015
"14 Law Lane, Southowram, Halifax, HX3 9QU",,2400,01/10/2016
"Suite 1 First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",A T C Properties Ltd,4000,01/10/2016
"19 Crown Street, Hebden Bridge, HX7 8EH",,14750,02/10/2016
"North Street, Greetland, Halifax, HX4 8DQ",H & J Hitchens Electronics Ltd,890,04/10/2016
"219 King Cross Road, Halifax, HX1 3JL",Bargain Booze Ltd,7300,23/08/2016
"Unit 1, West Central Business Park, Victoria Road, Halifax              HX1 5QH",,17500,04/09/2016
"Ground Floor, 34 Market Street, Halifax, HX1 1PB",,12000,29/07/2016
"Part 2ND Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB",Industrial Water Jetting Systems Limited,9100,01/09/2016
"48 New Road, Halifax, HX1 2LH",,6600,01/04/2015
