OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,LE883342387SI43341,Training and Exam,CENTRAL & CORPORATE,70-,,18/01/2016,,,,,"£7,185.00",,"LEEDS COLLEGE OF BUILDING, North Street, NULL, LEEDS, LS2 7QT",,e) Large,,Melanie Oakley,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,ON188942391LT02,Training,ENVIRONMENT & HOUSING,290-Grant Related Expenditure,,22/01/2016,,,,,"£6,238.00",,"ONE FORMATION, ",,Other/Not known,,Harvinder Saimbhi,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,TR026542391623110001878,Trade and Investment Trip,CENTRAL & CORPORATE,269-Schools Examination Entry Fees,,22/01/2016,,,,,"£5,000.00",,"UK TRADE & INVESTMENT, 1 Capitol Court Capitol Park, Dodworth, BARNSLEY, S75 3TZ",,Other/Not known,,Karen Murgatroyd,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,VA76184237751547,Security Systems,CITY DEVELOPMENT,-,,08/01/2016,,,,,"£14,850.00",,"VADOR SECURITY SYSTEMS LIMITED, 52a Lowtown, Pudsey, LEEDS, LS28 7AA",,b) Micro,,Chris Ashby,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,WA53204238119143,Training ,CENTRAL & CORPORATE,70-,,12/01/2016,,,,,"£5,250.00",,"WAKEFIELD SKILL CENTRE LTD, Units 41-43, Monkton Road Industrial Estate, DENBY DALE ROAD  WAKEFIELD, WF2 7AL",,c) Small,,Melanie Oakley,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,WE068942388W0000255,Community Payback,STRATEGIC LANDLORD,293-Grants To Voluntary Organisations,,19/01/2016,,,,,"£21,964.49",,"THE WEST YORKSHIRE CRC LTD, Finance Dept Cliff Hill House, Sandy Walk, WAKEFIELD, WF1 2DJ",,b) Micro,,Ian Montgomery,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,PR1978423814734,Relocation of Extension,ENVIRONMENT & HOUSING,-,,12/01/2016,,,,,"£10,758.13",,"C 3 S PROJECTS, Canal Mills, Elland Bridge, ELLAND, HX5 0SQ",,Other/Not known,,Jonathan Gold,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,DO09774239515-16/012,Secondment,CHILDRENS SERVICES,265-Other Hired And Contracted Services,,26/01/2016,,,,,"£5,691.00",,"DONCASTER ROAD PRIMARY SCHOOL, ",,Other/Not known,,Iain Dunn,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,SH1103423912027,Graphic Design and Print,CITY DEVELOPMENT,203-Operational Furniture And Equipment,,22/01/2016,,,,,"£5,873.00",,"SHOWOFF MEDIA LIMITED, C9 & C10 New Pudsey Square, Bradford Road, LEEDS, LS28 6PX",,b) Micro,,Edwige Moutault,Non-Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,WE610642383226951,ICT and Print Services,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,14/01/2016,,,,,"£10,995.00",,"WEST YORKSHIRE DRAWING OFFICE, Swallow Hill Mills, Tong Road, LEEDS, LS12 4QG",,Other/Not known,,Philippa Elliott,Non-Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,GC003842396106462,ICT Agency Fees,CENTRAL & CORPORATE,-,,27/01/2016,,,,,"£8,000.00",,"GCS RECRUITMENT SPECIALISTS LTD, 2 Wesley Gate  70-74 Queens Road, NULL, READING, RG1 4AP",,c) Small,,Steven Bedford,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,SH073042380HHA001191,Fostering,CHILDRENS SERVICES,509-Independent Fostering Agencies,,11/01/2016,,,,,"£6,915.70",,"SHROPSHIRE COUNTY COUNCIL, The Shirehall Abbey Foregate, NULL, SHREWSBURY, SY2 6ND",,Other/Not known,,Clare Lynam,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,FR0593423910000004685,Hire of White Goods,CITY DEVELOPMENT,102-Plant and Machinery,,22/01/2016,,,,,"£13,359.89",,"FRIDGE RENTALS, W5 - Warrington Business Park, Long Lane, WARRINGTON, WA2 8TX",,Other/Not known,,Chris Ashby,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,IA195042382OP/I612047,Fencing and Posts,ENVIRONMENT & HOUSING,205-Operational Materials,,13/01/2016,,,,,"£8,006.66",,"IAE, Mossfield Road  Adderley Green, Longton, STOKE ON TRENT, ST13 8LB",,e) Large,,Libby Thomas,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,RE298742391INV-1151,High Visibility Clothing,CITY DEVELOPMENT,267-Publication And Promotion,,22/01/2016,,,,,"£7,882.00",,"RED ZULU LIMITED, Ivy House, NULL, NEWCASTLE SHROPSHIRE, SY7 8QL",,b) Micro,,Gwyn Owen,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,HO122442380148805,Subscriptions,CITY DEVELOPMENT,206-Books & Audio-Visual Materials,,11/01/2016,,,,,"£9,884.28",,"W F HOWES LTD, Unit 4 Rearsby Business Park, Gaddesby Lane Rearsby, LEICESTER, LE7 4YH",,c) Small,,Katrina Pickering,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,IN07544238414-25-15-1-1097/4,Basic Need Project,CHILDRENS SERVICES,-,,15/01/2016,,,,,"£144,180.60",,"INTERSERVE CONSTRUCTION LTD, 1 Thunderhead Ridge, Glasshoughton, CASTLEFORD, WF10 4UA",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,LE09034239490216516,Leeds Academic Health Partnership Business Case,ADULT SOCIAL CARE,521-Services Provided By Other Public Bodies,,25/01/2016,,,,,"£51,000.00",,"UNIVERSITY OF LEEDS, Finance Office Ec Stoner Building, Room 11.23, LEEDS, LS2 9JT",,Other/Not known,,Manraj Khela,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,NE052442389101863,Infection Control,CENTRAL & CORPORATE,526-Public Health Commissioned Services,,20/01/2016,,,,,"£5,017.28",,"I C NET INTERNATIONAL, Dell Centre, Painswick, STROUD, GL6 6SQ",,Other/Not known,,Lynne Hellewell,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,NH0350423827014700692,Citywide Antibiotic campaign,CENTRAL & CORPORATE,267-Publication And Promotion,,13/01/2016,,,,,"£5,000.00",,"NHS LEEDS NORTH CCG, 02v Receivables L509 Shared Business Ser, Phoenix House Topcliffe Lan, WAKEFIELD, WF3 1WE",,e) Large,,Lynne Hellewell,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,SH120442383172757,Secondment,CHILDRENS SERVICES,265-Other Hired And Contracted Services,,14/01/2016,,,,,"£15,663.67",,"SHEFFIELD CITY COUNCIL (RESOURCES), Resources, Town Hall, SHEFFIELD, S1 2HH",,Other/Not known,,Jim Hopkinson,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,07/03/2016,SP003742398SPACE2,Production of Oral Health Film,CENTRAL & CORPORATE,267-Publication And Promotion,,29/01/2016,,,,,"£9,950.00",,"SPACE2 LEEDS, Leeds Media Centre  21 Saville Mount, NULL, LEEDS, LS7 3HZ",,c) Small,,Lynne Hellewell,Waiver/DDN
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
