Travel Date,No of Passengers,Class of Service,Departure Airport,Destination Airport,Cost of Booking excluding VAT,Airline,Dept.
16/01/2011,1,ECONOMY                  ,Lon Heathrow,Islamabad Intl,£832.00,Pakistan Int'L Airlines,DFID
10/01/2011,1,PREMIUM ECONOMY          ,Lon Heathrow,Peking,"£1,699.00",British Airways,DFID
18/01/2011,1,ECONOMY                  ,Lon Heathrow,Dakar,£322.00,Iberia,DFID
12/01/2011,1,ECONOMY                  ,Lon Heathrow,Peking,£833.00,British Airways,DFID
18/01/2011,1,ECONOMY                  ,Lon Heathrow,Peking,£833.00,British Airways,DFID
23/01/2011,1,ECONOMY                  ,Peking,Guangzhou,£165.00,Air China,DFID
23/01/2011,1,ECONOMY                  ,Peking,Guangzhou,£165.00,Air China,DFID
05/01/2011,1,ECONOMY                  ,London Stans,Glasgow,£60.00,Easyjet,DFID
30/01/2011,1,ECONOMY                  ,Lon Heathrow,Islamabad Intl,£397.00,Pakistan Int'L Airlines,DFID
06/02/2011,1,ECONOMY                  ,Lon Heathrow,Islamabad Intl,£397.00,Pakistan Int'L Airlines,DFID
18/01/2011,1,ECONOMY                  ,Edinburgh,Nairobi,£125.00,KLM UK,DFID
11/01/2011,1,ECONOMY                  ,London City,Glasgow,£91.00,British Airways,DFID
25/01/2011,1,ECONOMY                  ,Lon Heathrow,Freetown,£623.00,British Midland,DFID
17/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£116.00,British Airways,DFID
18/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£53.00,British Airways,DFID
09/02/2011,1,ECONOMY                  ,Abuja,Addis Ababa,£638.00,Ethiopian Airlines,DFID
16/01/2011,1,ECONOMY                  ,Glasgow,Nairobi,£467.00,KLM UK,DFID
12/01/2011,1,ECONOMY                  ,Glasgow,Geneva,£260.00,KLM UK,DFID
26/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£9.00,British Airways,DFID
11/01/2011,1,ECONOMY                  ,London City,Glasgow,£152.00,British Airways,DFID
08/02/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£14.00,British Midland,DFID
21/01/2011,1,ECONOMY                  ,Glasgow,Dubai,"£1,835.00",Emirates,DFID
01/02/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£4.00,British Airways,DFID
10/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£92.43,Easyjet,DFID
04/02/2011,1,ECONOMY                  ,Lon Heathrow,Ndjili,£325.00,Ethiopian Airlines,DFID
15/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£25.00,British Airways,DFID
21/01/2011,1,ECONOMY                  ,Dar Es Salaam,Glasgow,£453.00,Emirates,DFID
30/01/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,£781.00,British Airways,DFID
26/01/2011,1,ECONOMY                  ,Glasgow,Da Vinci,£144.00,KLM UK,DFID
19/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£52.00,British Airways,DFID
25/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£20.00,British Airways,DFID
04/03/2011,1,ECONOMY                  ,Islamabad Intl,Birmingham,£0.00,Emirates,DFID
02/02/2011,1,ECONOMY                  ,Glasgow,Birmingham,£77.00,Flybe,DFID
11/09/2011,1,ECONOMY                  ,Edinburgh,Lon Gatwick,£60.00,British Airways,DFID
