Travel Date,No of Passengers,Class of Service,Departure Airport,Destination Airport,Cost of Booking excluding VAT,Airline,Dept.
08/04/2011,1,BUSINESS                 ,Lon Heathrow,Nairobi,"£1,333.00",Kenya Airways,DFID
08/04/2011,1,BUSINESS                 ,Lon Heathrow,Nairobi,"£1,333.00",Kenya Airways,DFID
13/04/2011,1,ECONOMY                  ,Addis Ababa,Tunis,£425.00,Ethiopian Airlines,DFID
14/04/2011,1,ECONOMY                  ,Juba,Dubai,£188.00,Kenya Airways,DFID
02/04/2011,1,ECONOMY                  ,Birmingham,Abuja,£0.00,Lufthansa German Airlines,DFID
04/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£114.43,Easyjet,DFID
06/04/2011,1,ECONOMY                  ,Glasgow,London Stans,£140.43,Easyjet,DFID
07/04/2011,1,BUSINESS                 ,Abu Dhabi,Lon Heathrow,"£2,383.00",British Airways,DFID
05/04/2011,1,ECONOMY                  ,Belfast Harb,Lon Heathrow,£227.00,British Midland,DFID
04/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£56.00,British Airways,DFID
07/04/2011,1,BUSINESS                 ,Abu Dhabi,Lon Heathrow,"£2,383.00",British Airways,DFID
09/04/2011,1,ECONOMY                  ,Kigali,Cape Town,£357.00,South African Airways,DFID
08/04/2011,1,PREMIUM ECONOMY          ,Geneva,Paris Cdg,£364.00,Air France,DFID
15/05/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£249.00,British Airways,DFID
15/05/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£249.00,British Airways,DFID
10/04/2011,1,ECONOMY                  ,Lon Heathrow,Peking,"£1,433.00",British Airways,DFID
08/04/2011,1,BUSINESS                 ,Lon Heathrow,Nairobi,"£1,333.00",Kenya Airways,DFID
10/04/2011,1,BUSINESS                 ,Lon Heathrow,Addis Ababa,£499.00,British Midland,DFID
13/04/2011,1,BUSINESS                 ,Glasgow,Kennedy Ny,£90.00,British Airways,DFID
25/04/2011,1,ECONOMY                  ,Lon Gatwick,Tunis,£51.00,British Airways,DFID
29/04/2011,1,ECONOMY                  ,Tunis,Lon Heathrow,£91.00,Tunisair,DFID
05/04/2011,1,ECONOMY                  ,Lon Gatwick,Dubai,£301.00,Emirates,DFID
05/04/2011,1,BUSINESS                 ,Lon Heathrow,Abu Dhabi,"£1,710.00",Etihad Airways,DFID
07/04/2011,1,ECONOMY                  ,Glasgow,Geneva,£119.00,British Airways,DFID
17/04/2011,1,ECONOMY                  ,Dubai,Lon Heathrow,"£2,561.00",Emirates,DFID
09/04/2011,1,ECONOMY                  ,Kigali,Cape Town,£476.00,South African Airways,DFID
12/04/2011,1,ECONOMY                  ,Lon Heathrow,Ndjili,£752.00,Sn Brussels Airlines,DFID
06/04/2011,1,ECONOMY                  ,Lon Heathrow,Islamabad Intl,£435.00,Pakistan Int'L Airlines,DFID
13/04/2011,1,BUSINESS                 ,Lon Heathrow,Kennedy Ny,"£2,185.00",British Airways,DFID
13/04/2011,1,BUSINESS                 ,Lon Heathrow,Kennedy Ny,"£2,185.00",British Airways,DFID
10/04/2011,1,BUSINESS                 ,Cape Town,Douala,"£2,125.00",Kenya Airways,DFID
11/04/2011,1,ECONOMY                  ,Harare,Douala,£497.00,Kenya Airways,DFID
06/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£30.75,Easyjet,DFID
05/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£59.44,Easyjet,DFID
08/04/2011,1,ECONOMY                  ,London City,Glasgow,£80.00,British Airways,DFID
05/04/2011,1,BUSINESS                 ,Lon Heathrow,Abu Dhabi,"£1,710.00",Etihad Airways,DFID
07/04/2011,1,BUSINESS                 ,Abu Dhabi,Lon Heathrow,"£2,383.00",British Airways,DFID
06/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£166.00,British Airways,DFID
05/04/2011,1,BUSINESS                 ,Lon Heathrow,Abu Dhabi,"£1,710.00",Etihad Airways,DFID
03/04/2011,1,ECONOMY                  ,Khartoum,Khartoum,£0.00,Qatar Airways,DFID
15/04/2011,1,ECONOMY                  ,Lon Gatwick,Islamabad Intl,£401.00,Qatar Airways,DFID
15/05/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£249.00,British Airways,DFID
15/05/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£331.00,British Airways,DFID
10/04/2011,1,BUSINESS                 ,Cape Town,Douala,"£2,091.00",Kenya Airways,DFID
13/04/2011,1,ECONOMY                  ,Tunis,Lon Gatwick,£77.00,British Airways,DFID
02/05/2011,1,ECONOMY                  ,Lon Heathrow,Islamabad Intl,£235.00,Pakistan Int'L Airlines,DFID
12/04/2011,1,ECONOMY                  ,Edinburgh,Lon Gatwick,£92.03,Easyjet,DFID
13/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£71.03,Easyjet,DFID
08/04/2011,1,ECONOMY                  ,Luton Engla,Glasgow,£83.44,Easyjet,DFID
05/04/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£191.00,British Airways,DFID
22/04/2011,1,ECONOMY                  ,Khartoum,Lon Heathrow,£354.00,British Midland,DFID
13/04/2011,1,ECONOMY                  ,Lon Heathrow,Islamabad Intl,£381.00,Etihad Airways,DFID
05/04/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£88.00,British Airways,DFID
11/04/2011,1,ECONOMY                  ,Lon Heathrow,Ndjili,"£1,500.00",Kenya Airways,DFID
04/04/2011,1,BUSINESS                 ,Calcutta,Delhi,£206.00,Kingfisher Airlines Ltd,DFID
11/05/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£45.03,Easyjet,DFID
06/04/2011,1,ECONOMY                  ,Glasgow,London Stans,£97.43,Easyjet,DFID
04/04/2011,1,ECONOMY                  ,London Stans,Glasgow,£50.43,Easyjet,DFID
17/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£165.43,Easyjet,DFID
06/04/2011,1,ECONOMY                  ,Lon Gatwick,Berlin East,£144.96,Easyjet,DFID
13/04/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£63.00,British Airways,DFID
15/04/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£520.00,British Airways,DFID
15/04/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£390.00,British Airways,DFID
15/04/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£520.00,British Airways,DFID
05/04/2011,1,ECONOMY                  ,Glasgow,Luton Engla,£176.03,Easyjet,DFID
10/04/2011,1,ECONOMY                  ,Glasgow,Luton Engla,£93.03,Easyjet,DFID
02/02/2011,1,ECONOMY                  ,Zurich,Brussels,-£646.00,Swiss International Airlines,DFID
12/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£77.03,Easyjet,DFID
06/04/2011,1,ECONOMY                  ,Edinburgh,Lon Gatwick,£106.03,Easyjet,DFID
28/04/2011,1,ECONOMY                  ,Dubai,Lon Heathrow,£804.00,Emirates,DFID
22/04/2011,1,ECONOMY                  ,Khartoum,Lon Heathrow,£354.00,British Midland,DFID
15/04/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£390.00,British Airways,DFID
06/04/2011,1,ECONOMY                  ,Islamabad Intl,Birmingham,£432.00,Pakistan Int'L Airlines,DFID
02/07/2011,1,ECONOMY                  ,Lilongwe,Lon Heathrow,£75.00,Ethiopian Airlines,DFID
11/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£121.00,British Airways,DFID
22/04/2011,1,ECONOMY                  ,Dubai,Lon Heathrow,£939.00,Emirates,DFID
05/04/2011,1,BUSINESS                 ,Lon Heathrow,Abu Dhabi,£0.00,Etihad Airways,DFID
05/04/2011,1,ECONOMY                  ,Lon Heathrow,Abu Dhabi,£656.00,Etihad Airways,DFID
05/04/2011,1,BUSINESS                 ,Lon Heathrow,Abu Dhabi,£0.00,Etihad Airways,DFID
16/04/2011,1,ECONOMY                  ,Glasgow,Newark Liberty,£539.00,Continental Airlines,DFID
04/02/2011,1,BUSINESS                 ,Batumi,Lon Heathrow,-£537.00,Turkish Airlines,DFID
07/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£35.00,British Airways,DFID
06/05/2011,1,ECONOMY                  ,Maputo,Cape Town,£262.00,South African Airways,DFID
05/04/2011,1,BUSINESS                 ,Lon Heathrow,Abu Dhabi,"-£1,710.00",Etihad Airways,DFID
21/02/2011,1,BUSINESS                 ,Lon Heathrow,Dar Es Salaam,"-£2,832.00",British Airways,DFID
14/04/2011,1,ECONOMY                  ,Tunis,Da Vinci,-£59.00,Tunisair,DFID
22/04/2011,1,ECONOMY                  ,Harare,Johannesburg,£111.00,South African Airways,DFID
22/04/2011,1,ECONOMY                  ,Harare,Johannesburg,£111.00,South African Airways,DFID
11/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£146.00,British Airways,DFID
08/04/2011,1,ECONOMY                  ,Lon Heathrow,Dubai,"£1,045.00",Emirates,DFID
07/04/2011,1,PREMIUM ECONOMY          ,Lon Heathrow,Dubai,£758.00,Virgin Atlantic Airways,DFID
12/04/2011,1,ECONOMY                  ,Lon Heathrow,Tunis,£132.00,Tunisair,DFID
08/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£114.44,Easyjet,DFID
11/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£45.44,Easyjet,DFID
10/04/2011,1,ECONOMY                  ,Edinburgh,Brussels,£254.00,British Midland,DFID
22/04/2011,1,ECONOMY                  ,Harare,Johannesburg,£111.00,South African Airways,DFID
15/04/2011,1,ECONOMY                  ,Lilongwe,Lon Heathrow,£502.00,Ethiopian Airlines,DFID
21/04/2011,1,ECONOMY                  ,Khartoum,Sharm El Sheikh,£0.00,Egyptair,DFID
24/04/2011,1,ECONOMY                  ,Lon Heathrow,Delhi,"£1,119.00",Virgin Atlantic Airways,DFID
02/07/2011,1,ECONOMY                  ,Lilongwe,Lilongwe,£0.00,Ethiopian Airlines,DFID
02/02/2011,1,NULL,Unknown,Unknown,-£721.00,Continental Airlines,DFID
14/04/2011,1,ECONOMY                  ,Edinburgh,Geneva,£165.43,Easyjet,DFID
07/04/2011,1,ECONOMY                  ,Edinburgh,Lon Gatwick,£178.43,Easyjet,DFID
12/04/2011,1,ECONOMY                  ,Brussels,Edinburgh,£161.00,British Midland,DFID
14/04/2011,1,ECONOMY                  ,Abuja,Dulles,£543.00,Lufthansa German Airlines,DFID
14/04/2011,1,ECONOMY                  ,Abuja,Dulles,£543.00,Lufthansa German Airlines,DFID
14/04/2011,1,ECONOMY                  ,Abuja,Dulles,£543.00,Lufthansa German Airlines,DFID
15/04/2011,1,ECONOMY                  ,Lilongwe,Lon Heathrow,£351.00,Ethiopian Airlines,DFID
12/04/2011,1,ECONOMY                  ,Lon Heathrow,Geneva,£223.00,British Airways,DFID
11/04/2011,1,ECONOMY                  ,Lon Gatwick,Tunis,£276.00,British Airways,DFID
20/04/2011,1,ECONOMY                  ,Copenhagen,Lon Heathrow,£233.00,British Airways,DFID
22/04/2011,1,ECONOMY                  ,Harare,Johannesburg,£147.00,South African Airways,DFID
10/05/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£29.00,British Airways,DFID
21/04/2011,1,ECONOMY                  ,Khartoum,Sharm El Sheikh,£0.00,Egyptair,DFID
21/04/2011,1,ECONOMY                  ,Khartoum,Sharm El Sheikh,£0.00,Egyptair,DFID
08/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£74.44,Easyjet,DFID
07/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£138.43,Easyjet,DFID
12/04/2011,1,ECONOMY                  ,Lon Gatwick,Dublin,£79.98,Ryanair,DFID
26/04/2011,1,ECONOMY                  ,Manchester,Geneva,£83.44,Easyjet,DFID
21/03/2011,1,ECONOMY                  ,Dubai,Kabul,£45.34,Default Carrier,DFID
01/02/2011,1,FIRST                    ,Lon Heathrow,Tunis,-£85.00,Tunisair,DFID
04/02/2011,1,ECONOMY                  ,Istanbul,Lon Heathrow,£0.00,Turkish Airlines,DFID
08/04/2011,1,ECONOMY                  ,Lon Heathrow,Geneva,£316.00,British Airways,DFID
06/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£191.00,British Airways,DFID
24/05/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£15.00,British Airways,DFID
12/05/2011,1,ECONOMY                  ,Lon Heathrow,Ndjili,£99.00,Sn Brussels Airlines,DFID
25/04/2011,1,ECONOMY                  ,Buffalo Ny,Boston,£83.00,US Air Inc.,DFID
24/04/2011,1,BUSINESS                 ,Lon Gatwick,Harare,£660.00,Air Zimbabwe,DFID
07/04/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£161.00,British Airways,DFID
07/04/2011,1,ECONOMY                  ,Kabul,Delhi,£173.00,Air India,DFID
08/04/2011,1,ECONOMY                  ,Delhi,Lon Heathrow,£991.00,Virgin Atlantic Airways,DFID
22/04/2011,1,ECONOMY                  ,Accra,Toronto Yyz,£568.00,United Airlines,DFID
23/02/2011,1,ECONOMY                  ,Lon Heathrow,Stockholm Arn,£0.00,British Airways,DFID
07/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£134.44,Easyjet,DFID
12/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£112.00,British Airways,DFID
16/04/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,£297.00,United Airlines,DFID
11/04/2011,1,ECONOMY                  ,Belfast Harb,Lon Heathrow,£194.00,British Midland,DFID
02/05/2011,1,ECONOMY                  ,Maputo,Entebbe-Kampala,£198.00,South African Airways,DFID
07/03/2011,1,BUSINESS                 ,Lon Gatwick,Kingston,"-£4,084.00",British Airways,DFID
08/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£35.00,British Airways,DFID
09/05/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£10.00,British Airways,DFID
16/05/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£10.00,British Airways,DFID
12/04/2011,1,ECONOMY                  ,Lon Heathrow,Islamabad Intl,"£1,672.00",Emirates,DFID
04/05/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£21.00,British Airways,DFID
09/05/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£52.00,British Airways,DFID
09/05/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£52.00,British Airways,DFID
09/05/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£52.00,British Airways,DFID
09/05/2011,1,ECONOMY                  ,Aberdeen,Lon Heathrow,£88.00,British Airways,DFID
07/06/2011,1,PREMIUM ECONOMY          ,Lon Heathrow,Seattle-Tacoma,"£1,684.00",British Airways,DFID
12/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£59.44,Easyjet,DFID
30/04/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£85.00,British Airways,DFID
09/05/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£31.00,British Airways,DFID
22/04/2011,1,ECONOMY                  ,Hanoi,Lon Heathrow,"£2,314.00",Cathay Pacific Airways,DFID
26/04/2011,1,ECONOMY                  ,Dubai,Phuket,£634.00,Emirates,DFID
06/05/2011,1,ECONOMY                  ,Glasgow,Dhaka,£645.00,Emirates,DFID
18/04/2011,1,ECONOMY                  ,Cape Town,Glasgow,£552.00,British Airways,DFID
08/02/2011,1,BUSINESS                 ,Khartoum,Lon Heathrow,-£750.00,Egyptair,DFID
11/04/2011,1,ECONOMY                  ,Prestwick,London Stans,£103.65,Ryanair,DFID
20/04/2011,1,ECONOMY                  ,Santiago Chile,Buenos Aires Eze,£0.00,Aerosur,DFID
20/04/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£88.00,British Airways,DFID
24/05/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£10.00,British Airways,DFID
27/04/2011,1,ECONOMY                  ,Lon Heathrow,Moscow Domod,£504.00,British Airways,DFID
08/02/2011,1,BUSINESS                 ,Khartoum,Lon Heathrow,"-£1,000.00",Egyptair,DFID
08/02/2011,1,BUSINESS                 ,Khartoum,Lon Heathrow,"-£1,000.00",Egyptair,DFID
19/02/2011,1,ECONOMY                  ,Lon Heathrow,Sanaa,-£299.00,Egyptair,DFID
16/08/2011,1,ECONOMY                  ,Edinburgh,Krakow,£100.00,Ryanair,DFID
13/04/2011,1,ECONOMY                  ,London City,Glasgow,£148.00,British Airways,DFID
30/04/2011,1,BUSINESS                 ,Lon Heathrow,Canberra,"£3,365.00",Qantas Airways,DFID
09/05/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£52.00,British Airways,DFID
26/04/2011,1,ECONOMY                  ,Dubai,Phuket,£634.00,Emirates,DFID
06/05/2011,1,ECONOMY                  ,Glasgow,Dhaka,£645.00,Emirates,DFID
07/06/2011,1,PREMIUM ECONOMY          ,Lon Heathrow,Seattle-Tacoma,"£1,684.00",British Airways,DFID
26/04/2011,1,ECONOMY                  ,Manchester,Geneva,£83.44,Easyjet,DFID
11/04/2011,1,ECONOMY                  ,Luton Engla,Glasgow,£21.44,Easyjet,DFID
07/06/2011,1,PREMIUM ECONOMY          ,Lon Heathrow,Seattle-Tacoma,"£1,684.00",British Airways,DFID
22/04/2011,1,ECONOMY                  ,Islamabad Intl,Kennedy Ny,£844.00,American Airlines,DFID
12/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£146.00,British Airways,DFID
15/05/2011,1,BUSINESS                 ,Lon Heathrow,Abuja,"£2,552.00",British Airways,DFID
13/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£45.00,British Airways,DFID
17/04/2011,1,BUSINESS                 ,Lon Heathrow,Kennedy Ny,"£1,926.00",British Airways,DFID
12/04/2011,1,ECONOMY                  ,Lon Heathrow,Sofia,£129.00,Lufthansa German Airlines,DFID
01/05/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£100.00,British Airways,DFID
01/05/2011,1,ECONOMY                  ,Lon Heathrow,Lilongwe,£430.00,South African Airways,DFID
28/04/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£26.00,British Airways,DFID
04/05/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£35.44,Easyjet,DFID
11/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£118.43,Easyjet,DFID
31/05/2011,1,ECONOMY                  ,Lon Gatwick,Geneva,£102.21,Easyjet,DFID
31/05/2011,1,ECONOMY                  ,Lon Gatwick,Geneva,£102.20,Easyjet,DFID
14/04/2011,1,ECONOMY                  ,Lon Heathrow,Geneva,£268.00,Swiss International Airlines,DFID
13/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£137.00,British Airways,DFID
15/05/2011,1,ECONOMY                  ,Lon Heathrow,Freetown,£690.00,British Midland,DFID
15/05/2011,1,ECONOMY                  ,Lon Heathrow,Freetown,£690.00,British Midland,DFID
15/05/2011,1,ECONOMY                  ,Lon Heathrow,Freetown,£690.00,British Midland,DFID
15/05/2011,1,ECONOMY                  ,Lon Heathrow,Freetown,£690.00,British Midland,DFID
05/05/2011,1,ECONOMY                  ,Luton Engla,Glasgow,£20.00,Easyjet,DFID
29/04/2011,1,ECONOMY                  ,Geneva,Manchester,£131.90,Easyjet,DFID
14/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£69.44,Easyjet,DFID
19/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£50.44,Easyjet,DFID
13/04/2011,1,ECONOMY                  ,Lon Heathrow,Ottawa,£0.00,Air Canada,DFID
26/04/2011,1,ECONOMY                  ,Edinburgh,Copenhagen,£396.00,British Midland,DFID
17/04/2011,1,ECONOMY                  ,London City,Geneva,£172.00,Swiss International Airlines,DFID
02/05/2011,1,ECONOMY                  ,Edinburgh,Ottawa,"£1,348.00",Air Canada,DFID
12/04/2011,1,BUSINESS                 ,Lon Heathrow,Doha,"£4,406.00",Qatar Airways,DFID
17/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£133.00,British Airways,DFID
01/05/2011,1,ECONOMY                  ,Lon Heathrow,Lilongwe,£430.00,South African Airways,DFID
14/05/2011,1,ECONOMY                  ,Dubai,New Orleans,£651.00,Delta Airlines Inc,DFID
19/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£61.50,Easyjet,DFID
19/04/2011,1,ECONOMY                  ,Edinburgh,Lon Gatwick,£99.43,Easyjet,DFID
14/04/2011,1,ECONOMY                  ,Luton Engla,Madrid,£273.25,Easyjet,DFID
14/04/2011,1,ECONOMY                  ,Luton Engla,Madrid,£273.25,Easyjet,DFID
08/05/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£34.00,British Airways,DFID
14/04/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,£193.00,United Airlines,DFID
18/04/2011,1,ECONOMY                  ,Edinburgh,Lon Gatwick,£59.00,British Airways,DFID
14/04/2011,1,ECONOMY                  ,London City,Geneva,£310.00,Swiss International Airlines,DFID
13/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£245.00,British Airways,DFID
18/04/2011,1,BUSINESS                 ,Lon Heathrow,Dubai,"£2,960.00",Emirates,DFID
18/04/2011,1,BUSINESS                 ,Lon Heathrow,Dubai,"£2,960.00",Emirates,DFID
01/05/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£100.00,British Airways,DFID
02/02/2011,1,ECONOMY                  ,Kennedy Ny,Lon Heathrow,£0.00,Virgin Atlantic Airways,DFID
08/02/2011,1,ECONOMY                  ,Riyadh,Abu Dhabi,-£199.00,Qatar Airways,DFID
04/05/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£35.44,Easyjet,DFID
27/05/2011,1,ECONOMY                  ,Lon Heathrow,Addis Ababa,£240.00,Ethiopian Airlines,DFID
02/05/2011,1,ECONOMY                  ,Maputo,Entebbe-Kampala,£164.00,South African Airways,DFID
15/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£206.00,British Airways,DFID
22/04/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£482.00,Virgin Atlantic Airways,DFID
13/02/2011,1,BUSINESS                 ,Geneva,Nairobi,"-£2,380.00",Sn Brussels Airlines,DFID
11/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£93.00,British Airways,DFID
28/04/2011,1,BUSINESS                 ,Delhi,Lon Heathrow,"£1,479.00",Jet Airways,DFID
12/04/2011,1,BUSINESS                 ,Lon Heathrow,Islamabad Intl,£425.00,Emirates,DFID
01/05/2011,1,PREMIUM ECONOMY          ,Nairobi,Lon Heathrow,£584.00,British Airways,DFID
15/05/2011,1,ECONOMY                  ,Abuja,Lon Heathrow,£225.00,Lufthansa German Airlines,DFID
06/05/2011,1,ECONOMY                  ,Luton Engla,Glasgow,£53.74,Easyjet,DFID
14/04/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£106.00,British Airways,DFID
17/04/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£136.00,British Airways,DFID
15/05/2011,1,ECONOMY                  ,Abuja,Lon Heathrow,£225.00,Lufthansa German Airlines,DFID
01/05/2011,1,BUSINESS                 ,Dubai,Lvov,£611.00,Turkish Airlines,DFID
14/04/2011,1,ECONOMY                  ,Nairobi,Dubai,£274.00,Emirates,DFID
14/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£66.62,Easyjet,DFID
04/05/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£36.44,Easyjet,DFID
04/05/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£54.00,British Airways,DFID
26/04/2011,1,ECONOMY                  ,Kabul,Delhi,£134.00,Air India,DFID
18/04/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£227.00,British Airways,DFID
07/07/2011,1,ECONOMY                  ,Accra,Tel Aviv,£498.00,Lufthansa German Airlines,DFID
15/06/2011,1,ECONOMY                  ,Lon Heathrow,Accra,£373.00,British Airways,DFID
28/04/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£53.44,Easyjet,DFID
16/04/2011,1,ECONOMY                  ,Lon Heathrow,Kilimanjaro,"£1,108.00",Kenya Airways,DFID
29/04/2011,1,ECONOMY                  ,Glasgow,Dubai,£550.00,Emirates,DFID
26/04/2011,1,ECONOMY                  ,Dar Es Salaam,Lon Heathrow,"£1,303.00",Kenya Airways,DFID
14/04/2011,1,ECONOMY                  ,Abuja,Dulles,£311.00,Lufthansa German Airlines,DFID
03/06/2011,1,ECONOMY                  ,Belfast Harb,Johannesburg,£330.00,British Midland,DFID
06/05/2011,1,ECONOMY                  ,Dulles,Lon Heathrow,£46.00,British Airways,DFID
17/04/2011,1,ECONOMY                  ,Abuja,Glasgow,£437.00,British Airways,DFID
29/04/2011,1,ECONOMY                  ,Lon Gatwick,Dubai,£475.00,Emirates,DFID
06/05/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£37.00,British Airways,DFID
03/05/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£206.00,British Airways,DFID
16/03/2011,1,ECONOMY                  ,Edinburgh,Lon Gatwick,£201.43,Easyjet,DFID
19/04/2011,1,ECONOMY                  ,Luton Engla,Glasgow,£64.03,Easyjet,DFID
09/05/2011,1,ECONOMY                  ,Glasgow,London Stans,£49.03,Easyjet,DFID
06/05/2011,1,ECONOMY                  ,Dulles,Lon Heathrow,£34.00,British Airways,DFID
16/04/2011,1,ECONOMY                  ,Juba,Kilimanjaro,£453.00,Kenya Airways,DFID
08/05/2011,1,ECONOMY                  ,Ndjili,Kigali,£455.00,Kenya Airways,DFID
15/05/2011,1,BUSINESS                 ,Lon Heathrow,Addis Ababa,"£1,455.00",Ethiopian Airlines,DFID
03/05/2011,1,ECONOMY                  ,Manchester,Geneva,£132.00,British Airways,DFID
17/05/2011,1,ECONOMY                  ,Birmingham,Islamabad Intl,£445.00,Pakistan Int'L Airlines,DFID
29/04/2011,1,ECONOMY                  ,Brussels,Dubai,£253.00,Swiss International Airlines,DFID
15/05/2011,1,ECONOMY                  ,Manchester,Lon Heathrow,£192.00,British Midland,DFID
15/05/2011,1,BUSINESS                 ,Lon Heathrow,Addis Ababa,"£1,455.00",Ethiopian Airlines,DFID
27/02/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£0.00,British Airways,DFID
08/02/2011,1,ECONOMY                  ,Riyadh,Dubai,-£127.00,Saudi Arabian Airlines,DFID
19/02/2011,1,ECONOMY                  ,Abuja,Sharm El Sheikh,-£532.00,Egyptair,DFID
17/04/2011,1,ECONOMY                  ,Luton Engla,Glasgow,£132.43,Easyjet,DFID
13/02/2011,1,ECONOMY                  ,Entebbe-Kampala,Ankara Turke,-£330.00,Turkish Airlines,DFID
19/04/2011,1,ECONOMY                  ,Edinburgh,Lon Heathrow,£193.00,British Airways,DFID
09/05/2011,1,ECONOMY                  ,Lon Heathrow,Berlin Germa,£64.00,British Midland,DFID
27/04/2011,1,ECONOMY                  ,London City,Luxembourg,£294.00,Luxair,DFID
08/05/2011,1,ECONOMY                  ,Lon Heathrow,Kigali,£520.00,Kenya Airways,DFID
19/04/2011,1,ECONOMY                  ,Glasgow,London City,£226.00,British Airways,DFID
09/05/2011,1,ECONOMY                  ,Lon Heathrow,Berlin Germa,£108.00,British Midland,DFID
12/05/2011,1,ECONOMY                  ,Edinburgh,Brussels,£188.00,British Midland,DFID
15/04/2011,1,BUSINESS                 ,Islamabad Intl,Manchester,£702.00,Pakistan Int'L Airlines,DFID
15/04/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,£210.00,Virgin Atlantic Airways,DFID
