PLACE-REF,Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,ANALYSIS-CD,RV,SURNAME,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV
8359252039,0,966.67,V,992.63,3MTHS,0,25.96,0,,0,0,0,CO,3000,ELLIPTICAL LIMITED,,,,,,,01/08/2016,SUITE 1 - GROUND FLOOR,252 WELLINGTON ROAD SOUTH,STOCKPORT,,,SK2 6ND,OFFICES AND PREMISES
8359252049,0,604.17,V,620.4,MINRV,0,16.23,0,,0,0,0,CO,1875,ELLIPTICAL LIMITED,,,,,,,01/08/2016,SUITE 2 - GROUND FLOOR,252 WELLINGTON ROAD SOUTH,STOCKPORT,,,SK2 6ND,OFFICES AND PREMISES
8359252059,0,805.56,V,827.2,MINRV,0,21.64,0,,0,0,0,CO,2500,ELLIPTICAL LIMITED,,,,,,,01/08/2016,SUITE 3 - GROUND FLOOR,252 WELLINGTON ROAD SOUTH,STOCKPORT,,,SK2 6ND,OFFICES AND PREMISES
8359252069,0,215.89,V,221.69,MINRV,0,5.8,0,,0,0,0,CO,670,ELLIPTICAL LIMITED,,,,,,,01/08/2016,SUITE 4 - 1ST FLOOR,252 WELLINGTON ROAD SOUTH,STOCKPORT,,,SK2 6ND,OFFICES AND PREMISES
8359252079,0,580,V,595.58,MINRV,0,15.58,0,,0,0,0,CO,1800,ELLIPTICAL LIMITED,,,,,,,01/08/2016,SUITE 5 - 1ST FLOOR,252 WELLINGTON ROAD SOUTH,STOCKPORT,,,SK2 6ND,OFFICES AND PREMISES
8359252089,0,539.73,V,554.23,MINRV,0,14.5,0,,0,0,0,CO,1675,ELLIPTICAL LIMITED,,,,,,,01/08/2016,SUITE 6 - 1ST FLOOR,252 WELLINGTON ROAD SOUTH,STOCKPORT,,,SK2 6ND,OFFICES AND PREMISES
8359252099,0,451.11,V,463.23,MINRV,0,12.12,0,,0,0,0,CO,1400,ELLIPTICAL LIMITED,,,,,,,01/08/2016,SUITE 7 - 1ST FLOOR,252 WELLINGTON ROAD SOUTH,STOCKPORT,,,SK2 6ND,OFFICES AND PREMISES
8359252109,0,443.06,O,0,,0,0,0,,0,0,0,CO,1375,ELLIPTICAL LIMITED,,,,,,,01/08/2016,SUITE 8 - 2ND FLOOR,252 WELLINGTON ROAD SOUTH,STOCKPORT,,,SK2 6ND,OFFICES AND PREMISES
1805078009,0,2274.8,O,0,,-1,0,2274.8,,0,0,0,CS,4700,ELLIS CLAVIN LTD,,,,,,,26/10/2014,78 COMPSTALL ROAD,ROMILEY,STOCKPORT,,,SK6 4DE,SHOP AND PREMISES
1866011019,0,4791.6,O,0,,0,0,0,,0,0,0,EN1,9900,ELM COTTAGE LTD T/A ELM COTTAGE NURSERY,ELM COTTAGE LTD,RIVERSIDE,MOUNTBATTEN WAY,CONGLETON,CHESHIRE,CW12 1DY,01/04/1990,ELM COTTAGE,11 CRESCENT PARK,HEATON NORRIS,STOCKPORT,,SK4 2HS,DAY NURSERY AND PREMISES
7903046109,0,1355.2,O,0,,0,0,0,,0,0,0,EN1,2800,ELM COTTAGE LTD T/A ELM COTTAGE NURSERY,ELM COTTAGE LTD,RIVERSIDE,MOUNTBATTEN WAY,CONGLETON,CHESHIRE,CW12 1DY,17/10/2005,ADJ THORN GROVE PRIMARY SCHOOL,THORN GROVE,CHEADLE HULME,CHEADLE,,SK8 7LB,DAY NURSERY AND PREMISES
8541000029,0,1210,O,0,,0,0,0,,0,0,0,EN1,2500,ELM COTTAGE LTD T/A ELM COTTAGE NURSERY,ELM COTTAGE LTD,RIVERSIDE,MOUNTBATTEN WAY,CONGLETON,CHESHIRE,CW12 1DY,03/04/2000,ELM COTTAGE NURSERY,WORCESTER ROAD,CHEADLE HULME,CHEADLE,,SK8 5NW,DAY NURSERY AND PREMISES
4776007039,0,5445,O,0,,-1,0,681.23,,0,0,0,IF3,11250,ELMAX ENGINEERING LTD,UNIT 7,KENWOOD ROAD,STOCKPORT,,,SK5 6PH,04/01/2006,UNIT 7,KENWOOD ROAD,STOCKPORT,,,SK5 6PH,WORKSHOP AND PREMISES
7393242049,0,19723,O,0,,0,529.75,0,,0,0,0,CO,40750,ELOPAK UK LTD,,,,,,,10/10/2014,"SOUTH WING, 2ND FLOOR",CHEADLE PLACE,242 STOCKPORT ROAD,CHEADLE,,SK8 2JX,OFFICES AND PREMISES
7378047169,0,24200,O,0,,0,650,0,,0,0,0,CW,50000,ELSA WASTE PAPER LTD,UNITS 1 - 3,STATION ROAD,STATION ROAD INDUSTRIAL ESTATE,REDDISH,STOCKPORT,SK5 6ND,01/03/2000,UNITS 1-3,WHARTON CRANES BUILDING,STATION ROAD,REDDISH,STOCKPORT,SK5 6ND,WAREHOUSE AND PREMISES
715002069,0,133100,O,0,,0,3575,0,,0,0,0,CO,275000,EMCOR GROUP (UK) PLC,1 THE CRESCENT,SURBITON,SURREY,,,KT6 4BN,24/07/2006,EMCOR HOUSE,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,,SK3 0XF,OFFICES AND PREMISES
