Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,07/05/2014,REDACTED - PERSONAL DATA,Highway Equipment & Materials ,PROPERTY AND HIGHWAYS,OGDEN LANE RETAINING WALL,£800.00
Rochdale,27/05/2014,AMBEROL LIMITED,Highway Equipment & Materials ,ECONOMY AND ENVIRONMENT,STREETS PENNINES GENERAL,£662.30
Rochdale,16/05/2014,BROXAP LIMITED,Highway Equipment & Materials ,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,"£2,700.00"
Rochdale,23/05/2014,BROXAP LIMITED,Highway Equipment & Materials ,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,"£2,250.00"
Rochdale,01/05/2014,PIONEER TREE SERVICES LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,ARBORICULTURE,"£2,000.00"
Rochdale,06/05/2014,EARLEY ORNAMENTALS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£691.10
Rochdale,27/05/2014,MAHOOD BROTHERS,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"£1,792.10"
Rochdale,12/05/2014,PLANTOPIA LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£780.00
Rochdale,22/05/2014,AMENITY LAND SERVICES LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,£830.84
Rochdale,22/05/2014,NORDEN AGRICULTURAL CONTRACTORS,Horticultural,ECONOMY AND ENVIRONMENT,EVENTS GENERAL,"£1,200.00"
Rochdale,30/04/2014,F R SHARROCK LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,MECHANICS GENERAL MOWER R,£895.66
Rochdale,06/05/2014,F R SHARROCK LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,MECHANICS GENERAL MOWER R,£591.09
Rochdale,13/05/2014,GROUNDWORK LANDSCAPES LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,NEW CEMETERY (ROCHDALE),"£56,318.18"
Rochdale,13/05/2014,EZY-RENT LTD,Horticultural,ECONOMY AND ENVIRONMENT,Revenue Township,"£9,935.00"
Rochdale,20/05/2014,EAST RIDING HORTICULTURE LTD,Horticultural,ECONOMY AND ENVIRONMENT,SPORTS PITCHES BOROUGHWIDE,£660.04
Rochdale,16/05/2014,PENNINES IN BLOOM,Horticultural,CUSTOMERS & CORPORATE SERVICES,TOWNSHIP PRIORITY PROJECT FUND,"£1,750.00"
Rochdale,29/04/2014,ROCHDALE BOROUGHWIDE HOUSING,Housing Management,CHILDREN’S SOCIAL CARE,ASYLUM SEEKERS,£760.00
Rochdale,07/05/2014,BRAHM FUNDCO 2 LTD,Housing Management,ECONOMY AND ENVIRONMENT,HEYWOOD JSC - PHOENIX CENTRE,"£22,470.73"
Rochdale,06/05/2014,ROCHDALE HOUSING INITIATIVE,Housing Management,ECONOMY AND ENVIRONMENT,LANDLORD ASSISTANCE,"£3,439.22"
Rochdale,06/05/2014,CONTOUR HOMES,Housing Management,LEARNING DIS & MENTAL HEALTH,LD SUPPORTED LIVING CLUSTER1  RMBC,"£1,288.80"
Rochdale,13/05/2014,PROGRESS CARE HOUSING ASSOCIATION LTD,Housing Management,LEARNING DIS & MENTAL HEALTH,LD SUPPORTED LIVING CLUSTER1  RMBC,"£2,031.93"
Rochdale,12/05/2014,ST VINCENTS HOUSING ASSOCIATION,Housing Management,LEARNING DIS & MENTAL HEALTH,LD SUPPORTED LIVING CLUSTER1  RMBC,£527.68
Rochdale,13/05/2014,ST VINCENTS HOUSING ASSOCIATION,Housing Management,LEARNING DIS & MENTAL HEALTH,LD SUPPORTED LIVING CLUSTER1  RMBC,£602.40
Rochdale,12/05/2014,DEBONAIR LANGUAGES LTD,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT PREVENTIVE,£840.80
Rochdale,20/05/2014,DEBONAIR LANGUAGES LTD,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT PREVENTIVE,"£1,168.00"
Rochdale,29/05/2014,DEBONAIR LANGUAGES LTD,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT PREVENTIVE,£692.60
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT SOCIAL WORK,"£8,220.72"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT SOCIAL WORK,"£27,817.39"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT SOCIAL WORK,"£26,633.40"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT SOCIAL WORK,"£26,918.22"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"£1,200.08"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"£2,795.02"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,"£8,167.21"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,"£7,471.71"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,"£10,305.51"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,"£6,150.08"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,ASSESSMENTS,"£1,120.77"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,ASSESSMENTS,"£2,096.97"
Rochdale,13/05/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,"£1,037.00"
Rochdale,20/05/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,£777.75
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£892.43
Rochdale,16/05/2014,MOTT MACDONALD LIMITED,Human Resources,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),"£7,105.98"
Rochdale,02/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,200.00"
Rochdale,02/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,06/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,200.00"
Rochdale,14/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,200.00"
Rochdale,14/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,14/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,14/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,14/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,16/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£2,100.00"
Rochdale,16/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,16/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,16/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,504.60"
Rochdale,16/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,16/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,16/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,16/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,200.00"
Rochdale,19/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,200.00"
Rochdale,27/05/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,£872.48
Rochdale,06/05/2014,CATCH 22,Human Resources,CHILDREN’S SOCIAL CARE,CARED FOR CHILDREN CARE LEAVERS 1,"£2,995.00"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CARED FOR CHILDREN CARE LEAVERS 1,"£1,697.85"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CARED FOR CHILDREN CARE LEAVERS 1,£910.96
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CARED FOR CHILDREN CARE LEAVERS 1,"£1,041.90"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,CARELINE,£937.52
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CASE MANAGEMENT SYSTEM,£730.48
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CASE MANAGEMENT SYSTEM,£730.48
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CASE MANAGEMENT SYSTEM,"£1,071.33"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CASE MANAGEMENT SYSTEM,£900.93
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"£1,871.70"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"£1,479.60"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CHILD PROTECT & CARE PROCEED 2,"£1,217.48"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CHILD PROTECT & CARE PROCEED 2,"£1,442.31"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CHILD PROTECT & CARE PROCEED 2,"£1,681.29"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CIC SOCIAL WORK,"£1,331.06"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CIC SOCIAL WORK,"£3,581.44"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CIC SOCIAL WORK,"£4,830.13"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CIC SOCIAL WORK,"£1,394.15"
Rochdale,08/05/2014,YORKSHIRE BANK,Human Resources,EARLY HELP AND SCHOOLS,CLC RUNNING COSTS 2011/12,£978.62
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,LEARNING DIS & MENTAL HEALTH,CMHT ROCHDALE,£939.42
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,COMMITTEE SERVICES,£821.04
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,COMMITTEE SERVICES,£821.02
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,COMMITTEE SERVICES,£821.02
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,COMMITTEE SERVICES,£821.04
Rochdale,20/05/2014,DEBONAIR LANGUAGES LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£856.60
Rochdale,29/05/2014,DEBONAIR LANGUAGES LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,592.90"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£925.09
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£630.04
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£650.10
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,472.11"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,CORPORATE PROCUREMENT,£657.61
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,CORPORATE PROCUREMENT,"£1,221.11"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,COUNCIL TAX LIABILITY AND RECOVERY,"£1,111.10"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,COUNCIL TAX LIABILITY AND RECOVERY,"£1,111.10"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,COUNCIL TAX LIABILITY AND RECOVERY,£897.42
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,COUNCIL TAX LIABILITY AND RECOVERY,"£1,111.11"
Rochdale,29/05/2014,CLEARWATER RISK MANAGEMENT LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,COURSES SCHOOL SAFETY,"£1,575.00"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CP SOCIAL WORK,"£2,294.80"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CP SOCIAL WORK,"£8,427.48"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CP SOCIAL WORK,"£3,121.63"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CP SOCIAL WORK,"£5,749.64"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CUSTOMER ADVOCACY,"£3,084.46"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CUSTOMER ADVOCACY,"£1,729.10"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CUSTOMER ADVOCACY,"£5,787.20"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CUSTOMER ADVOCACY,"£2,384.11"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,DEBT RECOVERY TEAM,"£1,496.53"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,DEBT RECOVERY TEAM,"£2,142.44"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,DEBT RECOVERY TEAM,"£2,638.05"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,DEBT RECOVERY TEAM,"£2,407.46"
Rochdale,22/05/2014,THE OYSTER PARTNERSHIP LTD,Human Resources,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,£752.00
Rochdale,22/05/2014,THE OYSTER PARTNERSHIP LTD,Human Resources,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,£768.75
Rochdale,30/04/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£2,515.80"
Rochdale,30/04/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£2,875.20"
Rochdale,15/05/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£2,327.79"
Rochdale,15/05/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£3,012.48"
Rochdale,21/05/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£3,013.22"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES SOCIAL WORK,"£6,849.51"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES SOCIAL WORK,"£5,573.39"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES SOCIAL WORK,"£4,382.95"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,DISABILITY SERVICE RESOURCES,"£1,450.75"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"£1,097.07"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"£5,835.81"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"£11,010.85"
Rochdale,30/04/2014,MIDDLETON TOWN CENTRE MANAGEMENT CO LTD,Human Resources,ECONOMY AND ENVIRONMENT,ECONOMIC & COMMUNITY AFFAIRS,"£10,000.00"
Rochdale,14/05/2014,CAPITA BUSINESS SERVICES LIMITED,Human Resources,CUSTOMERS & CORPORATE SERVICES,EDIT GENERAL,"£2,596.23"
Rochdale,06/05/2014,CHAUFFEUR TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£836.00
Rochdale,29/05/2014,CHAUFFEUR TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,216.00"
Rochdale,08/05/2014,D K TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,782.00"
Rochdale,06/05/2014,S P TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£990.00
Rochdale,29/05/2014,S P TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,440.00"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,EDUCATION INFORMATION SYSTEMS TEAM,£938.82
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,EDUCATION INFORMATION SYSTEMS TEAM,"£1,118.64"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,EDUCATION INFORMATION SYSTEMS TEAM,£832.97
Rochdale,02/05/2014,REAL STAFFING GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,E-HR TRANSFORMATION PROGAMME,"£1,500.00"
Rochdale,06/05/2014,REAL STAFFING GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,E-HR TRANSFORMATION PROGAMME,"£1,500.00"
Rochdale,06/05/2014,REAL STAFFING GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,E-HR TRANSFORMATION PROGAMME,"£2,400.00"
Rochdale,16/05/2014,REAL STAFFING GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,E-HR TRANSFORMATION PROGAMME,"£1,500.00"
Rochdale,16/05/2014,REAL STAFFING GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,E-HR TRANSFORMATION PROGAMME,£900.00
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EM MAIL ROOM,£548.78
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,EMERGENCY DUTY TEAM,"£4,476.73"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,EMERGENCY DUTY TEAM,"£5,876.88"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,EMERGENCY DUTY TEAM,"£2,289.45"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,£852.32
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,£740.72
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,"£1,844.82"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,"£1,068.63"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,ENTERPRISING LEADERSHIP,£590.50
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,ENTERPRISING LEADERSHIP,"£2,564.89"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,ENTERPRISING LEADERSHIP,"£1,374.52"
Rochdale,20/05/2014,CHERISH UK LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£11,128.22"
Rochdale,12/05/2014,MEADOWS CARE LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£4,628.40"
Rochdale,08/05/2014,REDACTED - PERSONAL DATA,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£14,259.51"
Rochdale,08/05/2014,ROC NORTHWEST LTD,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£15,900.00"
Rochdale,08/05/2014,WINGS EDUCATION LTD,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£17,207.00"
Rochdale,09/05/2014,WINGS EDUCATION LTD,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£36,883.00"
Rochdale,09/05/2014,WINGS EDUCATION LTD,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£16,117.00"
Rochdale,09/05/2014,WINGS EDUCATION LTD,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£35,349.00"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,FINANCIAL SUPPORT CROSS SERVICE BUDGETS,£665.50
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,FINANCIAL SUPPORT CROSS SERVICE BUDGETS,£544.96
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,FINANCIAL SUPPORT CROSS SERVICE BUDGETS,£592.84
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,FINANCIAL SUPPORT CROSS SERVICE BUDGETS,£666.28
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 1,"£1,330.52"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 1,"£2,961.49"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 4,"£1,348.80"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 4,"£1,348.80"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 4,"£1,348.80"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 4,"£1,663.52"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 5,"£1,709.30"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 5,£735.95
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 5,"£1,033.40"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 6,£890.20
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 6,"£1,457.46"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 6,"£2,340.99"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FIRST RESPONSE 6,"£2,023.89"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,FLEET MAINTENANCE,£562.68
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,FLEET MAINTENANCE,"£1,077.64"
Rochdale,29/05/2014,DEBONAIR LANGUAGES LTD,Human Resources,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,£511.20
