Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Review Support Officer,5,Operational Delivery
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Review Support Officer,12,Operational Delivery
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Review Support Officer,15,Operational Delivery
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OR7-8,34039,44315,HR Support Officer,2,Military
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OR9,39548,47902,HR Support Officer,4,Military
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OR7-8,34039,44315,HR Support Officer,1,Military
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF3,48934,58605,HR Support Officer,15,Military
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF4,68679,79524,HR Support Officer,6,Military
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF5,83205,91466,HR Support Officer,3,Military
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Programme Manager,3,Science and Engineering
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Senior Policy Adviser,1,Policy
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Project Manager,5,Science and Engineering
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Project Support Officer,1,Science and Engineering
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Policy Support Officer,1,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Project Support Officer,1,Science and Engineering
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C(FS),29258,44268,Project Support Officer,0,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF5,83205,91466,Project Support Officer,1,Military
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Project Support Officer,2,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Private Secretary,1,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Project Support Officer,1,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E2,15779,19003,Project Support Officer,1,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Project Manager,2,Science and Engineering
